# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;smiekli;seja|smaids|smiekli
	👩🏾‍🎓;studente: vidēji tumšs ādas tonis;absolvente|sieviete|studente|studente: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
	👩🏿‍🎓;studente: tumšs ādas tonis;absolvente|sieviete|studente|studente: tumšs ādas tonis|tumšs ādas tonis
🧑‍🏫;pedagogs;instruktors|pedagogs|profesors|skolotājs
	🧑🏻‍🏫;pedagogs: gaišs ādas tonis;gaišs ādas tonis|instruktors|pedagogs|pedagogs: gaišs ādas tonis|profesors|skolotājs
	🧑🏼‍🏫;pedagogs: vidēji gaišs ādas tonis;instruktors|pedagogs|pedagogs: vidēji gaišs ādas tonis|profesors|skolotājs|vidēji gaišs ādas tonis
	🧑🏽‍🏫;pedagogs: vidējs ādas tonis;instruktors|pedagogs|pedagogs: vidējs ādas tonis|profesors|skolotājs|vidējs ādas tonis
	🧑🏾‍🏫;pedagogs: vidēji tumšs ādas tonis;instruktors|pedagogs|pedagogs: vidēji tumšs ādas tonis|profesors|skolotājs|vidēji tumšs ādas tonis
	🧑🏿‍🏫;pedagogs: tumšs ādas tonis;instruktors|pedagogs|pedagogs: tumšs ādas tonis|profesors|skolotājs|tumšs ādas tonis
👨‍🏫;skolotājs;pasniedzējs|profesors|skolotājs|vīrietis
	👨🏻‍🏫;skolotājs: gaišs ādas tonis;gaišs ādas tonis|pasniedzējs|profesors|skolotājs|skolotājs: gaišs ādas tonis|vīrietis
	👨🏼‍🏫;skolotājs: vidēji gaišs ādas tonis;pasniedzējs|profesors|skolotājs|skolotājs: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍🏫;skolotājs: vidējs ādas tonis;pasniedzējs|profesors|skolotājs|skolotājs: vidējs ādas tonis|vidējs ādas tonis|vīrietis
	👨🏾‍🏫;skolotājs: vidēji tumšs ādas tonis;pasniedzējs|profesors|skolotājs|skolotājs: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍🏫;skolotājs: tumšs ādas tonis;pasniedzējs|profesors|skolotājs|skolotājs: tumšs ādas tonis|tumšs ādas tonis|vīrietis
👩‍🏫;skolotāja;pasniedzēja|profesore|sieviete|skolotāja
	👩🏻‍🏫;skolotāja: gaišs ādas tonis;gaišs ādas tonis|pasniedzēja|profesore|sieviete|skolotāja|skolotāja: gaišs ādas tonis
	👩🏼‍🏫;skolotāja: vidēji gaišs ādas tonis;pasniedzēja|profesore|sieviete|skolotāja|skolotāja: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis
	👩🏽‍🏫;skolotāja: vidējs ādas tonis;pasniedzēja|profesore|sieviete|skolotāja|skolotāja: vidējs ādas tonis|vidējs ādas tonis
	👩🏾‍🏫;skolotāja: vidēji tumšs ādas tonis;pasniedzēja|profesore|sieviete|skolotāja|skolotāja: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
	👩🏿‍🏫;skolotāja: tumšs ādas tonis;pasniedzēja|profesore|sieviete|skolotāja|skolotāja: tumšs ādas tonis|tumšs ādas tonis
🧑‍⚖️;soģis;soģis|svari|tiesnesis
	🧑🏻‍⚖️;soģis: gaišs ādas tonis;gaišs ādas tonis|soģis|soģis: gaišs ādas tonis|svari|tiesnesis
	🧑🏼‍⚖️;soģis: vidēji gaišs ādas tonis;soģis|soģis: vidēji gaišs ādas tonis|svari|tiesnesis|vidēji gaišs ādas tonis
	🧑🏽‍⚖️;soģis: vidējs ādas tonis;soģis|soģis: vidējs ādas tonis|svari|tiesnesis|vidējs ādas tonis
	🧑🏾‍⚖️;soģis: vidēji tumšs ādas tonis;soģis|soģis: vidēji tumšs ādas tonis|svari|tiesnesis|vidēji tumšs ādas tonis
	🧑🏿‍⚖️;soģis: tumšs ādas tonis;soģis|soģis: tumšs ādas tonis|svari|tiesnesis|tumšs ādas tonis
👨‍⚖️;tiesnesis;likums|svari|tiesnesis|vīrietis
	👨🏻‍⚖️;tiesnesis: gaišs ādas tonis;gaišs ādas tonis|likums|svari|tiesnesis|tiesnesis: gaišs ādas tonis|vīrietis
	👨🏼‍⚖️;tiesnesis: vidēji gaišs ādas tonis;likums|svari|tiesnesis|tiesnesis: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍⚖️;tiesnesis: vidējs ādas tonis;likums|svari|tiesnesis|tiesnesis: vidējs ādas tonis|vidējs ādas tonis|vīrietis
	👨🏾‍⚖️;tiesnesis: vidēji tumšs ādas tonis;likums|svari|tiesnesis|tiesnesis: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍⚖️;tiesnesis: tumšs ādas tonis;likums|svari|tiesnesis|tiesnesis: tumšs ādas tonis|tumšs ādas tonis|vīrietis
👩‍⚖️;tiesnese;likums|sieviete|svari|tiesnese
	👩🏻‍⚖️;tiesnese: gaišs ādas tonis;gaišs ādas tonis|likums|sieviete|svari|tiesnese|tiesnese: gaišs ādas tonis
	👩🏼‍⚖️;tiesnese: vidēji gaišs ādas tonis;likums|sieviete|svari|tiesnese|tiesnese: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis
	👩🏽‍⚖️;tiesnese: vidējs ādas tonis;likums|sieviete|svari|tiesnese|tiesnese: vidējs ādas tonis|vidējs ādas tonis
	👩🏾‍⚖️;tiesnese: vidēji tumšs ādas tonis;likums|sieviete|svari|tiesnese|tiesnese: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
	👩🏿‍⚖️;tiesnese: tumšs ādas tonis;likums|sieviete|svari|tiesnese|tiesnese: tumšs ādas tonis|tumšs ādas tonis
🧑‍🌾;fermeris;dārznieks|fermeris|lauksaimnieks|zemnieks
	🧑🏻‍🌾;fermeris: gaišs ādas tonis;dārznieks|fermeris|fermeris: gaišs ādas tonis|gaišs ādas tonis|lauksaimnieks|zemnieks
	🧑🏼‍🌾;fermeris: vidēji gaišs ādas tonis;dārznieks|fermeris|fermeris: vidēji gaišs ādas tonis|lauksaimnieks|vidēji gaišs ādas tonis|zemnieks
	🧑🏽‍🌾;fermeris: vidējs ādas tonis;dārznieks|fermeris|fermeris: vidējs ādas tonis|lauksaimnieks|vidējs ādas tonis|zemnieks
	🧑🏾‍🌾;fermeris: vidēji tumšs ādas tonis;dārznieks|fermeris|fermeris: vidēji tumšs ādas tonis|lauksaimnieks|vidēji tumšs ādas tonis|zemnieks
	🧑🏿‍🌾;fermeris: tumšs ādas tonis;dārznieks|fermeris|fermeris: tumšs ādas tonis|lauksaimnieks|tumšs ādas tonis|zemnieks
👨‍🌾;lauksaimnieks;dārzenieks|lauksaimnieks|vīrietis
	👨🏻‍🌾;lauksaimnieks: gaišs ādas tonis;dārzenieks|gaišs ādas tonis|lauksaimnieks|lauksaimnieks: gaišs ādas tonis|vīrietis
	👨🏼‍🌾;lauksaimnieks: vidēji gaišs ādas tonis;dārzenieks|lauksaimnieks|lauksaimnieks: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍🌾;lauksaimnieks: vidējs ādas tonis;dārzenieks|lauksaimnieks|lauksaimnieks: vidējs ādas tonis|vidējs ādas tonis|vīrietis
	👨🏾‍🌾;lauksaimnieks: vidēji tumšs ādas tonis;dārzenieks|lauksaimnieks|lauksaimnieks: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍🌾;lauksaimnieks: tumšs ādas tonis;dārzenieks|lauksaimnieks|lauksaimnieks: tumšs ādas tonis|tumšs ādas tonis|vīrietis
👩‍🌾;lauksaimniece;dārzeniece|lauksaimniece|sieviete
	👩🏻‍🌾;lauksaimniece: gaišs ādas tonis;dārzeniece|gaišs ādas tonis|lauksaimniece|lauksaimniece: gaišs ādas tonis|sieviete
	👩🏼‍🌾;lauksaimniece: vidēji gaišs ādas tonis;dārzeniece|lauksaimniece|lauksaimniece: vidēji gaišs ādas tonis|sieviete|vidēji gaišs ādas tonis
	👩🏽‍🌾;lauksaimniece: vidējs ādas tonis;dārzeniece|lauksaimniece|lauksaimniece: vidējs ādas tonis|sieviete|vidējs ādas tonis
	👩🏾‍🌾;lauksaimniece: vidēji tumšs ādas tonis;dārzeniece|lauksaimniece|lauksaimniece: vidēji tumšs ādas tonis|sieviete|vidēji tumšs ādas tonis
	👩🏿‍🌾;lauksaimniece: tumšs ādas tonis;dārzeniece|lauksaimniece|lauksaimniece: tumšs ādas tonis|sieviete|tumšs ādas tonis
🧑‍🍳;vīrietis pavārs;pavārs|šefpavārs|vīrietis pavārs
	🧑🏻‍🍳;vīrietis pavārs: gaišs ādas tonis;gaišs ādas tonis|pavārs|šefpavārs|vīrietis pavārs|vīrietis pavārs: gaišs ādas tonis
	🧑🏼‍🍳;vīrietis pavārs: vidēji gaišs ādas tonis;pavārs|šefpavārs|vidēji gaišs ādas tonis|vīrietis pavārs|vīrietis pavārs: vidēji gaišs ādas tonis
	🧑🏽‍🍳;vīrietis pavārs: vidējs ādas tonis;pavārs|šefpavārs|vidējs ādas tonis|vīrietis pavārs|vīrietis pavārs: vidējs ādas tonis
	🧑🏾‍🍳;vīrietis pavārs: vidēji tumšs ādas tonis;pavārs|šefpavārs|vidēji tumšs ādas tonis|vīrietis pavārs|vīrietis pavārs: vidēji tumšs ādas tonis
	🧑🏿‍🍳;vīrietis pavārs: tumšs ādas tonis;pavārs|šefpavārs|tumšs ādas tonis|vīrietis pavārs|vīrietis pavārs: tumšs ādas tonis
👨‍🍳;pavārs;pavārs|šefpavārs|vīrietis
	👨🏻‍🍳;pavārs: gaišs ādas tonis;gaišs ādas tonis|pavārs|pavārs: gaišs ādas tonis|šefpavārs|vīrietis
	👨🏼‍🍳;pavārs: vidēji gaišs ādas tonis;pavārs|pavārs: vidēji gaišs ādas tonis|šefpavārs|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍🍳;pavārs: vidējs ādas tonis;pavārs|pavārs: vidējs ādas tonis|šefpavārs|vidējs ādas tonis|vīrietis
	👨🏾‍🍳;pavārs: vidēji tumšs ādas tonis;pavārs|pavārs: vidēji tumšs ādas tonis|šefpavārs|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍🍳;pavārs: tumšs ādas tonis;pavārs|pavārs: tumšs ādas tonis|šefpavārs|tumšs ādas tonis|vīrietis
👩‍🍳;pavāre;pavāre|šefpavāre|sieviete
	👩🏻‍🍳;pavāre: gaišs ādas tonis;gaišs ādas tonis|pavāre|pavāre: gaišs ādas tonis|šefpavāre|sieviete
	👩🏼‍🍳;pavāre: vidēji gaišs ādas tonis;pavāre|pavāre: vidēji gaišs ādas tonis|šefpavāre|sieviete|vidēji gaišs ādas tonis
	👩🏽‍🍳;pavāre: vidējs ādas tonis;pavāre|pavāre: vidējs ādas tonis|šefpavāre|sieviete|vidējs ādas tonis
	👩🏾‍🍳;pavāre: vidēji tumšs ādas tonis;pavāre|pavāre: vidēji tumšs ādas tonis|šefpavāre|sieviete|vidēji tumšs ādas tonis
	👩🏿‍🍳;pavāre: tumšs ādas tonis;pavāre|pavāre: tumšs ādas tonis|šefpavāre|sieviete|tumšs ādas tonis
🧑‍🔧;vīrietis mehāniķis;elektriķis|mehāniķis|santehniķis|vīrietis
	🧑🏻‍🔧;vīrietis mehāniķis: gaišs ādas tonis;elektriķis|gaišs ādas tonis|mehāniķis|santehniķis|vīrietis|vīrietis mehāniķis: gaišs ādas tonis
	🧑🏼‍🔧;vīrietis mehāniķis: vidēji gaišs ādas tonis;elektriķis|mehāniķis|santehniķis|vidēji gaišs ādas tonis|vīrietis|vīrietis mehāniķis: vidēji gaišs ādas tonis
	🧑🏽‍🔧;vīrietis mehāniķis: vidējs ādas tonis;elektriķis|mehāniķis|santehniķis|vidējs ādas tonis|vīrietis|vīrietis mehāniķis: vidējs ādas tonis
	🧑🏾‍🔧;vīrietis mehāniķis: vidēji tumšs ādas tonis;elektriķis|mehāniķis|santehniķis|vidēji tumšs ādas tonis|vīrietis|vīrietis mehāniķis: vidēji tumšs ādas tonis
	🧑🏿‍🔧;vīrietis mehāniķis: tumšs ādas tonis;elektriķis|mehāniķis|santehniķis|tumšs ādas tonis|vīrietis|vīrietis mehāniķis: tumšs ādas tonis
👨‍🔧;mehāniķis;elektriķis|mehāniķis|santehniķis|vīrietis
	👨🏻‍🔧;mehāniķis: gaišs ādas tonis;elektriķis|gaišs ādas tonis|mehāniķis|mehāniķis: gaišs ādas tonis|santehniķis|vīrietis
	👨🏼‍🔧;mehāniķis: vidēji gaišs ādas tonis;elektriķis|mehāniķis|mehāniķis: vidēji gaišs ādas tonis|santehniķis|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍🔧;mehāniķis: vidējs ādas tonis;elektriķis|mehāniķis|mehāniķis: vidējs ādas tonis|santehniķis|vidējs ādas tonis|vīrietis
	👨🏾‍🔧;mehāniķis: vidēji tumšs ādas tonis;elektriķis|mehāniķis|mehāniķis: vidēji tumšs ādas tonis|santehniķis|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍🔧;mehāniķis: tumšs ādas tonis;elektriķis|mehāniķis|mehāniķis: tumšs ādas tonis|santehniķis|tumšs ādas tonis|vīrietis
👩‍🔧;mehāniķe;elektriķe|mehāniķe|santehniķe|sieviete
	👩🏻‍🔧;mehāniķe: gaišs ādas tonis;elektriķe|gaišs ādas tonis|mehāniķe|mehāniķe: gaišs ādas tonis|santehniķe|sieviete
	👩🏼‍🔧;mehāniķe: vidēji gaišs ādas tonis;elektriķe|mehāniķe|mehāniķe: vidēji gaišs ādas tonis|santehniķe|sieviete|vidēji gaišs ādas tonis
	👩🏽‍🔧;mehāniķe: vidējs ādas tonis;elektriķe|mehāniķe|mehāniķe: vidējs ādas tonis|santehniķe|sieviete|vidējs ādas tonis
	👩🏾‍🔧;mehāniķe: vidēji tumšs ādas tonis;elektriķe|mehāniķe|mehāniķe: vidēji tumšs ādas tonis|santehniķe|sieviete|vidēji tumšs ādas tonis
	👩🏿‍🔧;mehāniķe: tumšs ādas tonis;elektriķe|mehāniķe|mehāniķe: tumšs ādas tonis|santehniķe|sieviete|tumšs ādas tonis
🧑‍🏭;rūpnīcas strādnieks;montāža|nozare|rūpnīca|rūpnīcas strādnieks|strādnieks
	🧑🏻‍🏭;rūpnīcas strādnieks: gaišs ādas tonis;gaišs ādas tonis|montāža|nozare|rūpnīca|rūpnīcas strādnieks|rūpnīcas strādnieks: gaišs ādas tonis|strādnieks
	🧑🏼‍🏭;rūpnīcas strādnieks: vidēji gaišs ādas tonis;montāža|nozare|rūpnīca|rūpnīcas strādnieks|rūpnīcas strādnieks: vidēji gaišs ādas tonis|strādnieks|vidēji gaišs ādas tonis
	🧑🏽‍🏭;rūpnīcas strādnieks: vidējs ādas tonis;montāža|nozare|rūpnīca|rūpnīcas strādnieks|rūpnīcas strādnieks: vidējs ādas tonis|strādnieks|vidējs ādas tonis
	🧑🏾‍🏭;rūpnīcas strādnieks: vidēji tumšs ādas tonis;montāža|nozare|rūpnīca|rūpnīcas strādnieks|rūpnīcas strādnieks: vidēji tumšs ādas tonis|strādnieks|vidēji tumšs ādas tonis
	🧑🏿‍🏭;rūpnīcas strādnieks: tumšs ādas tonis;montāža|nozare|rūpnīca|rūpnīcas strādnieks|rūpnīcas strādnieks: tumšs ādas tonis|strādnieks|tumšs ādas tonis
👨‍🏭;fabrikas strādnieks;fabrikas strādnieks|ražošana|rūpnīca|strādnieks|vīrietis
	👨🏻‍🏭;fabrikas strādnieks: gaišs ādas tonis;fabrikas strādnieks|fabrikas strādnieks: gaišs ādas tonis|gaišs ādas tonis|ražošana|rūpnīca|strādnieks|vīrietis
	👨🏼‍🏭;fabrikas strādnieks: vidēji gaišs ādas tonis;fabrikas strādnieks|fabrikas strādnieks: vidēji gaišs ādas tonis|ražošana|rūpnīca|strādnieks|vidēji gaišs ādas tonis|vīrietis
	👨🏽‍🏭;fabrikas strādnieks: vidējs ādas tonis;fabrikas strādnieks|fabrikas strādnieks: vidējs ādas tonis|ražošana|rūpnīca|strādnieks|vidējs ādas tonis|vīrietis
	👨🏾‍🏭;fabrikas strādnieks: vidēji tumšs ādas tonis;fabrikas strādnieks|fabrikas strādnieks: vidēji tumšs ādas tonis|ražošana|rūpnīca|strādnieks|vidēji tumšs ādas tonis|vīrietis
	👨🏿‍🏭;fabrikas strādnieks: tumšs ādas tonis;fabrikas strādnieks|fabrikas strādnieks: tumšs ādas tonis|ražošana|rūpnīca|strādnieks|tumšs ādas tonis|vīrietis
👩‍🏭;fabrikas strādniece;fabrikas strādniece|ražošana|rūpnīca|sieviete|strādniece
	👩🏻‍🏭;fabrikas strādniece: gaišs ādas tonis;fabrikas strādniece|fabrikas strādniece: gaišs ādas tonis|gaišs ādas tonis|ražošana|rūpnīca|sieviete|strādniece
	👩🏼‍🏭;fabrikas strādniece: vidēji gaišs ādas tonis;fabrikas strādniece|fabrikas strādniece: vidēji gaišs ādas tonis|ražošana|rūpnīca|sieviete|strādniece|vidēji gaišs ādas tonis
	👩🏽‍🏭;fabrikas strādniece: vidējs ādas tonis;fabrikas strādniece|fabrikas strādniece: vidējs ādas tonis|ražošana|rūpnīca|sieviete|strādniece|vidējs ādas tonis
	👩🏾‍🏭;fabrikas strādniece: vidēji tumšs ādas tonis;fabrikas strādniece|fabrikas strādniece: vidēji tumšs ādas tonis|ražošana|rūpnīca|sieviete|strādniece|vidēji tumšs ādas tonis
	👩🏿‍🏭;fabrikas strādniece: tumšs ādas tonis;fabrikas strādniece|fabrikas strādniece: tumšs ādas tonis|ražošana|rūpnīca|sieviete|strādniece|tumšs ādas tonis
🧑‍💼;vīrietis biroja darbinieks;arhitekts|baltā apkaklīte|pārvaldnieks|uzņēmējs|vīrietis biroja darbinieks
	🧑🏻‍💼;vīrietis biroja darbinieks: gaišs ādas tonis;arhitekts|baltā apkaklīte|gaišs ādas tonis|pārvaldnieks|uzņēmējs|vīrietis biroja darbinieks|vīrietis biroja darbinieks: gaišs ādas tonis
	🧑🏼‍💼;vīrietis biroja darbinieks: vidēji gaišs ādas tonis;arhitekts|baltā apkaklīte|pārvaldnieks|uzņēmējs|vidēji gaišs ādas tonis|vīrietis biroja darbinieks|vīrietis biroja darbinieks: vidēji gaišs ādas tonis
	🧑🏽‍💼;vīrietis biroja darbinieks: vidējs ādas tonis;arhitekts|baltā apkaklīte|pārvaldnieks|uzņēmējs|vidējs ādas tonis|vīrietis biroja darbinieks|vīrietis biroja darbinieks: vidējs ādas tonis
	🧑🏾‍💼;vīrietis biroja darbinieks: vidēji tumšs ādas tonis;arhitekts|baltā apkaklīte|pārvaldnieks|uzņēmējs|vidēji tumšs ādas tonis|vīrietis biroja darbinieks|vīrietis biroja darbinieks: vidēji tumšs ādas tonis
	🧑🏿‍💼;vīrietis biroja darbinieks: tumšs ādas tonis;arhitekts|baltā apkaklīte|pārvaldnieks|tumšs ādas tonis|uzņēmējs|vīrietis biroja darbinieks|vīrietis biroja darbinieks: tumšs ādas tonis
👨‍💼;biroja darbinieks;arhitekts|baltās apkaklītes|biroja darbinieks|birojs|menedžeris|uzņēmējdarbība|virietis
	👨🏻‍💼;biroja darbinieks: gaišs ādas tonis;arhitekts|baltās apkaklītes|biroja darbinieks|biroja darbinieks: gaišs ādas tonis|birojs|gaišs ādas tonis|menedžeris|uzņēmējdarbība|virietis
	👨🏼‍💼;biroja darbinieks: vidēji gaišs ādas tonis;arhitekts|baltās apkaklītes|biroja darbinieks|biroja darbinieks: vidēji gaišs ādas tonis|birojs|menedžeris|uzņēmējdarbība|vidēji gaišs ādas tonis|virietis
	👨🏽‍💼;biroja darbinieks: vidējs ādas tonis;arhitekts|baltās apkaklītes|biroja darbinieks|biroja darbinieks: vidējs ādas tonis|birojs|menedžeris|uzņēmējdarbība|vidējs ādas tonis|virietis
	👨🏾‍💼;biroja darbinieks: vidēji tumšs ādas tonis;arhitekts|baltās apkaklītes|biroja darbinieks|biroja darbinieks: vidēji tumšs ādas tonis|birojs|menedžeris|uzņēmējdarbība|vidēji tumšs ādas tonis|virietis
	👨🏿‍💼;biroja darbinieks: tumšs ādas tonis;arhitekts|baltās apkaklītes|biroja darbinieks|biroja darbinieks: tumšs ādas tonis|birojs|menedžeris|tumšs ādas tonis|uzņēmējdarbība|virietis
👩‍💼;biroja darbiniece;arhitekte|baltās apkaklītes|biroja darbiniece|birojs|menedžere|sieviete|uzņēmējdarbība
	👩🏻‍💼;biroja darbiniece: gaišs ādas tonis;arhitekte|baltās apkaklītes|biroja darbiniece|biroja darbiniece: gaišs ādas tonis|birojs|gaišs ādas tonis|menedžere|sieviete|uzņēmējdarbība
	👩🏼‍💼;biroja darbiniece: vidēji gaišs ādas tonis;arhitekte|baltās apkaklītes|biroja darbiniece|biroja darbiniece: vidēji gaišs ādas tonis|birojs|menedžere|sieviete|uzņēmējdarbība|vidēji gaišs ādas tonis
	👩🏽‍💼;biroja darbiniece: vidējs ādas tonis;arhitekte|baltās apkaklītes|biroja darbiniece|biroja darbiniece: vidējs ādas tonis|birojs|menedžere|sieviete|uzņēmējdarbība|vidējs ādas tonis
	👩🏾‍💼;biroja darbiniece: vidēji tumšs ādas tonis;arhitekte|baltās apkaklītes|biroja darbiniece|biroja darbiniece: vidēji tumšs ādas tonis|birojs|menedžere|sieviete|uzņēmējdarbība|vidēji tumšs ādas tonis
	👩🏿‍💼;biroja darbiniece: tumšs ādas tonis;arhitekte|baltās apkaklītes|biroja darbiniece|biroja darbiniece: tumšs ādas tonis|birojs|menedžere|sieviete|tumšs ādas tonis|uzņēmējdarbība
🧑‍🔬;vīrietis zinātnieks;biologs|fiziķis|inženieris|ķīmiķis|vīrietis zinātnieks|zinātnieks
	🧑🏻‍🔬;vīrietis zinātnieks: gaišs ādas tonis;biologs|fiziķis|gaišs ādas tonis|inženieris|ķīmiķis|vīrietis zinātnieks|vīrietis zinātnieks: gaišs ādas tonis|zinātnieks
	🧑🏼‍🔬;vīrietis zinātnieks: vidēji gaišs ādas tonis;biologs|fiziķis|inženieris|ķīmiķis|vidēji gaišs ādas tonis|vīrietis zinātnieks|vīrietis zinātnieks: vidēji gaišs ādas tonis|zinātnieks
