# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;සිනහ මුහුණ;මුහුණ|සිනහ මුහුණ|සිනහව
🏩;පෙම් හෝටලය;ආදරය|ගොඩනැගිල්ල|පෙම් හෝටලය|හෝටලය
🏪;සිල්ලර වෙළඳසල;ගොඩනැගිල්ල|වෙළඳසැල|සිල්ලර|සිල්ලර වෙළඳසල
🏫;පාසල;ගොඩනැගිල්ල|පාසල
🏬;සිල්ලර වෙළඳ ආයතනය;ගොඩනැගිල්ල|දෙපාර්තමේන්තු|වෙළඳසැල|සිල්ලර වෙළඳ ආයතනය
🏭;කර්මාන්තශාලාව;කර්මාන්තශාලාව|ගොඩනැගිල්ල
🏯;ජපන් බලකොටුව;ගොඩනැගිල්ල|ජපන්|බලකොටුව
🏰;බලකොටුව;ගොඩනැගිල්ල|බලකොටුව|යුුරෝපීය
💒;විවාහ මංගල උත්සවය;ආදරය|පල්ලිය|විවාහ මංගල උත්සවය
🗼;ටෝනියෝ කුළුණ;කුළුණ|ටෝකියෝ|ටෝනියෝ කුළුණ
🗽;නිදහස් ප්‍රතිමාව;නිදහස්|ප්‍රතිමාව
⛪;පල්ලිය;ආගම|ඉදි කිරීම|කුරුසය|ක්‍රිස්තියානි|පල්ලිය
🕌;මුස්ලිම් පල්ලිය;ආගම|ඉස්ලාම්|මුස්ලිම්|මුස්ලිම් පල්ලිය
🛕;හින්දු කෝවිල;කෝවිල|හින්දු
🕍;සිනගෝගය;ආගම|දේවස්ථානය|යුදෙව්|යුදෙව්වන්|සිනගෝගය
⛩️;ෂින්ටෝ දේවස්ථානය;ආගම|ආශ්‍රමය|ෂින්ටෝ|ෂින්ටෝ දේවස්ථානය
🕋;කාබා;ආගම|ඉස්ලාම්|කාබා|මුස්ලිම්
⛲;වතුර මල්;වතුර මල|වතුර මල්
⛺;කූඩාරම;කඳවුරු බැඳීම|කූඩාරම
🌁;මීදුමින් වැසුණ;කාලගුණය|මීදුමින් වැසුණ|වීදුම
🌃;තරු සහිත රාත්‍රිය;කාලගුණය|තරු සහිත රාත්‍රිය|තරුව|රාාත්‍රිය
🏙️;නගරය;ඉදි කිරීම|නගරය
🌄;කඳුවලට ඉහළින් හිරු නැගීම;උදෑසන|කන්ද|කඳුවලට ඉහළින් හිරු නැගීම|කාලගුණය|සූර්යයා|හිරු නැගීම
🌅;හිරු නැගීම;උදෑසන|කාලගුණය|සූර්යයා|හිරු නැගීම
🌆;සන්ධ්‍යා කාලයේ නගරය;අඳුර|කාලගුණය|ගොඩනැගිල්ල|නගරය|පරිදර්ශනය|සන්ධ්‍යා කාලයේ නගරය|සන්ධ්‍යාව|සූර්යයා|හිරු බැසීම
🌇;හිරු බැසීම;අඳුර|කාලගුණය|ගොඩනැගිල්ල|සූර්යයා|හිරු බැසීම
🌉;රාත්‍රියේදී පාලම;කාලගුණය|පාලම|රාත්‍රිය|රාත්‍රියේදී පාලම
♨️;උණු දිය උල්පත්;උණු දිය උල්පත්|උණුසුම්|උල්පත්|බුබුළු දැමීම
🎠;කැරවුසල් අශ්වයා;අශ්වයා|කැරවුසල්
🛝;ක්‍රීඩා පිටියේ විනිවිදකය;ක්‍රීඩා පිටියේ විනිවිදකය|විනෝද උද්‍යානය|සෙල්ලම් කරන්න
🎡;ෆෙරිස් රෝදය;රෝදය|විනෝද උයන|ෆෙරිස්
🎢;රෝලර් කෝස්ටර්;කෝස්ටර්|රෝලර්|විනෝද උයන
💈;බාබර් පෝල්;කොණ්ඩය කැපීම|පෝල්|බාබර්
🎪;සර්කස් කූඩාරම;කූඩාරම|සර්කස්
🚂;එන්ජිම;එන්ජිම|දුම්රිය|දුම්රිය මාර්ගය|වාෂ්ප|වාහනය
🚃;දුම්රිය මෝටර් රථය;ට්‍රෑම්|ට්‍රොලි බසය|දුම්රිය|දුම්රිය මාර්ගය|දුම්රිය මෝටර් රථය|මෝටර් රථය|වාහනය|විදුලි
🚄;අධිවේගී දුම්රිය;අධිවේගී දුම්රිය|දුම්රිය|දුම්රිය මාර්ගය|වාහනය|වේගය|ෂින්කන්සන්
🚅;බුලට නාසය සහිත අධිවේගී දුම්රිය;දුම්රිය|දුම්රිය මාර්ගය|බුලට නාසය සහිත අධිවේගී දුම්රිය|බුලට්|වාහනය|වේගය|ෂින්කන්සන්
🚆;දුම්රිය;දුම්රිය|දුම්රිය මාර්ගය|වාහනය
🚇;මෙට්‍රො;දුම්රිය මාර්ගය|මෙට්‍රො|වාාහනය
🚈;සැහැල්ලු දුම්රිය;දුම්රිය මාර්ගය|වාහනය|සැහැල්ලු දුම්රිය
🚉;නැවතුම්පොළ;දුම්රිය|දුම්රිය මාර්ගය|නැවතුම්පොළ|වාහනය
🚊;ට්‍රෑම්;ට්‍රෑම්|ට්‍රොලි බසය|වාහනය
🚝;මොනොරේල්;මොනොරේල්|වාහනය
🚞;කඳු දුම්රිය;කන්ද|කඳු දුම්රිය|දුම්රිය මාර්ගය|මෝටර් රථය|වාහනය
🚋;ට්‍රෑම් කාර්;ට්‍රෑම්|ට්‍රෑම් කාර්|ට්‍රොලි බසය|මෝටර් රථය|වාහනය
🚌;බසය;බසය|වාහනය
🚍;ඉදිරියට එන බසය;ඉදිරියට එන|ඉදිරියට එන බසය|බසය|වාහනය
🚎;ට්‍රොලි බසය;ට්‍රෑම් රථය|ට්‍රොලි බසය|ට්‍රොලි රථය|බසය|වාහනය
🚐;මිනි බසය;බසය|මිනි බසය|වාහනය
🚑;ගිලන් රථය;ගිලන් රථය|වාහනය
🚒;ගිනි නිවීමේ රථය;එන්ජිම|ගිනි|ගිනි නිවීමේ රථය|ට්‍රක් රථය|වාහනය
🚓;පොලිස් මෝටර් රථය;පොලිස් මෝටර් රථය|පොලීසිය|මුර සංචාර|මෝටර් රථය|වාහනය
🚔;ඉදිරියට එන පොලිස් මෝටර් රථය;ඉදිරියට එන|ඉදිරියට එන පොලිස් මෝටර් රථය|පොලීසිය|මෝටර් රථය|වාහනය
🚕;ටැක්සිය;ටැක්සිය|වාහනය
🚖;ඉදිරියට එන ටැක්සිය;ඉදිරියට එන|ඉදිරියට එන ටැක්සිය|ටැක්සිය|වාහනය
🚗;මෝටර් රථය;මෝටර් රථය|වාහනය
🚘;ඉදිරියට එන මෝටර් රථය;ඉදිරියට එන|ඉදිරියට එන මෝටර් රථය|ඔටෝමෝබයිල්|මෝටර් රථය|වාහනය
🚙;වැඩිදියුණු කළ වාහනය;වාහනය|වැඩිදියුණු|වැඩිදියුණු කළ|වැඩිදියුණු කළ වාහනය
🛻;කැබ් රථය;කැබ් රථය|ට්‍රක් රථය|පිකප්
🚚;බෙදා හැරීමේ ට්‍රක් රථය;ට්‍රක් රථය|බෙදා හැරීම|බෙදා හැරීමේ ට්‍රක් රථය|වාහනය
🚛;ට්‍රැක්ටර් ට්‍රේලර් ලොරිය;කුඩා|ට්‍රක් රථය|ට්‍රැක්ටර් ට්‍රේලර් ලොරිය|ලොරිය|වාහනය
🚜;ට්‍රැක්ටරය;ට්‍රැක්ටරය|වාහනය
🏎️;රේසිං මෝටර් රථය;මෝටර් රථය|රේසිං|රේසිං මෝටර් රථය
🏍️;මෝටර් බයිසිකලය;මෝටර් බයිසිකලය|රේසිං
🛵;මෝටර් ස්කූටරය;මෝටර්|ස්කූටරය
🦽;අතින් කරකවන රෝද පුටුව;අතින් කරකවන රෝද පුටුව|ළඟාවිය හැකි බව
🦼;මෝටර් රෝද පුටුව;මෝටර් රෝද පුටුව|ළඟාවිය හැකි බව
🛺;ස්වයං රික්ෂෝරථය;ත්‍රීවිලය|ස්වයං රික්ෂෝරථය
🚲;බයිසිකලය;බයිසිකලය|වාහනය
🛴;පෙඩල ස්කූටරය;පෙඩල ස්කූටරය|පෙඩලය|ස්කූටරය
🛹;ස්කේට්බෝඩ්;බෝඩ්|ස්කේට්බෝඩ්
🛼;රෝද සපත්තු;රෝද|ලිස්සා යෑම|සපත්තු
🚏;බස් නැවතුම;නැවතුම|බසය|බස් නැවතුම
🛣️;මෝටර් රථ මාර්ගය;අධිවේගී|මාර්ගය|මෝටර් රථ මාර්ගය
🛤️;දුම්රිය මාර්ගය;දුම්රිය|දුම්රිය මාර්ගය
🛢️;තෙල් බැරලය;තෙල්|බැරලය
⛽;ඉන්ධන පොම්පය;ඉන්ධන|ගෑස්|පොම්පය|ස්ථානය
🛞;රෝදය;කවය|ටයර්|රෝදය|හැරෙන්න
🚨;පොලිස් මෝටර් රථයේ ආලෝක ලාම්පු;ආලෝකය|කරකැවීම|පොලිසීය|පොලිස් මෝටර් රථයේ ආලෝක ලාම්පු|බීකන|මෝටර් රථය|වාහනය
🚥;සිරස් මාර්ග තදබද ලාම්පුව;ආලෝකය|මාර්ග තදබදය|සංඥා|සිරස් මාර්ග තදබද ලාම්පුව
🚦;තිරස් මාර්ග තදබද ලාම්පුව;ආලෝකය|තිරස් මාර්ග තදබද ලාම්පුව|මාර්ග තදබදය|සංඥා
🛑;නැවතුම් ලකුණ;අට පට්ටම|නැවතුම්|ලකුණ
🚧;ඉදිකිරීම;ඉදිකිරීම|බාධකය
⚓;නැංගුරම;නැංගුරම|නැව|මෙවලම
🛟;මුදු බෝයාව;ආරක්ෂාව|ගලවා ගැනීම|ජීවිත ආරක්ෂාව|ජීවිතාරක්ෂකයා|පාවෙන|මුදු බෝයාව
⛵;නාවික බෝට්ටුව;නාවික බෝට්ටුව|නැව|මුහුද|යාත්‍රාව|ලැගුම් හල|වාහනය
🛶;ඔරුව;ඔරුව|බෝට්ටුව
🚤;වේග බෝට්ටුව;බෝට්ටුුව|වාහනය|වේග බෝට්ටුව
🛳️;මගී නැව;නැව|මගියා|මගී නැව|වාහනය
