# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
	👩🏿‍❤️‍💋‍👨🏽;ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ សម្បុរស្រអែម|បុរស|សម្បុរខ្មៅ|សម្បុរស្រអែម|ស្រ្តី
	👩🏿‍❤️‍💋‍👨🏾;ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម|ស្រ្តី
	👩🏿‍❤️‍💋‍👨🏿;ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី បុរស សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ|ស្រ្តី
👨‍❤️‍💋‍👨;ថើប: បុរស បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស|បុរស
	👨🏻‍❤️‍💋‍👨🏻;ថើប: បុរស បុរស សម្បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស|បុរស|សម្បុរស
	👨🏻‍❤️‍💋‍👨🏼;ថើប: បុរស បុរស សម្បុរស សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស សម្បុរសល្មម|បុរស|សម្បុរស|សម្បុរសល្មម
	👨🏻‍❤️‍💋‍👨🏽;ថើប: បុរស បុរស សម្បុរស សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស សម្បុរស្រអែម|បុរស|សម្បុរស|សម្បុរស្រអែម
	👨🏻‍❤️‍💋‍👨🏾;ថើប: បុរស បុរស សម្បុរស សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅល្មម|សម្បុរស
	👨🏻‍❤️‍💋‍👨🏿;ថើប: បុរស បុរស សម្បុរស សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ|សម្បុរស
	👨🏼‍❤️‍💋‍👨🏻;ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរស|បុរស|សម្បុរស|សម្បុរសល្មម
	👨🏼‍❤️‍💋‍👨🏼;ថើប: បុរស បុរស សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរសល្មម|បុរស|សម្បុរសល្មម
	👨🏼‍❤️‍💋‍👨🏽;ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរស្រអែម|បុរស|សម្បុរសល្មម|សម្បុរស្រអែម
	👨🏼‍❤️‍💋‍👨🏾;ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅល្មម|សម្បុរសល្មម
	👨🏼‍❤️‍💋‍👨🏿;ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរសល្មម សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ|សម្បុរសល្មម
	👨🏽‍❤️‍💋‍👨🏻;ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរស|បុរស|សម្បុរស|សម្បុរស្រអែម
	👨🏽‍❤️‍💋‍👨🏼;ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរសល្មម|បុរស|សម្បុរសល្មម|សម្បុរស្រអែម
	👨🏽‍❤️‍💋‍👨🏽;ថើប: បុរស បុរស សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស្រអែម|បុរស|សម្បុរស្រអែម
	👨🏽‍❤️‍💋‍👨🏾;ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម
	👨🏽‍❤️‍💋‍👨🏿;ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរស្រអែម សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ|សម្បុរស្រអែម
	👨🏾‍❤️‍💋‍👨🏻;ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរស|បុរស|សម្បុរខ្មៅល្មម|សម្បុរស
	👨🏾‍❤️‍💋‍👨🏼;ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរសល្មម|បុរស|សម្បុរខ្មៅល្មម|សម្បុរសល្មម
	👨🏾‍❤️‍💋‍👨🏽;ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរស្រអែម|បុរស|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម
	👨🏾‍❤️‍💋‍👨🏾;ថើប: បុរស បុរស សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅល្មម
	👨🏾‍❤️‍💋‍👨🏿;ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅល្មម សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម
	👨🏿‍❤️‍💋‍👨🏻;ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរស;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរស|បុរស|សម្បុរខ្មៅ|សម្បុរស
	👨🏿‍❤️‍💋‍👨🏼;ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរសល្មម|បុរស|សម្បុរខ្មៅ|សម្បុរសល្មម
	👨🏿‍❤️‍💋‍👨🏽;ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរស្រអែម|បុរស|សម្បុរខ្មៅ|សម្បុរស្រអែម
	👨🏿‍❤️‍💋‍👨🏾;ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅ សម្បុរខ្មៅល្មម|បុរស|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម
	👨🏿‍❤️‍💋‍👨🏿;ថើប: បុរស បុរស សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: បុរស បុរស សម្បុរខ្មៅ|បុរស|សម្បុរខ្មៅ
👩‍❤️‍💋‍👩;ថើប: ស្រ្តី ស្រ្តី;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី|ស្រ្តី
	👩🏻‍❤️‍💋‍👩🏻;ថើប: ស្រ្តី ស្រ្តី សម្បុរស;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស|សម្បុរស|ស្រ្តី
	👩🏻‍❤️‍💋‍👩🏼;ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរសល្មម|សម្បុរស|សម្បុរសល្មម|ស្រ្តី
	👩🏻‍❤️‍💋‍👩🏽;ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរស្រអែម|សម្បុរស|សម្បុរស្រអែម|ស្រ្តី
	👩🏻‍❤️‍💋‍👩🏾;ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|សម្បុរស|ស្រ្តី
	👩🏻‍❤️‍💋‍👩🏿;ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស សម្បុរខ្មៅ|សម្បុរខ្មៅ|សម្បុរស|ស្រ្តី
	👩🏼‍❤️‍💋‍👩🏻;ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរស|សម្បុរស|សម្បុរសល្មម|ស្រ្តី
	👩🏼‍❤️‍💋‍👩🏼;ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម|សម្បុរសល្មម|ស្រ្តី
	👩🏼‍❤️‍💋‍👩🏽;ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរស្រអែម|សម្បុរសល្មម|សម្បុរស្រអែម|ស្រ្តី
	👩🏼‍❤️‍💋‍👩🏾;ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|សម្បុរសល្មម|ស្រ្តី
	👩🏼‍❤️‍💋‍👩🏿;ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរសល្មម សម្បុរខ្មៅ|សម្បុរខ្មៅ|សម្បុរសល្មម|ស្រ្តី
	👩🏽‍❤️‍💋‍👩🏻;ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរស|សម្បុរស|សម្បុរស្រអែម|ស្រ្តី
	👩🏽‍❤️‍💋‍👩🏼;ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរសល្មម|សម្បុរសល្មម|សម្បុរស្រអែម|ស្រ្តី
	👩🏽‍❤️‍💋‍👩🏽;ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម|សម្បុរស្រអែម|ស្រ្តី
	👩🏽‍❤️‍💋‍👩🏾;ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម|ស្រ្តី
	👩🏽‍❤️‍💋‍👩🏿;ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរស្រអែម សម្បុរខ្មៅ|សម្បុរខ្មៅ|សម្បុរស្រអែម|ស្រ្តី
	👩🏾‍❤️‍💋‍👩🏻;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរស;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរស|សម្បុរខ្មៅល្មម|សម្បុរស|ស្រ្តី
	👩🏾‍❤️‍💋‍👩🏼;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរសល្មម|សម្បុរខ្មៅល្មម|សម្បុរសល្មម|ស្រ្តី
	👩🏾‍❤️‍💋‍👩🏽;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរស្រអែម|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម|ស្រ្តី
	👩🏾‍❤️‍💋‍👩🏾;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្រ្តី
	👩🏾‍❤️‍💋‍👩🏿;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅល្មម សម្បុរខ្មៅ|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម|ស្រ្តី
	👩🏿‍❤️‍💋‍👩🏻;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរស;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរស|សម្បុរខ្មៅ|សម្បុរស|ស្រ្តី
	👩🏿‍❤️‍💋‍👩🏼;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរសល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរសល្មម|សម្បុរខ្មៅ|សម្បុរសល្មម|ស្រ្តី
	👩🏿‍❤️‍💋‍👩🏽;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរស្រអែម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរស្រអែម|សម្បុរខ្មៅ|សម្បុរស្រអែម|ស្រ្តី
	👩🏿‍❤️‍💋‍👩🏾;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរខ្មៅល្មម;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ សម្បុរខ្មៅល្មម|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម|ស្រ្តី
	👩🏿‍❤️‍💋‍👩🏿;ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ;គូស្នេហ៍|ថើប|ថើប: ស្រ្តី ស្រ្តី សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្រ្តី
💑;បេះដូងនៅចន្លោះគូស្នេហ៍;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|ស្នេហា
	💑🏻;បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរស;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរស|សម្បុរស|ស្នេហា
	💑🏼;បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរសល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរសល្មម|សម្បុរសល្មម|ស្នេហា
	💑🏽;បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរស្រអែម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្នេហា
	💑🏾;បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរខ្មៅល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្នេហា
	💑🏿;បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរខ្មៅ;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្នេហា
	🧑🏻‍❤️‍🧑🏼;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរសល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរសល្មម|មនុស្សធំ|សម្បុរស|សម្បុរសល្មម|ស្នេហា
	🧑🏻‍❤️‍🧑🏽;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរស្រអែម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរស្រអែម|មនុស្សធំ|សម្បុរស|សម្បុរស្រអែម|ស្នេហា
	🧑🏻‍❤️‍🧑🏾;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរខ្មៅល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរខ្មៅល្មម|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរស|ស្នេហា
	🧑🏻‍❤️‍🧑🏿;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរខ្មៅ;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស សម្បុរខ្មៅ|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរស|ស្នេហា
	🧑🏼‍❤️‍🧑🏻;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរស;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរស|មនុស្សធំ|សម្បុរស|សម្បុរសល្មម|ស្នេហា
	🧑🏼‍❤️‍🧑🏽;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរស្រអែម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរស្រអែម|មនុស្សធំ|សម្បុរសល្មម|សម្បុរស្រអែម|ស្នេហា
	🧑🏼‍❤️‍🧑🏾;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរខ្មៅល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរខ្មៅល្មម|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរសល្មម|ស្នេហា
	🧑🏼‍❤️‍🧑🏿;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរខ្មៅ;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរសល្មម សម្បុរខ្មៅ|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរសល្មម|ស្នេហា
	🧑🏽‍❤️‍🧑🏻;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរស;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរស|មនុស្សធំ|សម្បុរស|សម្បុរស្រអែម|ស្នេហា
	🧑🏽‍❤️‍🧑🏼;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរសល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរសល្មម|មនុស្សធំ|សម្បុរសល្មម|សម្បុរស្រអែម|ស្នេហា
	🧑🏽‍❤️‍🧑🏾;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរខ្មៅល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរខ្មៅល្មម|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម|ស្នេហា
	🧑🏽‍❤️‍🧑🏿;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរខ្មៅ;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរស្រអែម សម្បុរខ្មៅ|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរស្រអែម|ស្នេហា
	🧑🏾‍❤️‍🧑🏻;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរស;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរស|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរស|ស្នេហា
	🧑🏾‍❤️‍🧑🏼;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរសល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរសល្មម|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរសល្មម|ស្នេហា
	🧑🏾‍❤️‍🧑🏽;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរស្រអែម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរស្រអែម|មនុស្សធំ|សម្បុរខ្មៅល្មម|សម្បុរស្រអែម|ស្នេហា
	🧑🏾‍❤️‍🧑🏿;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរខ្មៅ;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅល្មម សម្បុរខ្មៅ|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម|ស្នេហា
	🧑🏿‍❤️‍🧑🏻;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរស;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរស|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរស|ស្នេហា
	🧑🏿‍❤️‍🧑🏼;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរសល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរសល្មម|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរសល្មម|ស្នេហា
	🧑🏿‍❤️‍🧑🏽;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរស្រអែម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរស្រអែម|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរស្រអែម|ស្នេហា
	🧑🏿‍❤️‍🧑🏾;បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរខ្មៅល្មម;គូស្នេហ៍|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: មនុស្សធំ មនុស្សធំ សម្បុរខ្មៅ សម្បុរខ្មៅល្មម|មនុស្សធំ|សម្បុរខ្មៅ|សម្បុរខ្មៅល្មម|ស្នេហា
👩‍❤️‍👨;បេះដូងនៅចន្លោះគូស្នេហ៍: ស្រ្តី បុរស;គូស្នេហ៍|បុរស|បេះដូង|បេះដូងនៅចន្លោះគូស្នេហ៍|បេះដូងនៅចន្លោះគូស្នេហ៍: ស្រ្តី បុរស|ស្នេហា|ស្រ្តី
