# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
👁️‍🗨️;ភ្នែកក្នុងពពុះ;ពពុះពាក្យនិយាយ|ភ្នែក|ភ្នែកក្នុងពពុះ|សាក្សី
🗨️;រង្វង់បង្ហាញពាក្យកំពុងនិយាយខាងឆ្វេង;ឆ្វេង|និយាយ|រង្វង់បង្ហាញពាក្យកំពុងនិយាយខាងឆ្វេង
🗯️;រង្វង់អង្កាញ់បង្ហាញពាក្យកំពុងនិយាយខាងស្តាំ;ខាងស្តាំ|និយាយ|រង្វង់អង្កាញ់បង្ហាញពាក្យកំពុងនិយាយខាងស្តាំ
💭;ពពកបង្ហាញពាក្យកំពុងគិត;គិត|និយាយ|ពពក|ពពកបង្ហាញពាក្យកំពុងគិត
💤;អក្សរ Z បី;គេង|ដេក|ស្រមុក|អក្សរ Z បី

[people_body]
👋;បក់ដៃ;ដៃ|បក់|បក់ដៃ
	👋🏻;បក់ដៃ: សម្បុរស;ដៃ|បក់|បក់ដៃ|បក់ដៃ: សម្បុរស|សម្បុរស
	👋🏼;បក់ដៃ: សម្បុរសល្មម;ដៃ|បក់|បក់ដៃ|បក់ដៃ: សម្បុរសល្មម|សម្បុរសល្មម
	👋🏽;បក់ដៃ: សម្បុរស្រអែម;ដៃ|បក់|បក់ដៃ|បក់ដៃ: សម្បុរស្រអែម|សម្បុរស្រអែម
	👋🏾;បក់ដៃ: សម្បុរខ្មៅល្មម;ដៃ|បក់|បក់ដៃ|បក់ដៃ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	👋🏿;បក់ដៃ: សម្បុរខ្មៅ;ដៃ|បក់|បក់ដៃ|បក់ដៃ: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🤚;ខ្នងដៃលាឡើង;ខ្នងដៃ|ខ្នងដៃលាឡើង|លើកឡើង
	🤚🏻;ខ្នងដៃលាឡើង: សម្បុរស;ខ្នងដៃ|ខ្នងដៃលាឡើង|ខ្នងដៃលាឡើង: សម្បុរស|លើកឡើង|សម្បុរស
	🤚🏼;ខ្នងដៃលាឡើង: សម្បុរសល្មម;ខ្នងដៃ|ខ្នងដៃលាឡើង|ខ្នងដៃលាឡើង: សម្បុរសល្មម|លើកឡើង|សម្បុរសល្មម
	🤚🏽;ខ្នងដៃលាឡើង: សម្បុរស្រអែម;ខ្នងដៃ|ខ្នងដៃលាឡើង|ខ្នងដៃលាឡើង: សម្បុរស្រអែម|លើកឡើង|សម្បុរស្រអែម
	🤚🏾;ខ្នងដៃលាឡើង: សម្បុរខ្មៅល្មម;ខ្នងដៃ|ខ្នងដៃលាឡើង|ខ្នងដៃលាឡើង: សម្បុរខ្មៅល្មម|លើកឡើង|សម្បុរខ្មៅល្មម
	🤚🏿;ខ្នងដៃលាឡើង: សម្បុរខ្មៅ;ខ្នងដៃ|ខ្នងដៃលាឡើង|ខ្នងដៃលាឡើង: សម្បុរខ្មៅ|លើកឡើង|សម្បុរខ្មៅ
🖐️;លើកម្រាមដៃប្រាំ;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ
	🖐🏻;លើកម្រាមដៃប្រាំ: សម្បុរស;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ|លើកម្រាមដៃប្រាំ: សម្បុរស|សម្បុរស
	🖐🏼;លើកម្រាមដៃប្រាំ: សម្បុរសល្មម;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ|លើកម្រាមដៃប្រាំ: សម្បុរសល្មម|សម្បុរសល្មម
	🖐🏽;លើកម្រាមដៃប្រាំ: សម្បុរស្រអែម;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ|លើកម្រាមដៃប្រាំ: សម្បុរស្រអែម|សម្បុរស្រអែម
