# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinnikende gesig;gesig|grinnik|grinnikende gesig
🚂;lokomotief;lokomotief|spoor|stoom|trein|voertuig
🚃;treintrok;elektries|motor|trein|treinspoor|treintrok|trem
🚄;sneltrein;snel|sneltrein|spoed|spoor|trein|voertuig
🚅;supersneltrein;snel|spoed|spoor|supersneltrein|trein|voertuig
🚆;trein;spoor|trein|voertuig
🚇;moltrein;mol|moltrein|ondergronds|trein|voertuig
🚈;smalspoortrein;smalspoortrein|spoor|trein|voertuig
🚉;stasie;spoor|stasie|trein|voertuig
🚊;trem;spoor|trem|voertuig
🚝;enkelspoortrein;enkelspoortrein|spoor|trein|voertuig
🚞;bergtreinspoor;berg|bergtreinspoor|spoor|trein|voertuig
🚋;tremwa;elektries|trem|tremwa|voertuig|wa
🚌;bus;bus|voertuig
🚍;aankomende bus;aankomend|aankomende bus|bus|voertuig
🚎;trembus;bus|trem|trembus|voertuig
🚐;minibus;bus|minibus|taxi|voertuig
🚑;ambulans;ambulans|hospitaal|voertuig
🚒;brandweerwa;brand|brandweer|brandweerwa|voertuig|wa
🚓;polisiemotor;kar|motor|polisie|polisiemotor|voertuig
🚔;aankomende polisiemotor;aankomend|aankomende polisiemotor|kar|motor|polisie|voertuig
🚕;taxi;taxi|voertuig
🚖;aankomende taxi;aankomend|aankomende taxi|taxi|voertuig
🚗;motor;kar|motor|voertuig
🚘;aankomende motor;aankomend|aankomende motor|kar|motor|voertuig
🚙;ontspanningvoertuig;motor|ontspanning|ontspanningvoertuig|voertuig
🛻;bakkie;bakkie|kap|vrag
🚚;afleweringswa;aflewering|afleweringswa|voertuig|vragmotor|wa
🚛;gelede voertuig;gelede voertuig|trok|voertuig|vragmotor
🚜;trekker;plaas|trekker|voertuig
🏎️;resiesmotor;kar|motor|resies|resiesmotor|wedren
🏍️;motorfiets;motorfiets|wedren
🛵;bromponie;bromponie|motorfiets|skoeter
🦽;handgedrewe rolstoel;handgedrewe rolstoel|toeganklikheid
🦼;motoraangedrewe rolstoel;motoraangedrewe rolstoel|toeganklikheid
🛺;outoriksja;outoriksja|toek-toek
🚲;fiets;fiets|voertuig
🛴;skopfiets;skoeter|skopfiets
🛹;skaatsplank;skaatsplank
🛼;Rolskaats;Rolskaats|skaats
🚏;bushalte;bus|bushalte|halte|stop
🛣️;snelweg;hoofweg|pad|snelweg
🛤️;treinspoor;spoor|trein|treinspoor
🛢️;oliedrom;blik|drom|olie|oliedrom
⛽;petrolpomp;brandstof|petrol|petrolpomp|pomp|stasie
🛞;wiel;draai|sirkel|wiel
🚨;polisiemotor se lig;flits|lig|motor|polisie|polisiemotor se lig|voertuig
🚥;horisontale verkeerslig;horisontale verkeerslig|lig|teken|verkeer
🚦;vertikale verkeerslig;lig|teken|verkeer|vertikale verkeerslig
🛑;stopteken;agthoekig|stop|stopteken
🚧;konstruksieteken;konstruksieteken|teken|versperring
⚓;anker;anker|skip
🛟;boei;boei|dryf|lewensredder|redding|ringboei|veiligheid
⛵;seilboot;boot|jag|see|seil|seilboot|voertuig
🛶;kano;boot|kano
🚤;snelboot;boot|snelboot|voertuig
🛳️;passasierskip;passasier|passasierskip|see|skip|vaar|voertuig
⛴️;veerboot;boot|pont|veerboot
🛥️;motorboot;boot|motorboot|voertuig
🚢;skip;boot|skip|voertuig
✈️;vliegtuig;vliegtuig|voertuig
🛩️;klein vliegtuig;klein vliegtuig|vliegtuig|voertuig
🛫;vliegtuig styg op;lughawe|opstyg|vertrek|vliegtuig|vliegtuig styg op|voertuig
🛬;vliegtuig land;aankoms|land|lughawe|vliegtuig|voertuig
🪂;valskerm;hangsweef|sweefseil|valskerm|valskermspring
💺;sitplek;sitplek|stoel
🚁;helikopter;helikopter|voertuig
🚟;hangspoor;hang|hangspoor|spoor|voertuig
🚠;bergkabelspoor;berg|bergkabelspoor|hang|kabel|spoor|voertuig
🚡;sweefspoor;hang|kabel|spoor|sweef|sweefspoor|voertuig
🛰️;satelliet;ruimte|satelliet|voertuig
🚀;vuurpyl;ruimte|voertuig|vuurpyl
🛸;vlieënde piering;vlieënde piering|VVV
🛎️;klokkie vir hoteljoggie;hotel|joggie|klok|klokkie vir hoteljoggie
🧳;bagasie;bagasie|pak|reis
⌛;leë uurglas;leë uurglas|sand|tydmeter|uurglas
⏳;uurglas met sand wat uitloop;sand|tyd|uurglas|uurglas met sand wat uitloop|val
⌚;horlosie;horlosie|tyd
⏰;wekker;klok|wekker
⏱️;stophorlosie;horlosie|klok|stophorlosie|tyd
⏲️;afteller;aftel|afteller|horlosie|klok|tyd
🕰️;kaggelklok;horlosie|kaggelklok|klok|tyd
🕛;twaalfuur;00|12|12:00|horlosie|twaalf|twaalfuur|uur
🕧;halfeen;12|12:30|30|een|half|halfeen|horlosie
🕐;eenuur;00|1|1:00|een|eenuur|klok|uur
🕜;halftwee;1|1:30|dertig|halftwee|klok
🕑;tweeuur;00|2|2:00|klok|twee|tweeuur|uur
🕝;halfdrie;2|2:30|dertig|halfdrie|klok|twee
🕒;drieuur;00|3|3:00|drie|drieuur|klok|uur
🕞;halfvier;3|3:30|dertig|drie|halfvier|klok
🕓;vieruur;00|4|4:00|klok|uur|vier|vieruur
🕟;halfvyf;4|4:30|dertig|halfvyf|klok|vier
🕔;vyfuur;00|5|5:00|klok|uur|vyf|vyfuur
🕠;halfses;5|5:30|dertig|halfses|klok|vyf
🕕;sesuur;00|6|6:00|klok|ses|sesuur|uur
🕡;halfsewe;6|6:30|dertig|halfsewe|klok|ses
🕖;seweuur;00|7|7:00|klok|sewe|seweuur|uur
🕢;halfagt;7|7:30|dertig|halfagt|klok|sewe
🕗;agtuur;00|8|8:00|agt|agtuur|klok|uur
🕣;halfnege;8|8:30|agt|dertig|halfnege|klok
🕘;negeuur;00|9|9:00|klok|nege|negeuur|uur
🕤;halftien;9|9:30|dertig|halftien|klok|nege
🕙;tienuur;00|10|10:00|klok|tien|tienuur|uur
🕥;halfelf;10|10:30|30|elf|half|halfelf|klok
🕚;elfuur;00|11|11:00|elf|elfuur|klok|uur
🕦;halftwaalf;11|11:30|dertig|elf|halftwaalf|klok
🌑;nuwemaan;donker|maan|nuwe|nuwemaan|ruimte|weer
🌒;groeiende sekelmaan;groei|groeiende sekelmaan|maan|ruimte|sekel|weer
🌓;eerstekwartiermaan;eerste|eerstekwartiermaan|kwartier|maan|ruimte|weer
🌔;groeiende bolmaan;bol|groei|groeiende bolmaan|maan|ruimte|weer
🌕;volmaan;maan|ruimte|vol|volmaan|weer
🌖;afnemende bolmaan;afneem|afnemende bolmaan|bol|maan|ruimte|weer
🌗;laastekwartiermaan;kwartier|laaste|laastekwartiermaan|maan|ruimte|weer
🌘;afnemende sekelmaan;afneem|afnemende sekelmaan|maan|ruimte|sekel|weer
🌙;sekelmaan;maan|ruimte|sekel|sekelmaan|weer
🌚;nuwemaangesig;gesig|maan|nuwe|nuwemaangesig|ruimte|weer
🌛;eerstekwartiermaan met gesig;eerste|eerstekwartiermaan met gesig|gesig|kwartier|maan|ruimte
🌜;laastekwartiermaan met gesig;gesig|kwartier|laaste|laastekwartiermaan met gesig|maan|ruimte
