# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;syrtarýan ýüz;syrtarma|syrtarýan ýüz|ýüz
	👩🏾‍❤️‍👩🏼;ýürekli jübüt: zenan, zenan, orta goýy deri reňki, orta açyk deri reňki;jübüt|orta açyk deri reňki|orta goýy deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, orta goýy deri reňki, orta açyk deri reňki|zenan
	👩🏾‍❤️‍👩🏽;ýürekli jübüt: zenan, zenan, orta goýy deri reňki, orta deri reňki;jübüt|orta deri reňki|orta goýy deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, orta goýy deri reňki, orta deri reňki|zenan
	👩🏾‍❤️‍👩🏾;ýürekli jübüt: zenan, zenan, orta goýy deri reňki;jübüt|orta goýy deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, orta goýy deri reňki|zenan
	👩🏾‍❤️‍👩🏿;ýürekli jübüt: zenan, zenan, orta goýy deri reňki, goýy deri reňki;goýy deri reňki|jübüt|orta goýy deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, orta goýy deri reňki, goýy deri reňki|zenan
	👩🏿‍❤️‍👩🏻;ýürekli jübüt: zenan, zenan, goýy deri reňki, açyk deri reňki;açyk deri reňki|goýy deri reňki|jübüt|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, goýy deri reňki, açyk deri reňki|zenan
	👩🏿‍❤️‍👩🏼;ýürekli jübüt: zenan, zenan, goýy deri reňki, orta açyk deri reňki;goýy deri reňki|jübüt|orta açyk deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, goýy deri reňki, orta açyk deri reňki|zenan
	👩🏿‍❤️‍👩🏽;ýürekli jübüt: zenan, zenan, goýy deri reňki, orta deri reňki;goýy deri reňki|jübüt|orta deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, goýy deri reňki, orta deri reňki|zenan
	👩🏿‍❤️‍👩🏾;ýürekli jübüt: zenan, zenan, goýy deri reňki, orta goýy deri reňki;goýy deri reňki|jübüt|orta goýy deri reňki|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, goýy deri reňki, orta goýy deri reňki|zenan
	👩🏿‍❤️‍👩🏿;ýürekli jübüt: zenan, zenan, goýy deri reňki;goýy deri reňki|jübüt|söýgi|ýürekli jübüt|ýürekli jübüt: zenan, zenan, goýy deri reňki|zenan
👨‍👩‍👦;maşgala: erkek, zenan, oglan;erkek|maşgala|maşgala: erkek, zenan, oglan|oglan|zenan
👨‍👩‍👧;maşgala: erkek, zenan, gyz;erkek|gyz|maşgala|maşgala: erkek, zenan, gyz|zenan
👨‍👩‍👧‍👦;maşgala: erkek, zenan, gyz, oglan;erkek|gyz|maşgala|maşgala: erkek, zenan, gyz, oglan|oglan|zenan
👨‍👩‍👦‍👦;maşgala: erkek, zenan, oglan, oglan;erkek|maşgala|maşgala: erkek, zenan, oglan, oglan|oglan|zenan
👨‍👩‍👧‍👧;maşgala: erkek, zenan, gyz, gyz;erkek|gyz|maşgala|maşgala: erkek, zenan, gyz, gyz|zenan
👨‍👨‍👦;maşgala: erkek, erkek, oglan;erkek|maşgala|maşgala: erkek, erkek, oglan|oglan
👨‍👨‍👧;maşgala: erkek, erkek, gyz;erkek|gyz|maşgala|maşgala: erkek, erkek, gyz
👨‍👨‍👧‍👦;maşgala: erkek, erkek, gyz, oglan;erkek|gyz|maşgala|maşgala: erkek, erkek, gyz, oglan|oglan
👨‍👨‍👦‍👦;maşgala: erkek, erkek, oglan, oglan;erkek|maşgala|maşgala: erkek, erkek, oglan, oglan|oglan
👨‍👨‍👧‍👧;maşgala: erkek, erkek, gyz, gyz;erkek|gyz|maşgala|maşgala: erkek, erkek, gyz, gyz
👩‍👩‍👦;maşgala: zenan, zenan, oglan;maşgala|maşgala: zenan, zenan, oglan|oglan|zenan
👩‍👩‍👧;maşgala: zenan, zenan, gyz;gyz|maşgala|maşgala: zenan, zenan, gyz|zenan
👩‍👩‍👧‍👦;maşgala: zenan, zenan, gyz, oglan;gyz|maşgala|maşgala: zenan, zenan, gyz, oglan|oglan|zenan
👩‍👩‍👦‍👦;maşgala: zenan, zenan, oglan, oglan;maşgala|maşgala: zenan, zenan, oglan, oglan|oglan|zenan
👩‍👩‍👧‍👧;maşgala: zenan, zenan, gyz, gyz;gyz|maşgala|maşgala: zenan, zenan, gyz, gyz|zenan
👨‍👦;maşgala: erkek, oglan;erkek|maşgala|maşgala: erkek, oglan|oglan
👨‍👦‍👦;maşgala: erkek, oglan, oglan;erkek|maşgala|maşgala: erkek, oglan, oglan|oglan
👨‍👧;maşgala: erkek, gyz;erkek|gyz|maşgala|maşgala: erkek, gyz
👨‍👧‍👦;maşgala: erkek, gyz, oglan;erkek|gyz|maşgala|maşgala: erkek, gyz, oglan|oglan
👨‍👧‍👧;maşgala: erkek, gyz, gyz;erkek|gyz|maşgala|maşgala: erkek, gyz, gyz
👩‍👦;maşgala: zenan, oglan;maşgala|maşgala: zenan, oglan|oglan|zenan
👩‍👦‍👦;maşgala: zenan, oglan, oglan;maşgala|maşgala: zenan, oglan, oglan|oglan|zenan
👩‍👧;maşgala: zenan, gyz;gyz|maşgala|maşgala: zenan, gyz|zenan
👩‍👧‍👦;maşgala: zenan, gyz, oglan;gyz|maşgala|maşgala: zenan, gyz, oglan|oglan|zenan
👩‍👧‍👧;maşgala: zenan, gyz, gyz;gyz|maşgala|maşgala: zenan, gyz, gyz|zenan
🗣️;gürleýän kelle;gürlemek|gürleýän|kelle|sudur|ýüz
👤;sudury görünýän heýkel;býust|sudur|sudury görünýän heýkel
👥;sudury görünýän heýkeller;býust|sudur|sudury görünýän heýkeller
🫂;gujaklaşýan adamlar;gujaklamak|gujaklaşýan adamlar|sag bol|sagbolsun|salam
👪;maşgala;maşgala
🧑‍🧑‍🧒;maşgala: uly, uly, çaga;çaga|maşgala: uly|maşgala: uly, uly, çaga|uly
🧑‍🧑‍🧒‍🧒;maşgala: uly, uly, çaga, çaga;çaga|maşgala: uly|maşgala: uly, uly, çaga, çaga|uly
🧑‍🧒;maşgala: uly, çaga;çaga|maşgala: uly|maşgala: uly, çaga
🧑‍🧒‍🧒;maşgala: uly, çaga, çaga;çaga|maşgala: uly|maşgala: uly, çaga, çaga
