# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	🧑🏻‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧑🏼‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	🧑🏽‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏾‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏿‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🧑‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏻‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏼‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏽‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏾‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏿‍🦼‍➡️;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
👨‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏻‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏼‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏽‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏾‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏿‍🦼;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
👨‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏻‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏼‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏽‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏾‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👨🏿‍🦼‍➡️;ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
👩‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏻‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏼‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏽‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏾‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏿‍🦼;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
👩‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏻‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏼‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏽‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏾‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
	👩🏿‍🦼‍➡️;ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎦᏆᏙᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ
🧑‍🦽;ᏴᏫ ᎦᏆᏘᏗ ᎦᏍᎩᎶ ᎬᏗ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎦᏆᏘᏗ ᎦᏍᎩᎶ ᎬᏗ
	🧑🏻‍🦽;ᏴᏫ ᎦᏆᏘᏗ ᎦᏍᎩᎶ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎦᏆᏘᏗ ᎦᏍᎩᎶ ᎬᏗ|ᏴᏫ ᎦᏆᏘᏗ ᎦᏍᎩᎶ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
