# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
🫧;көбүктөр;көбүк|көбүктөр|самын|суу астында|таза
🪥;тиш щётка;тиш щётка
🧽;губка;губка|соргуч|тазалоо|тешиктүү
🧯;өрт өчүргүч;басуу|өрт|өрт өчүргүч|өчүрүү
🛒;дүкөн арабасы;араба|дүкөн арабасы|дүкөнгө баруу
🚬;чылым чегүү;чегүү|чылым чегүү
⚰️;гроб;гроб|өлүм
🪦;мүрзө ташы;мүрзө ташы
⚱️;көмүү урнасы;көмүү|көмүү урнасы|өлүм|урна
🧿;көз мончок;коргоо|көз мончок|көз тийүү|мончок|назар түшүү|тумар
🪬;Хамса;амулет|кол|коргоо|Марьям|Фатьма|Хамса
🗿;моаи;бет|моаи
🪧;афиша;афиша
🪪;идентификациондук карта;ID|жеке дайындар|идентификациондук карта|коопсуздук|лицензия

[symbols]
🏧;банкомат белгиси;банк|банкомат|банкомат белгиси
🚮;таштандыга салуу белгиси;куту|таштанды|таштандыга салуу белгиси
🚰;иче турган суу;ич|иче турган суу|суу
♿;майыптардын арабасы;майып|майыптардын арабасы
🚹;эркектердин дааратканасы;даараткана|эркек|эркектердин дааратканасы
🚺;аялдардын дааратканасы;аял|аялдардын дааратканасы|даараткана
🚻;даараткана;ажааткана|даараткана
🚼;бала символу;бала|бала символу
🚾;даараткана белгиси;даараткана|даараткана белгиси|суу
🛂;паспортту текшерүү;паспорт|паспортту текшерүү|текшерүү
🛃;бажы салыгы;бажы|бажы салыгы
🛄;багажды алуу;алуу|багаж|багажды алуу
🛅;калтырылган жүк;багаж|бекитүү|калтырылган жүк
⚠️;эскертүү;эскертүү
🚸;жолдон балдар өтөт;бала|жолдон балдар өтөт|жөө|өтүү
⛔;кирүүгө болбойт;жок|кирүү|кирүүгө болбойт|тыюу салынган
🚫;тыюу салынган;жок|кирүү|тыюу салынган
🚳;велосипедке уруксат жок;велосипед|велосипедке уруксат жок|жок|тыюу салынган|унаа
🚭;чылым чегүүгө болбойт;жок|тыюу салынган|чылым чегүү|чылым чегүүгө болбойт
🚯;булгабагыла;булгабагыла|жок|таштанды|тыюу салынган
🚱;ичкенге жараксыз суу;ичкенге болбойт|ичкенге жараксыз суу|суу
🚷;жөө өткөнгө болбойт;жок|жөө|жөө өткөнгө болбойт|тыюу салынган
📵;мобилдик телефонду өчүр;мобилдик|мобилдик телефонду өчүр|телефон|тыюу салынат|уюлдук
🔞;он сегиз жашка чейинкилерге уруксат жок;18|курактык чектөө|он сегиз|он сегиз жашка чейинкилерге уруксат жок|тыюу салынат
☢️;раидоактивдүү;белги|радиоактивдүү|раидоактивдүү
☣️;биологиялык коркунуч;белги|биологиялык коркунуч
⬆️;өйдө караган жебе;багыт|жебе|өйдө караган жебе|түндүк
↗️;өйдө оң жакты караган жебе;багыт|жебе|өйдө оң жакты караган жебе|түндүк-чыгыш
➡️;оң жакты караган жебе;багыт|жебе|оң жакты караган жебе|чыгыш
↘️;төмөн оң жакты караган жебе;багыт|жебе|төмөн оң жакты караган жебе|түштүк-чыгыш
⬇️;төмөн караган жебе;багыт|жебе|төмөн|төмөн караган жебе|түштүк
↙️;төмөн сол жакты караган жебе;багыт|жебе|төмөн сол жакты караган жебе|түштүк-батыш
⬅️;сол жакты караган жебе;багыт|батыш|жебе|сол жакты караган жебе
↖️;өйдө сол жакты караган жебе;багыт|жебе|өйдө сол жакты караган жебе|түндүк-батыш
↕️;өйдө-төмөн караган жебе;жебе|өйдө-төмөн караган жебе
↔️;оңго-солго караган жебе;жебе|оңго-солго караган жебе
↩️;оңдон солго ийилген жебе;жебе|оңдон солго ийилген жебе
↪️;солдон оңго ийилген жебе;жебе|солдон оңго ийилген жебе
⤴️;оңдон өйдө ийилген жебе;жебе|оңдон өйдө ийилген жебе
⤵️;оңдон төмөн ийилген жебе;жебе|оңдон төмөн ийилген жебе
🔃;саат жебеси менен тик турган жебелер;жебе|саат жебеси|саат жебеси менен тик турган жебелер
🔄;саат жебесине каршы жебелер;жебе|саат жебесине каршы|саат жебесине каршы жебелер
🔙;артка жебеси;артка|артка жебеси|жебе
🔚;аягы жебеси;аягы|аягы жебеси|жебе
🔛;күйүк! жебеси;белги|жебе|күйүк! жебеси
🔜;жакында жебеси;жакында|жакында жебеси|жебе
🔝;башында жебеси;башы|башында жебеси|жебе|өйдө
🛐;ыйык жер;дин|ыйык|ыйык жер
⚛️;атом символу;атесит|атом|атом символу
🕉️;ом;дин|ом|хинди
✡️;давид жылдызы;давид|давид жылдызы|дин|жөөт|жылдыз
☸️;дхарма дөңгөлөгү;буддист|дин|дхарма|дхарма дөңгөлөгү
☯️;Инь-ян;дао|дин|инь|Инь-ян|ян
✝️;латын крести;дин|крест|латын крести|христиан
☦️;ортодокс крести;дин|крест|ортодокс крести|христиан
☪️;ай жана жылдыз;ай жана жылдыз|дин|ислам|мусулман
☮️;тынчтыктын символу;тынчтык|тынчтыктын символу
🕎;менора;дин|менора|шам койгуч
🔯;чекиттүү алты жылдыз;жылдыз|тагдыр|чекиттүү алты жылдыз
🪯;кханда (Сикх белгиси);дин|кханда (Сикх белгиси)|Сикх
♈;кой жылдызы;зодиак|кой|кой жылдызы
♉;букачар;бука|букачар|зодиак|өгүз
♊;эгиздер;зодиак|эгиздер
♋;бөйөн жылдызы;бөйөн|бөйөн жылдызы|зодиак
♌;арстан;арстан|зодиак
♍;бийкеч;бийкеч|зодиак
♎;тараза жылдызы;адилеттик|зодиак|тараза|тараза жылдызы
♏;чаян жылдызы;зодиак|чаян|чаян жылдызы
♐;жаачы;жаачы|зодиак
♑;текечер;зодиак|текечер|эчки
♒;суупери;зодиак|суу|суупери
♓;балыктар;балык|балыктар|зодиак
⛎;жыланчы;балык|жыланчы|зодиак
🔀;тректерди аралаштыруу баскычы;жебе|кайчылаш|тректерди аралаштыруу баскычы
🔁;кайталоо баскычы;жебе|кайталоо|кайталоо баскычы
🔂;жалгыз кайталоо баскычы;бир жолу|жалгыз кайталоо баскычы|жебе
▶️;ойнотуу баскычы;жебе|ойнотуу|ойнотуу баскычы
⏩;алдыга түрүү баскычы;алдыга|алдыга түрүү баскычы|жебе|түр
⏭️;кийинки трек баскычы;жебе|кийинки көшөгө|кийинки трек баскычы|трек
⏯️;ойнотуу же тындыруу баскычы;ойнот|ойнотуу же тындыруу баскычы|оң|тындыр
◀️;артка баскычы;артка|артка баскычы|жебе|солго
⏪;артка түрдүрүү баскычы;артка түр|артка түрдүрүү баскычы|жебе
⏮️;мурунку трек баскычы;жебе|мурунку көшөгө|мурунку трек баскычы|трек
🔼;өйдө баскычы;баскыч|жебе|кызыл|өйдө баскычы
⏫;өйдө түрдүрүү баскычы;жебе|өйдө|өйдө түрдүрүү баскычы
🔽;төмөн баскычы;баскыч|жебе|кызыл|төмөн|төмөн баскычы
⏬;төмөн түрдүрүү баскычы;жебе|төмөн|төмөн түрдүрүү баскычы
⏸️;тындыруу баскычы;вертикалдуу|тындыруу|тындыруу баскычы
⏹️;токтотуу баскычы;токтотуу|токтотуу баскычы|чарчы
⏺️;жаздыруу баскычы;жаздыруу|жаздыруу баскычы|тегерек
⏏️;чыгаруу баскычы;чыгаруу|чыгаруу баскычы
🎦;кинотеатр;камера|кинотеатр|тасма
🔅;бүдөмүктөтүү баскычы;бүдөмүк|бүдөмүктөтүү баскычы|жарыктык|төмөн
🔆;жарык баскычы;жарык|жарык баскычы|жарыктык
📶;антенна тилкелери;антенна|антенна тилкелери|мобилдик|телефон|уюлдук
🛜;зымсыз;зымсыз|интернет|компьютер|тармак
📳;титирөө режими;дирилдөө|мобилдик|режим|телефон|титирөө режими|уюлдук
📴;мобилдик телефон өчүк;мобилдик|өчүк|телефон|уюлдук
♀️;аял белгиси;аял|аял белгиси
♂️;эркек белгиси;эркек|эркек белгиси
⚧️;трансгендер белгиси;трансгендер белгиси
✖️;көбөйтүү;×|x|белги|жокко чыгаруу|көбөйтүү
➕;плюс;+|белги|математика|плюс
➖;минус;-|−|белги|математика|минус
➗;бөлүү;÷|белги|бөлүү|математика
🟰;так барабар белгиси;так барабар белгиси
♾️;чексиз;аалам|түбөлүк|чексиз|чектелбеген
‼️;кош илеп белгиси;белги|илеп|кош илеп белгиси|пунктуация
⁉️;суроолу илеп белгиси;белги|илеп|пунктуация|суроолу|суроолу илеп белгиси
❓;кызыл суроо белгиси;?|белги|кызыл суроо белгиси|пунктуация|суроо|суроо белгиси
❔;ак суроо белгиси;ак суроо белгиси|белги|пунктуация|суроо
❕;ак илеп белгиси;ак илеп белгиси|белги|илеп|пунктуация
❗;кызыл илеп белгиси;!|белги|илеп|илеп белгиси|кызыл илеп белгиси|пунктуация
〰️;толкундуу сызыкча;пунктуация|сызыкча|толкундуу
💱;акча алмаштыруу;акча|алмаштыруу|валюта
💲;жоон доллар белгиси;акча|валюта|доллар|жоон доллар белгиси
⚕️;эскулап белгиси;дары-дармек|эскулап|эскулап белгиси
♻️;кайра иштетүү символу;кайра иштетүү|кайра иштетүү символу
⚜️;геральд лилиясы;геральд лилиясы
🔱;үч тиштүү эмблема;кеме|курал|үч тиштүү эмблема|эмблема
📛;ысым бейджиги;бейджик|ысым|ысым бейджиги
🔰;жапончочо үйрөнчүктөр символу;жалбырак|жапончо|жапончочо үйрөнчүктөр символу|жашыл|үйрөнчүк
⭕;жоон, ири тегерек;жоон|жоон, ири тегерек|ири тегерек|тегерек
✅;ак «туура» белгиси;ак «туура» белгиси|ак «чымчыкча» белгиси|белги|чымчыкча
☑️;«чымчыкча» белгиси менен кутуча;«туура» белгиси менен кутуча|«чымчыкча» белгиси менен кутуча|белги|кутуча
✔️;жоон «туура» белгиси;белги|жоон «туура» белгиси|жоон «чымчыкча» белгиси
❌;кайчылаш белгиси;белги|жокко чыгар|кайчылаш белгиси|көбөйтүү
❎;кайчылаш белги баскычы;белги|кайчылаш белги баскычы|чарчы
➰;тармал кайчылаш;кайчылаш|тармал
➿;кош тармал кайчылаш;кош|кош тармал кайчылаш|тармал
〽️;өзгөртүү белгиси;белги|өзгөртүү|өзгөртүү белгиси
✳️;сегиз жылдыз;жылдызча|сегиз жылдыз
✴️;төрт жылдыз;жылдыз|төрт жылдыз
❇️;жалтылдак;жалтылдак|жылдызча
©️;автордук укук;автордук укук
®️;катталган;катталган
™️;соода маркасы;соода белгиси|соода маркасы
#️⃣;клавиатура калпакчасы: #;клавиатура калпакчасы|клавиатура калпакчасы: #
*️⃣;клавиатура калпакчасы: *;клавиатура калпакчасы|клавиатура калпакчасы: *
0️⃣;клавиатура калпакчасы: 0;клавиатура калпакчасы|клавиатура калпакчасы: 0
1️⃣;клавиатура калпакчасы: 1;клавиатура калпакчасы|клавиатура калпакчасы: 1
2️⃣;клавиатура калпакчасы: 2;клавиатура калпакчасы|клавиатура калпакчасы: 2
3️⃣;клавиатура калпакчасы: 3;клавиатура калпакчасы|клавиатура калпакчасы: 3
4️⃣;клавиатура калпакчасы: 4;клавиатура калпакчасы|клавиатура калпакчасы: 4
5️⃣;клавиатура калпакчасы: 5;клавиатура калпакчасы|клавиатура калпакчасы: 5
6️⃣;клавиатура калпакчасы: 6;клавиатура калпакчасы|клавиатура калпакчасы: 6
7️⃣;клавиатура калпакчасы: 7;клавиатура калпакчасы|клавиатура калпакчасы: 7
8️⃣;клавиатура калпакчасы: 8;клавиатура калпакчасы|клавиатура калпакчасы: 8
9️⃣;клавиатура калпакчасы: 9;клавиатура калпакчасы|клавиатура калпакчасы: 9
🔟;клавиатура калпакчасы: 10;клавиатура калпакчасы|клавиатура калпакчасы: 10
🔠;латынча баш тамга менен киргизүү;киргизүү|латынча|латынча баш тамга менен киргизүү|тамгалар
🔡;латынча кичине тамга менен киргизүү;киргизүү|кичине|латынча|латынча кичине тамга менен киргизүү|тамгалар
🔢;сандарды киргизүү;1234|киргиз|сандар|сандарды киргизүү
🔣;символдорду киргизүү;киргизүү|символдорду киргизүү
🔤;латын тамгаларын киргизүү;алфавит|латын|латын тамгаларын киргизүү|тамгалар
🅰️;а баскычы;а|а баскычы|кызыл
🆎;аб баскычы;аб|аб баскычы|кызыл
🅱️;б баскычы;б|б баскычы|кызыл
🆑;CL баскычы;cl|CL баскычы
🆒;чарчыдагы салкын;салкын|чарчыдагы салкын
🆓;чарчыдагы акысыз;акысыз|чарчыдагы акысыз
ℹ️;маалымат булагы;маалымат|маалымат булагы
🆔;ID баскычы;id|ID баскычы|идентификатор
Ⓜ️;тегеректеги м;м|тегерек|тегеректеги м
🆕;NEW баскычы;NEW баскычы|жаңы
🆖;NG баскычы;ng|NG баскычы
🅾️;о баскычы;кызыл|о|о баскычы
🆗;чарчыдагы ок;ок|чарчыдагы ок
🅿️;р баскычы;р баскычы|токтотмо
🆘;чарчыдагы сос;жардам|чарчыдагы сос
🆙;ЖОГОРУ! баскычы;белги|ЖОГОРУ! баскычы|өйдө
🆚;чарчыдагы крш.;каршы|крш.|чарчыдагы крш.
🈁;чарчыдагы катакана коко;жапончо|чарчыдагы катакана коко
🈂️;чарчыдагы катакана са;жапончо|чарчыдагы катакана са
🈷️;чарчыдагы ай идеограммасы;жапончо|чарчыдагы ай идеограммасы
🈶;чарчыдагы жашоо идеограммасы;жапончо|чарчыдагы жашоо идеограммасы
🈯;чарчыдагы манжа идеограммасы;жапончо|чарчыдагы манжа идеограммасы
🉐;тегеректеги мүмкүнчүлүк идеограммасы;жапончо|тегеректеги мүмкүнчүлүк идеограммасы
🈹;чарчыдагы бөлүү идеограммасы;жапончо|чарчыдагы бөлүү идеограммасы
🈚;чарчыдагы сүйлөшүү идеограммасы;жапончо|чарчыдагы сүйлөшүү идеограммасы
🈲;чарчыдагы тыюу салуу идеограммасы;жапончо|чарчыдагы тыюу салуу идеограммасы
🉑;тегеректеги кабыл алуу идеограммасы;кытайча|тегеректеги кабыл алуу идеограммасы
🈸;чарчыдагы колдонуу идеограммасы;кытайча|чарчыдагы колдонуу идеограммасы
🈴;чарчыдагы бирге идеограммасы;кытайча|чарчыдагы бирге идеограммасы
🈳;чарчыдагы бош идеограммасы;кытайча|чарчыдагы бош идеограммасы
㊗️;тегеректеги куттуктоо идеограммасы;куттуктоо|кытайча|тегеректеги куттуктоо идеограммасы
㊙️;тегеректеги купуя идеограммасы;кытайча|сыр|тегеректеги купуя идеограммасы
🈺;чарчыдагы иштетүү идеограммасы;кытайча|чарчыдагы иштетүү идеограммасы
🈵;чарчыдагы толуктук идеограммасы;кытайча|чарчыдагы толуктук идеограммасы
🔴;кызыл тегерек;геометрия|кызыл|тегерек
🟠;кызгылт сары айлана;айлана|кызгылт сары|кызгылт сары айлана
🟡;сары айлана;айлана|сары
🟢;жашыл айлана;айлана|жашыл
🔵;көк тегерек;геометрия|көк|тегерек
🟣;кызгылт көк айлана;айлана|кызгылт көк|кызгылт көк айлана
🟤;күрөң айлана;айлана|күрөң
⚫;кара тегерек;геометрия|кара тегерек|тегерек
⚪;ак тегерек;ак тегерек|геометрия|тегерек
🟥;кызыл квадрат;квадрат|кызыл
🟧;кызгылт сары квадрат;квадрат|кызгыл сары|кызгылт сары квадрат
🟨;сары квадрат;квадрат|сары
🟩;жашыл квадрат;жашыл|квадрат
🟦;көк квадрат;квадрат|көк
🟪;кызгылт көк квадрат;квадрат|кызгылт көк|кызгылт көк квадрат
🟫;күрөң квадрат;квадрат|күрөң
⬛;чоң кара чарчы;геометрия|чарчы|чоң кара чарчы
⬜;чоң ак чарчы;геометрия|чарчы|чоң ак чарчы
◼️;орточо кара чарчы;геометрия|орточо кара чарчы|чарчы
◻️;орточо ак чарчы;геометрия|орточо ак чарчы|чарчы
◾;кичирээк кара чарчы;геометрия|кичирээк кара чарчы|чарчы
◽;кичирээк ак чарчы;геометрия|кичирээк ак чарчы|чарчы
▪️;кичинекей кара чарчы;геометрия|кичинекей кара чарчы|чарчы
▫️;кичинекей ак чарчы;геометрия|кичинекей ак чарчы|чарчы
🔶;чоң саргыч ромб;геометрия|ромб|саргыч|чоң саргыч ромб
🔷;чоң көк ромб;геометрия|көк|ромб|чоң көк ромб
🔸;кичинекей саргыч ромб;геометрия|кичинекей саргыч ромб|ромб|саргыч
🔹;кичинекей көк ромб;геометрия|кичинекей көк ромб|көк|ромб
🔺;өйдө караган кызыл үч бурчтук;геометрия|кызыл|өйдө караган кызыл үч бурчтук
🔻;төмөн караган кызыл үч бурчтук;геометрия|кызыл|төмөн|төмөн караган кызыл үч бурчтук
💠;чекиттүү ромб;геометрия|комикс|ромб|чекиттүү ромб
🔘;радио баскычы;баскыч|геометрия|радио|радио баскычы
🔳;ак чарчы баскычы;ак чарчы баскычы|алкакта|баскыч|геометрия|чарчы
🔲;кара чарчы баскычы;баскыч|геометрия|кара чарчы баскычы|чарчы

[flags]
🏁;шахмат түсүндөгү желек;жарыш|шахмат тартибинде|шахмат түсүндөгү желек
🚩;үч бурчтук желек;пост|үч бурчтук желек
🎌;кайчылаш желектер;жапончо|кайчылаш|кайчылаш желектер|майрам
🏴;желбиреген кара желек;желбиреген|желбиреген кара желек
🏳️;желбиреген ак желек;желбиреген|желбиреген ак желек
🏳️‍🌈;асан-үсөн желеги;асан-үсөн желеги|көк желе
🏳️‍⚧️;трансгендер желеги;трансгендер желеги
🏴‍☠️;каракчылардын желеги;каракчы|каракчылардын желеги|кенч|пират|тоноо
🇦🇨;желек: Вознесение аралы;желек|желек: Вознесение аралы
🇦🇩;желек: Андорра;желек|желек: Андорра
🇦🇪;желек: Бириккен Араб Эмираттары;желек|желек: Бириккен Араб Эмираттары
🇦🇫;желек: Афганистан;желек|желек: Афганистан
🇦🇬;желек: Антигуа жана Барбуда;желек|желек: Антигуа жана Барбуда
🇦🇮;желек: Ангилья;желек|желек: Ангилья
🇦🇱;желек: Албания;желек|желек: Албания
🇦🇲;желек: Армения;желек|желек: Армения
🇦🇴;желек: Ангола;желек|желек: Ангола
🇦🇶;желек: Антарктида;желек|желек: Антарктида
🇦🇷;желек: Аргентина;желек|желек: Аргентина
🇦🇸;желек: Америкалык Самоа;желек|желек: Америкалык Самоа
🇦🇹;желек: Австрия;желек|желек: Австрия
🇦🇺;желек: Австралия;желек|желек: Австралия
🇦🇼;желек: Аруба;желек|желек: Аруба
🇦🇽;желек: Аланд аралдары;желек|желек: Аланд аралдары
🇦🇿;желек: Азербайжан;желек|желек: Азербайжан
🇧🇦;желек: Босния жана Герцеговина;желек|желек: Босния жана Герцеговина
🇧🇧;желек: Барбадос;желек|желек: Барбадос
🇧🇩;желек: Бангладеш;желек|желек: Бангладеш
🇧🇪;желек: Бельгия;желек|желек: Бельгия
🇧🇫;желек: Буркина-Фасо;желек|желек: Буркина-Фасо
🇧🇬;желек: Болгария;желек|желек: Болгария
🇧🇭;желек: Бахрейн;желек|желек: Бахрейн
🇧🇮;желек: Бурунди;желек|желек: Бурунди
🇧🇯;желек: Бенин;желек|желек: Бенин
🇧🇱;желек: Сент Бартелеми;желек|желек: Сент Бартелеми
🇧🇲;желек: Бермуд аралдары;желек|желек: Бермуд аралдары
🇧🇳;желек: Бруней;желек|желек: Бруней
🇧🇴;желек: Боливия;желек|желек: Боливия
🇧🇶;желек: Кариб Нидерланддары;желек|желек: Кариб Нидерланддары
🇧🇷;желек: Бразилия;желек|желек: Бразилия
🇧🇸;желек: Багама аралдары;желек|желек: Багама аралдары
🇧🇹;желек: Бутан;желек|желек: Бутан
🇧🇻;желек: Буве аралы;желек|желек: Буве аралы
🇧🇼;желек: Ботсвана;желек|желек: Ботсвана
🇧🇾;желек: Беларусь;желек|желек: Беларусь
🇧🇿;желек: Белиз;желек|желек: Белиз
🇨🇦;желек: Канада;желек|желек: Канада
🇨🇨;желек: Кокос (Килинг) аралдары;желек|желек: Кокос (Килинг) аралдары
🇨🇩;желек: Конго-Киншаса;желек|желек: Конго-Киншаса
🇨🇫;желек: Борбордук Африка Республикасы;желек|желек: Борбордук Африка Республикасы
🇨🇬;желек: Конго-Браззавил;желек|желек: Конго-Браззавил
🇨🇭;желек: Швейцария;желек|желек: Швейцария
🇨🇮;желек: Кот-д’Ивуар;желек|желек: Кот-д’Ивуар
🇨🇰;желек: Кук аралдары;желек|желек: Кук аралдары
🇨🇱;желек: Чили;желек|желек: Чили
🇨🇲;желек: Камерун;желек|желек: Камерун
🇨🇳;желек: Кытай;желек|желек: Кытай
🇨🇴;желек: Колумбия;желек|желек: Колумбия
🇨🇵;желек: Клиппертон аралы;желек|желек: Клиппертон аралы
🇨🇷;желек: Коста-Рика;желек|желек: Коста-Рика
🇨🇺;желек: Куба;желек|желек: Куба
🇨🇻;желек: Кабо-Верде;желек|желек: Кабо-Верде
🇨🇼;желек: Кюрасао;желек|желек: Кюрасао
🇨🇽;желек: Рождество аралы;желек|желек: Рождество аралы
🇨🇾;желек: Кипр;желек|желек: Кипр
🇨🇿;желек: Чехия;желек|желек: Чехия
🇩🇪;желек: Германия;желек|желек: Германия
🇩🇬;желек: Диего Гарсия;желек|желек: Диего Гарсия
🇩🇯;желек: Джибути;желек|желек: Джибути
🇩🇰;желек: Дания;желек|желек: Дания
🇩🇲;желек: Доминика;желек|желек: Доминика
🇩🇴;желек: Доминика Республикасы;желек|желек: Доминика Республикасы
🇩🇿;желек: Алжир;желек|желек: Алжир
🇪🇦;желек: Сеута жана Мелилла;желек|желек: Сеута жана Мелилла
🇪🇨;желек: Эквадор;желек|желек: Эквадор
🇪🇪;желек: Эстония;желек|желек: Эстония
🇪🇬;желек: Египет;желек|желек: Египет
🇪🇭;желек: Батыш Сахара;желек|желек: Батыш Сахара
🇪🇷;желек: Эритрея;желек|желек: Эритрея
🇪🇸;желек: Испания;желек|желек: Испания
🇪🇹;желек: Эфиопия;желек|желек: Эфиопия
🇪🇺;желек: Европа Биримдиги;желек|желек: Европа Биримдиги
🇫🇮;желек: Финляндия;желек|желек: Финляндия
🇫🇯;желек: Фиджи;желек|желек: Фиджи
🇫🇰;желек: Фолкленд аралдары;желек|желек: Фолкленд аралдары
🇫🇲;желек: Микронезия;желек|желек: Микронезия
🇫🇴;желек: Фарер аралдары;желек|желек: Фарер аралдары
🇫🇷;желек: Франция;желек|желек: Франция
🇬🇦;желек: Габон;желек|желек: Габон
🇬🇧;желек: Улуу Британия;желек|желек: Улуу Британия
🇬🇩;желек: Гренада;желек|желек: Гренада
🇬🇪;желек: Грузия;желек|желек: Грузия
🇬🇫;желек: Француздук Гвиана;желек|желек: Француздук Гвиана
🇬🇬;желек: Гернси;желек|желек: Гернси
🇬🇭;желек: Гана;желек|желек: Гана
🇬🇮;желек: Гибралтар;желек|желек: Гибралтар
🇬🇱;желек: Гренландия;желек|желек: Гренландия
🇬🇲;желек: Гамбия;желек|желек: Гамбия
🇬🇳;желек: Гвинея;желек|желек: Гвинея
🇬🇵;желек: Гваделупа;желек|желек: Гваделупа
🇬🇶;желек: Экватордук Гвинея;желек|желек: Экватордук Гвинея
🇬🇷;желек: Греция;желек|желек: Греция
🇬🇸;желек: Түштүк Жоржия жана Түштүк Сэндвич аралдары;желек|желек: Түштүк Жоржия жана Түштүк Сэндвич аралдары
🇬🇹;желек: Гватемала;желек|желек: Гватемала
🇬🇺;желек: Гуам;желек|желек: Гуам
🇬🇼;желек: Гвинея-Бисау;желек|желек: Гвинея-Бисау
🇬🇾;желек: Гайана;желек|желек: Гайана
🇭🇰;желек: Гонконг Кытай ААА;желек|желек: Гонконг Кытай ААА
🇭🇲;желек: Херд жана Макдональд аралдары;желек|желек: Херд жана Макдональд аралдары
🇭🇳;желек: Гондурас;желек|желек: Гондурас
🇭🇷;желек: Хорватия;желек|желек: Хорватия
🇭🇹;желек: Гаити;желек|желек: Гаити
🇭🇺;желек: Венгрия;желек|желек: Венгрия
🇮🇨;желек: Канар аралдары;желек|желек: Канар аралдары
🇮🇩;желек: Индонезия;желек|желек: Индонезия
🇮🇪;желек: Ирландия;желек|желек: Ирландия
🇮🇱;желек: Израиль;желек|желек: Израиль
🇮🇲;желек: Мэн аралы;желек|желек: Мэн аралы
🇮🇳;желек: Индия;желек|желек: Индия
🇮🇴;желек: Инди океанындагы Британ территориясы;желек|желек: Инди океанындагы Британ территориясы
🇮🇶;желек: Ирак;желек|желек: Ирак
🇮🇷;желек: Иран;желек|желек: Иран
🇮🇸;желек: Исландия;желек|желек: Исландия
🇮🇹;желек: Италия;желек|желек: Италия
🇯🇪;желек: Жерси;желек|желек: Жерси
🇯🇲;желек: Ямайка;желек|желек: Ямайка
🇯🇴;желек: Иордания;желек|желек: Иордания
🇯🇵;желек: Япония;желек|желек: Япония
🇰🇪;желек: Кения;желек|желек: Кения
🇰🇬;желек: Кыргызстан;желек|желек: Кыргызстан
🇰🇭;желек: Камбоджа;желек|желек: Камбоджа
🇰🇮;желек: Кирибати;желек|желек: Кирибати
🇰🇲;желек: Коморос;желек|желек: Коморос
🇰🇳;желек: Сент-Китс жана Невис;желек|желек: Сент-Китс жана Невис
🇰🇵;желек: Түндүк Корея;желек|желек: Түндүк Корея
🇰🇷;желек: Түштүк Корея;желек|желек: Түштүк Корея
🇰🇼;желек: Кувейт;желек|желек: Кувейт
🇰🇾;желек: Кайман аралдары;желек|желек: Кайман аралдары
🇰🇿;желек: Казакстан;желек|желек: Казакстан
🇱🇦;желек: Лаос;желек|желек: Лаос
🇱🇧;желек: Ливан;желек|желек: Ливан
🇱🇨;желек: Сент-Люсия;желек|желек: Сент-Люсия
🇱🇮;желек: Лихтенштейн;желек|желек: Лихтенштейн
🇱🇰;желек: Шри-Ланка;желек|желек: Шри-Ланка
🇱🇷;желек: Либерия;желек|желек: Либерия
🇱🇸;желек: Лесото;желек|желек: Лесото
🇱🇹;желек: Литва;желек|желек: Литва
🇱🇺;желек: Люксембург;желек|желек: Люксембург
🇱🇻;желек: Латвия;желек|желек: Латвия
🇱🇾;желек: Ливия;желек|желек: Ливия
🇲🇦;желек: Марокко;желек|желек: Марокко
🇲🇨;желек: Монако;желек|желек: Монако
🇲🇩;желек: Молдова;желек|желек: Молдова
🇲🇪;желек: Черногория;желек|желек: Черногория
🇲🇫;желек: Сент-Мартин;желек|желек: Сент-Мартин
🇲🇬;желек: Мадагаскар;желек|желек: Мадагаскар
🇲🇭;желек: Маршалл аралдары;желек|желек: Маршалл аралдары
🇲🇰;желек: Түндүк Македония;желек|желек: Түндүк Македония
🇲🇱;желек: Мали;желек|желек: Мали
🇲🇲;желек: Мьянма (Бирма);желек|желек: Мьянма (Бирма)
🇲🇳;желек: Монголия;желек|желек: Монголия
🇲🇴;желек: Макао Кытай ААА;желек|желек: Макао Кытай ААА
🇲🇵;желек: Түндүк Мариана аралдары;желек|желек: Түндүк Мариана аралдары
🇲🇶;желек: Мартиника;желек|желек: Мартиника
🇲🇷;желек: Мавритания;желек|желек: Мавритания
🇲🇸;желек: Монтсеррат;желек|желек: Монтсеррат
🇲🇹;желек: Мальта;желек|желек: Мальта
🇲🇺;желек: Маврикий;желек|желек: Маврикий
🇲🇻;желек: Мальдив;желек|желек: Мальдив
🇲🇼;желек: Малави;желек|желек: Малави
🇲🇽;желек: Мексика;желек|желек: Мексика
🇲🇾;желек: Малайзия;желек|желек: Малайзия
🇲🇿;желек: Мозамбик;желек|желек: Мозамбик
🇳🇦;желек: Намибия;желек|желек: Намибия
🇳🇨;желек: Жаңы Каледония;желек|желек: Жаңы Каледония
🇳🇪;желек: Нигер;желек|желек: Нигер
🇳🇫;желек: Норфолк аралы;желек|желек: Норфолк аралы
🇳🇬;желек: Нигерия;желек|желек: Нигерия
🇳🇮;желек: Никарагуа;желек|желек: Никарагуа
🇳🇱;желек: Нидерланд;желек|желек: Нидерланд
🇳🇴;желек: Норвегия;желек|желек: Норвегия
🇳🇵;желек: Непал;желек|желек: Непал
