# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
🏖️;sólskjól á strond;sólskjól|sólskjól á strond|strond
🏜️;oyðimørk;oyðimørk
🏝️;oyðin oyggj;oyðin|oyggj|plámatræ
🏞️;tjóðarpark;friðað øki|park|tjóðarpark|tjóðgarður|tjóðlund
🏟️;ítróttastaður;ítróttastaður|ítróttavøllur|leikvøllur
🏛️;klassiskur bygningur;bygningur|klassiskur
🏗️;byggipláss;bygg|byggiídnaður|byggipláss
🧱;múrsteinur;leirur|mørtil|múrkálk|múrsteinar|múrsteinur|veggur
🪨;steinur;grót|klettur|steinur|tungt
🪵;viður;bjálki|timbur|træ|viður
🛖;smátta;heim|hús|smátta
🏘️;fleiri hús;fleiri hús|hús
🏚️;vanrøkt hús;hús|oyði|vanrøkt
🏠;hús;heim|hús
🏡;hús við hava;havi|heim|hús|hús við hava
🏢;skrivstovubygningur;bygningur|skrivstova|skrivstovubygningur
🏣;japanskt posthús;japanskt|posthús|poststova|postverk
🏤;posthús;posthús|poststova|postverk
🏥;sjúkrahús;bygningur|sjúkrahús
🏦;banki;banki|bygningur
🏨;hotell;bygningur|gistingarhús|hotell
🏩;kærleikshotell;bygningur|gistingarhús|hotell|kærleiki|kærleikshotell
🏪;nærhandil;bygningur|handil|nærhandil
🏫;skúli;bygningur|skúli
🏬;vøruhús;handil|stórhandil|vøruhús
🏭;verksmiðja;bygningur|ídnaðarvirki|verksmiðja|virki
🏯;japanskt slott;borg|japan|japanskt slott|slott
🏰;slott;borg|slott
💒;brúdleypshús;brúdleyp|brúdleypshús|bygningur|kapel
🗼;torn í Tokyo;Tokyo|torn|torn í Tokyo
🗽;Frælsisgudinnan;frælsi|Frælsisgudinnan|standmynd
⛪;kirkja;átrúnaður|átrúni|kirkja|kristin|religión|trúgv
🕌;moska;átrúnaður|átrúni|bønhús|islamskt|moska|muslimur|religión|trúgv
🛕;hinduitempul;hindui|hinduitempul|tempul
🕍;synagoga;átrúnaður|átrúni|gýðingur|jødi|jødiskur|religión|samkomuhús|synagoga|trúgv
⛩️;shinto altar;átrúnaður|átrúni|halgidómur|halgimannagrøv|halgiskrín|japan|religión|shinto altar|trúgv
🕋;Kaaba;átrúnaður|átrúni|halgidómur|islam|islamskt|Kaaba|mekka|muslimur|religión|trúgv
⛲;gosvatn;gosbrunnur|gosvatn
⛺;tjald;kampingpláss|legupláss|legutilvera|tjald|tjalda|tjalding|tjaldlega|tjaldstaður
🌁;fjallatoppur og mjørki;fjallatoppur|fjallatoppur og mjørki|mjørki|toka
🌃;nátt við stjørnum;kvøld|nátt|nátt við stjørnum|stjørnur
🏙️;stórbýur;býur|stórbýur
🌄;sólarris ímillum fjøll;fjall|fjøll|morgun|sól|sólarris|sólarris ímillum fjøll
🌅;sólarris;dagsbrún|lýsing|morgun|sól|sólarris
🌆;skýming í stórbýi;kvøld|myrkja|skýming|skýming í stórbýi|sólsetur|stórbýur
🌇;sólsetur;kvøld|myrkja|skýming|sólsetur
🌉;brúgv á nátt;brúgv|brúgv á nátt|nátt
♨️;heit kelda;heit|kelda
🎠;karusellhestur;hestur|karusell|karusellhestur|tivoli|undirhaldsgarður
🛝;glíðibreyt;glíðibreyt|russjibani|spæl|spælipláss
🎡;parísarhjól;parísarhjól|tivoli|undirhaldsgarður
🎢;russjibani;glíðibreyt|øka|russjibani|tivoli|undirhaldsgarður
💈;hárskeraskelti;hárklipping|hárskeraskelti|hárskering
🎪;sirkustjald;sirkus|sirkustjald|tjald
🚂;lokomotiv;lokomotiv|tok
🚃;jarnbreytarvognur;jarnbreytarvognur|sporvognur|tokvognur|tráðbussur
🚄;háferðartok;háferðartok|tok
🚅;snartok;snartok|tok
🚆;tok;jarnbreyt|tok
🚇;undirgrundarbreyt;metro|undirgrundarbreyt
🚈;nærtok;nærtok|tok
🚉;jarnbreytarstøð;jarnbreyt|jarnbreytarstøð|støð|tok
🚊;gron á sporvogni;gron á sporvogni|sporvognur|tráðbussur
🚝;einsporað jarnbreyt;einsporað jarnbreyt|tok
🚞;fjallajarnbreyt;fjallajarnbreyt|jarnbreyt|tok
🚋;sporvognur;sporvognur|tráðbussur
🚌;bussur;bussur
🚍;gron á bussi;bussur|gron á bussi
🚎;tráðbussur;sporvognur|tráðbussur
🚐;minibussur;bussur|minibussur
🚑;sjúkrabilur;bilur|sjúkrabilur
🚒;sløkkibilur;bilur|eldur|sløkkibilur|sløkkilið
🚓;løgreglubilur;bilur|løgregla|løgreglubilur|politi
🚔;gron á løgreglubili;bilur|gron á løgreglubili|løgregla|politi
🚕;taxabilur;bilur|taxa|taxabilur
🚖;gron á taxabili;bilur|gron á taxabili|taxa
🚗;bilur;bilur
🚘;bilgron;bilgron|bilur|gron
🚙;húsbilur;bilur|húsbilur
🛻;opin vørubilur;bilur|opin|opin vørubilur|pickup|vøruvognur
🚚;vøruvognur;bilur|lastbilur|liðbussur|vørubilur|vøruvognur
🚛;liðlastbilur;bilur|lastbilur|liðbussur|liðlastbilur|vørubilur|vøruvognur
🚜;traktorur;traktorur
🏎️;rasarabilur;bilur|kappkoyring|kappkoyringarbilur|koyra kapp|rasarabilur
🏍️;motorsúkkla;kappkoyring|koyra kapp|motorsúkkla
🛵;skutari;prutl|skutari
🦽;koyristólur;hjólstólur|koyristólur|rullistólur
🦼;motorkoyristólur;koyristólur|motorhjólstólur|motorkoyristólur|motorrullistólur
🛺;motor rickshaw;motor rickshaw|rickshaw|tuk tuk
🚲;súkkla;súkkla
🛴;rennihjól;løpihjul|rennihjól
🛹;rennifjøl;akfjøl|rennibretti|rennifjøl|rullibretti|skateboard|skíðifjøl|skoytufjøl
🛼;rulluskoyta;rulluskoyta
🚏;busssteðgipláss;busssteðgipláss|bussstopp|bussstoppistað|steðgipláss
🛣️;motorvegur;høvuðsvegur|motorvegur|vegur
🛤️;jarnbreyt;jarnbreyt|tok
🛢️;oljutunna;brennievni|olja|oljutunna|tumma
⛽;brennievnispumpa;bensinpumpa|brennievnispumpa|dieselpumpa|pumpa
🛞;hjól;akfar|bildekk|dekk|felga|hjól
🚨;blunkljós;blunkljós|ljós|løgregla
🚥;vatnrætt ferðsluljós;ferðsla|ferðsluljós|ljóskurv|vatnrætt ferðsluljós
🚦;ferðsluljós;ferðsla|ferðsluljós|ljóskurv
🛑;stoppskelti;áttakantaður|steðgingarmerki|steðgitekn|stopp|stoppskelti
🚧;byrging;bummur|byrging|hindur|stongsil
⚓;akker;akker|bátur|skip
🛟;bjargingarringur;bjarging|bjargingarringur|flóta|reka|svimja|trygd
⛵;seglbátur;bátur|segl|seglbátur|stuttleikabátur
🛶;kano;bátur|eikja|holabátur|indiánabátur|kajakk|kano
🚤;rasarabátur;bátur|rasarabátur|snarbátur
🛳️;ferðamannaskip;ferðafólk|ferðamannaskip|skip
⛴️;ferja;bátur|ferðafólk|ferja
🛥️;maskinbátur;bátur|maskinbátur|motorbátur
🚢;skip;ferðafólk|skip
✈️;flogfar;flogfar|flúgvari
🛩️;lítið flogfar;flogfar|flúgvari|lítið flogfar
🛫;farandi flogfar;farandi|flogfar|flúgvari|fráferð|startur
🛬;komandi flogfar;flogfar|flúgvari|koma|komandi flogfar|lending
🪂;fallskíggi;fallskíggi|fallskíggjalop|loftkavari
💺;setur;setur|stólur
🚁;tyrla;tyrla
🚟;heingijarnbreyt;heingijarnbreyt|jarnbreyt|tok
🚠;fjallarennistrongur;fjallarennistrongur|gondol|strongur
🚡;rennistrongur;gondol|rennistrongur|strongur
🛰️;fylgisveinur;fylgisveinur|rúmdin
🚀;rakett;rakett|rúmdin
🛸;flúgvandi diskur;flúgvandi diskur|ufo
🛎️;piccoloklokka;hotell|klokka|piccolo|piccoloklokka
🧳;viðføri;bagasja|ferðast|pakka|viðføri
⌛;runnið tímaglas;runnið|tímaglas
⏳;hálvrunnið tímaglas;hálvrunnið|tímaglas
⌚;ur;armbandsur|klokka|ur
⏰;vekjari;klokka|vekjaraklokka|vekjari
⏱️;stoppur;klokka|stoppur|taka tíð|tíðartøka
⏲️;eggjaur;eggjaur|klokka|køksur|stoppur|tíðarmálari|tíðartakari
🕰️;eldstaðarhillklokka;eldstaðarhill|eldstaðarhillklokka|eldstaðarkarmur|kaminhill|kaminkarmur|kaminumgerð|klokka
🕛;klokkan tólv;00:00|12|12:00|klokka|klokkan|tólv
🕧;hálvgun eitt;00:30|12:30|eitt|hálvgun|klokka|klokkan
🕐;klokkan eitt;01:00|1|13:00|eitt|klokka|klokkan
🕜;hálvgun tvey;01:30|13:30|hálvgun|klokka|klokkan|tvey
🕑;klokkan tvey;02:00|14:00|2|klokka|klokkan|tvey
🕝;hálvgun trý;02:30|14:30|hálvgun|klokka|klokkan|trý
🕒;klokkan trý;03:00|15:00|3|klokka|klokkan|trý
🕞;hálvgun fýra;03:30|15:30|fýra|hálvgun|klokka|klokkan
🕓;klokkan fýra;04:00|16:00|4|fýra|klokka|klokkan
🕟;hálvgun fimm;04:30|16:30|fimm|hálvgun|klokka|klokkan
🕔;klokkan fimm;05:00|17:00|5|fimm|klokka|klokkan
🕠;hálvgun seks;05:30|17:30|hálvgun|klokka|klokkan|seks
🕕;klokkan seks;06:00|18:00|6|klokka|klokkan|seks
🕡;hálvgun sjey;06:30|18:30|hálvgun|klokka|klokkan|sjey
🕖;klokkan sjey;07:00|19:00|7|klokka|klokkan|sjey
🕢;hálvgun átta;07:30|19:30|átta|hálvgun|klokka|klokkan
🕗;klokkan átta;08:00|20:00|8|átta|klokka|klokkan
🕣;hálvgun níggju;08:30|20:30|hálvgun|klokka|klokkan|níggju
🕘;klokkan níggju;09:00|21:00|9|klokka|klokkan|níggju
🕤;hálvgun tíggju;09:30|21:30|hálvgun|klokka|klokkan|tíggju
🕙;klokkan tíggju;10|10:00|22:00|klokka|klokkan|tíggju
🕥;hálvgun ellivu;10:30|22:30|ellivu|hálvgun|klokka|klokkan
🕚;klokkan ellivu;11|11:00|23:00|ellivu|klokka|klokkan
🕦;hálvgun tólv;11:30|23:30|hálvgun|klokka|klokkan|tólv
🌑;nýmáni;máni|nýmáni
🌒;lítil vaksandi hálvmáni;hálvmáni|lítil vaksandi hálvmáni|máni|vaksandi
🌓;vaksandi hálvmáni;hálvmáni|máni|vaksandi
🌔;stórur vaksandi hálvmáni;hálvmáni|máni|stórur vaksandi hálvmáni|vaksandi
🌕;fullmáni;fullmáni|máni
🌖;stórur minkandi hálvmáni;hálvmáni|máni|minkandi|stórur minkandi hálvmáni
🌗;minkandi hálvmáni;hálvmáni|máni|minkandi
🌘;lítil minkandi hálvmáni;hálvmáni|lítil minkandi hálvmáni|máni|minkandi
🌙;hálvmáni;hálvmáni|máni
🌚;andlit á nýmána;andlit|andlit á nýmána|máni|nýmáni
🌛;andlit á vaksandi mána;andlit|andlit á vaksandi mána|hálvmáni|máni|vaksandi
🌜;andlit á minkandi mána;andlit|andlit á minkandi mána|hálvmáni|máni|minkandi
🌡️;termometur;fepurstokkur|hitamálari|termometur
☀️;sól;sól|sólskin
🌝;andlit á fullmána;andlit|andlit á fullmána|fullmáni|máni
🌞;andlit á sól;andlit|andlit á sól|sól
🪐;gongustjørna við ringi;dapur|gongustjørna|gongustjørna við ringi|saturn|tunglyntur
⭐;hvit og gul stjørna;hvit og gul stjørna|stjørna
🌟;glógvandi stjørna;glógvandi stjørna|stjørna
🌠;stjørnuskot;stjørna|stjørnuskot
🌌;vetrarbreytin;mjólkarvegur|rúmdin|stjørnubreyt|vetrarbreytin
☁️;skýggj;skýggj|veðrið|veður|yvirskýggja
⛅;sólin aftanfyri skyggj;sól|sólarglottar|sólglottur|sólin aftanfyri skyggj|veðrið|veður|yvirskýggja
⛈️;skýggj við regni og snarljósi;regn|skýggj|skýggj við regni og snarljósi|snarljós|tora|torusláttur|veðrið|veður
🌤️;sólin aftanfyri eitt lítið skýggj;sól|sólarglottar|sólglottur|sólin aftanfyri eitt lítið skýggj|sólskinsveður|veðrið|veður
🌥️;sólin aftanfyri eitt stórt skýggj;sól|sólarglottar|sólglottur|sólin aftanfyri eitt stórt skýggj|veðrið|veður|yvirskýggja
🌦️;sólin aftanfyri eitt regnskýggj;æl|avfall|regn|sól|sólarglottar|sólglottur|sólin aftanfyri eitt regnskýggj|veðrið|veður|yvirskýggja
🌧️;skýggj og regn;æl|avfall|regn|skýggj og regn|veðrið|veður
🌨️;skýggj og kavi;kavar|kavaveður|kavi|skýggj og kavi|veðrið|veður
🌩️;skýggj og snarljós;skýggj og snarljós|snarljós|tora|torusláttur|veðrið|veður
🌪️;melduródn;hvirla|meldurhvirla|melduródn
🌫️;mjørki;mjørki|toka
🌬️;andlit sum blæsur vind;andlit|andlit sum blæsur vind|blás|skýggj|vind
🌀;meldurhvirla;meldurhvirla|ódn|stormur|tropisk ódn|veðrið|veður
🌈;ælabogi;ælabogi
🌂;afturlatin paraplý;afturlatin paraplý|paraplý|regnskjól
☂️;paraplý;paraplý|regnskjól
☔;paraplý og regndropar;dropar|paraplý|paraplý og regndropar|regn|regnskjól
⛱️;sólskjól;sólskermur|sólskjól|sóltjald
⚡;snarljós;elektrisitet|ravmagn|snarljós|spenningur|tora|torusláttur
❄️;kavaflykra;flykra|frost|kavaflykra|kavar|kavi|snjóflykra
☃️;kavamaður;kavamaður|kavi|snjókelling
⛄;kavamaður við hatti;kavamaður|kavamaður við hatti|kavi|snjókelling
☄️;komet;halastjørna|komet|rúmdin
🔥;eldur;bál|eldsbruni|eldur|logi
💧;dropi;dropi|smádropi|sveitti|vatn|vatndropi
🌊;alda;alda|brim|sjógvur

[activities]
🎃;graskarhøvd;allahalgannaaftan|graskar|graskarhøvd|halloween|høvd|lanterna
🎄;jólatræ;jól|jólatræ|træ
🎆;fýrverk;eldverk|fýrverk|skreyteldur
🎇;stjørnukastari;stjørnukastari|stjørnuljós
🧨;kinesari;dynamitt|eldverk|kinesari|skreyteldur|spreingievni
✨;neistafok;glampi|glansur|glitran|glógvan|ljómi|neistafok|skyggjan
🎈;ballón;ballón|reyð
🎉;borðbumba;borðbumba|veitsla
🎊;konfetti;konfetti
🎋;tanabata træ;japanskt|tanabata|træ
🎍;kadomatsu;furutræ|japanskt|kadomatsu
🎎;japanskar dukkur;dukkur|japanskar
🎏;Koinobori;japanskt|Koinobori
🎐;vindharpa;vindharpa
🎑;tsukimi;japanskt|jugoya|otsukimi|tsukimi
🧧;reyður brævbjálvi;brævbjálvi|gáva|hóngbāo|lai see|reyður brævbjálvi
🎀;band;band|prýðisrósa
🎁;gáva;gáva
🎗️;eftirtektarband;band|eftirtekt|eftirtektarband
🎟️;atgongumerki;atgongd|atgongukort|atgongumerki|kort|merki
🎫;farseðil;atgongd|atgongumerki|farseðil
🎖️;hernaðarmedalja;hernaðarmedalja|hervald|medalja
🏆;steyp;steyp
🏅;ítróttamedalja;ítróttamedalja|ítróttur|medalja
🥇;gullmedalja;gull|gullmedalja|medalja
🥈;silvurmedalja;medalja|silvur|silvurmedalja
🥉;bronsumedalja;bronsa|bronsumedalja|medalja
⚽;fótbóltur;bóltur|fótbólt|fótbóltur
⚾;baseball;baseball|hornabóltur
🥎;softball;softball
🏀;kurvabóltur;bóltur|kurvabóltur
🏐;flogbóltur;bóltur|flogbóltur
🏈;amerikanskur fótbóltur;amerikanskur fótbóltur|bóltur|nfl
🏉;rugbybóltur;bóltur|rugby|rugbybóltur
🎾;tennisbóltur;bóltur|tennis|tennisbóltur
🥏;frisbee;diskur|flúgvandi diskur|frisbee
🎳;bowling;bowling|bowlingkúla|keyla
🏏;krikket;batt|bólttræ|cricket|krikket|krikketbatt
🏑;hokki;hokki|stavbóltur
🏒;íshokki;íshokki|pukkur|stavur
🥍;lacrosse;lacrosse
🏓;borðtennis;batt|borðtennis|borðtennisbatt|ping pong
🏸;badminton;badminton|ketsjari
🥊;boksihandski;boksihandski|boxing
🥋;stríðsítróttarbúni;bardagaítróttur|búni|judo|karate|stríðsítróttarbúni|stríðsítróttur|taekwondo
🥅;mál;mál|net
⛳;golf;flagg|golf|hol
⛸️;skoyta;ísskoyta|skoyta
🎣;tráða;fiskur|tráða
🤿;kavaramaska;andingarpípa|kava|kavaramaska|kavari|luftpípa|maska|snorkul
🎽;ítróttatroyggja;frælsur|ítróttatroyggja|ítróttur|troyggja
🎿;skíð;skíð
🛷;sleta;skreiða|sleta
🥌;curling;curling|steinur
🎯;dart;beinrakið|bullseye|dart|kúgveyga
🪀;jojo;jojo|leika|yo yo|yo-yo|yoyo
🪁;flúgvandi dreki;dreki|flúgvandi dreki
🔫;pistólur;handvápn|pistólur|revolvari|skotvápn|vápn
🎱;pul;billard|kúla|pool|pul
🔮;krystalkúla;ævintýr|krystal|krystalkúla|kúla|lagna
🪄;gandastavur;gandakallur|gandakelling|gandastavur|gandur|rúnakelvi
🎮;kontrollari;controller|kontrollari|telduspæl|teldustýri
🕹️;stýripinnur;joystick|stýripinnur|telduspæl
🎰;spæliautomat;kasino|spæliautomat
🎲;terningur;terningar|terningur
🧩;putlispælbrot;brot|petti|puntur|putlispæl|putlispælbrot|spor
🧸;bamsa;bamsa|leikatoy|spælitoy
🪅;pinata;pinata|piñata|veitsla
🪩;diskokúla;bóltur|disko|diskokúla|kúla|veitsla
🪆;babusjka;babusjka|matrjosjka|russisk dukka|Russland
♠️;spaðari;kort|spaðari
♥️;hjartari;hjartari|kort
♦️;rútari;kort|rútari
♣️;kleyvari;kleyvari|kort
♟️;finna;finna|talv
🃏;jokari;jokari|kort
🀄;mah-jong;mah-jong|mahjong|spæl
🎴;hanafuda;hanafuda|japanskt|kort|spæl
🎭;útinnandi leiklistir;ballett|leikhús|list|sjónleikur|útinnandi leiklistir
🖼️;innrammað mynd;innrammað|list|málningur|mynd
🎨;litafjøl;list|litaborð|litafjøl|mála|palett
🧵;tráður;nál|seyma|spoli|tráður
🪡;nál;baldýring|íseyming|lappa|nál|seyminál|stingur
🧶;tógv;garn|noða|tógv
🪢;knútur;binda|knútur|knýta|reip|tog

[objects]
👓;brillur;brillur|eyga
🕶️;sólbrillur;brillur|sól|sólbrillur
🥽;verjubrillur;brillur|froskmanna brillur|skíðbrillur|verjubrillur
🥼;kittil;kittil|lækni|náttúruvísind|roynd
🦺;trygdarvestur;trygd|trygdarvestur|vestur
👔;slips;klæði|skjúrta|slips
👕;t-shirt;klæði|skjúrta|t-shirt|tshirt
👖;cowboybuksur;buksur|cowboybuksur|klæði
🧣;hálsturriklæði;háls|hálsturriklæði|klæði|turriklæði
🧤;handskar;handskar|hond|klæði|vøttur
🧥;jakki;frakki|jakki|klæði
🧦;sokkar;hosur|klæði|sokkar
👗;kjóli;kjóli|klæði
👘;kimono;kimono|klæði
🥻;sari;búni|India|konufólkabúni|sari
🩱;svimjibúni;svimjibúni|svimjing
🩲;trussur;svimjibuksir|trussur|undirklæðir
🩳;shorts;brøkur|shorts|stuttar|svimjibrøkur
👙;bikini;bikini|klæði|svimjiklæðir
👚;konufólkaklæðir;klæði|kona|konufólk|konufólkaklæðir|kvinna|plagg
🪭;vifta;handvifta|heitt|hondvifta|køling|vifta
👛;pungur;klæði|myntir|pengar|pungur
👜;handtaska;handtaska|hondtaska|klæði|taska
👝;taska;handtaska|hondtaska|klæði|pungur|taska
🛍️;keypstaskur;beriposar|beriposi|innkeyp|keyp|keypstaskur|posar|posi|shoppa|shopping
🎒;skúlataska;herðataska|skúlataska|skúli|taska
🩴;sandála;sandála|thong
👞;mannfólkaskógvur;klæði|mannfólk|mannfólkaskógvur|skógvur
👟;renniskógvur;ítrótt|klæði|renniskógvur|skógvur|tennisskógvur
🥾;gangistilvi;fjakka|ganga|gangistilvi|gongutúr|stilvi|tjalding
🥿;flatbotnaður skógvur;flatbotnaður|flatur|skógvur
👠;høghælaður skógvur;høghælaður skógvur|klæði|kona|konufólk|kvinna|skógvur
👡;konufólkasandála;klæði|kona|konufólk|konufólkasandála|kvinna|sandála|skógvur
🩰;balletskógvar;ballet|balletskógvar|dansa|dansiskógvar|skógvar
👢;konufólkastilvi;klæði|kona|konufólk|konufólkastilvi|kvinna|skógvur|stivli
🪮;kambur;afrokambur|hár|kambur
👑;krúna;drotning|kongur|krúna|prinsessa|prinsur
👒;konufólkahattur;hattur|klæði|kona|konufólk|konufólkahattur|kvinna
🎩;høgur hattur;hattur|høgur|klæði
🎓;fráfaringarhúgva;fráfaring|fráfaringarhúgva|hattur|húgva|klæði|próvtøka
🧢;keppur;baseball|hattur|hornabóltur|kaskettur|keppur
🪖;herhjálmur;hereind|herhjálmur|hermaður|herur|hjálmur
⛑️;bjargingarhjálmur;bjargingarhjálmur|hjálmur|hjálp|krossur|reyði
📿;biðikransur;átrúnaður|biðikransur|bøn|perlukransur|religión|rósukransur|trúgv
💄;varrastift;fríðkanarevni|makeup|sminka|varrastift
💍;ringur;diamantur|ringur
💎;gimsteinur;diamantur|gimsteinur
🔇;doyvdur hátalari;doyvdur|doyvt|einki ljóð|hátalari|ljóðleyst
🔈;lág ljóðstyrki á hátalara;hátalari|lág|lág ljóðstyrki á hátalara|ljóðstyrki
🔉;miðal ljóðstyrki á hátalara;hátalari|ljóðstyrki|miðal|miðal ljóðstyrki á hátalara
🔊;høg ljóðstyrki á hátalara;hátalari|høg|høg ljóðstyrki á hátalara|ljóðstyrki
📢;rópari;megafon|rópari
📣;megafon;megafon|rópari
📯;posthorn;horn|post|posthorn|postur
🔔;klokka;klokka|ljóð
🔕;klokka við skrástriku;doyvdur|doyvt|einki ljóð|klokka|klokka við skrástriku|ljóðleyst
🎼;fjølrøddabók;fjølrøddabók|partiturur|tónleikur
🎵;nóti;nóti|tónleikur
🎶;nótar;nótar|tónleikur
🎙️;ljóðstovumikrofon;ljóðfatur|ljóðstovumikrofon|ljóðtak|mikrofon
🎚️;dragil;dragil|dragistýrari|ljóðstyrki|ljóðstyrkidragil|stýring|tónleikur
🎛️;stýringsknøttar;stýring|stýringsknøttar|tónleikur
🎤;mikrofon;karaoke|ljóðfatur|ljóðtak|mikrofon
🎧;høvuðsett;høvuðsett|høvuðtelefon|oyramikrofon
📻;útvarp;útvarp
🎷;saksofon;ljóðføri|saksofon|tónleikur
🎺;trompet;ljóðføri|tónleikur|trompet
🪊;;
🪗;harmonika;dans|dansur|harmonika|ljóðføri|tónleikur
🎸;gittari;gittari|ljóðføri|tónleikur
🎹;ljómborð;keyboard|ljóðføri|ljómborð|tónleikur
🎻;violin;ljóðføri|tónleikur|violin
🪕;banjo;banjo|ljóðføri|tónleikur
🥁;trumma;ljóðføri|tónleikur|trumma
🪘;long trumma;ljóðføri|long trumma|tónleikur|trumma
🪇;marakas;djass|ljóðføri|marakas|ringla|ringliljóðfør|tónleikur
🪈;floyta;floyta|ljóðføri|tónleikur
🪉;harpa;Amor|harpa|ljóðføri|tónleikur
📱;fartelefon;fartelefon|telefon
📲;fartelefon við píli;fartelefon|fartelefon við píli|kall|uppkall|uppringing
☎️;telefon;telefon
📞;horn á telefon;horn á telefon|telefonhorn|telefonrør
📟;persónleitari;persónleitari
📠;telefaks;faks|telefaks
🔋;battarí;battarí|ravlað
🪫;lágt battarí;battarí|lágt|næstan einki eftir
🔌;stikkari;elektrisitet|ravmagn|stikkari|stikkproppur
💻;fartelda;fartelda|telda
🖥️;telda;borðtelda|telda
🖨️;prentari;prentari
⌨️;knappaborð;knappaborð
🖱️;teldumús;mús|teldumús
🖲️;stýrikúla;stýrikúla
💽;teldudiskur;diskur|teldudiskur
💾;diskil;disketta|diskil
💿;sjónbandsfløga;cd|diskur|sjónbandsfløga
📀;margfløga;blu-ray|diskur|dvd|margfløga
🧮;kúluramma;abakus|kúluramma|roknibretti
🎥;filmstól;biografur|filmstól|filmur|upptøkutól
🎞️;filmstrimmil;biografur|filmstrimmil|filmur|stakmynd
📽️;ljósvørpa;biografur|filmur|ljósvørpa|myndatól
🎬;klapptræ;filmur|klapptræ|upptøka
📺;sjónvarp;sjónvarp|sjónvarpsskíggi
📷;myndatól;fotografi|myndatól
📸;myndatól við blits;blits|fotografi|myndatól|myndatól við blits
📹;sjónupptøkutól;myndatól|sjónupptøkutól|upptøkutól|video
📼;sjónband;band|sjónband|sjónbandshúsi|video
🔍;luppur á skák til vinstru;lesiglas|luppur|luppur á skák til vinstru|sjóneyka|størkingarglas
🔎;luppur á skák til høgru;lesiglas|luppur|luppur á skák til høgru|sjóneyka|størkingarglas
🕯️;livandi ljós;kertiljós|livandi ljós|ljós
💡;ljóspera;hugskot|ljós|ljóspera|pera
🔦;lummalykt;ljós|lummalykt|lykt|stavlykt
🏮;reyð pappírlanterna;lanterna|ljós|pappírlanterna|reyð
🪔;diyalampa;diya|diyalampa|lampa|olja
📔;lummabók við prýðiligari perma;lummabók|lummabók við prýðiligari perma|perma|prýðilig|umslag
📕;afturlatin bók;afturlatin|bók
📖;opin bók;bók|opin
📗;grøn bók;bók|grøn
📘;blá bók;blá|bók
📙;appilsingul bók;appilsingul|bók
📚;bøkur;bók|bøkur
📓;lummabók;blokkur|bók|lummabók|minnisbók|skriviblokkur|uppritsbók|uppskrivingarbók
📒;høvuðsbók;høvuðsbók|lummabók
📃;krúlla pappír;bræv|krúlla|pappír|prógv|skjal
📜;skriftrulla;bókarrulla|rulla|skriftrulla
📄;pappír sum vendur uppeftir;bræv|pappír|pappír sum vendur uppeftir|prógv|skjal
📰;tíðindablað;blað|nýggjheitir|tíðindablað|tíðindi
🗞️;samanrulla tíðindablað;blað|nýggjheitir|samanrulla|tíðindablað|tíðindi
📑;bókamerkir;bókamerki|bókamerkir
🔖;bókamerki;bókamerki|bókamerkir
🏷️;merkiseðil;merkiseðil|navnaseðil|seðil|spjaldur
🪙;myntur;gull|myntur|pengar|pengi|skattur
💰;pengasekkur;dollarar|dollari|pengar|pengasekkur|peningasekkur|peningur|sekkur
🪎;;
💴;jenn pengaseðil;gjaldoyra|jenn|jennur|pengaseðil|seðil
💵;dollari pengaseðil;dollarar|dollari|gjaldoyra|pengaseðil|seðil
💶;evra pengaseðil;evra|evrur|gjaldoyra|pengaseðil|seðil
💷;pund pengaseðil;gjaldoyra|pengaseðil|pund|seðil
💸;pengar við veingjum;dollarar|dollari|gjaldoyra|pengar við veingjum|pengaseðil|seðil|veingjar
💳;kredittkort;keypskort|kontukort|kredittkort|kritkort|pengar|peningur
🧾;kvittan;keyp|kvittan|prógv|søla
💹;strikumynd við jenn tekni;gjaldoyra|hækkadi|hækkan|jenn|jennur|marknaður|strikumynd|strikumynd við jenn tekni
✉️;brævbjálvi;bræv|brævbjálvi|t-postur|teldupostur
📧;teldupostur;bræv|postur|t-postur|teldupostur
📨;innkomandi brævbjálvi;bræv|brævbjálvi|innkomandi|komandi|postur|t-postur|teldupostur
📩;brævbjálvi og pílur;bræv|brævbjálvi|brævbjálvi og pílur|postur|t-postur|teldupostur
📤;útgangandi brævabakki;bræv|brævabakki|postur|t-postur|teldupostur|útgangandi
📥;innkomandi brævabakki;bræv|brævabakki|innkomandi|postur|t-postur|teldupostur
📦;pakki;boks|eskja|farmavøra|kolli|pakki|vøra
📫;afturlatin postkassi við standandi flaggi;afturlatin|afturlatin postkassi við standandi flaggi|bræv|flagg|post|postkassi|postur|standandi
📪;afturlatin postkassi við liggjandi flaggi;afturlatin|afturlatin postkassi við liggjandi flaggi|bræv|flagg|liggjandi|post|postkassi|postur
📬;opin postkassi við standandi flaggi;bræv|flagg|opin|opin postkassi við standandi flaggi|post|postkassi|postur|standandi
📭;opin postkassi við liggjandi flaggi;bræv|flagg|liggjandi|opin|opin postkassi við liggjandi flaggi|post|postkassi|postur
📮;postkassi;bræv|post|postkassi|postur
🗳️;atkvøðukassi;atkvøða|atkvøðukassi|kassi|stemma|val
