# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
🤌;tʼipsisqa rukanakuna;maki gestu|rukanakuna|sawkalli|tapurikuy|tʼipisqa|tʼipsisqa rukanakuna
	🤌🏻;tʼipsisqa rukanakuna: chuya qara niraq;chuya qara niraq|maki gestu|rukanakuna|sawkalli|tapurikuy|tʼipisqa|tʼipsisqa rukanakuna
	🤌🏼;tʼipsisqa rukanakuna: tunpa chuya qara niraq;maki gestu|rukanakuna|sawkalli|tapurikuy|tunpa chuya qara niraq|tʼipisqa|tʼipsisqa rukanakuna
	🤌🏽;tʼipsisqa rukanakuna: tunpa qara niraq;maki gestu|rukanakuna|sawkalli|tapurikuy|tunpa qara niraq|tʼipisqa|tʼipsisqa rukanakuna
	🤌🏾;tʼipsisqa rukanakuna: tunpa yana qara niraq;maki gestu|rukanakuna|sawkalli|tapurikuy|tunpa yana qara niraq|tʼipisqa|tʼipsisqa rukanakuna
	🤌🏿;tʼipsisqa rukanakuna: yana qara niraq;maki gestu|rukanakuna|sawkalli|tapurikuy|tʼipisqa|tʼipsisqa rukanakuna|yana qara niraq
🤏;tʼipsisqa maki;huchuy chanin|tʼipsisqa maki
	🤏🏻;tʼipsisqa maki: chuya qara niraq;chuya qara niraq|huchuy chanin|tʼipsisqa maki
	🤏🏼;tʼipsisqa maki: tunpa chuya qara niraq;huchuy chanin|tunpa chuya qara niraq|tʼipsisqa maki
	🤏🏽;tʼipsisqa maki: tunpa qara niraq;huchuy chanin|tunpa qara niraq|tʼipsisqa maki
	🤏🏾;tʼipsisqa maki: tunpa yana qara niraq;huchuy chanin|tunpa yana qara niraq|tʼipsisqa maki
	🤏🏿;tʼipsisqa maki: yana qara niraq;huchuy chanin|tʼipsisqa maki|yana qara niraq
✌️;yalli maki;maki|v|yalli
	✌🏻;yalli maki: chuya qara niraq;chuya qara niraq|maki|v|yalli
	✌🏼;yalli maki: tunpa chuya qara niraq;maki|tunpa chuya qara niraq|v|yalli
	✌🏽;yalli maki: tunpa qara niraq;maki|tunpa qara niraq|v|yalli
	✌🏾;yalli maki: tunpa yana qara niraq;maki|tunpa yana qara niraq|v|yalli
