# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🤵🏽;runa tuxedopi: tunpa qara niraq;machu wayna|runa|runa tuxedopi|tunpa qara niraq|tuxedo
	🤵🏾;runa tuxedopi: tunpa yana qara niraq;machu wayna|runa|runa tuxedopi|tunpa yana qara niraq|tuxedo
	🤵🏿;runa tuxedopi: yana qara niraq;machu wayna|runa|runa tuxedopi|tuxedo|yana qara niraq
🤵‍♂️;runa esmoquinwan;esmoquin|runa esmoquinwan|tata
	🤵🏻‍♂️;runa esmoquinwan: chuya qara niraq;chuya qara niraq|esmoquin|runa esmoquinwan|tata
	🤵🏼‍♂️;runa esmoquinwan: tunpa chuya qara niraq;esmoquin|runa esmoquinwan|tata|tunpa chuya qara niraq
	🤵🏽‍♂️;runa esmoquinwan: tunpa qara niraq;esmoquin|runa esmoquinwan|tata|tunpa qara niraq
	🤵🏾‍♂️;runa esmoquinwan: tunpa yana qara niraq;esmoquin|runa esmoquinwan|tata|tunpa yana qara niraq
	🤵🏿‍♂️;runa esmoquinwan: yana qara niraq;esmoquin|runa esmoquinwan|tata|yana qara niraq
🤵‍♀️;warmi tuxedopi;tuxedo|warmi|warmi tuxedopi
	🤵🏻‍♀️;warmi tuxedopi: chuya qara niraq;chuya qara niraq|tuxedo|warmi|warmi tuxedopi
	🤵🏼‍♀️;warmi tuxedopi: tunpa chuya qara niraq;tunpa chuya qara niraq|tuxedo|warmi|warmi tuxedopi
	🤵🏽‍♀️;warmi tuxedopi: tunpa qara niraq;tunpa qara niraq|tuxedo|warmi|warmi tuxedopi
	🤵🏾‍♀️;warmi tuxedopi: tunpa yana qara niraq;tunpa yana qara niraq|tuxedo|warmi|warmi tuxedopi
	🤵🏿‍♀️;warmi tuxedopi: yana qara niraq;tuxedo|warmi|warmi tuxedopi|yana qara niraq
👰;runa velowan;runa|runa velowan|salla|sawa|velo
	👰🏻;runa velowan: chuya qara niraq;chuya qara niraq|runa|runa velowan|salla|sawa|velo
	👰🏼;runa velowan: tunpa chuya qara niraq;runa|runa velowan|salla|sawa|tunpa chuya qara niraq|velo
	👰🏽;runa velowan: tunpa qara niraq;runa|runa velowan|salla|sawa|tunpa qara niraq|velo
	👰🏾;runa velowan: tunpa yana qara niraq;runa|runa velowan|salla|sawa|tunpa yana qara niraq|velo
	👰🏿;runa velowan: yana qara niraq;runa|runa velowan|salla|sawa|velo|yana qara niraq
👰‍♂️;runa velopi;runa|runa velopi|velo
	👰🏻‍♂️;runa velopi: chuya qara niraq;chuya qara niraq|runa|runa velopi|velo
	👰🏼‍♂️;runa velopi: tunpa chuya qara niraq;runa|runa velopi|tunpa chuya qara niraq|velo
	👰🏽‍♂️;runa velopi: tunpa qara niraq;runa|runa velopi|tunpa qara niraq|velo
	👰🏾‍♂️;runa velopi: tunpa yana qara niraq;runa|runa velopi|tunpa yana qara niraq|velo
	👰🏿‍♂️;runa velopi: yana qara niraq;runa|runa velopi|velo|yana qara niraq
👰‍♀️;warmi velopi;velo|warmi|warmi velopi
	👰🏻‍♀️;warmi velopi: chuya qara niraq;chuya qara niraq|velo|warmi|warmi velopi
	👰🏼‍♀️;warmi velopi: tunpa chuya qara niraq;tunpa chuya qara niraq|velo|warmi|warmi velopi
	👰🏽‍♀️;warmi velopi: tunpa qara niraq;tunpa qara niraq|velo|warmi|warmi velopi
	👰🏾‍♀️;warmi velopi: tunpa yana qara niraq;tunpa yana qara niraq|velo|warmi|warmi velopi
	👰🏿‍♀️;warmi velopi: yana qara niraq;velo|warmi|warmi velopi|yana qara niraq
🤰;wiksayuq warmi;warmi|wiksayuq
	🤰🏻;wiksayuq warmi: chuya qara niraq;chuya qara niraq|warmi|wiksayuq
	🤰🏼;wiksayuq warmi: tunpa chuya qara niraq;tunpa chuya qara niraq|warmi|wiksayuq
	🤰🏽;wiksayuq warmi: tunpa qara niraq;tunpa qara niraq|warmi|wiksayuq
	🤰🏾;wiksayuq warmi: tunpa yana qara niraq;tunpa yana qara niraq|warmi|wiksayuq
	🤰🏿;wiksayuq warmi: yana qara niraq;warmi|wiksayuq|yana qara niraq
🫃;qari wiksayuq;hunta|puputi|qari wiksayuq|wiksayuq|yawarniyuq
	🫃🏻;qari wiksayuq: chuya qara niraq;chuya qara niraq|hunta|puputi|qari wiksayuq|wiksayuq|yawarniyuq
	🫃🏼;qari wiksayuq: tunpa chuya qara niraq;hunta|puputi|qari wiksayuq|tunpa chuya qara niraq|wiksayuq|yawarniyuq
	🫃🏽;qari wiksayuq: tunpa qara niraq;hunta|puputi|qari wiksayuq|tunpa qara niraq|wiksayuq|yawarniyuq
	🫃🏾;qari wiksayuq: tunpa yana qara niraq;hunta|puputi|qari wiksayuq|tunpa yana qara niraq|wiksayuq|yawarniyuq
	🫃🏿;qari wiksayuq: yana qara niraq;hunta|puputi|qari wiksayuq|wiksayuq|yana qara niraq|yawarniyuq
🫄;wiksayuq runa;hunta|wiksayuq|wiksayuq runa|yawarniyuq
	🫄🏻;wiksayuq runa: chuya qara niraq;chuya qara niraq|hunta|wiksayuq|wiksayuq runa|yawarniyuq
	🫄🏼;wiksayuq runa: tunpa chuya qara niraq;hunta|tunpa chuya qara niraq|wiksayuq|wiksayuq runa|yawarniyuq
	🫄🏽;wiksayuq runa: tunpa qara niraq;hunta|tunpa qara niraq|wiksayuq|wiksayuq runa|yawarniyuq
	🫄🏾;wiksayuq runa: tunpa yana qara niraq;hunta|tunpa yana qara niraq|wiksayuq|wiksayuq runa|yawarniyuq
	🫄🏿;wiksayuq runa: yana qara niraq;hunta|wiksayuq|wiksayuq runa|yana qara niraq|yawarniyuq
🤱;ñuñuchiy;ñuñu|ñuñuchiy|ñuñuq|wawa
	🤱🏻;ñuñuchiy: chuya qara niraq;chuya qara niraq|ñuñu|ñuñuchiy|ñuñuq|wawa
	🤱🏼;ñuñuchiy: tunpa chuya qara niraq;ñuñu|ñuñuchiy|ñuñuq|tunpa chuya qara niraq|wawa
	🤱🏽;ñuñuchiy: tunpa qara niraq;ñuñu|ñuñuchiy|ñuñuq|tunpa qara niraq|wawa
	🤱🏾;ñuñuchiy: tunpa yana qara niraq;ñuñu|ñuñuchiy|ñuñuq|tunpa yana qara niraq|wawa
	🤱🏿;ñuñuchiy: yana qara niraq;ñuñu|ñuñuchiy|ñuñuq|wawa|yana qara niraq
👩‍🍼;warmi wawata ñuñuchichkan;enfermeria|ñuñuchiy|warmi|warmi wawata ñuñuchichkan|wawa
	👩🏻‍🍼;warmi wawata ñuñuchichkan: chuya qara niraq;chuya qara niraq|enfermeria|ñuñuchiy|warmi|warmi wawata ñuñuchichkan|wawa
	👩🏼‍🍼;warmi wawata ñuñuchichkan: tunpa chuya qara niraq;enfermeria|ñuñuchiy|tunpa chuya qara niraq|warmi|warmi wawata ñuñuchichkan|wawa
	👩🏽‍🍼;warmi wawata ñuñuchichkan: tunpa qara niraq;enfermeria|ñuñuchiy|tunpa qara niraq|warmi|warmi wawata ñuñuchichkan|wawa
	👩🏾‍🍼;warmi wawata ñuñuchichkan: tunpa yana qara niraq;enfermeria|ñuñuchiy|tunpa yana qara niraq|warmi|warmi wawata ñuñuchichkan|wawa
	👩🏿‍🍼;warmi wawata ñuñuchichkan: yana qara niraq;enfermeria|ñuñuchiy|warmi|warmi wawata ñuñuchichkan|wawa|yana qara niraq
👨‍🍼;runa wawata ñuñuchichkan;enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|wawa
	👨🏻‍🍼;runa wawata ñuñuchichkan: chuya qara niraq;chuya qara niraq|enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|wawa
	👨🏼‍🍼;runa wawata ñuñuchichkan: tunpa chuya qara niraq;enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|tunpa chuya qara niraq|wawa
	👨🏽‍🍼;runa wawata ñuñuchichkan: tunpa qara niraq;enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|tunpa qara niraq|wawa
	👨🏾‍🍼;runa wawata ñuñuchichkan: tunpa yana qara niraq;enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|tunpa yana qara niraq|wawa
	👨🏿‍🍼;runa wawata ñuñuchichkan: yana qara niraq;enfermeria|ñuñuchiy|runa|runa wawata ñuñuchichkan|wawa|yana qara niraq
🧑‍🍼;runa wawawan ñuñuchichkan;enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|wawa
	🧑🏻‍🍼;runa wawawan ñuñuchichkan: chuya qara niraq;chuya qara niraq|enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|wawa
	🧑🏼‍🍼;runa wawawan ñuñuchichkan: tunpa chuya qara niraq;enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|tunpa chuya qara niraq|wawa
	🧑🏽‍🍼;runa wawawan ñuñuchichkan: tunpa qara niraq;enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|tunpa qara niraq|wawa
	🧑🏾‍🍼;runa wawawan ñuñuchichkan: tunpa yana qara niraq;enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|tunpa yana qara niraq|wawa
	🧑🏿‍🍼;runa wawawan ñuñuchichkan: yana qara niraq;enfermeria|ñuñuchichkan|runa|runa wawawan ñuñuchichkan|wawa|yana qara niraq
👼;wawa angel;angel|fantasia|hadas willana|uya|wawa
	👼🏻;wawa angel: chuya qara niraq;angel|chuya qara niraq|fantasia|hadas willana|uya|wawa
	👼🏼;wawa angel: tunpa chuya qara niraq;angel|fantasia|hadas willana|tunpa chuya qara niraq|uya|wawa
	👼🏽;wawa angel: tunpa qara niraq;angel|fantasia|hadas willana|tunpa qara niraq|uya|wawa
	👼🏾;wawa angel: tunpa yana qara niraq;angel|fantasia|hadas willana|tunpa yana qara niraq|uya|wawa
	👼🏿;wawa angel: yana qara niraq;angel|fantasia|hadas willana|uya|wawa|yana qara niraq
🎅;Papa Noel;Navidad|noel|papa|raymi|tata
	🎅🏻;Papa Noel: chuya qara niraq;chuya qara niraq|Navidad|noel|papa|raymi|tata
	🎅🏼;Papa Noel: tunpa chuya qara niraq;Navidad|noel|papa|raymi|tata|tunpa chuya qara niraq
	🎅🏽;Papa Noel: tunpa qara niraq;Navidad|noel|papa|raymi|tata|tunpa qara niraq
	🎅🏾;Papa Noel: tunpa yana qara niraq;Navidad|noel|papa|raymi|tata|tunpa yana qara niraq
	🎅🏿;Papa Noel: yana qara niraq;Navidad|noel|papa|raymi|tata|yana qara niraq
🤶;Mama Noel;mama|Navidad|noel|raymi
	🤶🏻;Mama Noel: chuya qara niraq;chuya qara niraq|mama|Navidad|noel|raymi
	🤶🏼;Mama Noel: tunpa chuya qara niraq;mama|Navidad|noel|raymi|tunpa chuya qara niraq
	🤶🏽;Mama Noel: tunpa qara niraq;mama|Navidad|noel|raymi|tunpa qara niraq
	🤶🏾;Mama Noel: tunpa yana qara niraq;mama|Navidad|noel|raymi|tunpa yana qara niraq
	🤶🏿;Mama Noel: yana qara niraq;mama|Navidad|noel|raymi|yana qara niraq
🧑‍🎄;mx claus;claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|willay
	🧑🏻‍🎄;mx claus: chuya qara niraq;chuya qara niraq|claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|willay
	🧑🏼‍🎄;mx claus: tunpa chuya qara niraq;claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|tunpa chuya qara niraq|willay
	🧑🏽‍🎄;mx claus: tunpa qara niraq;claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|tunpa qara niraq|willay
	🧑🏾‍🎄;mx claus: tunpa yana qara niraq;claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|tunpa yana qara niraq|willay
	🧑🏿‍🎄;mx claus: yana qara niraq;claus|fantasia|kusi|kusisqa|Mx|Navidad|raymi|santa|willay|yana qara niraq
🦸;superheroe;allin|heroe|heroina|superheroe|superpoder
	🦸🏻;superheroe: chuya qara niraq;allin|chuya qara niraq|heroe|heroina|superheroe|superpoder
	🦸🏼;superheroe: tunpa chuya qara niraq;allin|heroe|heroina|superheroe|superpoder|tunpa chuya qara niraq
	🦸🏽;superheroe: tunpa qara niraq;allin|heroe|heroina|superheroe|superpoder|tunpa qara niraq
	🦸🏾;superheroe: tunpa yana qara niraq;allin|heroe|heroina|superheroe|superpoder|tunpa yana qara niraq
	🦸🏿;superheroe: yana qara niraq;allin|heroe|heroina|superheroe|superpoder|yana qara niraq
🦸‍♂️;runa superheroe;allin|heroe|runa|runa superheroe|superpoder
	🦸🏻‍♂️;runa superheroe: chuya qara niraq;allin|chuya qara niraq|heroe|runa|runa superheroe|superpoder
	🦸🏼‍♂️;runa superheroe: tunpa chuya qara niraq;allin|heroe|runa|runa superheroe|superpoder|tunpa chuya qara niraq
	🦸🏽‍♂️;runa superheroe: tunpa qara niraq;allin|heroe|runa|runa superheroe|superpoder|tunpa qara niraq
	🦸🏾‍♂️;runa superheroe: tunpa yana qara niraq;allin|heroe|runa|runa superheroe|superpoder|tunpa yana qara niraq
	🦸🏿‍♂️;runa superheroe: yana qara niraq;allin|heroe|runa|runa superheroe|superpoder|yana qara niraq
🦸‍♀️;warmi superheroe;allin|heroe|heroina|superpoder|warmi|warmi superheroe
	🦸🏻‍♀️;warmi superheroe: chuya qara niraq;allin|chuya qara niraq|heroe|heroina|superpoder|warmi|warmi superheroe
	🦸🏼‍♀️;warmi superheroe: tunpa chuya qara niraq;allin|heroe|heroina|superpoder|tunpa chuya qara niraq|warmi|warmi superheroe
	🦸🏽‍♀️;warmi superheroe: tunpa qara niraq;allin|heroe|heroina|superpoder|tunpa qara niraq|warmi|warmi superheroe
	🦸🏾‍♀️;warmi superheroe: tunpa yana qara niraq;allin|heroe|heroina|superpoder|tunpa yana qara niraq|warmi|warmi superheroe
	🦸🏿‍♀️;warmi superheroe: yana qara niraq;allin|heroe|heroina|superpoder|warmi|warmi superheroe|yana qara niraq
🦹;supervillano;criminal|supay|superpoder|supervillano|villano
	🦹🏻;supervillano: chuya qara niraq;chuya qara niraq|criminal|supay|superpoder|supervillano|villano
	🦹🏼;supervillano: tunpa chuya qara niraq;criminal|supay|superpoder|supervillano|tunpa chuya qara niraq|villano
	🦹🏽;supervillano: tunpa qara niraq;criminal|supay|superpoder|supervillano|tunpa qara niraq|villano
	🦹🏾;supervillano: tunpa yana qara niraq;criminal|supay|superpoder|supervillano|tunpa yana qara niraq|villano
	🦹🏿;supervillano: yana qara niraq;criminal|supay|superpoder|supervillano|villano|yana qara niraq
🦹‍♂️;runa supervillano;criminal|runa|runa supervillano|supay|superpoder|villano
	🦹🏻‍♂️;runa supervillano: chuya qara niraq;chuya qara niraq|criminal|runa|runa supervillano|supay|superpoder|villano
	🦹🏼‍♂️;runa supervillano: tunpa chuya qara niraq;criminal|runa|runa supervillano|supay|superpoder|tunpa chuya qara niraq|villano
	🦹🏽‍♂️;runa supervillano: tunpa qara niraq;criminal|runa|runa supervillano|supay|superpoder|tunpa qara niraq|villano
	🦹🏾‍♂️;runa supervillano: tunpa yana qara niraq;criminal|runa|runa supervillano|supay|superpoder|tunpa yana qara niraq|villano
	🦹🏿‍♂️;runa supervillano: yana qara niraq;criminal|runa|runa supervillano|supay|superpoder|villano|yana qara niraq
🦹‍♀️;warmi supervillana;criminal|supay|superpoder|villana|warmi|warmi supervillana
	🦹🏻‍♀️;warmi supervillana: chuya qara niraq;chuya qara niraq|criminal|supay|superpoder|villana|warmi|warmi supervillana
	🦹🏼‍♀️;warmi supervillana: tunpa chuya qara niraq;criminal|supay|superpoder|tunpa chuya qara niraq|villana|warmi|warmi supervillana
	🦹🏽‍♀️;warmi supervillana: tunpa qara niraq;criminal|supay|superpoder|tunpa qara niraq|villana|warmi|warmi supervillana
	🦹🏾‍♀️;warmi supervillana: tunpa yana qara niraq;criminal|supay|superpoder|tunpa yana qara niraq|villana|warmi|warmi supervillana
	🦹🏿‍♀️;warmi supervillana: yana qara niraq;criminal|supay|superpoder|villana|warmi|warmi supervillana|yana qara niraq
🧙;watuq;runa layqa|runa watuq|warmi layqa|warmi watuq|watuq
	🧙🏻;watuq: chuya qara niraq;chuya qara niraq|runa layqa|runa watuq|warmi layqa|warmi watuq|watuq
	🧙🏼;watuq: tunpa chuya qara niraq;runa layqa|runa watuq|tunpa chuya qara niraq|warmi layqa|warmi watuq|watuq
	🧙🏽;watuq: tunpa qara niraq;runa layqa|runa watuq|tunpa qara niraq|warmi layqa|warmi watuq|watuq
	🧙🏾;watuq: tunpa yana qara niraq;runa layqa|runa watuq|tunpa yana qara niraq|warmi layqa|warmi watuq|watuq
	🧙🏿;watuq: yana qara niraq;runa layqa|runa watuq|warmi layqa|warmi watuq|watuq|yana qara niraq
🧙‍♂️;tata watuq;layqa|tata watuq|watuq
	🧙🏻‍♂️;tata watuq: chuya qara niraq;chuya qara niraq|layqa|tata watuq|watuq
	🧙🏼‍♂️;tata watuq: tunpa chuya qara niraq;layqa|tata watuq|tunpa chuya qara niraq|watuq
	🧙🏽‍♂️;tata watuq: tunpa qara niraq;layqa|tata watuq|tunpa qara niraq|watuq
	🧙🏾‍♂️;tata watuq: tunpa yana qara niraq;layqa|tata watuq|tunpa yana qara niraq|watuq
	🧙🏿‍♂️;tata watuq: yana qara niraq;layqa|tata watuq|watuq|yana qara niraq
🧙‍♀️;warmi watuq;bruja|layqa|warmi watuq
	🧙🏻‍♀️;warmi watuq: chuya qara niraq;bruja|chuya qara niraq|layqa|warmi watuq
	🧙🏼‍♀️;warmi watuq: tunpa chuya qara niraq;bruja|layqa|tunpa chuya qara niraq|warmi watuq
	🧙🏽‍♀️;warmi watuq: tunpa qara niraq;bruja|layqa|tunpa qara niraq|warmi watuq
	🧙🏾‍♀️;warmi watuq: tunpa yana qara niraq;bruja|layqa|tunpa yana qara niraq|warmi watuq
	🧙🏿‍♀️;warmi watuq: yana qara niraq;bruja|layqa|warmi watuq|yana qara niraq
🧚;hada;hada|Oberon|Puck|Titania
	🧚🏻;hada: chuya qara niraq;chuya qara niraq|hada|Oberon|Puck|Titania
	🧚🏼;hada: tunpa chuya qara niraq;hada|Oberon|Puck|Titania|tunpa chuya qara niraq
	🧚🏽;hada: tunpa qara niraq;hada|Oberon|Puck|Titania|tunpa qara niraq
	🧚🏾;hada: tunpa yana qara niraq;hada|Oberon|Puck|Titania|tunpa yana qara niraq
	🧚🏿;hada: yana qara niraq;hada|Oberon|Puck|Titania|yana qara niraq
🧚‍♂️;tata hada;Oberon|Puck|tata hada
	🧚🏻‍♂️;tata hada: chuya qara niraq;chuya qara niraq|Oberon|Puck|tata hada
	🧚🏼‍♂️;tata hada: tunpa chuya qara niraq;Oberon|Puck|tata hada|tunpa chuya qara niraq
	🧚🏽‍♂️;tata hada: tunpa qara niraq;Oberon|Puck|tata hada|tunpa qara niraq
	🧚🏾‍♂️;tata hada: tunpa yana qara niraq;Oberon|Puck|tata hada|tunpa yana qara niraq
	🧚🏿‍♂️;tata hada: yana qara niraq;Oberon|Puck|tata hada|yana qara niraq
🧚‍♀️;warmi hada;Titania|warmi hada
	🧚🏻‍♀️;warmi hada: chuya qara niraq;chuya qara niraq|Titania|warmi hada
	🧚🏼‍♀️;warmi hada: tunpa chuya qara niraq;Titania|tunpa chuya qara niraq|warmi hada
	🧚🏽‍♀️;warmi hada: tunpa qara niraq;Titania|tunpa qara niraq|warmi hada
	🧚🏾‍♀️;warmi hada: tunpa yana qara niraq;Titania|tunpa yana qara niraq|warmi hada
	🧚🏿‍♀️;warmi hada: yana qara niraq;Titania|warmi hada|yana qara niraq
🧛;vampiro;Dracula|mana wañusqa|vampiro
	🧛🏻;vampiro: chuya qara niraq;chuya qara niraq|Dracula|mana wañusqa|vampiro
	🧛🏼;vampiro: tunpa chuya qara niraq;Dracula|mana wañusqa|tunpa chuya qara niraq|vampiro
	🧛🏽;vampiro: tunpa qara niraq;Dracula|mana wañusqa|tunpa qara niraq|vampiro
	🧛🏾;vampiro: tunpa yana qara niraq;Dracula|mana wañusqa|tunpa yana qara niraq|vampiro
	🧛🏿;vampiro: yana qara niraq;Dracula|mana wañusqa|vampiro|yana qara niraq
🧛‍♂️;tata vampiro;Dracula|mana wañusqa|tata vampiro
	🧛🏻‍♂️;tata vampiro: chuya qara niraq;chuya qara niraq|Dracula|mana wañusqa|tata vampiro
	🧛🏼‍♂️;tata vampiro: tunpa chuya qara niraq;Dracula|mana wañusqa|tata vampiro|tunpa chuya qara niraq
	🧛🏽‍♂️;tata vampiro: tunpa qara niraq;Dracula|mana wañusqa|tata vampiro|tunpa qara niraq
	🧛🏾‍♂️;tata vampiro: tunpa yana qara niraq;Dracula|mana wañusqa|tata vampiro|tunpa yana qara niraq
	🧛🏿‍♂️;tata vampiro: yana qara niraq;Dracula|mana wañusqa|tata vampiro|yana qara niraq
🧛‍♀️;warmi vampiro;mana wañusqa|warmi vampiro
	🧛🏻‍♀️;warmi vampiro: chuya qara niraq;chuya qara niraq|mana wañusqa|warmi vampiro
	🧛🏼‍♀️;warmi vampiro: tunpa chuya qara niraq;mana wañusqa|tunpa chuya qara niraq|warmi vampiro
	🧛🏽‍♀️;warmi vampiro: tunpa qara niraq;mana wañusqa|tunpa qara niraq|warmi vampiro
	🧛🏾‍♀️;warmi vampiro: tunpa yana qara niraq;mana wañusqa|tunpa yana qara niraq|warmi vampiro
	🧛🏿‍♀️;warmi vampiro: yana qara niraq;mana wañusqa|warmi vampiro|yana qara niraq
🧜;runa sirena;runa sirena|sirena|tata triton|warmi sirena
	🧜🏻;runa sirena: chuya qara niraq;chuya qara niraq|runa sirena|sirena|tata triton|warmi sirena
	🧜🏼;runa sirena: tunpa chuya qara niraq;runa sirena|sirena|tata triton|tunpa chuya qara niraq|warmi sirena
	🧜🏽;runa sirena: tunpa qara niraq;runa sirena|sirena|tata triton|tunpa qara niraq|warmi sirena
	🧜🏾;runa sirena: tunpa yana qara niraq;runa sirena|sirena|tata triton|tunpa yana qara niraq|warmi sirena
	🧜🏿;runa sirena: yana qara niraq;runa sirena|sirena|tata triton|warmi sirena|yana qara niraq
🧜‍♂️;tata triton;tata triton|Triton
	🧜🏻‍♂️;tata triton: chuya qara niraq;chuya qara niraq|tata triton|Triton
	🧜🏼‍♂️;tata triton: tunpa chuya qara niraq;tata triton|Triton|tunpa chuya qara niraq
	🧜🏽‍♂️;tata triton: tunpa qara niraq;tata triton|Triton|tunpa qara niraq
	🧜🏾‍♂️;tata triton: tunpa yana qara niraq;tata triton|Triton|tunpa yana qara niraq
	🧜🏿‍♂️;tata triton: yana qara niraq;tata triton|Triton|yana qara niraq
🧜‍♀️;sirena;sirena|warmi sirena
	🧜🏻‍♀️;sirena: chuya qara niraq;chuya qara niraq|sirena|warmi sirena
	🧜🏼‍♀️;sirena: tunpa chuya qara niraq;sirena|tunpa chuya qara niraq|warmi sirena
	🧜🏽‍♀️;sirena: tunpa qara niraq;sirena|tunpa qara niraq|warmi sirena
	🧜🏾‍♀️;sirena: tunpa yana qara niraq;sirena|tunpa yana qara niraq|warmi sirena
	🧜🏿‍♀️;sirena: yana qara niraq;sirena|warmi sirena|yana qara niraq
🧝;elfo;elfo|magico
	🧝🏻;elfo: chuya qara niraq;chuya qara niraq|elfo|magico
	🧝🏼;elfo: tunpa chuya qara niraq;elfo|magico|tunpa chuya qara niraq
	🧝🏽;elfo: tunpa qara niraq;elfo|magico|tunpa qara niraq
	🧝🏾;elfo: tunpa yana qara niraq;elfo|magico|tunpa yana qara niraq
	🧝🏿;elfo: yana qara niraq;elfo|magico|yana qara niraq
🧝‍♂️;tata elfo;magico|tata elfo
	🧝🏻‍♂️;tata elfo: chuya qara niraq;chuya qara niraq|magico|tata elfo
	🧝🏼‍♂️;tata elfo: tunpa chuya qara niraq;magico|tata elfo|tunpa chuya qara niraq
	🧝🏽‍♂️;tata elfo: tunpa qara niraq;magico|tata elfo|tunpa qara niraq
	🧝🏾‍♂️;tata elfo: tunpa yana qara niraq;magico|tata elfo|tunpa yana qara niraq
	🧝🏿‍♂️;tata elfo: yana qara niraq;magico|tata elfo|yana qara niraq
