# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
🌛;weeru xaaj bu njëkk;kanam|weer|weeru xaaj bu njëkk|xaaj bu njëkk
🌜;weeru ñeenteelu xaaj;kanam|weer|weeru ñeenteelu xaaj|xaaj bu njëkk
🌡️;termomeetar;klimaa|termomeetar
☀️;jant;jant|naaj|reyoŋ|yànj
🌝;weer ñumm bu am kanam;kanam|ñumm|weer|weer ñumm bu am kanam|yànj
🌞;jant bu am kanam;jant|jant bu am kanam|kanam|yànj
🪐;;
⭐;biddeew, weexaay bu yam;biddeew|biddeew, weexaay bu yam|weexaay bu yam
🌟;biddeew tàkk;biddeew|leeraay|tàkk|yànj|yànjaay
🌠;biddeew buy daw;biddeew|biddeew buy daw|daanu|dóor
🌌;asamaan aki biddéew;asamaan aki biddéew|espaas
☁️;niir;klimaa|niir
⛅;jant ci ginaaw niir;jant ci ginaaw niir|niir|sun
⛈️;niir ak melax ak taw;dënd|niir|niir ak melax ak taw|taw
🌤️;jant ci ginaaw niir wu ndaw;jant ci ginaaw niir wu ndaw|niir|sun
🌥️;jant ci ginaaw niir wu rëy;jant ci ginaaw niir wu rëy|niir|sun
🌦️;jant ci ginaaw taw niir;jant|jant ci ginaaw taw niir|niir|taw
🌧️;niir ak taw;niir|niir ak taw|taw
🌨️;niir ak nees;nees|niir|niir ak nees|sedd
🌩️;niir ak melax;melax|niir|niir ak melax
🌪️;Tawu-ngelaw;niir|Tawu-ngelaw|turbiyoŋ
🌫️;ab lay;ab lay|niir
🌬️;kanamu ngelaw;kanam|kanamu ngelaw|ngelaw|niir|uppu
🌀;ngelaw luy wëndeelu;laxas|miir|ngelaw luy wëndeelu|tifoŋ
🌈;xon;taw|xon
🌂;parasol bu tëju;parasol|parasol bu tëju|taw|yéere
☂️;parasol;parasol|taw|yéere
☔;parasol bu am toqu taw;parasol|parasol bu am toqu taw|taw|toq|yéere
⛱️;parasol ci kaw suuf;jant|parasol|parasol ci kaw suuf|taw
⚡;kuuraŋ bu am doole;bu kuuraŋ|dmer|kuuraŋ|kuuraŋ bu am doole|melax|woltaas|zap
❄️;donju nees;donju nees|nees|sedd
☃️;bonomu-nees;bonomu-nees|nees|sedd
⛄;nitu nees bu amul nees;bonomu-nees|nees|nitu nees bu amul nees|sedd
☄️;komet;espaas|komet
🔥;xal;flaam|jumtukaay|xal
💧;toqu ndox;ñàq|reelu|sedd|toq|toqu ndox
🌊;duusu ndox;duusu ndox|ndox|oseyaŋ|tàllal

[activities]
🎃;naajo alowiin;alowiin|jak|làntern|màggal|naajo alowiin
🎄;garabu nowel;garab|garabu nowel|màggal|nowel
🎆;petaaru artifis;màggal|petaaru artifis
🎇;potu sondeel;ferñeent|màggal|petaaru artifis|potu sondeel
🧨;;
✨;ferñeent;biddeew|ferñeent
🎈;baloŋ;baloŋ|màggal
🎉;bombu taabal;bombu taabal|màggal|përëm|swaare|tada
🎊;mànqu konfeti;konfeti|màggal|mànq|mànqu konfeti
🎋;garabu tanabata;garab|garabu tanabata|màggal|raaya|Sapone
🎍;taaralukaayu sapeŋ;bàmbu|màggal|pain|Sapone|taaralukaayu sapeŋ
🎎;pupe sapone;fanaal|màggal|pupe|Sapone
🎏;bàndarolu waas;bàndarol|bàndarolu waas|màggal|waas
🎐;gittaxu keseŋ-keseŋ;gittaxu keseŋ-keseŋ|joolooli|keseŋ-keseŋ|màggal|ngelaw
🎑;séentu weer;màggal|séentu weer|weer
🧧;;
🎀;ribaŋ;màggal|ribaŋ
🎁;kado buñ ëmb;boyet|ëmb|kado|kado buñ ëmb|màggal|neexal
🎗️;ribaŋu fàttalikaay;fàttalikaay|màggal|ribaŋ|ribaŋu fàttalikaay
🎟️;biye dugg;biye|dugg
🎫;biye;biye|dugg
🎖️;medaayu militeer;màggal|medaay|medaayu militeer|militeer
🏆;kup;kup|pri
🏅;medaayu tàggat-yaram;medaay|medaayu tàggat-yaram
🥇;medaayu plaas 1;medaay|medaayu plaas 1|njëkk|wurus
🥈;medaayu plaas 2;medaay|medaayu plaas 2|ñaareel|xaalis
🥉;medaayu plaas 3;medaay|medaayu plaas 3|ñatteel|përëm
⚽;balu futbal;bal|balu futbal|football|futbal
⚾;besbóol;bal|besbóol
🥎;;
🏀;basket;bal|basket|sersóo
🏐;wolebal;bal|po|wolebal
🏈;futbalu amerik;american|bal|futbal|futbalu amerik
🏉;futbalu rigbi;bal|futbal|futbalu rigbi|rigbi
🎾;tenis;bal|raket|tenis
🥏;;
🎳;buliŋ;bal|buliŋ|po
🏏;powum kriket;bal|po|powum kriket|yat
🏑;hockey ci ñax;bal|hockey|hockey ci ñax|po|teereŋ|yat
🏒;hockey ci galaas;glaas|hockey|hockey ci galaas|po|puk|yat
🥍;;
🏓;ping pong;bal|bat|dóorukaay|ping pong|po|taabalu tenis
🏸;badminton;badminton|balu-badminton|birdie|po|raket
🥊;gaŋu boksër;boksër|gaŋu
🥋;kimono defkatu aar;aar marsiyoo|judo|karate|kimono|kimono defkatu aar|taekwondo
🥅;caaxu kaaŋ;caax|caaxu kaaŋ|kaaŋ
⛳;raaya ci pax;golf|pax|raaya ci pax
⛸️;patee ci galaas;glaas|patee|patee ci galaas
🎣;bantu nappukaay;bantu nappukaay|jën|póol
🤿;;
🎽;mbubu tàggat-yaram;daw|dawkat|mbubu tàggat-yaram|sash|sëmiis
🎿;skis;nees|ski|skis
🛷;trenóo;sareetu peer nowel|trenóo
🥌;xeeru kërliŋ;po|rok|xeeru kërliŋ
🎯;dóor bu jub;bët|bëtu nag|ci digg bi|dóor bu jub|fett|jam|nag|po
🪀;;
🪁;;
🔫;pistole;fetal|jumtukaay|ngànnaay|pistole
🎱;biyaar 8 bal;8|bal|biyaar|juróom ñatt|po
🔮;bulu kristaal;bul|bulu kristaal|feem|jumtukaay|kristaal|léebu fee|wërsëg
🪄;;
🎮;powum wideo;manet|po|powum wideo
🕹️;joystick;joystick|po|powu wideo
🎰;masinu xaalis;masin|masinu xaalis|xaalis
🎲;deewu lido;dee|deewu lido|faatu|po
🧩;;
🧸;;
🪅;;
🪩;;
🪆;;
♠️;pikk yépp;kàrt|pikk yépp|po
♥️;kër yépp;kàrt|kër yépp|po
♦️;karo yépp;karo yépp|kàrt|po
♣️;treefal yépp;kàrt|po|treefal yépp
♟️;;
🃏;jokeer;jokeer|kàrt|po
🀄;dragon mahjong bu xonk;dragon mahjong bu xonk|mahjong|po|xonk
🎴;kàrti fulër;fowe|fulër|kàrt|kàrti fulër|po|Sapone
🎭;yëngu ci aar;art|def|mask|teyaatar|yëngu ci aar
🖼️;nataal buñ kaadare;art|kaadar|muse|nataal|nataal buñ kaadare|pentiir
🎨;boolu pentiirukaay;art|boolu pentiirukaay|muse|palette|pentiir
🧵;woñ;
🪡;;
🧶;;
🪢;;

[objects]
👓;linet;bët|bëtweer|linet|lunet|yéere
🕶️;nuwaarfime;bët|lëndëm|lunet|nuwaarfime|weer
🥽;;
🥼;;
🦺;;
👔;karawaat;karawaat|yéere
👕;tiset;sëmiis|tiset|yéere
👖;jiin;jiin|pàntaloŋ|tubëy|yéere
🧣;kol;baat|kol
🧤;gant;gant|loxo
🧥;màntóo;jaket|màntóo
🧦;kawas;denc|kawas
👗;robbu;robbu|yéere
👘;kimono;kimono|yéere
🥻;;
🩱;;
🩲;;
🩳;;
👙;bikini;bikini|féey|yéere
👚;yéere jigéen;jigéen|yéere
🪭;;
👛;nafa;nafa|piyees|yéere
👜;saagu loxo;bag|nafa|saagu loxo|yéere
👝;poset;poos|poset|saag|yéere
🛍️;saagu ndugg;ndugg|otel|saag|saagu ndugg
🎒;saagu ndongo daara;daara|saag|saagu ndongo daara|satchel
🩴;;
👞;dàllu góor;dàll|dàllu góor|góor|yéere
👟;dàllu daw;atletik|dàll|dàllu daw|sneaker|yéere
🥾;;
🥿;;
👠;koket yu gudd;dàll|jigéen|koket yu gudd|taloŋ|yéere
👡;caraxu jigéen;carax|caraxu jigéen|dàll|jigéen|yéere
🩰;;
👢;botu jigééen;bot|botu jigééen|dàll|jigéen|yéere
🪮;;
👑;kuron;buur|kuron|lingeer|yéere
👒;mbaxane jigeen;jigéen|mbaxane|mbaxane jigeen|yéere
🎩;mbaxane joniwalkër;kaw|mbaxane|mbaxane joniwalkër|topmbaxane|yéere
🎓;mbaxane lijaasa;joxe-lijaasa|kap|màggal|mbaxane|mbaxane lijaasa|yéere
🧢;kap;kap|mbaxane baseball
🪖;;
⛑️;mbaxane-kaaraange wallukat;kanam|kruwaa|mbaxane|mbaxane-kaaraange|mbaxane-kaaraange wallukat|ndimbal
📿;kurus;càq|diine|jaamukat|kurus|per|yéere
💄;xonkal tuñ;kosmetik|makiyaas|xonkal tuñ
💍;jaaro;jaaro|jamaa
💎;xeer wu seer;gem|jamaa|takkaay|xeer wu seer
🔇;oparlër buñ noppiloo;cellaaral|noppi|oparlër buñ noppiloo|waxkat
🔈;oparlër buy wax ndànk;ndànk|oparlër buy wax ndànk
🔉;oparlër bu xumbul noonu;oparlër bu xumbul noonu|yam
🔊;oparlër bu xumbul lool;oparlër bu xumbul lool|xumb
📢;baafal;baafal|dëkkuwaayu ñépp|xumb
📣;megafon;brawoo|megafon
📯;mbiibu bataaxal;bataaxal|mbiibu|post
🔔;joolooli;joolooli
🔕;joolooli ak buum;bul|cellaaral|déet|joolooli|joolooli ak buum|luñ aaye|luñ tere|noppi
🎼;kle misik;kle|misik
🎵;arafu misik;araf|arafu misik|misik
🎶;arafi misik;araf|araf yi|arafi misik|misik
🎙️;mikrofonu studio;mikro|mikrofon|mikrofonu studio|misik|studio
🎚️;xàjjalekaayu dayo;dayo|misik|xàjjalekaay|xàjjalekaayu dayo
🎛️;bitoŋu yokk/wàññi;bitoŋ|bitoŋu yokk/wàññi|misik|yokk/wàññi
🎤;mikrofon;karaoke|mikro|mikrofon
🎧;kasku misik;ekutër|kasku misik
📻;rajo;rajo|wideo
🎷;saksofon;jumtukaay|misik|saks|saksofon
🎺;trompet;jumtukaay|misik|trompet
🪊;;
🪗;;
🎸;gitaar;gitaar|jumtukaay|misik
🎹;klawiyee misik;jumtukaay|klaawiyee|klawiyee misik|misik|piano
🎻;violon;jumtukaay|misik|violon
🪕;;
🥁;ndënd;galañ|misik|ndënd
🪘;;
🪇;;
🪈;;
🪉;;
📱;telefon portaabal;portaabal|telefon
📲;telefon portaabal ak fett;fett|jot|portaabal|telefon|telefon portaabal ak fett|woote
☎️;telefon;telefon
📞;kombine telefon;kombine|telefon
📟;bipër;bipër
📠;faks;faks|fakse
🔋;batiri;batiri
🪫;;
🔌;priisu kuuraŋ;bu-kuuraŋ|kuuraŋ|priis|priisu kuuraŋ
💻;ordi portaabal;benn-nit|ordi portaabal|ordinatër|pc
🖥️;ordi-biro ordinatër;ordi-biro|ordinatër
🖨️;emprimaant;emprimaant|ordinatër
⌨️;klaawiyee;klaawiyee|ordinatër
🖱️;suuri ordinatër;ordinatër|suuri ordinatër
🖲️;trackball;ordinatër|trackball
💽;disku ordi;bu-optik|disk|disk bu ndaw|disku ordi|ordinatër
💾;disket;disk|disket|ordinatër
💿;disk optik;bu-optik|cd|disk|disk optik|ordinatër
📀;dvd;blu-ray|bu-optik|disk|dvd|ordinatër
🧮;;
🎥;kameraa filmu;filmu|kameraa filmu|nataalukaay|sinemaa
🎞️;kaadaru klise;film|kaadar|kaadaru klise|klise|sinemaa
📽️;prosektër filmu;filmu|klise|prosektër|sinemaa|wideo
🎬;klapet;filmu|klapet
📺;tele;tele|wideo
📷;nataalukaay;nataalukaay|wideo
📸;nataalukaay bu ànd ak flaas;flash|nataalukaay|nataalukaay bu ànd ak flaas|wideo
📹;nataalukaay wideo;kameraa wideo|nataalukaay wideo
📼;kasetu wideo;bànk|kasetu wideo|vhs|wideo
🔍;lup bu féete càmmoñ;jumtukaay|lup bu féete càmmoñ|rëyal|seet|weer
🔎;lup bu féete ndijoor;jumtukaay|lup bu féete ndijoor|rëyal|seet|weer
🕯️;sondeel;làmp|sondeel
💡;àmpul;àmpul|bu-kuuraŋ|làmp|reelu|xalaat
🔦;làmp-tors;bu-kuuraŋ|jumtukaay|làmp-tors|light
🏮;làntern bu xonk;laat|làmp|làntern|làntern bu xonk|xonk
🪔;;
📔;kàrne bu ànd ak kubéer gu rafet;buñ-taaral|kàrne|kàrne bu ànd ak kubéer gu rafet|kubéer|téere
📕;téere bu tëju;buñ tëj|téere|téere bu tëju
📖;téere bu ubbiku;téere|téere bu ubbiku|ubbeeku
📗;téere bu wert;téere|téere bu wert|wert
📘;téere bu baxa;baxa|téere|téere bu baxa
📙;téere bu oraas;oraas|téere|téere bu oraas
📚;téere yi;téere|téere yi
📓;kàrne;kàrne
📒;téere bu rëy;kàrne|téere bu rëy
📃;këyit wuñ lem muus wi;këyit wuñ lem muus wi|lemu|wayndare|xët
📜;tawal;këyit|tawal
📄;kanam gu téen;kanam gu téen|wayndare|xët
📰;këyitu xibaar;këyit|këyitu xibaar|xibaar
🗞️;këyitu xibaar buñ lem;këyit|këyitu xibaar|këyitu xibaar buñ lem|rolled|xibaar
📑;boole ci yi ma gënal;boole ci yi ma gënal|laf yi|xàmme|xàmme-téere|xàmmekaay
🔖;xàmme-téere;xàmme|xàmme-téere
🏷️;màndarga;màndarga
🪙;;
💰;saagu xaalis;dolaar|saagu xaalis|saak|xaalis
🪎;;
💴;biye yen;bànk|biye|koppar|xaalis|xaalisu këyit|yen
💵;biye dolaar;bànk|biye|biye dolaar|dollar|koppar|xaalis|xaalisu këyit
💶;biye euro;bànk|biye|euro|koppar|xaalis|xaalisu këyit
💷;piye pound;bànk|biye|koppar|piye pound|pound|xaalis|xaalisu këyit
💸;xaalis bu am ay laaf;ay laaf|bànk|biye|dollar|fly|xaalis|xaalis bu am ay laaf|xaalisu këyit
💳;kàrtu keredi;bànk|kàrt|kàrtu keredi|keredi|xaalis
🧾;;
💹;grafiku yen buy yéeg;bànk|grafik|grafiku yen buy yéeg|jëm kaw|koppar|kurb|màgg|marse|xaalis|xew|yéeg|yen
✉️;mbaru-bataaxal;bataaxal|imeel|mbaru-bataaxal
📧;bataaxalu net;bataaxal|bataaxalu net|imeel
📨;mbaru-bataaxal biy ñëw;bataaxal|buy ñëw|imeel|jot|mbaru-bataaxal|mbaru-bataaxal biy ñëw
📩;mbaru-bataaxal, am fett;am fett|bataaxal|fett|génn|imeel|mbaru-bataaxal|mbaru-bataaxal, am fett|suuf|yónnee
📤;boyetu-yónne bataaxal;bataaxal|boyet|boyetu-yónne bataaxal|génn-boyet|pañe|yónnee
📥;boyetu-jot bataaxal;bataaxal|boyet|boyetu-jot bataaxal|inbox|jot|pañe
📦;paket;boyet|paket|parsel
📫;boyetu-bataaxal buñ tëj, am raaya buñ yëkkati;am raaya buñ yëkkati|bataaxal|boyetu bataaxal|boyetu post|boyetu-bataaxal buñ tëj|boyetu-bataaxal buñ tëj, am raaya buñ yëkkati|buñ tëj
📪;boyetu-bataaxal buñ tëj, am raaya buñ wàcce;am raaya buñ wàcce|bataaxal|boyetu bataaxal|boyetu post|boyetu-bataaxal buñ tëj|boyetu-bataaxal buñ tëj, am raaya buñ wàcce|buñ tëj|wàcce
📬;boyetu-bataaxal buñ ubbi, am raaya buñ yëkkati;am raaya buñ yëkkati|bataaxal|boyetu bataaxal|boyetu post|boyetu-bataaxal buñ ubbi|boyetu-bataaxal buñ ubbi, am raaya buñ yëkkati|ubbeeku
📭;boyetu-bataaxal buñ ubbi, am raaya buñ wàcce;am raaya buñ wàcce|bataaxal|boyetu bataaxal|boyetu post|boyetu-bataaxal buñ ubbi|boyetu-bataaxal buñ ubbi, am raaya buñ wàcce|lowexonk|ubbeeku
📮;boyetu-leetar;bataaxal|boyetu bataaxal|boyetu-leetar
🗳️;boyetu-wote ak kàrtu-wote;boyet|boyetu-wote ak kàrtu-wote|kàrtu-wote
✏️;kreyoŋ;kreyoŋ
✒️;dik fëtar;bik|dik fëtar|fëtar
🖋️;estilo;bik|estilo|plim
🖊️;bik;bik|bik-sempal
🖌️;borosu-pentiir;borosu-pentiir|pentiir
🖍️;kreyoŋ kulër;kreyoŋ kulër
📝;karmat;karmat|kreyoŋ
💼;waliis wu ndaw;waliis wu ndaw
📁;ëmbu taxañ;ëmbu|taxañ
📂;ubbi ëmbu taxañ;ëmb|taxañ|ubbeeku|ubbi ëmbu taxañ
🗂️;xàjjalekaayu limu kàrt;kàrt|lim|xaajalekaay|xàjjalekaayu limu kàrt
📅;arminaat;arminaat|bis
📆;arminaatu xotti-kayit;arminaat|arminaatu xotti-kayit
🗒️;bloknot bu am weñ;am weñ|blok|bloknot bu am weñ|not
🗓️;arminaat bu am weñ;arminaat|arminaat bu am weñ|blok|bu am weñ
📇;limu këyit;kàrt|limu|limu këyit|rolodex
📈;grafik buy yéeg;grafik|grafik buy yéeg|kurb|màgg|xew|yéeg
📉;tablo buy wàcci;grafik|kurb|suuf|tablo buy wàcci|xew
📊;jagraamu bànd;grafik|jagraamu bànd|kurb|laat
📋;klasëru kepp-kayit;klasëru kepp-kayit
📌;pasarel;pasarel|pinees
📍;bitoŋ bu roŋ;bitoŋ bu roŋ|pinees
📎;trombon;trombon
🖇️;trombonu këyit yuñ lëkkale;lëkkale|trombonu këyit yuñ lëkkale|trombonu këyitu
📏;reegal bu jub;jub pegg|reegal|reegal bu jub
📐;reegal bu am jëmmu triyàngal;def|reegal|reegal bu am jëmmu triyàngal|triyàngal
✂️;siso;dagg|jumtukaay|siso
🗃️;boyetu kàrtu taxañ;boyet|boyetu kàrtu taxañ|kàrt|taxañ
🗄️;tirwaaru taxañ;def taxañ|taxañ|tirwaar|tirwaaru taxañ
🗑️;pañe mbalit;pañe mbalit
🔒;tëj nañu ko;tëj nañu ko|ub nañu ko
🔓;tijji nañu ko;caabi|tijji|tijji nañu ko|ubbi
🔏;tëj nañu ko ak bik;bik|caabu|daa|fëtar|suturlu|tëj nañu ko ak bik
🔐;tëj nañu ko ak caabi;key|tëj|tëj nañu ko|tëj nañu ko ak caabi|wóor
🔑;caabi;baatu-jàll|caabi
🗝️;caabi ju yàgg;caabi|caabi ju yàgg|màgget|tegtal
🔨;marto;jumtukaay|marto
🪓;séemeñ;
⛏️;pik;jumtukaay|miin|pik
⚒️;marto ak pik;jumtukaay|marto|marto ak pik|pik
🛠️;marto ak kle;jumtukaay|kle|marto|marto ak kle
🗡️;paaka;ngànnaay|paaka
⚔️;bu am kruwaa eppee;bu am kruwaa|bu am kruwaa eppee|eppee|ngànnaay
💣;bomb;bomb|reelu
🪃;;
🏹;ark bu ànd ak fett;ark|ark bu ànd ak fett|fett|jumtukaay|ngànnaay|Sagiteer|sojak
🛡️;kiiraay;kiiraay|ngànnaay
🪚;;
🔧;kle;jumtukaay|kle
🪛;;
🔩;buloŋ ak wiisam;buloŋ|buloŋ ak wiisam|jumtukaay|nut
⚙️;piñoŋ;jumtukaay|piñoŋ
🗜️;tënaaj;jumtukaay|kompres|tënaaj|wiis
⚖️;balaasu peesekaay;balaas|balaasu peesekaay|jumtukaay|peese|sojak|yoon
🦯;;
🔗;lëkkalekaay;lëkkalekaay
⛓️‍💥;;
⛓️;ceen;ceen
🪝;lonka;
🧰;;
🧲;;
🪜;;
🪏;;
⚗️;alembik;alembik|jumtukaay|simi
🧪;;
🧫;;
🧬;;
🔬;mikroskop;jumtukaay|mikroskop|xarala
🔭;teleskop;jumtukaay|teleskop|xarala
📡;àntenu satelit;ànten|àntenu satelit|satelit|sukup
💉;pikiir;doktor|jam|jumtukaay|medsin|pikiir|puso|sik
🩸;;
💊;garab;doktor|feebar|garab|medsin
🩹;;
🩼;;
🩺;;
🩻;;
🚪;buntu;buntu
🛗;asansëër;
🪞;seetu;
🪟;palanteer;
🛏️;lal;lal|nelaw|otel
🛋️;kanape and làmp;kanape|làmp|otel
🪑;;
🚽;wanag;wanag
🪠;;
🚿;duus;duus|ndox
🛁;beñuwaar;beñuwaar|sangu
🪤;;
🪒;raasuwaar;
🧴;;
🧷;;
🧹;bale;
🧺;pañe;
🧻;;
🪣;;
🧼;saabu;
🫧;bax;
🪥;borosada;
🧽;;
🧯;;
🛒;puus-puusu bagaas;ndugg|puus-puus|puus-puusu bagaas|sariyoo
🚬;sigaret;sigaret|tox
⚰️;keesu-néew;dee|keesu-néew
🪦;;
⚱️;urnu dëj;dee|dëj|dóomu-taal|urn|urnu dëj
🧿;;
🪬;;
🗿;moai;estati|kanam|moai|moyai
🪧;;
🪪;;

[symbols]
🏧;màndarga ATM;atm|bànk|màndarga ATM|otomated|waxkat
🚮;màndarga mbalit ci pot;màndarga mbalit ci pot|mbalit|potu mbalit
🚰;ndox mu sell;naan|ndox|ndox mu sell|sell
♿;màndarga puus-puus;jot|màndarga puus-puus
🚹;néegu góor ñi;duus|góor|néegu góor ñi|noppalukaay|wc
🚺;néegu jigéen ñi;duus|jigéen|néegu jigéen ñi|noppalukaay|wc
🚻;néegu noppalukaay;duus|néegu noppalukaay|noppalukaay|WC
🚼;màndarga liir;fomp|liir|màndarga liir
🚾;tuurukaayu ndox;duus|ndox|noppalukaay|tuurukaayu ndox|wanag|wc
🛂;xool sa paaspoor;paaspoor|xool|xool sa paaspoor
🛃;duwaan;duwaan
🛄;laajte say bagaas;bagaas|laajte|laajte say bagaas
🛅;bagaas yiñ bàyyi;bagaas|bagaas yiñ bàyyi|làkk|tëjukaay
⚠️;moytul;moytul
🚸;xale yi dañu fiy jaar;jeggi|ñiy dox|tali|xale|xale yi dañu fiy jaar
⛔;bu fi kenn dugg;bu fi kenn dugg|bul|déet|dugg|luñ aaye|luñ tere|tali
🚫;dañu koy tere;bul|dañu koy tere|déet|dugg|luñ tere
🚳;bu fi kenn dawal welo;bu fi kenn dawal welo|bul|déet|luñ aaye|luñ tere|welo
🚭;bu fi kenn tox;bu fi kenn tox|bul|déet|luñ aaye|luñ tere|tox
🚯;bu fi kenn sànni mbalit;bu fi kenn sànni mbalit|bul|déet|litter|luñ aaye|luñ tere
🚱;ndox mii sellul;bu sellul|ndox|ndox mii sellul|sellul
🚷;bu kenn dox jaar fii;bu kenn dox jaar fii|bul|déet|kiy dox|luñ aaye|luñ tere
📵;dañu fi tere portaabal;bul|dañu fi tere portaabal|déet|luñ aaye|luñ tere|portaabal|telefon
🔞;ku amul 18 at bokkul;18|bul|déet|fukk ak juróom ñatt|gune|ku amul 18 at bokkul|luñ aaye|luñ tere|tere-gune
☢️;radioaktif;màndarga|radioaktif
☣️;risku-bio;màndarga|risku-bio
⬆️;fettu kaw;fett|fettu kaw|gànnaar|jubluwaay|kàrdinal
↗️;fettu ndijooru kaw;fett|fettu ndijooru kaw|interkàrdinal|jubluwaay|penku-gànnaar
➡️;fettu ndijoor;fett|fettu ndijoor|jubluwaay|kàrdinal|penku
↘️;suuf-ndijoor fett;direction|fett|interkàrdinal|penku-gànjool|suuf-ndijoor fett
⬇️;fettu suuf;direction|fett|fettu suuf|gànjool|kàrdinal|suuf
↙️;suuf-càmmoñ fett;fett|interkàrdinal|jubluwaay|sowwu-gànjool|suuf-càmmoñ fett
⬅️;fettu càmmoñ;fett|fettu càmmoñ|jubluwaay|kàrdinal|sowwu
↖️;fettu càmmoñu-kaw;direction|fett|fettu càmmoñu-kaw|interkàrdinal|sowwu-gànnaar
↕️;fettu suufu-kaw;fett|fettu suufu-kaw
↔️;fettu càmmoñu-ndijoor;fett|fettu càmmoñu-ndijoor
↩️;fettu ndijoor lemoo càmmoñ;fett|fettu ndijoor lemoo càmmoñ
↪️;fettu càmmoñ lemoo ndijoor;fett|fettu càmmoñ lemoo ndijoor
⤴️;fettu ndijoor lemoo kaw;fett|fettu ndijoor lemoo kaw
⤵️;fettu ndijoor lemoo suuf;fett|fettu ndijoor lemoo suuf|suuf
🔃;fett yu ci yoonu montar;ci yoonu montar|fett|fett yu ci yoonu montar|yabaat
🔄;bitoŋu fett yu juuyoo te safaan-montar;bitoŋu fett yu juuyoo te safaan-montar|fett|juuyoo|safaan-montar|yoonal
🔙;fettu DELLU;fett|fettu DELLU|montar
🔚;fettu JEEX;fett|fettu JEEX|jeex
🔛;fettu ci TAAL;fett|fettu ci TAAL|mark|taal
🔜;fettu CI KANAM;ci kanam|fett|fettu CI KANAM
🔝;fettu COLLU;cat|fett|fettu COLLU|kaw
🛐;barabu jaamukaay;barabu jaamukaay|diine|jaamu
⚛️;màndarga atom;atom|màndarga atom|yéefar
🕉️;om;diine|Endo|om
✡️;biddeew of Dawuda;biddeew|biddeew of Dawuda|Dawuda|diine|Yawuut
☸️;pëno dharma;Buddhist|dharma|diine|pëno
☯️;yin yang;diine|tao|wu-tao|yang|yin
✝️;kruwaa lateŋ;diine|Kreceŋ|kruwaa|kruwaa lateŋ
☦️;kruwaa ortodoks;diine|Kreceŋ|kruwaa|kruwaa ortodoks
☪️;biddeew ak weer;biddeew ak weer|diine|islam|Jullit
☮️;màndarga jàmm;jàmm|màndarga jàmm
🕎;menorah;diine|menorah|sondeel|tegukaayu sondeel
🔯;biddéewu 6 car;biddeew|biddéewu 6 car|wërsëk
🪯;;
♈;Kuy;Kuy|ram|sojak
♉;Nag wu góor;nag|Nag wu góor|sojak|yékk
♊;Jemóo;ay seex|Jemóo|sojak
♋;Kàŋseer;junxoob|Kàŋseer|sojak
♌;Gaynde;Gaynde|lion|sojak
♍;Wiyerse;sojak|Wiyerse
♎;Balaas;Balaas|sojak|yoon
♏;Eskorpiyoŋ;Eskorpiyoŋ|jiit|sojak
♐;Sajiteer;ark|Sajiteer|sojak
♑;Kaprikorn;bëy|Kaprikorn|sojak
♒;Wersóo;ndox|sojak|Wersóo|yanukat
♓;Jën yi;jën|Jën yi|sojak
⛎;U buñ baare;jaan|sojak|U buñ baare|yanukat
🔀;bitoŋu jaxase way yi;bitoŋu jaxase way yi|bu am kruwaa|fett
🔁;bitoŋu baamtu;baamtu|bitoŋu baamtu|ci yoonu montar|fett
🔂;bitoŋu benn baamtu;benn-yoon|bitoŋu benn baamtu|ci yoonu montar|fett
▶️;bitoŋu doxal;bitoŋu doxal|doxal|fett|ndijoor|triyangal
⏩;bitoŋu jëmale kanam gaaw;bitoŋu jëmale kanam gaaw|fett|gaaw|jëmale kanam|ñaarte
⏭️;bitoŋu way wi topp;bitoŋu way wi topp|fett|seen bi ci topp|triyangal|way wi ci topp
⏯️;bitoŋu doxal wala taxawal;bitoŋu doxal wala taxawal|doxal|fett|ndijoor|taxawal|triyangal
◀️;bitoŋu delloo ginaaw;bitoŋu delloo ginaaw|càmmoñ|delloo ginaaw|fett|triayangal
⏪;bitoŋu delloo ginaaw gaaw;bitoŋu delloo ginaaw gaaw|delloo|fett|ñaarte
⏮️;bitoŋu way wi mujj;bitoŋu way wi mujj|fett|seen bi weesu|triayangal|way wi weesu
🔼;bitoŋu yéegal;bitoŋ|bitoŋu yéegal|fett|xonk
⏫;bitoŋu gaawal yéegal;bitoŋu gaawal yéegal|fett|ñaarte
🔽;bitoŋu wàcce;bitoŋ|bitoŋu wàcce|fett|suuf|xonk
⏬;bitoŋu gaawal wàcce;bitoŋu gaawal wàcce|fett|ñaarte|suuf
⏸️;bitoŋu taxawal;bitoŋu taxawal|laat|ñaarte|taxaw|taxawal
⏹️;bitoŋu dakkal;bitoŋu dakkal|dakkal|kaare
⏺️;bitoŋu enregistare;bitoŋu enregistare|enregistare|serkal
⏏️;bitoŋu génne;bitoŋu génne|génne
🎦;sinemaa;film|kamera|klise|sinemaa
🔅;bitoŋu lëndëm;bitoŋu lëndëm|suufe|yam|yànjaay
🔆;bitoŋu leeraay;bitoŋu leeraay|yànj|yànjaay
📶;baari reso;ànten|baari reso|laat|portaabal|siñaal|telefon
