# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
	👌🏿;laxo waaw-kay: xeesaayu der bu ñuul;laxo waaw-kay|loxo|waaw-kay|xeesaayu der bu ñuul
🤌;dompat baaraam;
	🤌🏻;dompat baaraam: xeesaayu der bu woyof;xeesaayu der bu woyof
	🤌🏼;dompat baaraam: xeesaayu der bu xeereer;xeesaayu der bu xeereer
	🤌🏽;dompat baaraam: xeesaayu der bu yam;xeesaayu der bu yam
	🤌🏾;dompat baaraam: xeesaayu der bu xawa ñuul;xeesaayu der bu xawa ñuul
	🤌🏿;dompat baaraam: xeesaayu der bu ñuul;xeesaayu der bu ñuul
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;loxo ndam;jaam|jaam loxo|ndam|v
	✌🏻;loxo ndam: xeesaayu der bu woyof;jaam|jaam loxo|ndam|v|xeesaayu der bu woyof
	✌🏼;loxo ndam: xeesaayu der bu xeereer;jaam|jaam loxo|ndam|v|xeesaayu der bu xeereer
	✌🏽;loxo ndam: xeesaayu der bu yam;jaam|jaam loxo|ndam|v|xeesaayu der bu yam
	✌🏾;loxo ndam: xeesaayu der bu xawa ñuul;jaam|jaam loxo|ndam|v|xeesaayu der bu xawa ñuul
	✌🏿;loxo ndam: xeesaayu der bu ñuul;jaam|jaam loxo|ndam|v|xeesaayu der bu ñuul
🤞;laxasante ñaari baaraam;baaraam|laxasante ñaari baaraam|loxo|wërsëk
	🤞🏻;laxasante ñaari baaraam: xeesaayu der bu woyof;baaraam|laxasante ñaari baaraam|loxo|wërsëk|xeesaayu der bu woyof
	🤞🏼;laxasante ñaari baaraam: xeesaayu der bu xeereer;baaraam|laxasante ñaari baaraam|loxo|wërsëk|xeesaayu der bu xeereer
	🤞🏽;laxasante ñaari baaraam: xeesaayu der bu yam;baaraam|laxasante ñaari baaraam|loxo|wërsëk|xeesaayu der bu yam
	🤞🏾;laxasante ñaari baaraam: xeesaayu der bu xawa ñuul;baaraam|laxasante ñaari baaraam|loxo|wërsëk|xeesaayu der bu xawa ñuul
	🤞🏿;laxasante ñaari baaraam: xeesaayu der bu ñuul;baaraam|laxasante ñaari baaraam|loxo|wërsëk|xeesaayu der bu ñuul
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;liyaar mbëggeel;ILY|liyaar mbëggeel|loxo
	🤟🏻;liyaar mbëggeel: xeesaayu der bu woyof;ILY|liyaar mbëggeel|loxo|xeesaayu der bu woyof
	🤟🏼;liyaar mbëggeel: xeesaayu der bu xeereer;ILY|liyaar mbëggeel|loxo|xeesaayu der bu xeereer
	🤟🏽;liyaar mbëggeel: xeesaayu der bu yam;ILY|liyaar mbëggeel|loxo|xeesaayu der bu yam
	🤟🏾;liyaar mbëggeel: xeesaayu der bu xawa ñuul;ILY|liyaar mbëggeel|loxo|xeesaayu der bu xawa ñuul
	🤟🏿;liyaar mbëggeel: xeesaayu der bu ñuul;ILY|liyaar mbëggeel|loxo|xeesaayu der bu ñuul
🤘;loxo def màndarga béjjen;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen
	🤘🏻;loxo def màndarga béjjen: xeesaayu der bu woyof;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen|xeesaayu der bu woyof
	🤘🏼;loxo def màndarga béjjen: xeesaayu der bu xeereer;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen|xeesaayu der bu xeereer
	🤘🏽;loxo def màndarga béjjen: xeesaayu der bu yam;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen|xeesaayu der bu yam
	🤘🏾;loxo def màndarga béjjen: xeesaayu der bu xawa ñuul;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen|xeesaayu der bu xawa ñuul
	🤘🏿;loxo def màndarga béjjen: xeesaayu der bu ñuul;baaraam|béjjen|lem|loxo|loxo def màndarga béjjen|xeesaayu der bu ñuul
🤙;loxo nanga ma woo;loxo|loxo nanga ma woo|woote
	🤙🏻;loxo nanga ma woo: xeesaayu der bu woyof;loxo|loxo nanga ma woo|woote|xeesaayu der bu woyof
	🤙🏼;loxo nanga ma woo: xeesaayu der bu xeereer;loxo|loxo nanga ma woo|woote|xeesaayu der bu xeereer
	🤙🏽;loxo nanga ma woo: xeesaayu der bu yam;loxo|loxo nanga ma woo|woote|xeesaayu der bu yam
	🤙🏾;loxo nanga ma woo: xeesaayu der bu xawa ñuul;loxo|loxo nanga ma woo|woote|xeesaayu der bu xawa ñuul
	🤙🏿;loxo nanga ma woo: xeesaayu der bu ñuul;loxo|loxo nanga ma woo|woote|xeesaayu der bu ñuul
👈;ginaaw loxo buy joxoñ càmmoñ;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo
	👈🏻;ginaaw loxo buy joxoñ càmmoñ: xeesaayu der bu woyof;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo|xeesaayu der bu woyof
