# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	🤘🏻;uphawu lweempondo: ithoni yesikhumba esikhanyayo;iimpondo|isandla|ithoni yesikhumba esikhanyayo|qhubeka|umnwe|uphawu lweempondo
	🤘🏼;uphawu lweempondo: ithoni yesikhumba esikhanyayo phakathi;iimpondo|isandla|ithoni yesikhumba esikhanyayo phakathi|qhubeka|umnwe|uphawu lweempondo
	🤘🏽;uphawu lweempondo: ithoni yesikhumba esiphakathi;iimpondo|isandla|ithoni yesikhumba esiphakathi|qhubeka|umnwe|uphawu lweempondo
	🤘🏾;uphawu lweempondo: ithoni yesikhumba esiphakathi mnyama;iimpondo|isandla|ithoni yesikhumba esiphakathi mnyama|qhubeka|umnwe|uphawu lweempondo
	🤘🏿;uphawu lweempondo: ithoni yesikhumba emnyama;iimpondo|isandla|ithoni yesikhumba emnyama|qhubeka|umnwe|uphawu lweempondo
🤙;isandla esithi ndifowunele;isandla|isandla esithi ndifowunele|umnxeba
	🤙🏻;isandla esithi ndifowunele: ithoni yesikhumba esikhanyayo;isandla|isandla esithi ndifowunele|ithoni yesikhumba esikhanyayo|umnxeba
	🤙🏼;isandla esithi ndifowunele: ithoni yesikhumba esikhanyayo phakathi;isandla|isandla esithi ndifowunele|ithoni yesikhumba esikhanyayo phakathi|umnxeba
	🤙🏽;isandla esithi ndifowunele: ithoni yesikhumba esiphakathi;isandla|isandla esithi ndifowunele|ithoni yesikhumba esiphakathi|umnxeba
	🤙🏾;isandla esithi ndifowunele: ithoni yesikhumba esiphakathi mnyama;isandla|isandla esithi ndifowunele|ithoni yesikhumba esiphakathi mnyama|umnxeba
	🤙🏿;isandla esithi ndifowunele: ithoni yesikhumba emnyama;isandla|isandla esithi ndifowunele|ithoni yesikhumba emnyama|umnxeba
👈;isalathiso somva wesandla esalatha ekhohlo;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|umnwe|umva wesandla|yalatha
	👈🏻;isalathiso somva wesandla esalatha ekhohlo: ithoni yesikhumba esikhanyayo;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|ithoni yesikhumba esikhanyayo|umnwe|umva wesandla|yalatha
	👈🏼;isalathiso somva wesandla esalatha ekhohlo: ithoni yesikhumba esikhanyayo phakathi;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|ithoni yesikhumba esikhanyayo phakathi|umnwe|umva wesandla|yalatha
