# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	👩🏽‍❤️‍👨🏿;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👩🏾‍❤️‍👨🏻;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👨🏼;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👨🏽;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👨🏾;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👨🏿;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏿‍❤️‍👨🏻;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👩🏿‍❤️‍👨🏼;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏿‍❤️‍👨🏽;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👩🏿‍❤️‍👨🏾;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏿‍❤️‍👨🏿;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|uthando
👨‍❤️‍👨;isibini esinentliziyo: indoda, indoda;indoda|isibini|isibini esinentliziyo|uthando
	👨🏻‍❤️‍👨🏻;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|uthando
	👨🏻‍❤️‍👨🏼;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👨🏻‍❤️‍👨🏽;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👨🏻‍❤️‍👨🏾;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏻‍❤️‍👨🏿;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👨🏼‍❤️‍👨🏻;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👨🏼‍❤️‍👨🏼;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👨🏼‍❤️‍👨🏽;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👨🏼‍❤️‍👨🏾;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏼‍❤️‍👨🏿;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👨🏽‍❤️‍👨🏻;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👨🏽‍❤️‍👨🏼;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👨🏽‍❤️‍👨🏽;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|uthando
	👨🏽‍❤️‍👨🏾;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏽‍❤️‍👨🏿;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👨🏾‍❤️‍👨🏻;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏾‍❤️‍👨🏼;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏾‍❤️‍👨🏽;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏾‍❤️‍👨🏾;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏾‍❤️‍👨🏿;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏿‍❤️‍👨🏻;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👨🏿‍❤️‍👨🏼;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👨🏿‍❤️‍👨🏽;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👨🏿‍❤️‍👨🏾;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👨🏿‍❤️‍👨🏿;isibini esinentliziyo: indoda, indoda, ithoni yesikhumba emnyama;indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|uthando
👩‍❤️‍👩;isibini esinentliziyo: ibhinqa, ibhinqa;ibhinqa|isibini|isibini esinentliziyo|uthando
	👩🏻‍❤️‍👩🏻;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|uthando
	👩🏻‍❤️‍👩🏼;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏻‍❤️‍👩🏽;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👩🏻‍❤️‍👩🏾;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏻‍❤️‍👩🏿;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👩🏼‍❤️‍👩🏻;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏼‍❤️‍👩🏼;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏼‍❤️‍👩🏽;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👩🏼‍❤️‍👩🏾;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏼‍❤️‍👩🏿;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏽‍❤️‍👩🏻;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👩🏼;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👩🏽;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👩🏾;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏽‍❤️‍👩🏿;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👩🏾‍❤️‍👩🏻;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👩🏼;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👩🏽;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👩🏾;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏾‍❤️‍👩🏿;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏿‍❤️‍👩🏻;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👩🏿‍❤️‍👩🏼;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏿‍❤️‍👩🏽;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|uthando
	👩🏿‍❤️‍👩🏾;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏿‍❤️‍👩🏿;isibini esinentliziyo: ibhinqa, ibhinqa, ithoni yesikhumba emnyama;ibhinqa|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|uthando
👨‍👩‍👦;usapho: indoda, ibhinqa, inkwenkwe;ibhinqa|indoda|inkwenkwe|usapho
👨‍👩‍👧;usapho: indoda, ibhinqa, intombazana;ibhinqa|indoda|intombazana|usapho
👨‍👩‍👧‍👦;usapho: indoda, ibhinqa, intombazana, inkwenkwe;ibhinqa|indoda|inkwenkwe|intombazana|usapho
👨‍👩‍👦‍👦;usapho: indoda, ibhinqa, inkwenkwe, inkwenkwe;ibhinqa|indoda|inkwenkwe|usapho
👨‍👩‍👧‍👧;usapho: indoda, ibhinqa, intombazana, intombazana;ibhinqa|indoda|intombazana|usapho
👨‍👨‍👦;usapho: indoda, indoda, inkwenkwe;indoda|inkwenkwe|usapho
👨‍👨‍👧;usapho: indoda, indoda, intombazana;indoda|intombazana|usapho
👨‍👨‍👧‍👦;usapho: indoda, indoda, intombazana, inkwenkwe;indoda|inkwenkwe|intombazana|usapho
👨‍👨‍👦‍👦;usapho: indoda, indoda, inkwenkwe, inkwenkwe;indoda|inkwenkwe|usapho
👨‍👨‍👧‍👧;usapho: indoda, indoda, intombazana, intombazana;indoda|intombazana|usapho
👩‍👩‍👦;usapho: ibhinqa, ibhinqa, inkwenkwe;ibhinqa|inkwenkwe|usapho
👩‍👩‍👧;usapho: ibhinqa, ibhinqa, intombazana;ibhinqa|intombazana|usapho
👩‍👩‍👧‍👦;usapho: ibhinqa, ibhinqa, intombazana, inkwenkwe;ibhinqa|inkwenkwe|intombazana|usapho
👩‍👩‍👦‍👦;usapho: ibhinqa, ibhinqa, inkwenkwe, inkwenkwe;ibhinqa|inkwenkwe|usapho
👩‍👩‍👧‍👧;usapho: ibhinqa, ibhinqa, intombazana, intombazana;ibhinqa|intombazana|usapho
👨‍👦;usapho: indoda, inkwenkwe;indoda|inkwenkwe|usapho
👨‍👦‍👦;usapho: indoda, inkwenkwe, inkwenkwe;indoda|inkwenkwe|usapho
👨‍👧;usapho: indoda, intombazana;indoda|intombazana|usapho
👨‍👧‍👦;usapho: indoda, intombazana, inkwenkwe;indoda|inkwenkwe|intombazana|usapho
👨‍👧‍👧;usapho: indoda, intombazana, intombazana;indoda|intombazana|usapho
👩‍👦;usapho: ibhinqa, inkwenkwe;ibhinqa|inkwenkwe|usapho
👩‍👦‍👦;usapho: ibhinqa, inkwenkwe, inkwenkwe;ibhinqa|inkwenkwe|usapho
👩‍👧;usapho: ibhinqa, intombazana;ibhinqa|intombazana|usapho
👩‍👧‍👦;usapho: ibhinqa, intombazana, inkwenkwe;ibhinqa|inkwenkwe|intombazana|usapho
👩‍👧‍👧;usapho: ibhinqa, intombazana, intombazana;ibhinqa|intombazana|usapho
🗣️;intloko ethethayo;i-silhouette|intloko|intloko ethethayo|thetha|ubuso|ukuthetha
👤;umfanekiso oqingqiweyo wentloko namagxa;intloko namagxa|umfanekiso oqingqiweyo|umfanekiso oqingqiweyo wentloko namagxa
👥;imifanekiso eqingqiweyo yentloko namagxa;imifanekiso eqingqiweyo yentloko namagxa|intloko namagxa|umfanekiso oqingqiweyo
🫂;;
👪;usapho;usapho
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;imizila yeenyawo;imizila yeenyawo|impahla|umzila|umzila weenyawo
🫆;;

[animals_nature]
🐵;ubuso benkawu;inkawu|ubuso|ubuso benkawu
🐒;inkawu;inkawu
🦍;igorila;igorila
🦧;;
🐶;ubuso benja;inja|isilwanyana sasekhaya|ubuso|ubuso benja
🐕;inja;inja|isilwanyana sasekhaya
🦮;;
🐕‍🦺;;
🐩;i-poodle;i-poodle|inja
🐺;ubuso bengcuka;ingcuka|ubuso|ubuso bengcuka
🦊;ubuso bempungutye;impungutye|ubuso|ubuso bempungutye
🦝;;
🐱;ubuso bekati;ikati|isilwanyana sasekhaya|ubuso|ubuso bekati
🐈;ikati;ikati|isilwanyana sasekhaya
🐈‍⬛;;
🦁;ubuso bengonyama;i-Leo|i-zodiac|ingonyama|ubuso|ubuso bengonyama
🐯;ubuso bengwe;ingwe|ubuso|ubuso bengwe
🐅;ingwe;ingwe
🐆;ihlosi;ihlosi
🐴;ubuso behashe;ihashe|ubuso|ubuso behashe
🫎;;
🫏;;
🐎;ihashe;ihashe|ihashe lomdyarho|okukhwela emahasheni|umdyarho
🦄;ubuso bophondo-lunye;ubuso|ubuso bophondo-lunye|uphondo-lunye
🦓;iqhwarhashe;imigca|iqhwarhashe
🦌;ixhama;ixhama
🦬;;
🐮;ubuso benkomo;inkomo|ubuso|ubuso benkomo
🐂;inkunzi yenkomo;i-Taurus|i-zodiac|inkunzi yenkomo
🐃;inyathi yamanzi;amanzi|inyathi|inyathi yamanzi
🐄;inkomo;inkomo
🐷;ubuso behagu;ihagu|ubuso|ubuso behagu
🐖;ihagu;hlwayela|ihagu
🐗;inkunzi yehagu;ihagu|inkunzi yehagu
🐽;impumlo yehagu;ihagu|impumlo|impumlo yehagu|ubuso
🐏;inkunzi yegusha;I-Aries|i-zodiac|igusha|inkunzi|inkunzi yegusha
🐑;imazi yegusha;igusha|imazi|imazi yegusha
🐐;ibhokhwe;I-Capricorn|i-zodiac|ibhokhwe
🐪;inkamela;ilunda|inkamela|inkamela enelunda elinye
🐫;inkamela enamalunda amabini;i-bactrian|ilunda|inkamela|inkamela enamalunda amabini
🦙;;
🦒;indlulamthi;amachaphaza|indlulamthi
🐘;indlovu;indlovu
🦣;;
🦏;umkhombe;umkhombe
🦛;;
🐭;ubuso bempuku;impuku|ubuso|ubuso bempuku
🐁;impuku;impuku
🐀;ibuzi;ibuzi
🐹;ubuso be-hamster;i-hamster|isilwanyana sasekhaya|ubuso|ubuso be-hamster
🐰;ubuso bomvundla;isilwanyana sasekhaya|ubuso|ubuso bomvundla|umvundla
🐇;umvundla;isilwanyana sasekhaya|umvundla
🐿️;i-chipmunk;i-chipmunk
🦫;;
🦔;i-hedgehog;i-hedgehog|nameva
🦇;ilulwane;i-vampire|ilulwane
🐻;ubuso bebhere;ibhere|ubuso|ubuso bebhere
🐻‍❄️;;
🐨;i-koala;i-koala|ibhere
🐼;ubuso bepanda;i-panda|ubuso|ubuso bepanda
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;imizila yethupha;iinyawo|imizila yethupha|ithupha|umzila
🦃;i-turkey;i-turkey|intaka
🐔;inkuku;inkuku|intaka
🐓;inkunzi yenkuku;inkunzi yenkuku|intaka
🐣;intshontsho eliqanduselayo;eliqanduselayo|intaka|intshontsho
🐤;intshontsho;intaka|intshontsho|usana
🐥;intshontsho elijonge ngaphambili;intaka|intshontsho|intshontsho elijonge ngaphambili|usana
🐦;intaka;intaka
🐧;iphengwini;intaka|iphengwini
🕊️;ihobe;bhabha|ihobe|intaka|uxolo
🦅;ukhozi;intaka|ukhozi
🦆;idada;idada|intaka
🦢;;
🦉;isikhova;intaka|isikhova|lumkileyo
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;ubuso besele;isele|ubuso|ubuso besele
🐊;ingwenya;ingwenya
🐢;ufudo;ufudo|ufudo lwamanzi
🦎;icikilishe;icikilishe|isirhubuluzi
🐍;inyoka;i-Ophiuchus|i-zodiac|inyoka|irhamncwa|umthwali
🐲;ubuso be-dragon;i-dragon|intsomi|ubuso|ubuso be-dragon
🐉;i-dragon;i-dragon|intsomi
🦕;i-sauropod;i-brachiosaurus|i-brontosaurus|i-diplodocus|i-sauropod
🦖;I-T-Rex;I-T-Rex|I-Tyrannosaurus Rex
🐳;umnenge otsazisa amanzi;tsazisa amanzi|ubuso|umnenge|umnenge otsazisa amanzi
🐋;umnenge;umnenge
🐬;ihlengesi;i-flipper|ihlengesi
🫍;;
🦭;;
🐟;intlanzi;I-Pisces|i-zodiac|intlanzi
🐠;intlanzi yetropiki;intlanzi|intlanzi yetropiki|itropiki
🐡;i-blowfish;i-blowfish|intlanzi
🦈;ukrebe;intlanzi|ukrebe
🐙;ingwane;ingwane
🐚;iqokobhe elijikelezayo;iqokobhe|iqokobhe elijikelezayo|ujikelezayo
🪸;;
🪼;;
🦀;unonkala;I-Cancer|i-zodiac|unonkala
🦞;;
🦐;inqonci;encinane|i-shellfish|inqonci|ukutya
🦑;i-squid;i-molusc|i-squid|ukutya
🦪;;
🐌;inkumba;inkumba
🦋;ibhabhathane;entle|ibhabhathane|isinambuzane
🐛;incukuthu;incukuthu|isinambuzane
🐜;imbovane;imbovane|isinambuzane
🐝;inyosi yobusi;inyosi|inyosi yobusi|isinambuzane
