# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
🌥️;qorrax ka dambaysa daruur weyn;daruur|qorrax|qorrax ka dambaysa daruur weyn
🌦️;qorrax ka dambaysa daruur roobeed;daruur|qorrax|qorrax ka dambaysa daruur roobeed|roob
🌧️;daruur roobeed;darruur wadata baraf|daruur|daruur roobeed|roob
🌨️;darruur wadata baraf;baraf|darruur wadata baraf|daruur|qaboow
🌩️;daruur hillaac leh;daruur|daruur hillaac leh|hillaac
🌪️;tornaado;daruur|meerkac dabayleed|tornaado
🌫️;ciiryaamo;ciiryaamo|daruur
🌬️;waji dabayl;afuuf|dabayl|daruur|waji
🌀;gufaaco;dabakhsan|duufaan|gufaaco|maroojiye|tayfuun
🌈;qaanso-roobaad;qaanso-roobaad|roob
🌂;dallad xiran;dallad|dallad daboolan|dallad xiran|dhar|roob
☂️;dallad;dallad|dhar|roob
☔;dallad leh dhibco roob;dallad|dallad leh dhibco roob|dhar|dhib|roob
⛱️;daallad dhulka ka taagan;daallad dhulka ka taagan|dallad|dallan ka taagan dhulka|qorrax|roob
⚡;tamar sare;dhawaaq|hilaac|khatar|koronto|maanyo-dab|tamar sare
❄️;baraf-qolof;baraf|baraf-qolof|qaboow
☃️;baraf-naag;baraf|baraf-naag|qaboow
⛄;baraf-naag oo naag la’aan ah;baraf-naag|baraf-naag oo naag la’aan ah|baraf-nin|qaboow
☄️;dhagax-xiddig;dhagax-xiddig|dulduleelaati
🔥;dab;dab|olol|qalab
💧;dhibicda;dhibic|dhibicda|dhidid|majaajilo|qabow
🌊;hirka biyaha;badweyn|hirka biyaha

[activities]
🎃;jack-o-cirifka;cirifka|dabaaldag|halloween|jack|jack-o-cirifka
🎄;geedka Ciid Masiixigga;dabbaaldeg|geed|geed Ciid Masiixi|geedka Ciid Masiixigga
🎆;shaqooyinka dabka;dabaaldag|shaqooyinka dabka
🎇;dhalaaliye;dabaaldag|dhalaali|dhalaaliye|shaqooyinka dabka
🧨;dab-demiyeyaasha;dab-demiyeyaasha|qarxaha|shaqooyinka dabka|walxaha qarxo
✨;dhalaali;*|dhalaali|dhalaalin|xiddig
🎈;baaluun;baaluun|dabaaldag
🎉;dhawaaqa xafladda;dabaaldag|dhawaaq|dhawaaqa xafladda|tada|xaflad
🎊;kubada qarsoon;dabaaldag|kubad|kubada qarsoon|qarsoodi ah
🎋;geedka axdiga;dabaaldag|geed|geedka axdiga|Japenese|naqshadeyn
🎍;geed qurxin;dabaaldag|garas|geed qurxin|geedka|Japanese
🎎;boombalaha Japanese ka;boombalaha Japanese ka|boombalo|dabaaldag|feesto|Japanese
🎏;socodka xargaha;dabaaldag|socodka|socodka xargaha|xargo
🎐;dabeesha musqusha;dabaaldag|dabeel|dabeesha musqusha|gambaleel|musqul
🎑;Munaasabada daawashada dayaxa;dabaaldag|dayax|munaasabad|Munaasabada daawashada dayaxa
🧧;baqshad gaduudan;arag|baqshad gaduudan|baqshad guduudan|hadiyad|hadiyad lacageed|lacag|nasiib wacan
🎀;xabo;dabaaldag|xabo
🎁;hadiyada duuban;dabaaldag|duuban|hadiyad|hadiyada duuban|imminka|sanduuq
🎗️;xabo xasuusin;celeberation|xabo|xasuusin
🎟️;tikidka diiwaangelinta;diiwaan gelin|tikid|tikidka diiwaan gelinta|tikidka diiwaangelinta
🎫;tikid;diiwaan gelin|tikid
🎖️;bilad ciidan;bilad|ciidan|dabaaldag
🏆;koop;koob|koop|qiimo
🏅;bilada ciyaaraha;bilad|bilada ciyaaraha
🥇;bilada kaalinta koowaad;bilad|bilada kaalinta koowaad|dahab|hore
🥈;bilada kaalinta labaad;bilad|bilada kaalinta labaad|labo|qalin
🥉;bilada kaalinta saddexaad;bilad|bilada kaalinta saddexaad|naxaas|saddexaad
⚽;cayaaraha kubada;cayaaraha|cayaaraha kubada|kubad|kubada cagta
⚾;kubada usha;kubad|kubada usha
🥎;kubada usha iyo gacanta;gacan gashi|gashi|kubad|kubada usha iyo gacanta
🏀;kubbadda kolayga;kubad|kubada kolayga|kubbadda kolayga|wareega shabaqa
🏐;kubada gacanta;ciyaar|kubad|kubada gacanta
🏈;kubadda cagta Mareykanka;kubad|kubada cagta|kubadda cagta Mareykanka|Mareykanka
🏉;kubada cagta iyo rugbida;kubad|kubada cagta|kubada cagta iyo rugbida|rugbida
🎾;teeniska;kubad|teeniska|usha teeniska
🥏;diskiga duulaayo;diskiga duulaayo|ugu dambeeyay
🎳;shiishka;cayaar|kubad|shiishka
🏏;cayaarta kirikitka;cayaar|cayaarta kirikitka|kubad|usha kirikitka
🏑;goobta kubada usha;cayaar|goob|goobta kubada usha|kubad|kubada usha|ul
🏒;kubada usha ee barafka;baraf|cayaar|furo|kubada usha|kubada usha ee barafka|ul
🥍;ciyaarta usha orodka;ciyaarta usha orodka|goolka|kubad|ul
🏓;teeniska miiska;ciyaar|jeexan|kubad|kubad ul|kubada miiska|teeniska miiska
🏸;kubada shabaqa;ciyaar|kubada|kubada la tuuro|shabaqa
🥊;gashiga feerka;feerka|gashi|gashiga feerka
🥋;lebiska dagaalka farshaxanka;dagaalka farshaxanka|dagaalka lugta|karatee|lagdin|lebiska|lebiska dagaalka farshaxanka
🥅;shabaqa goolka;goolka|shabaq|shabaqa goolka
⛳;calanka godka;calanka godka|god|kubada la tuuro
⛸️;kan lugu socdo barafka;baraf|kan lugu socdo|kan lugu socdo barafka
🎣;xargaha kalluumeysiga;malaay|xargaha|xargaha kalluumeysiga
🤿;maaskarada quusitaanka;maaskarada quusitaanka|qalabka quusidda|quusidda
🎽;shaatiga orodka;maro|orod|orodada|shaati|shaatiga orodka
🎿;lugu gashi;dhado|lugu gashi|ski
🛷;gaariga barafka;fadhiga gaariga|gaariga barafka|gaariga faraska
🥌;dhagaxa ifa;ciyaar|dhagaxa|dhagaxa ifa
🎯;kudhaca toosan;bartilmaameed|ciyaar|dar|isha dibiga|kudhac|kudhaca toosan
🪀;qaanso;alaabaha caruurta|qaanso|sabbayn
🪁;abitey;abitey|buubid|duulid
🔫;bastoolad;bastoolad|bastoolada ay dhexdu wareegto|hub|qalab|qori|qori gacmeed
🎱;kubada barkada 8;8|biliyaardi|ciyaar|kubad|kubada barkada 8|siddeed
🔮;kubada kareemka;cajiib|kareem|kubad|kubada kareemka|nasiib|qalab|sheeko xariir
🪄;ul mucjiso;mucjiso|saaxir|saaxirad|ul mucjiso
🎮;cayaarta maqal-muuqal;cayaarta maqal-muuqal|ciyaar|ciyaarta maqal-muuqaalka|xakameeye
🕹️;usha farxada;ciyaar|ciyaarta maqal-muuqaalka|usha farxada
🎰;mashiinka kabaha;ciyaar|kabaha|mashiinka kabaha
🎲;ciyaarta dhimashada;ciyaar|ciyaarta dhimashada|dhimo|laandhuu
🧩;gabal xujo;caqli|gabal|is-xerid|sawiro|xujo
🧸;boombalo;boombalo|khudrad|ku ciyaarid|la habeeyay
🪅;boombalaha isbaanishka;boombalaha isbaanishka|dabaabdag|xaflada
🪩;kubada muraayadda;dhaldhalaalka|diskoo|kubada muraayadda|qoob ka ciyaar|xaflad
🪆;buulka boombalaha;boombale|buul galinta boombalaha|buulka boombalaha|buulleeyn|ruushka
♠️;farshaxan;ciyaar|farshaxan|farshaxanka|kaadh
♥️;lebiska qalbiga;ciyaar|kaadh|lebiska qalbiga
♦️;dheemanka lebiska;ciyaar|dheemanka lebiska|kaadh
♣️;lebiska naadiga;ciyaar|kaadh|lebiska naadiga
♟️;jarta fiyooraha;jar|jarta fiyooraha|qiyaano|saanqaade
🃏;jookar;ciyaar|jookar|kaadh|kaadhka xayawaanaha
🀄;mahjong masduulaagii gaduudnaa;ciyaar|gaduud|mahjong|mahjong masduulaagii gaduudnaa|mhjong masduulaagii gaduudnaa
🎴;ubaxa turubka;ciyaar|ciyaarayaa|Japanese|kaadh|ubax|ubaxa turubka
🎭;fulinta farshaxanka;farshaxan|fulinta|fulinta farshaxanka|goobta|masgaraato|masraxa
🖼️;sawirka la wareegay;farshaxan|la wareegay|matxafka|rinjiyeen|sawir|sawir la wareegay|sawirka la wareegay
🎨;farshaxan saxan;farshaxan saxan|farshaxanka|matxafka|rinjiyeen|saxan
🧵;dun;dun|irbadda dharka|tolmada|xarig
🪡;irbada dharka;dhar tolid|dun|dun weeyn|irbad|irbada dharka|tolid|xijaab
🧶;tidcidda;kubbad|Tidcidda|tolliinka
🪢;siriq;gunti|isku xirid|iskushaandeeyn|mara adag|siriq|xarig|xirid

[objects]
👓;muraayado;dhar|indho|indho-gashi|muraayad|muraayad indhood|muraayado
🕶️;muraayada qoraxda;indho|indho-gashi|madow|muraayad|muraayada qoraxda
🥽;murayaadaha ilaalinta;alxamida|dabaasha|ilaalinta isha|muraayadaha ilaalinta|murayaadaha ilaalinta
🥼;koodhka laabka;dhakhtar|koodhka laabka|saynis yahan|tijaabo
🦺;jaakeetka garbo-gaabka ah ee badbaadada;badbaadada|jaakeet|jaakeetka garbo-gaabka ah ee badbaadada|xaalad degdeg ah
👔;taayga qoorta;dhar|taay|taayga qoorta
👕;garan;dhar|garan|shaar
👖;jiinis;dhar|jiinis|surwaal
🧣;safaleeti;qoor|safaleeti
🧤;gacmo-gashi;gacan|gacmo-gashi
🧥;koodh;jaakeet|koodh
🧦;sharibaado;luga-gashi|sharibaado
👗;toob;dhar|toob
👘;kimoono;dhar|kimoono
🥻;saarii;dhar|saarii|toob
🩱;hal calal oo dharka dabaasha ah;hal calal oo dharka dabaasha ah|suudka dabaasha
🩲;nigis;dharka dabaasha|hal calal|nigis|suudka dabaasha
🩳;shoorti;dharka dabaasha|nigis|shoorti|surwaal
👙;nigis iyo keeshali;dabaalasho|dhar|nigis iyo keeshali
👚;dharka dumarka;dhar|dharka dumarka|dumar
🪭;taageere gacanta laablaaban;kulul|qaboojinta|qoob ka ciyaarka|ruxul|taageere|taageere gacanta laablaaban|xishood
👛;boorso;boorso|dhar|qadaadiic
👜;shandada gacanta;boorso|dhar|shandad|shandada gacanta
👝;shandad yar;boorso|dhar|shandad|shandad yar
🛍️;bacaha dukaameysiga;bac|bacaha dukaameysiga|dukaameysi|hudheel
🎒;shandad dhabar;dhabar-saar|dugsi|garab-saar|shandad|shandad dhabar
🩴;dacas;dacas|dacaska xeebta|thongs|zori
👞;kabo rag;dhar|kabo|kabo rag|nin
👟;kabo orod;ciyaartoy|dhar|isniikar|kabo|kabo orod
🥾;buudjhka socodka dheer;buudh|buudjhka socodka dheer|shandad-dhabarka safarka|socod dheer|xero u dhixid
🥿;kabo siman;dacas|kabaha ciyaarta ee isku siman|kabo siiban kara|kabo siman
👠;kabo cidhib dhaadheer;cidhib|dhar|gabadh|kabo|kabo cidhib dhaadheer|kabo cidhib dheer
👡;sandhalka dumarka;dhar|gabadh|kabo|sandhal|sandhalka dumarka
🩰;kabaha ballet-ka;kabaha ballet-ka|qoob-ka-cayaarka ballet
👢;buudh dumar;buudh|dhar|dumar|kabo
🪮;timo qaadis;Afro|shanlada|soo qaado|timaha|timo qaadis
👑;taaj;boqor|boqorad|dhar|taaj
👒;koofiyad dumar;dhar|dumar|koofiyad
🎩;koofiyad dheer;dhar|koofiyad|koofiyad dheer|sare
🎓;koofiyada qalinjabinta;dabaaldeg|dhar|koofiyad|koofiyada qalinjabinta|qalinjabin
🧢;koofiyad caadiya;koofiyad caadiya|koofiyada baysiboosha
🪖;koofiyada millatariga;askari|ciidan|dagaalyahan|koofiyad|koofiyada millatariga|milatari
⛑️;madax-gashiga shaqaalaha badbaadinta;calaamad laanqeyr|gargaar|koofiyad|madax-gashi|madax-gashiga shaqaalaha badbaadada|madax-gashiga shaqaalaha badbaadinta|waji
📿;tusbax;dhar|diin|duco|kuul|silsilad|tusbax
💄;libis;kosmaatik|libis
💍;fargal;dheeman|fargal
💎;dhagax qaali ah;dahab|dhagax qaali ah|dheeman|qaali ah
🔇;sameecad la aamusiiyay;aamusan|aamusiin|aan shanqadh lahayn|sameecad|sameecad la aamusiiyay
🔈;sameecad cod yar;khafiif|sameecad cod yar
🔉;sameecad codkeedu dhexdhexaad yahay;dhexdhexaad|sameecad codkeedu dhexdhexaad yahay
🔊;sameecad codkeedu sareeyo;sameecad codkeedu sareeyo|sare
📢;kor u hadle;jeedin dadweyne|kor u hadle|sare
📣;mikirifoon;mikirifoon|u jiibin
📯;hoonka boostada;boosto|hoon|hoonka boostada
🔔;jalas;jalas
🔕;jalas xariiqi saarantay;aamusan|aan hadlayn|jalas|jalas xariiqi saarantay|la mamnuucay
🎼;xaashida muusika;muusik|xaashi|xaashida muusika
🎵;qoraal muusika;muusik|qoraal muusika
🎶;qoraalo muusika;muusik|qoraal|qoraalo|qoraalo muusika
🎙️;mikirifoonka istuudyaha;istuudyow|mik|mikirifoon|mikirifoonka istuudyaha|muusik
🎚️;heer qaade/dejiye;heer|muusik|qaade/dejiye
🎛️;badhanada kaantaroolida;badhanada kaantaroolida|badhano|kaantarool|muusik
🎤;mikirifon;karooke|mik|mikirifon|mikirifoon
🎧;dhago;dhago|dhago yaryar
📻;raadiyow;fiidiyow|raadiyow
🎷;buun;buun|buunka|muusikada|qalab
🎺;fuugwo;fuugwo|muusik|qalab
🪊;turumbo;jaas|murugo|muusig|naxaas|qalab|slaydh
🪗;alab muusik;alab muusik|koonsatiina|qalab muusik|qalabeeyste musik
🎸;giitaar;giitaar|muusik|qalab
🎹;kiiboodhka muusika;biyaano|kiiboodh|kiiboodhka muusika|muusik|qalab
🎻;seese;muusik|qalab|seese
🪕;gitaar nooc mareykan ah;gitaar ah|gitaar nooc mareykan ah|muusik
🥁;durbaan;durbaan|muusik|ulaha durbaanka
🪘;durbaan dheer;ciyaarta konga|durbaan|durbaan dheer|garaac|laxan
🪇;maracas;instrument|maracas|music|percussion|rattle|shake
🪈;biibiile;biibiile|dabayl alwaax ah|dhuunta|duube|fife|muusiga
🪉;gitaar;cupid|gitaar|jacayl|muusig|qalab|qalab muusig wada-garaacista
📱;moobil;foon|moobil|telefoon|telefoonka gacanta
📲;moobil leh xariiq;foon|helid|moobil|moobil leh xariiq|telefoonka gacanta|xariiq
☎️;telefoon;foon|telefoon
📞;gacanta telefoonka;foon|gacan|gacanta telefoonka|telefoon
📟;ogeysiiye;ogeysiiye
📠;mishiinka fakiska;fakis|mishiinka fakiska
🔋;baytari;baytari
🪫;batari dabka ka dhacay;batari dabka ka dhacay|elektaroonig ah|tamar hooseeya
🔌;xadhiga dabka;dab|koronto|xadhig|xadhiga dabka
💻;koombuyuutar laabtob ah;bc|gaar ah|kombuyuutar|koombuyuutar laabtob ah
🖥️;koombuyuutarka miiska;koombuyuutar|koombuyuutarka miiska|miis
🖨️;daabace;daabace|koombuyuutar
⌨️;kiiboodh;kiiboodh|koombuyuutar
🖱️;mawska koombuyuutarka;kombuyuutar|mawska koombuyuutarka|mowska koombuyuutarka
🖲️;kubada mowska;koombuyuutar|kubada mowska
💽;cajalada koombuyuutarka;cajalad|cajalad yar|cajalada koombuyuutarka|koombuyuutar|obtikal
💾;cajalada faloobida;cajalad|cajalada faloobida|faloobi|koombuyuutar
💿;cajalada obtikaalka ah;cajalad|cajalada obtikaalka ah|cd|koombuyuutar|obtikaal
📀;dvd;buluu-raay|cajalad|dvd|kombuyuutar|obtikaal
🧮;tiriye;tiriye|xisaabiye
🎥;kamarada filimada;kamarad|kamarada filimada|sinimoo
🎞️;fareemyada filimka;fareemyada filimka|fareemyo|filim|sinimoo
📽️;borojektarka filimada;borojektar|borojektarka filimada|fiidiyow|filim|sinimoo
🎬;samuurada bilowga duubista;filim|sacabiye|samuurada bilowga duubista
📺;telefishan;fiidiyow|telefishan|tv
📷;kamarad;isnaab|kamarad|muuqaal|sawir|socdaal|tbt
📸;kamarad khashaafad leh;fiidiyow|kamarad|kamarad khashaafad leh|khashaafad
📹;kamarad fiidiyow;fiidiyow|kamarad
📼;cajalad fiidiyow;cajalad|fiidiyow|vhs
🔍;quruurad weynayso ah oo u jeeda bidix;qalab|quruurad|quruurad weynayso ah oo u jeeda bidix|raadin|weynayso
🔎;quruurad weynayso ah oo u jeeda midig;qalab|quruurad|quruurad weynayso ah oo u jeeda midig|raadin|weynayso
🕯️;shamac;shamac|shamac iftiin
💡;laambad dab;dab|fikrad|iftiin|laambad|xaraabe
🔦;toosh;dab|iftiin|qalab|toosh
🏮;siraad warqad cas;casaan|fidsan|iftiin|siraad|siraad warqad cas
🪔;feynuusta diya;diya|feynuus|feynuusta diya|saliid
📔;buug gal qurux badan leh;buug|buug gal qurux badan leh|gal|la qurxiyay
📕;buug xidhan;buug|waxbarasho|xidhan
📖;buug furan;buug|furan
📗;buug akhtara;akhtar|buug|buug akhtara
📘;buug buluuga;buluug|buug|buug buluuga
📙;buug liimi ah;buug|buug liimi ah|liimi
📚;buugaag;buug|buugaag
📓;buug;buug
📒;buuga xisaabaadka;buug|buuga xisaabaadka
📃;bog laaban;bog|bog laaban|dokumenti|laab
📜;duuban;duuban|warqad
📄;bog kor u jeeda;bog|bog kor u jeeda|dokumenti
📰;jaraaid;jaraaid|war|warqad
🗞️;jaraaid duuduuban;duuban|jaraaid|jaraaid duuduuban|war|warqad
📑;qeybaha calaamadeynta buuga;calaamadeeye|calaamadeyn|calaamadeynta buuga|qeybaha calaamadeynta buuga|qeybo
🔖;calaamadeeye;calaamad|calaamadeeye
🏷️;warqad wax sheegaysa;warqad wax sheegaysa
🪙;lacag bir ah;bir|dahab|khasnad|lacag|lacag bir ah|qalin
💰;bac lacaga;bac|bac lacag ah|bac lacaga|doolar|lacag
🪎;sanduuqa keyd maaliyadeedka;abaal-marin|dahab|dhac|hanti|jawharado|lacag|macdan|qalin|waxyaabo qiimo leh
💴;lacag yeen ah;biil|lacag|lacag yeen ah|warqad|warqad bangi|yeen
💵;lacag doolar ah;biil|doolar|lacag|lacag doolar ah|warqad|warqad bangi
💶;lacag yuuro ah;biil|lacag|lacag yuuro ah|warqad|warqad bangi|yuuro
💷;lacag bownd ah;biil|bownd|lacag|lacag bownd ah|warqad|warqad bangi
💸;lacag baalal leh;baalal|biil|duulid|lacag|lacag baalal leh|warqad bangi
💳;kaarka deynta;deyn|kaar|kaarka deynta|lacag
🧾;rasiidh;cadeyn|markhaati|rasiidh|xisaabaadka|xisaabinta
💹;shaxan muujinaya yeen kordhaysa;korid|lacag|shax|shaxan|shaxan muujinaya yeen kordhaysa|yeen
✉️;baqshad;baqshad|iimayl|warqad
📧;iimayl;boosto|fariin|iimayl|warqad
📨;baqshad timi;baqshad|fariin|helid|iimayl|timi|warqad
📩;baqshad leh falaar;baqshad|baqshad leh falaar|falaar|fariin|iimayl|tagtay
📤;qeybta fariimaha la diray;fariimaha la diray|fariin|la diray|qeyb|qeybta fariimaha la diray|sanduuq|warqad
📥;qeybta fariimaha lasoo diray;fariimaha la helay|fariin|la helay|qeyb|qeybta fariimaha lasoo diray|sanduuq|warqad
📦;bushqad;buqshad|bushqad|sanduuq|xidhmo
📫;sanduuq boosto oo xidhan oo leh calan sareeya;fariin|sanduuq boosto|sanduuq boosto oo xidhan oo leh calan sareeya|sanduuq fariin|xidhan
📪;sanduuq boosto oo xidhan oo leh calan hooseeya;fariin|hooseeya|sanduuq boosto|sanduuq boosto oo xidhan oo leh calan hooseeya|sanduuq fariin|xidhan
📬;sanduuq boosto oo furan oo leh calan sareeya;boosto|furan|sanduuq boosto|sanduuq boosto oo furan oo leh calan sareeya
📭;sanduuq boosto oo furan oo leh calan hooseeya;boosto|furan|hooseey|sanduuq boosto|sanduuq boosto oo furan oo leh calan hooseeya
📮;sanduuq boosto;boosto|sanduuq boosto
🗳️;sanduuq codeyn oo leh warqad codeyn;codbixin|sanduuq|sanduuq codbixin oo leh warqad codbixin|sanduuq codeyn oo leh warqad codeyn
✏️;qalin qori;qalin qori
✒️;af-qalin madow;af-qalin|af-qalin madow|qalin
🖋️;qalin saxeex;qalin|saxeex
🖊️;qalin;biiroo|qalin
🖌️;burushka buufinta;burushka buufinta|wax buufinta
🖍️;kalar;kalar
📝;xusuus qor;beensal|xusuus qor|xusuusqor
💼;shandad shaqo;shandad shaqo
📁;fooldarka faylasha;fayl|fooldar|fooldarka faylasha
📂;fooldarka faylasha oo furan;fayl|fooldar|fooldarka faylasha oo furan|furan
🗂️;kala qeybiyayaasha kaararka;kaar|kala qeybiyayaal|kala qeybiyayaasha kaararka
📅;kaalandar;kaalandar|taariikh
📆;kaalandarka la jaro;kaalandar|kaalandarka la jaro
🗒️;buug xaashiyiihiisa la rogo;buug xaashiyiihiisa la rogo|buug xaashiyiihisa la rogo|qorid
🗓️;kaalandar la rogo;kaalandar la rogo|la rogo
📇;nidaaminta kaararka;kaar|kaar nidaamiye|nidaamin|nidaaminta kaararka
📈;shaxan kordhaya;isbedel|kor|korid|shax|shaxan|shaxan kordhaya
📉;shaxan yaraanaya;hoos|isbedel|shax|shaxan|shaxan yaraanaya
📊;shaxanka baar;baar|shax|shaxan|shaxanka baar
📋;faylka qorista;faylka qorista
📌;biinka wax lagu dhajiyo;biin|biinka wax lagu dhajiyo
📍;biinka wax lagu dhajiyo oo goobo ah;biin|biinka wax lagu dhajiyo|biinka wax lagu dhajiyo oo goobo ah
📎;biinka waraaqaha;biinka waraaqaha
🖇️;biinanka waraaqaha oo isku xidhan;biinanka waraaqaha|biinanka waraaqaha oo isku xidhan|isku xidhan
📏;mastarad toosan;koone siman|mastarad|mastarad toosan
📐;mastarad saddex-gees ah;mastarad|mastarad saddex-gees ah|saddex-gees
✂️;maqas;jarid|maqas|qalab
🗃️;faylka kaararka;fayl|faylka kaararka|kaar|kartoon
🗄️;khaanadaha faylasha;buuxin|fayl|khaanad|khaanadaha faylasha
🗑️;caaga xashiishka;caaga xashiishka
🔒;qufulan;qufulan|xidhadSagittarius
🔓;furan;fur|furan|quful
🔏;xidhan oo qalin wata;af qalin|gaar ah|khad|qalin|quful|xidhan oo qalin wata|xidhan oo wata
🔐;xidhan oo fure wata;amaan ah|fure|quful|xidhan|xidhan oo fure wata
🔑;fure;baasweydh|fure|quful
🗝️;fure qadiimi ah;fure|fure qadiimi ah|qadiimi|quful|tilmaan yar
🔨;dube;dube|qalab
🪓;faas;faas|faas yar|jar-jarid|kala jabin|qori
⛏️;madaraq;madaraq|qalab|qodid
⚒️;dube iyo madaraq;dube|dube iyo madaraq|madaraq|qalab
🛠️;dube iyo baanad;baanad|dube|dube iyo baanad|qalab|wareejiso
🗡️;toorey;midi|toorey
⚔️;seefo isweydaarsan;hub|isweydaarsan|seefo
💣;bam;bam|majaajileeye
🪃;majo;australia|dib u eegis|dib usoo noqosho|majo
🏹;leeb iyo qaanso;leeb|leeb iyo qaanso|qaanso|qaanso iyo leeble
🛡️;gaashaan;gaashaan|hub
🪚;miinshaar;alwaax|miinshaar|mishaarta nijaar|nijaar|qalab
🔧;baanad;baanad|qalab|wareejiso
🪛;kashwiito;dhuujin|kashwiito|qalab
🔩;weesar iyo bool;bool|qalab|weesar|weesar iyo bool
⚙️;geer;geer|qalab|wareeg|wareeg taayir
🗜️;isku xajiye;cadaadin|isku xajiye|isku xijiye|qalab
⚖️;miisaan;cadaalad|halbeega Libra|miisaan|misaan|qiyaase
🦯;usha cad indhoolaha;awood u yeelid|indhoole|usha cad indhoolaha
🔗;liinki;liinki
⛓️‍💥;silsillad jabtay;jabi|jebin|qeybta gacmaha ee dharka|silsilad|silsilad jabtay|silsillad jabtay|xornimo
⛓️;silsilado;silsilad|silsilado
🪝;jilaab;dabin|jilaab|qaabka wax loo gado|qabo|qallooca|qallooci
🧰;tuulbogos;makaanig|qalab|shaf|tuulbogos
🧲;birlab;birlab|birlabaysan|kab faras|soo jiidasho
🪜;jaranjaro;bood|jaranjaro|korid|talaabo
🪏;badeel;badiil|baraf|beer|dhir|god|majarafad|qod|soo dar|xabaal
⚗️;qalab nadiifin;kimistari|qalab|qalab nadiifin
🧪;tuyuubka tijaabinta;kimistari|kimistariyahan|laab|saynis|tijaabin|tuyuubka tijaabinta
🧫;saxan wax laga dhex arki karo;bakteeriya|bayoolaji|bayoolajiyahan|dhaqan|laab|saxan wax laga dhex arki karo
🧬;dna;bayoolajiyahan|dna|hide|horumar|nolol
🔬;maykriskoob;maykriskoob|qalab|saynis
🔭;diirad;diirad|qalab|saynis
📡;aanteenada satalaytka;aanteena|aanteenada satalaytka|satalayt|sixni
💉;irbad;dawo|irbad|talaal|xanuunsanaya
🩸;dhibic dhiig ah;dawo|dhibic dhiig ah|dhiig bixin
💊;kiniin;dawo|dhakhtar|kiniin|xanuunsanaya
🩹;balastar jilicsan;balastar|balastar jilicsan
🩼;qoryo;bakoorad|caawimaada socodka|dhaawacay|naafada|qoryo|ul
🩺;qalabka wadnaha lagu dhageysto;daawo|dhakhtar|qalabka wadnaha lagu dhageysto|wadne
🩻;raajo;caafimaad|dhakhtar|lafo|qalfoof|raajo
🚪;albaab;albaab
🛗;wiish;dallicid|marin u helid|qaadid|wiish
🪞;muraayad;birta muraayda|milicsiga|muraayad|muuqaal
🪟;daaqad;arag|daaqad|fareem|furitaanka|hawo nadiif ah|hufan
🛏️;sariir;hudheel|hurdo|sariir
🛋️;fadhi iyo laambad;fadhi|fadhi iyo laambad|hudheel
🪑;kursi;fadhi|fariiso|kursi
🚽;musqul;musqul
🪠;biyo mareen baneeye;biyo mareen baneeye|kor u xoojin|nuugista|suuli|tuubiiste
🚿;shaawar;biyo|shaawar
🛁;sinxi maydhasho;maydhasho|sinxi maydhasho
🪤;dabin jiirka;cunto lagu xiro dabin|dabin|dabin jiirka|shabaq dabin
🪒;sakiin;af leh|sakiin|xiirid
🧴;caagada looshinka;caagada looshinka|kiriimka cadceeda|looshin|qaleyl biiye|shaamboo
🧷;biinka dharka;biinka dharka|buun rok|xafaayad
🧹;mafiiq/buluuyey;mafiiq|mafiiq/buluuyey|masaxid|nadiifin|sixir
🧺;salad;beerasho|dhar-dhaqid|salad|tamashle
🧻;duub waraaq ah;duub waraaq ah|tuwaalada waraaqda ah|warqad musquleed
🪣;baaldi;baaldi|dambiil|haan|sakeel
🧼;saabuun;maydhasho|nadiifin|qurub|saabuun|xunbo
🫧;xumbo;biyaha hoostooda|daacid|nadiif ah|saabuun|xumbo
🪥;caday;burush|caday|ilkaha|nadaafaada|nadiifi|suuli
🧽;isboonji;isboonji|liqaya|nadiifin|nuugaya
🧯;dab-damiye;bakhtii|dab|dab-damiye|damin
🛒;gaari-gacanka dukaameysiga;dukaameysi|gaar-gacan|gaari-gacanka dukaameysiga|tarooli
🚬;sigaar;sigaar|sigaar cabid
⚰️;sanduuq;dhimasho|sanduuq|sanduuqa meydka
🪦;qudbo;dhagaxa madaxa|dhagxan|qabriga|qabuuraha|qudbo
⚱️;aas;aas|dhimasho|hadhaaga meydka|weelka hadhaaga meydka
🧿;balaayo xijaab;balaayo xijaab|isha sheydaanka|kahortage|kuusha|sixir|xijaab
🪬;hamsa;amulet|Fatima|gacan|hamsa|ilaalin|Mary|Miriam
🗿;farshaxanka dadkii hore la sawiray;farshaxanka dadkii hore la sawiray|taallo|waji
🪧;calaamad;banaanbax|bandhig|calaamad|mudaaharad|saxiix
🪪;kaar aqoonsi;amniga|Aqoonsi|kaar aqoonsi|lambarada gelitaaan|liisanka

[symbols]
🏧;calaamadda ATM;atm|bangiga|baqshinka|calaamadda ATM|tooska ah
