# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;leveä hymy;hymy|kasvot|leveä hymy|naama|virnistys
🚂;veturi;ajoneuvo|juna|rautatie|veturi
🚃;junavaunu;ajoneuvo|juna|junavaunu|raitiovaunu|rautatie
🚄;pikajuna;ajoneuvo|juna|luotijuna|pikajuna|rautatie|shinkansen
🚅;luotipikajuna;ajoneuvo|juna|luotijuna|luotipikajuna|rautatie|shinkansen
🚆;juna;ajoneuvo|rautatie|saapunut
🚇;metro;ajoneuvo|maanalainen|matkailu
🚈;kevytraidejuna;ajoneuvo|juna|kevytraidejuna|rautatie
🚉;asema;ajoneuvo|asema|juna|rautatie
🚊;raitioliikenne;ajoneuvo|raiteet|raitioliikenne
🚝;monorail;ajoneuvo|juna|raide|yksiraidejuna
🚞;rinnerata;ajoneuvo|funikulaari|juna|matka|rautatie
🚋;raitiovaunu;ajoneuvo|raiteet|ratikka|spora
🚌;bussi;ajoneuvo|auto|bussi|linja-auto
🚍;saapuva bussi;ajoneuvo|auto|bussi|linja-auto|saapuva bussi
🚎;johdinbussi;ajoneuvo|auto|johdinauto|johdinbussi
🚐;minibussi;ajoneuvo|auto|bussi|linja-auto|minibussi|pikkubussi
🚑;ambulanssi;ajoneuvo|ambulanssi|auto
🚒;paloauto;ajoneuvo|auto|paloauto|tulipalo
🚓;poliisiauto;ajoneuvo|auto|poliisi|poliisiauto
🚔;saapuva poliisiauto;ajoneuvo|auto|poliisi|saapuva poliisiauto|vastaantuleva
🚕;taksi;ajoneuvo|auto|kyyti
🚖;saapuva taksi;ajoneuvo|auto|saapuva taksi|taksi
🚗;auto;ajoneuvo|auto
🚘;saapuva auto;ajoneuvo|auto|saapuva auto
🚙;katumaasturi;ajoneuvo|auto|katumaasturi
🛻;lava-auto;auto|avolava|kuljetus|kuorma-auto
🚚;kuljetusauto;ajoneuvo|auto|kuorma-auto|rekka
🚛;rekka-auto;ajoneuvo|auto|kuorma-auto|rekka
🚜;traktori;ajoneuvo|auto|maatila
🏎️;kilpa-auto;auto|kilpa-ajot|kilpa-auto
🏍️;moottoripyörä;kilpa-ajot|liikenne
🛵;skootteri;ajoneuvo|skootteri
🦽;käsikäyttöinen pyörätuoli;esteettömyys|pyörätuoli
🦼;moottoroitu pyörätuoli;esteettömyys|pyörätuoli
🛺;autorikša;autorikša|tuktuk
🚲;polkupyörä;ajoneuvo|polkupyörä|pyörä
🛴;potkulauta;lauta|potku|skuutti
🛹;rullalauta;rullalauta|skeittilauta
🛼;rullaluistin;luistin|urheilu
🚏;bussipysäkki;asema|bussi|pysäkki
🛣️;moottoritie;moottoritie|pikatie|tie
🛤️;junaraide;juna|raide|rautatie
🛢️;öljytynnyri;öljy|öljytynnyri|tynnyri
⛽;bensapumppu;asema|bensapumppu|bensiini|polttoaine
🛞;rengas;ajoneuvo|auto|autonrengas|kääntyminen|pyörä
🚨;poliisiauton valo;hälytys|poliisi|valo|vilkku
🚥;vaakasuuntaiset liikennevalot;liikenne|liikennevalo|vaakasuuntaiset liikennevalot|valo
🚦;pystysuuntaiset liikennevalot;ajaa|liikenne|liikennevalo|risteys|valo
🛑;pysähtymismerkki;merkki|pysähtyä|stop
🚧;rakennustyömaan merkki;este|rakennustyömaa|tietyö|tietyömaa
⚓;ankkuri;alus|ankkuri|laiva|merenkulku|meri
🛟;pelastusrengas;hengenpelastus|kelluminen|pelastaa|pelastaminen|turvallisuus|uiminen
⛵;purjevene;ajoneuvo|alus|jahti|meri|purjevene|vene
🛶;kanootti;kanootti|vene
🚤;pikavene;ajoneuvo|meri|moottorivene|pikavene|vene
🛳️;matkustajalaiva;ajoneuvo|alus|laiva|matkustajalaiva|meri|vene
⛴️;lautta;ajoneuvo|alus|laiva|lautta|meri
🛥️;moottorivene;ajoneuvo|meri|moottorivene|pikavene|vene
🚢;laiva;ajoneuvo|alus|meri|vene
✈️;lentokone;ajoneuvo|matkailu|suihkukone
🛩️;pienkone;ajoneuvo|lentokone|pienkone
🛫;lähtevä lentokone;ajoneuvo|lähtevä|lähtö|lentokone
🛬;saapuva lentokone;ajoneuvo|laskeutuminen|lentokone|saapuva
🪂;laskuvarjo;laskuvarjo|laskuvarjohyppy|riippuliito|varjoliito
💺;istuin;lentokone|tuoli
🚁;helikopteri;ajoneuvo|helikopteri
🚟;riippurata;ajoneuvo|juna|kisko|rata|rautatie|riippurata
🚠;gondolihissi;ajoneuvo|gondoli|gondolihissi|hissi|kaapeli|kabiini|vuori
🚡;köysirata;ajoneuvo|gondoli|hissi|kaapeli|rata
🛰️;satelliitti;avaruus|satelliitti|tekokuu
🚀;raketti;ajoneuvo|avaruus|raketti
🛸;lentävä lautanen;lentävä lautanen|UFO
🛎️;soittokello;hotelli|hotellipoika|kello|soittokello
🧳;matkatavara;matka|matkalaukku|matkatavara|matkustus|pakkaaminen
⌛;tiimalasi;ajanotto|hiekka|tiimalasi
⏳;valuva tiimalasi;ajanotto|hiekka|tiimalasi|valuva tiimalasi
⌚;kello;ranne|rannekello
⏰;herätyskello;herätys|kello|myöhä
⏱️;sekuntikello;aika|ajanotto|kello
⏲️;ajastin;ajastus|ajoitus|kello|munakello
🕰️;pöytäkello;kello|pöytäkello|takanreunus
🕛;kello kaksitoista;00.00|12|12.00|24.00|aika|kello|kello kaksitoista|kellonaika
🕧;puoli yksi;00.30|12.30|30|aika|kello|kellonaika|puoli yksi
🕐;kello yksi;1|1.00|13|13.00|aika|kello|kello yksi|kellonaika
🕜;puoli kaksi;1.30|13.30|30|aika|kello|kellonaika|puoli kaksi
🕑;kello kaksi;14|14.00|2|2.00|aika|kello|kello kaksi|kellonaika
🕝;puoli kolme;14.30|2.30|30|aika|kello|kellonaika|puoli kolme
🕒;kello kolme;15|15.00|3|3.00|aika|kello|kello kolme|kellonaika
🕞;puoli neljä;15.30|3.30|30|aika|kello|kellonaika|puoli neljä
🕓;kello neljä;16|16.00|4|4.00|aika|kello|kello neljä|kellonaika
🕟;puoli viisi;16.30|30|4.30|aika|kello|kellonaika|puoli viisi
🕔;kello viisi;17|17.00|5|5.00|aika|kello|kello viisi|kellonaika
🕠;puoli kuusi;17.30|30|5.30|aika|kello|kellonaika|puoli kuusi
🕕;kello kuusi;18|18.00|6|6.00|aika|kello|kello kuusi|kellonaika
🕡;puoli seitsemän;18.30|30|6.30|aika|kello|kellonaika|puoli seitsemän
🕖;kello seitsemän;19|7|7.00|aika|kello|kello seitsemän|kellonaika
🕢;puoli kahdeksan;19.30|30|7.30|aika|kello|kellonaika|puoli kahdeksan
🕗;kello kahdeksan;20|20.00|8|8.00|aika|kello|kello kahdeksan|kellonaika
🕣;puoli yhdeksän;20.30|30|8.30|aika|kello|kellonaika|puoli yhdeksän
🕘;kello yhdeksän;21|21.00|9|9.00|aika|kello|kello yhdeksän|kellonaika
🕤;puoli kymmenen;21.30|30|9.30|aika|kello|kellonaika|puoli kymmenen
🕙;kello kymmenen;10|10.00|22|22.00|aika|kello|kello kymmenen|kellonaika
🕥;puoli yksitoista;10.30|22.30|30|aika|kello|kellonaika|puoli yksitoista
🕚;kello yksitoista;11|11.00|23|23.00|aika|kello|kello yksitoista|kellonaika
🕦;puoli kaksitoista;11.30|23.30|30|aika|kello|kellonaika|puoli kaksitoista
🌑;uusikuu;kuu|pimeä|sää|taivaankappale|uusikuu
🌒;kasvava kuunsirppi;kasvava|kasvava kuunsirppi|kuu|sää|sirppi|taivaankappale
🌓;ensimmäinen neljänneskuu;ensimmäinen neljänneskuu|kuu|puolikuu|sää|taivaankappale
🌔;kasvava puolikuu;kasvava|kasvava puolikuu|kuu|sää|taivaankappale
🌕;täysikuu;kuu|sää|taivaankappale|täysi|täysikuu
🌖;vähenevä puolikuu;kuu|sää|taivaankappale|vähenevä|vähenevä puolikuu
🌗;viimeinen neljänneskuu;kuu|puolikuu|sää|taivaankappale|viimeinen neljänneskuu
🌘;vähenevä kuunsirppi;kuu|sää|sirppi|taivaankappale|vähenevä|vähenevä kuunsirppi
🌙;kuunsirppi;kuu|kuunsirppi|sää|sirppi|taivaankappale
🌚;uudenkuun kasvot;kasvot|kuu|sää|taivaankappale|uudenkuun kasvot
🌛;kasvava puolikuu kasvoilla;kasvava puolikuu kasvoilla|kasvot|kuu|puolikuu|sää|taivaankappale
🌜;vähenevä puolikuu kasvoilla;kasvot|kuu|puolikuu|sää|taivaankappale|vähenevä puolikuu kasvoilla
🌡️;lämpömittari;lämpömittari|lämpötila|sää
☀️;aurinko;helle|kirkas|paiste|sää|säteet
🌝;täysikuu kasvoilla;kasvot|kirkas|kuu|sää|täysikuu kasvoilla|valo
🌞;aurinko kasvoilla;aurinko|kasvot|kuu|paiste|sää|valo
🪐;rengasplaneetta;rengasplaneetta|Saturnus
⭐;valkoinen tähti;tähti|tähtitiede
🌟;loistava tähti;loistava tähti|loiste|säihke|tähti|valo
🌠;tähdenlento;avaruus|tähdenlento|tähti|toive
🌌;linnunrata;avaruus|galaksi|linnunrata|sää
☁️;pilvi;pilvi|sää
⛅;aurinko pilvessä;aurinko|aurinko pilvessä|pilvi|sää
⛈️;ukkospilvi ja sade;pilvi|sää|sade|salama|ukkonen|ukkospilvi ja sade
🌤️;aurinko ja pieni pilvi;aurinko|aurinko ja pieni pilvi|pilvi|sää
🌥️;aurinko ja suuri pilvi;aurinko|aurinko ja suuri pilvi|pilvi|sää
🌦️;aurinko sadepilvessä;aurinko|aurinko sadepilvessä|pilvi|sää|sade
🌧️;sadepilvi;pilvi|sää|sade|sadepilvi
🌨️;lumisadepilvi;lumi|lumisade|lumisadepilvi|pilvi|pyry|sää
🌩️;ukkospilvi;pilvi|sää|salama|ukkonen|ukkospilvi
🌪️;hurrikaani;hirmumyrsky|hurrikaani|sää|tornado
🌫️;sumu;sää|sumu|usva|utu
🌬️;puhuri;pilvi|puhuri|puuska|sää|tuuli
🌀;pyörremyrsky;hirmumyrsky|pyörre|pyörremyrsky|sää|sykloni
🌈;sateenkaari;biseksuali|genderqueer|hlbt|hlbtq|hlbtqia|homo|lesbo|queer|sää|sade|sateenkaari|trans
🌂;suljettu sateenvarjo;asuste|sää|sade|sateenvarjo|suljettu sateenvarjo
☂️;sateenvarjo;asuste|sää|sade|sateenvarjo
☔;sateenvarjo ja pisarat;asuste|pisara|sää|sade|sateenvarjo|sateenvarjo ja pisarat
⛱️;aurinkovarjo;aurinko|kesä|ranta|sää|varjo
⚡;korkeajännite;korkeajännite|sähkö|sähköisku|vaara|virta
❄️;lumihiutale;hiutale|kylmä|lumi|lumihiutale|sää
☃️;lumiukko;kylmä|lumi|lumiukko|sää
⛄;lumiukko ilman lunta;kylmä|lumi|lumiukko|lumiukko ilman lunta|sää
☄️;komeetta;avaruus|komeetta|pyrstötähti
🔥;tuli;liekki|lieska|nuotio|tuli
💧;pisara;hiki|pisara|sää|tippa|vesi
🌊;aalto;aalto|meri|tyrsky|valtameri|vesi

[activities]
🎃;kurpitsalyhty;halloween|juhla|kaivertaa|kurpitsa|kurpitsalyhty
🎄;joulukuusi;joulu|joulukuusi|joulupuu|juhla|kuusi
🎆;ilotulitus;ilotulitus|juhla
🎇;tähtisadetikku;ilotulite|juhla|tähtisade|tähtisadetikku
🧨;sähikäinen;dynamiitti|ilotulitus|räjähde|raketti|sähikäinen|tykinlaukaus
✨;säihke;loiste|säihke|tähti|taika
🎈;ilmapallo;ilmapallo|juhla
🎉;paukkuserpentiini;hurraa|juhla|paukkuserpentiini|yllätys
🎊;konfettipallo;juhla|konfetti|konfettipallo|koristepaperi
🎋;tanabatapuu;bambu|Japani|juhla|puu|tanabata|tanabatapuu
🎍;puukoriste;bambu|havu|Japani|juhla|puukoriste
🎎;japanilaiset nuket;Japani|japanilaiset nuket|juhlinta|nukke
🎏;karppiviiri;juhla|karppi|karppiviiri|koinobori|viiri
🎐;tuulikello;juhla|kello|tuuli|tuulikello
🎑;kuuseremonia;juhla|juhlamenot|kuu|kuuseremonia
🧧;punainen kirjekuori;hóngbāo|lahja|lai see|onni|punainen kirjekuori|raha
🎀;rusetti;juhla|lahjanaru|rusetti|ruusuke
🎁;lahjapaketti;juhla|käärepaperi|lahja|lahjapaketti|paketti
🎗️;tietoisuusnauha;merkkipäivä|muistutus|nauha|tietoisuus|tietoisuusnauha
🎟️;pääsylippu;lippu|pääsylippu|sisäänpääsylippu
🎫;lippu;lippu|sisäänpääsylippu
🎖️;kunniamerkki;armeija|juhla|kunniamerkki|mitali
🏆;pokaali;kisat|palkinto|pokaali|urheilu
🏅;urheilumitali;mitali|urheilumitali
🥇;kultamitali;ensimmäinen|kulta|kultamitali|mitali|voittaja
🥈;hopeamitali;hopea|hopeamitali|mitali|toinen
🥉;pronssimitali;kolmas|mitali|pronssi|pronssimitali
⚽;jalkapallo;jalkapallo|pallo|urheilu
⚾;pesäpallo;baseball|pallo|pesäpallo|urheilu
🥎;softball;hanska|pallo|räpylä|softball|urheilu
🏀;koripallo;koripallo|pallo|urheilu
🏐;lentopallo;lentopallo|ottelu
🏈;amerikkalainen jalkapallo;amerikkalainen jalkapallo|jalkapallo|pallo|super bowl|urheilu
🏉;rugby-pallo;jalkapallo|pallo|rugby|rugby-pallo|urheilu
🎾;tennis;pallo|tennis|tennispallo|urheilu
🥏;liitokiekko;Frisbee|kiekko|liitokiekko|ultimate
🎳;keilailu;keila|keilailu|keilapallo|pallo|peli
🏏;kriketti;kriketti|maila|ottelu|pallo
🏑;maahockey;hockey|maahockey|maila|ottelu|pallo|peli
🏒;jääkiekko ja maila;jää|jääkiekko|jääkiekko ja maila|kiekko|maila|ottelu|peli
🥍;lacrosse;haavipallo|lacrosse|maali|maila|pallo|urheilu
🏓;pingis;maila|ottelu|pallo|pingis|pingispallo|pöytätennis
🏸;sulkapallo;maila|ottelu|sulka|sulkapallo|sulkapallomaila
🥊;nyrkkeilyhanska;hanska|liikunta|nyrkkeily|nyrkkeilyhanska|urheilu
🥋;kamppailulajiasu;asu|judo|kamppailulajiasu|kamppailulajit|karate|taekwondo|urheilu
🥅;maaliverkko;liikunta|maali|maaliverkko|urheilu
⛳;lippu reiän päällä;golf|lippu|lippu reiän päällä|reikä
⛸️;luistin;jää|luistelu|luistin
🎣;onkivapa;kalastus|onki|onkivapa|virveli
🤿;sukellusmaski;snorkkelisetti|snorklaus|sukellus|sukellusmaski
🎽;juoksupaita;juokseminen|juoksupaita|nauha|paita|urheilu
🎿;sukset;hiihto|lumi|sauvat|sukset
🛷;kelkka;kelkka|kouru|lasku|liukuri|pulkkamäki
🥌;curling-kivi;curling-kivi|jää|kivi|peli
🎯;napakymppi;darts|häränsilmä|kymmenen|napakymppi|tikka|tikkataulu
🪀;jojo;jojo|jojoilla|lelu
🪁;leija;leija|leijailla|lennättää
🔫;vesipyssy;pistooli|pyssy|revolveri|vesipyssy
🎱;biljardi;8|biljardi|biljardipallo|kahdeksan|kasipallo|pallo|peli
🔮;kristallipallo;ennustaja|ennustus|kristalli|kristallipallo|povaus|taika|tulevaisuus
🪄;taikasauva;noita|taika|taikasauva|taikuri|velho
🎮;videopeli;ohjain|peli|videopeli
🕹️;joystick;joystick|ohjain|sauvaohjain|videopeli
🎰;pelikone;kasino|kolikko|pelikone|rahapeli
🎲;noppa;noppa|noppakuutio|peli|viihde
🧩;palapeli;arvoitus|pala|palapeli|vihje|yhteenliittynyt|yhteensopiva
🧸;nalle;lelu|nalle|pehmolelu|täytetty|teddykarhu
🪅;piñata;juhla|juhlat|juhlinta|karkki|meksiko|pinada|pinata|piñata
🪩;peilipallo;bileet|disco|disko|diskopallo|glitter|juhlat|peilipallo|tanssi
🪆;maatuskanuket;maatuska|maatuskanuket|nukke|venäläinen
♠️;pata;kortti|korttipeli|maa|pata
♥️;hertta;hertta|kortti|korttipeli|maa
♦️;ruutu;kortti|korttipeli|maa|peli|ruutu|timantti
♣️;risti;kortti|korttipeli|maa|risti
♟️;šakkipelin sotilas;nappula|pelinappula|punapaita|šakki|šakkipelin sotilas|sotilas|uhrattavissa
🃏;jokeri;jokeri|kortti|korttipeli|peli
🀄;mahjong;keskusta|lohikäärme|mahjong|peli|punainen
🎴;kukkapelikortit;hanafuda|Japani|kortti|korttipeli|kukat|kukkapelikortit
🎭;näyttämötaiteet;naamio|näytelmä|näyttämö|näyttämötaiteet|shakespeare|taide|teatteri
🖼️;kuva kehyksissä;kehys|kuva kehyksissä|maalaus|museo|taide|taulu
🎨;taiteilijan paletti;maalari|maali|taide|taiteilijan paletti
🧵;lankarulla;lanka|lankarulla|neula|ompelu|rulla|rullalanka
🪡;ompeluneula;käsinompelu|kirjonta|neula|ompelu|ompeluneula|parsiminen|silmäneula|tikit
🧶;lankakerä;kerä|kutominen|lanka|lankakerä|neulominen|virkkaus
🪢;solmu;kiinnittää|köysi|naru|solmu|solmulla

[objects]
👓;silmälasit;silmä|silmälasit|vaatteet
🕶️;aurinkolasit;aurinkolasit|lasit|silmä|silmälasit|tumma
🥽;suojalasit;hitsaus|silmien suojelu|suojalasit|uimalasit
🥼;laboratoriotakki;koe|lääkärintakki|laboratoriotakki|tohtori|tutkija
🦺;turvaliivi;hätä|hätätilanne|liivi|turvaliivi|turvallisuus
👔;solmio;asuste|kravatti|solmio|vaatteet
👕;t-paita;paita|t-paita|vaatteet
👖;farkut;farkut|housut|vaatteet
🧣;huivi;asuste|huivi|kaula|kaulaliina|niska
🧤;hansikkaat;asuste|hansikkaat|hanskat|kädet|käsineet
🧥;takki;hrr|päällysvaate|pusero|takki|vaatteet
🧦;sukat;sukat|vaatteet|villasukka
👗;mekko;leninki|mekko|ostokset|vaatteet
👘;kimono;japanilainen|kimono|vaatteet
🥻;sari;mekko|sari|vaate
🩱;uimapuku;uima-asu|uimapuku
🩲;uimahousut;alushousut|uima-asu|uimahousut|vaatteet
🩳;uimashortsit;alushousut|shortsit|uimahousut|uimashortsit|uinti
👙;bikinit;bikinit|ranta|uida|uimapuku|vaatteet|vesi
👚;naistenvaatteet;nainen|naistenvaatteet|ostokset|paita|vaatteet
🪭;taittuva käsiviuhka;arka|jäähdytys|kuuma|lepatus|taittuva käsiviuhka|tanssi|ujo|viilentää|viuhka
👛;rahakukkaro;asuste|kolikko|rahakukkaro
👜;käsilaukku;asuste|käsilaukku|laukku|ostokset
👝;kirjekuorilaukku;asuste|iltalaukku|kirjekuorilaukku|laukku
🛍️;ostoskassit;kauppakassi|laukku|ostoskassit|shoppailu
🎒;koulureppu;koulu|koululaukku|koulureppu|laukku|reppu
🩴;varvassandaali;flip flop|rantasandaalit|sandaalit|tossut|varvassandaali|varvassandaalit|varvastossut
👞;miehen kenkä;kenkä|miehen kenkä|mies|vaatteet
👟;juoksukenkä;juoksukenkä|kenkä|lenkkarit|urheilu|vaatteet
🥾;vaelluskenkä;erävaellus|kenkä|patikointi|retkeily|telttailu|vaelluskenkä
🥿;balleriina;balettitossu|balleriina|kenkä|lipokas|tossu
👠;korkokenkä;kenkä|korko|korkokenkä|nainen|vaatteet
👡;naisen sandaali;kenkä|nainen|naisen sandaali|sandaali|vaatteet
🩰;balettitossut;baletti|balettitossut|tanssi
👢;naisen saapas;kenkä|nainen|naisen saapas|ostokset|saapas|vaatteet
🪮;selvityskampa;afrokampaus|esine|harva|hiukset|kampa|selvityskampa|tukka
👑;kruunu;asuste|kruunu|kuningas|kuningatar
👒;naisen hattu;hattu|nainen|naisen hattu|vaatteet
🎩;silinteri;hattu|silinteri|taikuri|vaatteet
🎓;valmistujaislakki;hattu|juhla|lakki|vaatteet|valmistujaiset|valmistujaislakki
🧢;lippalakki;hattu|lakki|lippalakki|vaatteet
🪖;sotilaskypärä;armeija|kypärä|sotilaallinen|sotilas|sotilaskypärä
⛑️;kypärä, jossa valkoinen risti;apu|hattu|jossa valkoinen risti|kypärä|kypärä, jossa valkoinen risti|naama|risti
📿;rukoushelmet;asuste|helmet|helminauha|rukous|rukoushelmet|uskonto
💄;huulipuna;huulipuna|kosmetiikka|kosmetiikkaa|meikit|meikki
💍;sormus;häissä|kihlat|romantiikka|sormus|timantti
💎;jalokivi;jalokivi|romantiikka|timantti
🔇;mykistetty kaiutin;äänenvoimakkuus|äänetön|hiljaa|kaiutin|mykistetty kaiutin|mykistys
🔈;hiljainen kaiutin;äänenvoimakkuus|alhainen|hiljainen kaiutin
🔉;kaiutin normaalilla äänenvoimakkuudella;äänenvoimakkuus|äänet|kaiutin|kaiutin normaalilla äänenvoimakkuudella
🔊;äänekäs kaiutin;äänekäs kaiutin|äänenvoimakkuus|kaiutin|kovempaa|lisää
📢;kovaääninen;ääni|huomio|keskusradio|kova|kovaääninen
📣;megafoni;ääni|huomio|kovaääninen|megafoni|suosionosoitus
📯;postitorvi;posti|postitorvi|soitin|torvi
🔔;kirkonkello;ääni|kello|kirkonkello|sointi
🔕;mykistetty kello;äänetön|hiljaisuus|kello|kielto|mykistetty kello|mykistys
🎼;nuottiviivasto;musiikki|nuotti|nuottiavain|nuottiviivasto
🎵;nuotti;musiikki|nuotti
🎶;nuotteja;musiikki|nuotteja|nuotti
🎙️;studiomikrofoni;äänitys|levytys|mikrofoni|musiikki|studiomikrofoni
🎚️;liukusäädin;liu’utin|liukusäädin|musiikki|valitsin|voimakkuus
🎛️;säätimet;musiikki|nuppi|säädin|säätimet
🎤;mikrofoni;karaoke|mikki|mikrofoni
🎧;kuuloke;korvanappi|kuuloke|nappi|nappikuuloke
📻;radio;radio|vastaanotin|viihde
🎷;saksofoni;instrumentti|musiikki|saksofoni
🎺;trumpetti;instrumentti|musiikki|torvi|trumpetti
🪊;pasuuna;instrumentti|jazz|liukua|musiikki|surullinen|vaski
🪗;harmonikka;haitari|hanuri|harmonikka
🎸;kitara;instrumentti|kitara|musiikki
🎹;koskettimet;instrumentti|koskettimet|musiikki|piano|syntikka
🎻;viulu;instrumentti|jousi|musiikki|viulu
🪕;banjo;banjo|kielisoitin|musiikki
🥁;rumpu;musiikki|rumpu|rumpukapula
🪘;congarumpu;conga|congarumpu|kongo|rumpu|rytmi|soitin
🪇;marakassit;esine|instrumentti|kalina|lyömäsoittimet|marakassit|musiikki|rämistä|ravista|ravistaa|soitin
🪈;huilu;esine|huilu|instrumentti|musiikki|nokkahuilu|orkesteri|pilli|puupuhallin|säkkipilli|soitin|urkupilli
🪉;harppu;harppu|musiikki|orkesteri|rakkaus|soitin
📱;kännykkä;kännykkä|matkapuhelin|mobiili|mobiililaite|puhelin
📲;kännykkä ja nuoli;kännykkä ja nuoli|matkapuhelin|nuoli|puhelin|puhelu|saapuva
☎️;puhelin;lankapuhelin|puhelin
📞;luuri;kuuloke|luuri|puhelin
📟;hakulaite;hakulaite
📠;faksi;faksi|faksilaite|viestintä
🔋;akku;akku|akkuvirta|paristo
🪫;akku vähissä;akku|akku vähissä|sähkö|tyhjä|virta vähissä
🔌;pistoke;pistoke|sähkö|sähköpistoke|sähkötöpseli|töpseli
💻;kannettava tietokone;kannetava|kannettava|läppäri|pc|tietokone|toimisto
🖥️;pöytäkone;näyttö|pöytäkone|tietokone
🖨️;tulostin;printteri|tietokone|tulostin
⌨️;näppäimistö;näppäimet|näppäimistö|näppis|tietokone
🖱️;tietokoneen hiiri;hiiri|tietokone|tietokoneen hiiri
🖲️;ohjauspallo;hiiri|ohjauspallo|tietokone
💽;minidisk;levy|minidisc|minidisk|tietokone
💾;disketti;disketti|korppu|levyke|tietokone
💿;CD;blu-ray|CD|dvd|levy|tietokone
📀;DVD;blu-ray|cd|DVD|levy|tietokone
🧮;helmitaulu;helmitaulu|koulu|laskeminen
🎥;elokuvakamera;elokuva|elokuvakamera|kamera|kuvaukset
🎞️;filminauha;elokuva|filminauha|filmirulla
📽️;elokuvaprojektori;elokuva|elokuvakone|elokuvaprojektori|projektori|video
🎬;klaffitaulu;elokuva|klaffi|klaffitaulu|kuvaukset|toiminta
📺;televisio;televisio|telkkari|tv|video
📷;kamera;instagram|kamera|video
📸;kamera ja salama;kamera|kamera ja salama|salama|video
📹;videokamera;kamera|video|videokamera
📼;videokasetti;nauha|VHS|video|videokasetti|videonauha
🔍;suurennuslasi vasemmalle;etsi|haku|lasi|suurennuslasi|suurennuslasi vasemmalle|työkalu
🔎;suurennuslasi oikealle;etsi|haku|lasi|suurennuslasi|suurennuslasi oikealle|työkalu
🕯️;kynttilä;kynttilä|valo
💡;hehkulamppu;ajatus|hehkulamppu|lamppu|sähkö|valo
🔦;taskulamppu;lamppu|sähkö|taskulamppu|työkalu|valo
🏮;punainen paperilyhty;baari|Japani|lyhty|punainen|punainen paperilyhty|valo
🪔;savilamppu;diya|lamppu|öljy|öljylamppu|savilamppu
📔;koristeellinen muistikirja;kansi|kirja|kirjoitus|koristeellinen muistikirja|koulu|lehtiö|muistikirja|muistio
📕;suljettu kirja;kirja|suljettu
📖;avoin kirja;avoin|kirja
📗;vihreä kirja;kirja|vihreä
📘;sininen kirja;kirja|sininen
📙;oranssi kirja;kirja|oranssi
📚;kirjoja;kirja|kirjapino|kirjat|kirjoja
📓;muistikirja;kirja|lehtiö|muistikirja|muistio
📒;tilikirja;kirja|kirjanpito|lehtiö|tilikirja
📃;käännetty sivu;asiakirja|dokumentti|käännetty sivu|sivu
📜;kirjakäärö;käärö|kirjakäärö|paperi
📄;sivu;asiakirja|dokumentti|sivu
📰;sanomalehti;lehti|sanomalehti|uutiset
🗞️;sanomalehti rullalla;lehti|rulla|sanomalehti|sanomalehti rullalla|uutiset
📑;kirjanmerkkivälilehdet;kirjanmerkki|kirjanmerkkivälilehdet|merkki|välilehti
🔖;kirjanmerkki;kirjanmerkki|merkki
🏷️;lappu;etiketti|kortti|lappu|lipuke
🪙;kolikko;aarre|hopea|kolikko|kulta|metalli|raha
💰;rahasäkki;raha|rahapussi|rahasäkki|säkki
🪎;aarrearkku;arvoesineet|hopea|jalokivi|korut|kulta|palkinto|raha|ryöstösaalis|vauraus
💴;yen-seteli;pankki|raha|seteli|valuutta|yen|yen-seteli
💵;dollariseteli;dollari|dollariseteli|pankki|raha|seteli|valuutta
💶;euroseteli;euro|euroseteli|pankki|raha|seteli|valuutta
💷;puntaseteli;pankki|punta|puntaseteli|raha|seteli|valuutta
💸;rahalla on siivet;pankki|raha|rahalla on siivet|seteli|siivet|valuutta
💳;luottokortti;kortti|luotto|luottokortti|pankki|raha
🧾;kuitti;kirjanpito|kuitti|kulut|tilinpito|todistus|tosite
💹;yen ja nouseva käyrä;kasvu|käyrä|markkinat|nousu|pankki|raha|valuutta|yen ja nouseva käyrä
✉️;kirjekuori;e-mail|kirje|kirjekuori|sähköposti|viesti
📧;sähköposti;e-mail|email|kirje|sähköposti|sähköpostiviesti|viesti
📨;saapuva kirjekuori;e-mail|saapuva|saapuva kirjekuori|sähköposti|sähköpostiviesti|viesti
📩;kirjekuori ja nuoli;e-mail|kirjekuori|kirjekuori ja nuoli|lähetetty|lähtevä|posti|sähköposti|sähköpostiviesti|viesti
📤;lähtevät;e-mail|lähettää|lähtevät|postilaatikko|sähköposti
📥;saapuvat;e-mail|postilaatikko|saapuvat|sähköposti|vastaanottaa
📦;paketti;laatikko|lähetys|paketti|pakkaus
📫;suljettu postilaatikko, lippu ylhäällä;lähtevä|lippu ylhäällä|postilaatikko|suljettu|suljettu postilaatikko, lippu ylhäällä
📪;suljettu postilaatikko, lippu alhaalla;alhaalla|lippu alhaalla|postilaatikko|suljettu|suljettu postilaatikko, lippu alhaalla
📬;avoin postilaatikko, lippu ylhäällä;auki|avoin postilaatikko|avoin postilaatikko, lippu ylhäällä|lippu ylhäällä|postilaatikko
📭;avoin postilaatikko, lippu alhaalla;alhaalla|auki|avoin postilaatikko|avoin postilaatikko, lippu alhaalla|lippu alhaalla|postilaatikko
📮;postilaatikko;posti|postilaatikko
