# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|ナイス|にっこり|にっこり笑う|ハッピー|笑う|笑顔|顔
🪻;ヒヤシンス;スミレ色|ヒヤシンス|ブルーボネット|ライラック|ラベンダー|植物|紫色|花|青紫
🌱;新芽;双葉|新芽|芽
🪴;鉢植え;ベランダ|植木鉢|植物|水やり|緑|苗|観葉植物|鉢植え
🌲;常緑樹;常緑樹|木|森
🌳;落葉樹;木|森|落葉樹
🌴;ヤシの木;ビーチ|ヤシ|ヤシの木|木|熱帯
🌵;サボテン;サボテン|植物|砂漠
🌾;稲;ススキ|稲|稲穂|穀物|米|草
🌿;ハーブ;ハーブ|草|葉|薬草|香草
☘️;クローバー;クローバー|植物|草|葉
🍀;四つ葉のクローバー;4|クローバー|四つ葉のクローバー|植物|草|葉
🍁;かえで;かえで|カエデ|もみじ|紅葉|落ち葉|葉
🍂;落ち葉;木の葉|枯れ葉|落ち葉|葉|葉っぱ
🍃;風に揺れる葉;木の葉|落ち葉|葉|葉っぱ|風|風に揺れる葉
🪹;空っぽの巣;営巣|巣|巣作り|空っぽの巣
🪺;鳥の卵と巣;卵|営巣|巣|巣作り|鳥の卵と巣|鳥の巣
🍄;キノコ;きのこ|キノコ|マッシュルーム|毒|菌類|野菜
🪾;枯れ木;不毛|冬|干ばつ|葉のない木

[food_drink]
🍇;ぶどう;グレープ|ぶどう|ブドウ|果物
🍈;メロン;マスクメロン|メロン|果物|野菜
🍉;スイカ;スイカ|果物|野菜
🍊;みかん;オレンジ|ネクタリン|ビタミンＣ|みかん|果物|柑橘類
🍋;レモン;レモン|果物|柑橘類|酸っぱい
🍋‍🟩;ライム;さわやか|トロピカル|フルーツ|マルガリータ|モヒート|ライム|果物|柑橘類|緑|酸っぱい
🍌;バナナ;カリウム|バナナ|果物
🍍;パイナップル;トロピカル|パイナップル|パイン|果物
🥭;マンゴー;トロピカル|フルーツ|マンゴー|果物|食べ物
🍎;赤リンゴ;アップル|りんご|果物|赤リンゴ
🍏;青リンゴ;アップル|りんご|果物|青リンゴ
🍐;洋ナシ;ナシ|果物|洋ナシ|西洋ナシ
🍑;桃;ピーチ|果物|桃
🍒;さくらんぼ;さくらんぼ|チェリー|果物
🍓;いちご;いちご|ストロベリー|果物|苺
🫐;ブルーベリー;ビルベリー|ブルーベリー|ベリー|果物|食べ物
🥝;キウイフルーツ;キウイ|キウイフルーツ|果物
🍅;トマト;トマト|果物|野菜
🫒;オリーブ;オリーブ|実|果実|食べ物
🥥;ココナツ;ココナツ|ココナッツ|ヤシの実|果物
🥑;アボカド;アボカド|果物|野菜
🍆;ナス;ナス|野菜
🥔;ジャガイモ;イモ|じゃがいも|ジャガイモ|ポテト|野菜
🥕;人参;ニンジン|人参|野菜
🌽;とうもろこし;コーン|とうもろこし|トウモロコシ|野菜
🌶️;とうがらし;とうがらし|辛い|野菜|香辛料
🫑;ピーマン;とうがらし|パプリカ|ピーマン|野菜|青ピーマン
🥒;キュウリ;キュウリ|ピクルス|漬け物|野菜
🥬;葉野菜;キャベツ|ケール|サラダ|チンゲン菜|レタス|葉野菜
🥦;ブロッコリー;ブロッコリー|野菜
🧄;ニンニク;ガーリック|におい|ニンニク|薬味|野菜|香り
🧅;タマネギ;タマネギ|ねぎ|玉ねぎ|薬味|野菜
🥜;ピーナッツ;ナッツ|ピーナッツ|落花生|野菜
🫘;豆;キドニービーンズ|ビーンズ|レッドキドニー|小豆|豆|赤インゲン豆|金時豆|食べ物
🌰;くり;くり|栗|野菜
🫚;ショウガ;ショウガ|ジンジャー|スパイス|ハーブ|生姜|薬味|薬草
🫛;エンドウ豆;エンドウ豆|グリーンピース|さや|大豆|枝豆|豆|野菜
🍄‍🟫;きのこ;きのこ|キノコ|しいたけ|トリュフ|ブラウンマッシュルーム|ポートベロー|マッシュルーム|椎茸|茸|菌類
🫜;根菜;カブ|ビーツ|庭|根|野菜
🍞;食パン;パン|ベーカリー|小麦|食パン
🥐;クロワッサン;クロワッサン|パン|フランス|ベーカリー
🥖;バゲット;バゲット|パン|フランスパン|ベーカリー
🫓;フラットブレッド;アレパ|ナン|パン|ピタパン|フラットブレッド|ラバシ|食べ物
🥨;プレッツェル;ねじり|パン|プレッツェル
🥯;ベーグル;クリームチーズ|パン|パン屋|ベーカリー|ベーグル|朝食
🥞;パンケーキ;パンケーキ|ホットケーキ
🧇;ワッフル;ふんわり|ワッフル|朝食|焼き菓子
🧀;チーズ;チーズ
🍖;骨付き肉;もも肉|肉|骨|骨付き肉
🍗;鶏もも肉;チキン|もも肉|肉|骨|骨付き肉|鶏もも肉
🥩;ステーキ肉;ステーキ|ステーキ肉|ビーフ|ポーク|ラム|肉|赤身肉
🥓;ベーコン;ベーコン|肉
🍔;ハンバーガー;バーガー|ハンバーガー|ファストフード
🍟;フライドポテト;ファストフード|フライドポテト|フレンチフライ|ポテト|ポテトフライ
🍕;ピザ;チーズ|ピザ|ピッツァ|ペパロニ
🌭;ホットドッグ;ソーセージ|フランクフルト|ホットドッグ
🥪;サンドイッチ;サンドイッチ|パン
🌮;タコス;タコス|メキシカン|メキシコ料理
🌯;ブリトー;ソフトタコス|ブリトー|メキシカン|メキシコ料理|ラップサンド
🫔;タマル;タマル|タマレス|ちまき|パモーニャ|メキシカン|食べ物
🥙;ケバブサンド;ケバブ|ケバブサンド|ピタパン|ラップサンド
🧆;ファラフェル;コロッケ|ヒヨコマメ|ファラフェル|肉団子
🥚;卵;卵
🍳;料理;フライパン|レストラン|卵|料理|朝食|目玉焼き
🥘;パエリア;シーフード|パエリア|パエリア鍋
🍲;なべ;シチュー|スープ|なべ|煮物|煮込み
🫕;フォンデュ;スイス|チーズ|チーズフォンデュ|チョコ|フォンデュ|溶かす|鍋|食べ物
🥣;ボウルとスプーン;オートミール|おかゆ|シリアル|ボウルとスプーン|朝食|粥
🥗;グリーンサラダ;グリーン|グリーンサラダ|サラダ
🍿;ポップコーン;お菓子|ポップコーン
🧈;バター;バター|乳製品
🧂;塩;しょっぱい|塩|振りかけ容器|薬味|調味料
🥫;缶詰;缶|缶詰|非常食
🍱;弁当;幕の内|弁当|弁当箱|駅弁
🍘;せんべい;お菓子|せんべい
🍙;おにぎり;おにぎり|おむすび|和食|米
🍚;ごはん;ごはん|ライス|米
🍛;カレーライス;カレー|カレーライス|ライス
🍜;ラーメン;スープ|どんぶり|ヌードル|ラーメン|熱々|箸|麺
🍝;スパゲッティ;イタリア料理|スパゲッティ|スパゲッティー|スパゲティ|パスタ|ミートソース
🍠;焼き芋;サツマイモ|焼き芋|芋
🍢;おでん;おでん|串|練り物
🍣;すし;お寿司|すし|寿司
🍤;エビフライ;エビ|エビフライ|エビ天|フライ|天ぷら
🍥;なると;なると|渦巻き|練り物
🥮;月餅;お祝い|中秋節|中華菓子|月餅|秋
🍡;だんご;お団子|だんご|デザート|串|和菓子
🥟;点心;ギョーザ|ぎょうざ|点心|肉まん|餃子
🥠;フォーチュンクッキー;おみくじ|フォーチュンクッキー
🥡;テイクアウト弁当;テイクアウト弁当|デリバリー|中華|弁当|持ち帰り|箸
🍦;ソフトクリーム;アイス|スイーツ|ソフト|ソフトクリーム|デザート
🍧;かき氷;アイス|かき氷|シェイブアイス|スイーツ|デザート|氷
🍨;アイスクリーム;アイス|アイスクリーム|スイーツ|デザート
🍩;ドーナツ;お菓子|スイーツ|デザート|ドーナツ
🍪;クッキー;お菓子|クッキー|スイーツ|チョコレートチップ|デザート
🎂;バースデーケーキ;お祝い|お菓子|ケーキ|スイーツ|バースデー|バースデーケーキ|ハッピーバースデー|誕生日
🍰;ショートケーキ;お菓子|ケーキ|ショートケーキ|スイーツ|デザート
🧁;カップケーキ;おやつ|お菓子|カップケーキ|ケーキ|スイーツ|ベーカリー|砂糖
🥧;パイ;アップルパイ|お菓子|タルト|パイ|パンプキンパイ|ミートパイ
🍫;チョコレート;お菓子|スイーツ|チョコ|チョコレート|デザート|板チョコ
🍬;キャンディ;あめ|お菓子|キャンディ|虫歯
🍭;ぺろぺろキャンディ;あめ|お菓子|キャンディ|ぺろぺろキャンディ|棒付きキャンディ
🍮;プリン;お菓子|カスタード|スイーツ|デザート|プリン
🍯;はちみつ;はちみつ|ハチミツ|ハニー|プーさん|壺|甘い
🍼;ほにゅう瓶;ほにゅう瓶|ミルク|哺乳瓶|新生児|赤ちゃん
🥛;牛乳入りのコップ;グラス|コップ|ミルク|牛乳|牛乳入りのコップ
☕;温かい飲み物;カフェ|カフェイン|コーヒー|ホットドリンク|温かい飲み物|紅茶|飲み物
🫖;ティーポット;お茶|ティーポット|急須|茶器|飲み物
🍵;湯飲み;お茶|湯飲み|緑茶|茶碗|飲み物
🍶;徳利;徳利|日本酒|猪口|酒
🍾;シャンパン;コルク|シャンパン|シャンペン|スパークリングワイン|スプマンテ|バー|ボトル|泡|飲み物
🍷;ワイングラス;アルコール|お酒|グラス|バー|ワイン|ワイングラス
🍸;カクテルグラス;アルコール|お酒|カクテル|カクテルグラス|グラス|クラブ|バー|マティーニ
🍹;トロピカルドリンク;アルコール|お酒|カクテル|トロピカル|トロピカルドリンク|バー|マイタイ
🍺;ビールジョッキ;アルコール|オクトーバーフェスト|お酒|ジョッキ|バー|ビール|ビールジョッキ|居酒屋
🍻;ビールで乾杯;アルコール|ジョッキ|バー|ビール|ビールで乾杯|乾杯|宴会
🥂;グラスで乾杯;グラス|グラスで乾杯|シャンパン|シャンペン|スパークリングワイン|スプマンテ|乾杯|祝杯
🥃;タンブラーグラス;ウィスキー|ウイスキー|グラス|ショット|スコッチ|タンブラー|タンブラーグラス
🫗;コップから注ぐ;ガラス|コップから注ぐ|こぼす|水|液体|飲み物
🥤;ストローカップ;コップ|ジュース|ストローカップ|ソーダ|ソフトドリンク|水
🧋;タピオカドリンク;お茶|タピオカ|タピオカドリンク|ドリンク|バブルティー|ミルクティー|飲み物
🧃;紙パック飲料;ジュース|ストロー|ドリンク|紙パック飲料|飲み物
🧉;マテ茶;お茶|ドリンク|マテ茶|飲み物
🧊;角氷;冷たい|氷|氷山|角氷
🥢;はし;おはし|はし|箸
🍽️;ナイフとフォークと皿;お皿|ディナー|ナイフ|ナイフとフォークと皿|フォーク|皿|食器
🍴;ナイフとフォーク;カトラリー|ごちそう|ディナー|ナイフ|ナイフとフォーク|フォーク|レストラン|朝食|食事|食器
🥄;スプーン;カトラリー|スプーン|食器
🔪;包丁;ナイフ|凶器|包丁|料理|調理器具
🫙;瓶;ジャー|びん|保存|容器|瓶|空|空き瓶|調味料
🏺;壺;かめ|壺|星座|水瓶

[travel_places]
🌍;地球（ヨーロッパとアフリカ）;アフリカ|ヨーロッパ|世界|地球|地球（ヨーロッパとアフリカ）
🌎;地球（アメリカ大陸）;アメリカ|アメリカ大陸|世界|地球|地球（アメリカ大陸）
🌏;地球（アジアとオーストラリア）;アジア|オーストラリア|世界|地球|地球（アジアとオーストラリア）
🌐;子午線のある地球;インターネット|地球|子午線|子午線のある地球
🗺️;世界地図;マップ|世界|世界地図|地図
🗾;日本地図;地図|日本|日本地図
🧭;コンパス;オリエンテーリング|コンパス|方位磁針|方角|磁石|航海|航空
🏔️;雪山;冠雪|山|雪|雪山
⛰️;山;山|山岳
🛘;地滑り;土砂災害|山|山崩れ|岩石|崩落|災害|落石
🌋;火山;噴火|山|溶岩|火山
🗻;富士山;富士山|山
🏕️;キャンプ;キャンプ|テント|山
🏖️;ビーチパラソル;パラソル|ビーチ|ビーチパラソル|砂浜
🏜️;砂漠;サボテン|サボテンのある砂漠|砂漠
🏝️;無人島;ヤシ|ヤシの木のある島|島|無人島
🏞️;国立公園;公園|国立公園|自然
🏟️;競技場;スタジアム|競技場|野球場
🏛️;歴史的な建物;古代|史跡|歴史|歴史的な建物|歴史的建造物
🏗️;建設中;クレーン|工事|建築|建設|建設中
🧱;れんが;しっくい|ブロック|モルタル|れんが|壁|煉瓦|粘土
🪨;岩石;岩|岩石|巨岩|石|石材|硬い|重たい
🪵;丸太;ログ|丸太|切り株|木|木材|材木|樹木
🛖;わらぶき小屋;バンガロー|ユルト|わらぶき小屋|家|小屋
🏘️;住宅街;住宅街|家|街|複数の家
🏚️;廃屋;家|廃屋|建物|空き家
🏠;家;マイホーム|一戸建て|家|建物|郊外
🏡;庭付きの家;マイホーム|一戸建て|家|庭|庭付きの家|建物|郊外
🏢;オフィスビル;オフィスビル|会社|建物|社屋|都会
🏣;郵便局;建物|郵便|郵便局
🏤;西洋の郵便局;建物|西洋の郵便局|郵便
🏥;病院;医者|建物|病院|薬
🏦;銀行;建物|銀行
🏨;ホテル;ホテル|建物
🏩;ラブホテル;ホテル|ラブホ|ラブホテル|建物
🏪;コンビニ;24時間営業|コンビニ|コンビニエンスストア|店|建物
🏫;学校;学校|建物|校舎
🏬;デパート;デパート|ビル|店舗|建物|百貨店
🏭;工場;ファクトリー|工場|建物|煙突
🏯;城;城|建物|日本|日本の城
🏰;西洋の城;キャッスル|城|建物|西洋の城
💒;結婚式;チャペル|ロマンス|建物|式場|教会|礼拝堂|結婚|結婚式
🗼;東京タワー;タワー|塔|東京|東京タワー
🗽;自由の女神;アメリカ|ニューヨーク|彫像|自由の女神
⛪;教会;キリスト教|チャペル|十字架|宗教|建物|教会|礼拝堂
🕌;モスク;イスラム教|モスク|宗教|建物
🛕;ヒンドゥー教の寺院;ヒンズー教|ヒンドゥー教の寺院|宗教|寺|建物
🕍;シナゴーグ;シナゴーグ|ユダヤ教|宗教|建物
⛩️;鳥居;宗教|建物|神社|神道|鳥居
🕋;カーバ;イスラム教|カーバ|メッカ|宗教|建物|聖地|巡礼
⛲;噴水;噴水
⛺;テント;キャンプ|テント
🌁;霧の都会;もや|都会|霧|霧の都会
🌃;夜の都会;夜|夜の都会|夜景|星|星空
🏙️;高層ビル;ビル群|都会|都市|高層ビル
🌄;山から日の出;ご来光|太陽|山から日の出|日の出|朝|朝日
🌅;日の出;太陽|日の出|日光|朝|朝日
🌆;夕暮れの都会;ビル|夕方|夕日|夕暮れ|夕暮れの都会|都会|都市
🌇;夕日;ビル|夕方|夕日|夕暮れ|太陽|日暮れ|日没
🌉;夜の橋;夜|夜の橋|夜景|橋
♨️;温泉マーク;温泉|温泉マーク|湯気
🎠;メリーゴーランド;メリーゴーラウンド|メリーゴーランド|回転木馬|遊園地|馬
🛝;すべり台;すべり台|公園|遊具
🎡;観覧車;アミューズメントパーク|観覧車|遊園地
🎢;ジェットコースター;アミューズメントパーク|ジェットコースター|遊園地
💈;床屋;バーバー|ヘアサロン|床屋|理容室|理容院|理髪店|美容室|美容院
🎪;サーカス;サーカス|サーカス小屋|テント
