# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;анлӑн кулать;кулӑ|пит-куҫ|савӑнӑҫ|телей
☑️;тӑваткал ҫӑмах;бюллетень|галочка|галочкӑллӑ бюллетень|пурнӑҫланӑ|сасӑлав|тӑваткалри галочка|тӗрӗсленӗ|тунӑ|хатӗр
✔️;паллă;галка|галочка|значок|отметка|паллӑ|хатӗр|хура
❌;хӗрес;значок|улӑштарни|хӗресне|хупӑнни|хутлатни
❎;&quot;хӗрес&quot;кнопка;&quot;хӗрес&quot; кнопка|квадрат|кнопка|кнопка &quot;хӗрес&quot; кнопка|хупӑ|хутлу
➰;йӑлӑ;значок|йӑлмак|петлька|узел
➿;икӗ йӑлӑ;иккӗ|йӑлмак|тӗвви
〽️;урӑх сасӑ кӗрет;кӗрет|сасӑ|тепӗр сасӑ|уйрӑм черет|уйрӑм черетпе улшӑну Палли|юрӑҫсем|япони
✳️;сакӑр вӗҫлӗ ҫӑлтӑр;сакӑр вӗҫлӗ|ҫӑлтӑр
✴️;сакӑр кӗтеслӗ ҫӑлтӑр;Вифлеем|Раштав|сакӑр вӗҫлӗ|ҫӑлтӑр
❇️;хӗлхем;мӗлтлетни|хӗлхем|хӗмленет
©️;автор правине хӳтӗлемелли значок;автор правине хӳтӗлемелли значок|автор правине хӳтӗлемелли Значок|автор правине хӳтӗлемелли Паллӑ|автор правине хӳтӗлени|автор прависем|автор прависене|автор прависене хӳтӗлени|копирайт
®️;регистрациленӗ тавар палли;регистрациленӗ|регистрациленӗ тавар паллине|тавар палли
™️;тавар палли;суту-илӳ марки|суту-илӳ палли|тавар марки|тавар палли|ТМ
🫟;вараланчӑк;вараланчӑк|пӑнчӑ|сӑрӑ|Холи
#️⃣;брелок: #;брелок
*️⃣;брелок: *;брелок
0️⃣;код: 0;0|код|ноль
1️⃣;код: 1;1|код|пӗрре
2️⃣;код: 2;2|иккӗ|код
3️⃣;код: 3;3|виҫҫӗ|код
4️⃣;код: 4;4|код|тӑваттӑ
5️⃣;код: 5;5|код|пиллӗк
6️⃣;код: 6;6|код|улттӑ
7️⃣;код: 7;7|код|ҫиччӗ
8️⃣;код: 8;8|код|саккӑр
9️⃣;код: 9;9|код|тӑххӑр
🔟;брелок: 10;брелок
🔠;прописк кӗртни;алфавит|латиница|латинла саспаллисем|прописной|прописной символсем|ҫӳлти регистр|хута|хута янӑ
🔡;йӗркепе кӳрт;алфавит|аялти регистр|йӗрке|йӗрке символӗсем|йӗркепе|кнопка|латинла саспаллисем|саспаллисем|хута
🔢;цифрӑсем кӗртни;цифрӑсене кӗртни
🔣;символсене кӗртни;кнопка|символсем|символсене кӗртни
🔤;латиницӑпа кӗртни;алфавит|латин алфавичӗ|латиница|латинла саспаллисем|саспаллисем|символсем|хута
🅰️;юн иккӗмӗш ушкӑнӗ;юн иккӗмӗш ушкӑнӗ
🆎;юн тӑваттӑмӗш ушкӑнӗ;юн тӑваттӑмӗш ушкӑнӗ
🅱️;юн виҫҫӗмӗш ушкӑнӗ;юн виҫҫӗмӗш ушкӑнӗ
🆑;&quot;тасат&quot; кнопка;CL|ӑнланмалла&quot; значок|кнопка|паллӑ|стертермелли|стертермелли&quot; кнопка|тасатмалли|тасатмалли &quot;кнопка
🆒;&quot;чӑнкӑ&quot; палли;&quot;чӑнкӑ&quot; значок|значок|кнопка|сывӑ-и|чӑнкӑ
🆓;&quot;тӳлевсӗр&quot; палли;&quot;тӳлевсӗр&quot; значок|значок|ирӗклӗ|кнопка|тӳлевсӗр
ℹ️;информаци палли;информаци|палли|сведенисем|справка|тӗплӗнрех
🆔;&quot;идентификаци&quot; палли;идентификатор|идентификаци|кнопка|палли
Ⓜ️;кружкӑри &quot;м&quot; саспалли;кружокри|кружокри &quot; м &quot;саспалли|кружокри&quot; м &quot; саспалли|м.|саспалли
🆕;&quot;çĕнĕ&quot; палли;значок|новинка &quot;значок|новинка&quot; значок|ҫӗнӗ
🆖;&quot;юрамасть&quot; палли;&quot;лайӑххи нимӗн те&quot; значок|&quot;юрӑхлӑ мар&quot; значок|аван мар|значок|юрӑхлӑ мар|япӑх
🅾️;юн пӗрремӗш ушкӑнӗ;юн пӗрремӗш ушкӑнӗ
🆗;&quot;Килӗшетӗп&quot; палли;значок|лайӑх|ой|ОК|ок&quot; значок
🅿️;парклавăш;автостоянка|ӑшӑнмалла|машинӑсем|паркра|стоянка
🆘;SOS пулӑшма палли;sos|SOS|SOS значок|пулӑшӑр|сос|ҫӑлӑр
🆙;&quot;ҫӗнетӳ&quot; палли;&quot;ҫӗнетӳ&quot; значок|значок|ҫӗнетӳ|ҫӳлелле
🆚;&quot;хирӗҫ&quot; значок;&quot;хирӗҫ&quot; значок|значок|танлаштарсан|хирӗҫ
🈁;&quot;кунта&quot; значок;иероглиф|кнопка|кунта|кунта&quot; палли|палли|япони
🈂️;пулӑшу хакӗ;иероглиф|кнопка|палли|пулӑшу хакӗ|с|япони
🈷️;уйӑх;иероглиф|кнопка|палли|уйӑх|япони
🈶;тӳлевлӗ;иероглиф|кнопка|палли|пур|тӳлев|япони
🈯;бронӑланӑ;иероглиф|йышӑннӑ|кнопка|палли|пӳрнепе кӑтартни|ӳкерчӗксем|япони
🉐;ӑнӑҫлӑ килӗшӳ;ӑнӑҫлӑ ӗҫ|ӗҫлени|иероглиф|кнопка|палли|тупӑш|япони
🈹;ҫӑмӑллӑх;&quot;ҫӑмӑллӑх&quot; палли|иероглиф|кнопка|пайлану|палли|ҫӑмӑллӑх &quot;кнопка|япони
🈚;тӳлевсӗр;иероглиф|кнопка|палли|ҫук|тӳлевсӗр|япони
🈲;чар;иероглиф|кӗме чарнӑ|кнопка|палли|чарнӑ|юрамасть|япони
🉑;ирӗклӗх;иероглиф|йышӑну|калӑпӑр|китай|кнопка|палли|юрать
🈸;заявка;дача|заявка|иероглиф|китай|кнопка|палли|япони
🈴;иртсе ҫӳремелли балл;иероглиф|килӗшӳ|китай|кнопка|палли|пропуск балл|проходной балл|япони
🈳;вырӑн пур;вырӑн|иероглиф|ирӗклӗ|кӗме май пур|китай|кнопка|палли|пур|пушӑлӑх|пушах
㊗️;саламлани;иероглиф|китай|кнопка|палли|праҫник|саламлу|япони
㊙️;вӑрттӑнлӑх;вӑрттӑнлӑх|иероглиф|китай|кнопка|палли|секрет|япони
🈺;уҫҫӑнах;ӗҫ|ӗҫлет|иероглиф|китай|кнопка|палли|уҫҫӑнах|япони
🈵;вырӑн ҫук;вырӑн ҫук|иероглиф|йышӑну|китай|кнопка|недошность|палли|тулли
🔴;хӗрлӗ ҫаврашка;геометри|ҫаврашка|фигура|хӗрлӗ|хӗрлӗ кнопка|шар
🟠;хӗрлӗрех ҫаврашка;геометри|ҫаврашка|фигура|хӗрлӗрех|шар
🟡;сарӑ ҫаврашка;геометри|сарӑ|ҫаврашка|фигура|шар
🟢;симӗс ҫаврашка;геометри|симӗс|ҫаврашка|фигура|шар
🔵;сенкер ҫаврашка;геометри|кӑвак|кнопка|сенкер|ҫаврашка|фигура|шар
🟣;кӑвак ҫаврашка;геометри|кӑвак|ҫаврашка|фигура|шар
🟤;хӑмӑр ҫаврашка;геометри|ҫаврашка|фигура|хӑмӑр|шар
⚫;хура ҫаврашка;геометри|ҫаврашка|фигура|хура шар
⚪;шурӑ ҫаврашка;геометри|ҫаврашка|фигура|шар|шурӑ
🟥;хӗрлӗ тӑваткал;геометри|тӑваткал|тӳркӗтеслӗх|фигура|хӗрлӗ
🟧;хӗрлӗрех тӑваткал;геометри|тӑваткал|тӳркӗтеслӗх|фигура|хӗрлӗрех
🟨;сарӑ тӑваткал;геометри|сарӑ|тӑваткал|тӳркӗтеслӗх|фигура
🟩;симӗс тӑваткал;геометри|симӗс|тӑваткал|тӳркӗтеслӗх|фигура
🟦;кӑвак тӑваткал;геометри|кӑвак|сенкер|тӑваткӗтеслӗх|фигура
🟪;хĕрлĕ-кăвак тӑваткал;геометри|тӑваткал|тӳркӗтеслӗх|фигура|хĕрлĕ-кăвак
🟫;хӑмӑр тӑваткал;геометри|тӑваткал|тӳркӗтеслӗх|фигура|хӑмӑр
⬛;пысӑк хура тӑваткал;геометри|малевич|пысӑк тӑваткал|пысӑк хура тӑваткал|тӑваткал|фигура|хура
⬜;пысӑк шурӑ тӑваткал;геометри|пысӑк тӑваткал|пысӑк шурӑ тӑваткал|тӑваткал|фигура|шурӑ
◼️;хура тӑваткал;геометри|малевич|тӑваткал|фигура|хура
◻️;шурӑ тӑваткал;геометри|тӑваткал|фигура|шурӑ
◾;пысӑках мар хура тӑваткал;геометри|малевич|пысӑках мар тӑваткал|пысӑках мар хура тӑваткал|тӑваткал|фигура|хура
◽;пысӑках мар шурӑ тӑваткал;геометри|пысӑках мар тӑваткал|пысӑках мар шурӑ тӑваткал|тӑваткал|фигура|шурӑ
▪️;хура пӗчӗк тӑваткал;геометри|пӗчӗк тӑваткал|тӑваткал|фигура|хура
▫️;шурӑ пӗчӗк тӑваткал;геометри|пӗчӗк тӑваткал|тӑваткал|фигура|шурӑ
🔶;сарӑ пысӑк ромб;бубни|геометри|пысӑк ромб|пысӑк сарӑ ромб|ромб|фигура|хӗрлӗрех|ылтӑн
🔷;пысӑк сенкер ромб;бубна|геометри|пысӑк кӑвак ромб|пысӑк ромб|ромб|ромбик|сенкер|фигура
🔸;хӗрлӗрех сарӑ ромб;бубни|геометри|пысӑках мар ромб|пысӑках мар хӗрлӗрех ромб|ромб|фигура|хӗрлӗрех|ылтӑн ромб
🔹;пысӑках мар сенкер ромб;геометри|пысӑках мар ромб|пысӑках мар сенкер ромб|ромб|сенкер|фигура
🔺;виҫкӗтеслӗх ҫӳлелле;виҫкӗтеслӗх|геометри|пирамида|ҫӳлелле|фигура|хӗрлӗ
🔻;виҫкӗтеслӗх;аялалла|виҫкӗтеслӗх|геометри|пирамида|ӳпӗнтернӗ|фигура|хӗрлӗ
💠;пӑнчӑллӑ ромб;алмаз|бриллиант|геометри|илемлӗх|пӑнчӑ|ромб|фигура|хаклӑ чул|чечек
🔘;ҫаврака паллă;выключатель|кнопка|переключатель|пусни|сӑрӑ|ҫаврака|ҫуткӑҫ|шӑнкӑрав
🔳;шурӑ рамкӑллӑ кнопка;выключатель|кнопка|малевич|хура тӑваткал|шурӑ|шурӑ рамкӑллӑ кнопка|шурӑ тӑваткал кнопка
🔲;хура рамкӑллӑ кнопка;выключатель|кнопка|ҫуткӑҫ|тӑваткал|хура|хура рамкӑллӑ кнопка

[flags]
🏁;клеткӑллӑ ялав;ӑмӑрту|клеткӑллӑ ялав|тӑваткал-тӑваткал ялав
🚩;виҫкӗтеслӗ ялав;виҫкӗтеслӗ ялав|юпа|ялав виҫкӗтеслӗ
🎌;хӗреслӗ ялавсем;уявлани|хӗрес|хӗреслӗ ялавсем|хӗресленнӗ ялавсем|япун
🏴;хура ялав;вӗлкӗшет|хура ялав
🏳️;шурӑ ялав;вӗлкӗшет|шурӑ ялав
🏳️‍🌈;асамат кӗперӗ ялавӗ;асамат кӗперӗ|асамат кӗперӗ ялавӗ|мӑнаҫлӑх
🏳️‍⚧️;трансгендер ялавӗ;ҫутӑ-сенкер|трансгендер|трансгендер ялавӗ|шупка|шурӑ|ялав
🏴‍☠️;пират ялавӗ;мул|пират|пират ялавӗ|ҫарату|Хаваслӑ Роджер
🇦🇨;ялав: Вознесени утравӗ;ялав
🇦🇩;ялав: Андорра;ялав
🇦🇪;ялав: Пӗрлешнӗ Араб Эмирачӗсем;ялав
🇦🇫;ялав: Афганистан;ялав
🇦🇬;ялав: Антигуапа Барбуда;ялав
🇦🇮;ялав: Ангилья;ялав
🇦🇱;ялав: Албани;ялав
