# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
🫗;د مایع اچول;اچول|اوبه|اوف|تویول|حادثه|خالي|څښاک|شیشه|مایع
🥤;پياله د نيچې سره;پياله د نيچې سره|پياله د نيچې سره، جوس، سوډا
🧋;ببل چای;الماس|ببل|چای|شيدې
🧃;د څښاک دبلی;د جوسو دبلی|د څښاک دبلی
🧉;يو ډول څښاک;څښاک|يو ډول څښاک
🧊;کنګل;د کنګل مکعب|د کنګل يوه لويه ټکړه|سوړ|کنګل
🥢;چوپسټيکس;چوپسټيکس|چوپسټيکس، هاشي
🍽️;ښاخۍ او چاقو د پليټ سره;پخلی، ښاخۍ، ښاخۍ او چاقو د پليټ سره، چاقو، پليټ|ښاخۍ او چاقو د پليټ سره
🍴;ښاخۍ او چاقو;پخلی، چوړکۍ، ښاښۍ، ښاښۍ او چاقو، چاقو|ښاخۍ او چاقو
🥄;کاشوغه;ټیبل ویر|کاشوغه
🔪;د پخلنځی چاقو;پخلی، هوچو، د پخلنځی چاقو، چاقو، وسله|د پخلنځی چاقو
🫙;مرتبان;پلورنځي|جار|خالي|ساس|کانتینر|مصالحه|هیڅ نه
🏺;امفورا;امفورا|امفورا، ايکويريس، پخلی، څکل، جګ، مرغومی

[travel_places]
🌍;نړۍ ښيي اروپا-افریقا;اروپا|افريقا|زمکه|کره|نړۍ|نړۍ ښيي اروپا-افریقا
🌎;نړۍ ښيي امریکا;امريکا|زمکه|نړۍ|نړۍ ښيي امریکا
🌏;نړۍ ښيي آسیا - آسټرالیا;آسټراليا|آسيا|ځمکه|نړۍ|نړۍ ښيي آسیا - آسټرالیا
🌐;نړۍ د نصف لنهارليکې سره;ځمکه|د نصف لنهار ليکه|کره|نړۍ|نړۍ د نصف لنهارليکې سره|نصف لنهار
🗺️;د نړۍ نقشه;د نړۍ نقشه|نړۍ|نقشه
🗾;د جاپان نقشه;جاپان|د جاپان نقشه|نقشه
🧭;قطب نما;اورنټيرينګ|پلټنه|قطب نما|مقناطيسي
🏔️;د واورې ډک غر;د واورې ډک غر|غر|واوره|يخ
⛰️;غر;غر
🛘;د ځمکې ښویدنه;خطر|د خټو ښوېدنه|د واورې ښوېدنه|ډبرې|زلزله|غر|ناورین
🌋;آتش فشان غر;آتش فشان غر|آتش فشاڼ|راوتل|غر
🗻;د فوجي غر;د فوجي غر|غر|فوجي
🏕️;کیمپنګ;کیمپنګ
🏖️;ساحل د چتری سره;ساحل د چتری سره|ساحل، ساحل د چترۍ سره، چترۍ
🏜️;دښته;دښته
🏝️;دښتې ټاپو;دښته، ټاپو|دښتې ټاپو
🏞️;ملي پارک;پارک|ملي پارک
🏟️;لوبغالی;لوبغالی
🏛️;کلاسیکي ودانۍ;کلاسيکي|کلاسيکې ودانۍ|کلاسیکي ودانۍ
🏗️;وداني رغول;رغول|وداني رغول
🧱;خښته;خټه|خښته|خښتې|دېوال|مارټر
🪨;ګټ;پرښه|تړ|دروند|سخت|ګټ
🪵;لرګی;سلېپر|ګيلۍ|لاګ|لرګی
🛖;کوډله;سرپناه|کوټه|کور|ګردي کور|یورت
🏘️;کورونه;کورونه
🏚️;متروک کور;کور|متروک کور
🏠;کور;استوګنځی|کور
🏡;کور د باغ سره;استوګنځی|باغ|کور|کور د باغ سره
🏢;دفتري وداني;دفتري وداني|وداني
🏣;د جاپان پوستي دفتر;پوسته|جاپاني|د جاپان پوستي دفتر|د جاپان پوستې دفتر
🏤;پوستي دفتر;اروپايي|پوسته|پوستي دفتر|پوستې دفتر
🏥;روغتون;درمل|ډاکټر|روغتون
🏦;بانک;بانک|وداني
🏨;هوټل;هوټل|وداني
🏩;د مينې هوټل;د مينې هوټل|مينه|هوټل
🏪;د آسانتيا پلورنځی;اسانتیا|پلورنځی|د آسانتيا پلورنځی
🏫;ښوونځی;ښوونځی|وداني
🏬;د څانګې پلورنځی;پلورنځی|د څانګې|د څانګې پلورنځی
🏭;فابریکه;فابريکه|فابریکه|وداني
🏯;جاپاني کلا;جاپاني|کلا
🏰;کلا;اروپايي|کلا
💒;واده;مينه|واده|وړه کليسا
🗼;د توکیو ټاور;توکيو|ټاور|د توکیو ټاور
🗽;د خپلواکۍ مجسمه;خپلواکي|د خپلواکۍ مجسمه|مجسمه
⛪;کلیسا;صليب|عيسايي|کليسا|کلیسا|مذهب
🕌;جومات;اسلام|جومات|مذهب|مسلمان
🛕;د هندوانو معبد;د هندوانو معبد|معبد|هندو
🕍;د يهودانو جومات;د يهودانو جومات|ګرجا|مذهب|يهود|يهودي
⛩️;شینټو مزار;شینټو|مذهب|مزار
🕋;کعبه;اسلام|کعبه|مذهب|مسلمان
⛲;مورينه;مورينه
⛺;خيمه;خيمه|خيمه رغول
🌁;دهند;خوپه|دهند
🌃;شپه د ستورو سره;ستوری|شپه|شپه د ستورو سره
🏙️;د ښار منظره;د ښار منظره|ښار
🌄;په غرونو کې لمر;په غرونو کې لمر|سهار|غر|لمر|لمر راختل
🌅;لمرخاته;سهار|لمر|لمر خاته|لمرخاته
🌆;د ښار منظره په ماښام کې;د ښار منظره په ماښام کې|ښار|لمر لوېده|ماښام|منظره
🌇;لمر لوېده;لمر|لمر لوېده|ماښام
🌉;په شپه کې پل;پل|په شپه کې پل|شپه
♨️;تودې چينې;تود|تودې چينې|چينې|خوټکېدونکې
🎠;کارطوس آس;آس|کارطوس
🛝;د لوبې ډګر سلایډ;پارک|تفریح ​​|د لوبې ډګر|سلایډ|لوبه|لوبه کول|موضوع
🎡;د فيرس پايه;پايه|د فيرس پايه|د لوبو ټوقو پارک|فيرس
🎢;رولر کوستر;رولر کوستر
💈;د نايي نښه;د نايي نښه|نايي|نښه|ويښتان پريکول
🎪;د سرکس خیمه;خیمه|د سرکس خیمه|سرکس
🚂;لوکوموتيو;انجن|اور ګاړی|پخار|ريلوی|لوکوموتيو
🚃;د اورګاډي موټر;اور ګاډی|برېښنايي|ټرالي بس|ټرام|د اورګاډي موټر|ريلوی|موټر
🚄;زیات سرعت ريل;اور ګاډی|ريلوی|زيات سرعت ريل|زیات سرعت ريل|سرعت|شنکانسن
🚅;بلت ريل;اور ګاډی|بلت|بلت ريل|ريلوی|سرعت|شنکانسن
🚆;اور ګاډی;اور ګاډی|ريلوی
🚇;میترو;سبوی|ميترو|میترو
🚈;کوچنی اور کاډی;ريلوی|کوچنی اور کاډی
🚉;تمځای;اور کاډی|تمځای|ريلوی
🚊;ټرام;ټرالي بس|ټرام
🚝;مونوریل;ګاډی|مونوريل|مونوریل
🚞;د غره پټلۍ;د غره پټلۍ|ريلوی|غر|موټر
🚋;ټرام موټر;ټرالي بس|ټرام|موټر
🚌;بس;بس|ګاډی
🚍;راتلونکی بس;بس|راتلونکی
🚎;ټرالي بس;بس|ټرالي|ټرام
🚐;کوچنی بس;بس|کوچنی بس
🚑;امبولانس;امبولانس|ګاړی
🚒;د اور وژونکی انجن;انجن|اور|ټرک|د اور وژونکی انجن
🚓;دپولیس موټر;پوليس|دپولیس موټر|ګشت|موټر
🚔;راتلونکی پولیس موټر;پولیس|راتلونکی|موټر
🚕;ټیکسي;ټیکسي|ګاډی
🚖;راتلونکی ټیکسي;ټیکسي|راتلونکی
🚗;ګاډي;موټر|موټر چلول
🚘;راتلونکی ګاډي;راتلونکی|راتلونکی ګاډي|ګاړی|موټر
🚙;د سپورټ د استعمال موټر;افادیت|تفریحي|چلول|سپورت|سپورتي وړتیا|موټر
🛻;پک اپ;پک اپ|پيکپ|ټرک
🚚;د وړاندې کولو لارۍ;د وړاندې کولو لارۍ|لارۍ|وړاندې کول
🚛;دوه سرويسه;ټرک|دوه سرويسه|لارۍ|نيمکړې
🚜;ټراکټور;ټراکټور|ګاړی
🏎️;ریسنگ موټر;ریسنگ|موټر
🏍️;موټرسیکل;ريسنګ|موټر سيکل|موټرسیکل
🛵;موټر سکوټر;سکوټر|موټر
🦽;د معلولينو لاسي چوکۍ;د معلولينو لاسي چوکۍ|رسوړتيا
🦼;د معلولينو موټري چوکۍ;د معلولينو موټري چوکۍ|رسوړتيا
🛺;آټو رکشه;آټو رکشه|ټک ټک
🚲;بايسکل;بايسکل|بايک
🛴;کک سکوټر;سکوټر|کک
🛹;سکيټبورډ;تخته|سکيټبورډ
🛼;رولر سکيټ;رولر|سکيټ
🚏;د بس تم ځای;بس|تم ځای|د بس تم ځای
🛣️;لوی سړک;سړک|لوی سړک|موټروی
🛤️;د اورګاډي پټلۍ;اور ګاډی|ټرين|د اورګاډي پټلۍ
🛢️;د تیلو ډرم;تيل|د تیلو ډرم|ډرم
⛽;د سونګ پمپ;پمپ|د سونګ پمپ|ډيزل|سټيشن|سونګ|ګاز
🛞;څرخ;ټایر|حلقه|څرخ|موټر|وګرځي
🚨;د پولیسو موټر رڼا;پوليس|تاوېدونکی|د پولیسو موټر رڼا|د رڼا مينار|رڼا|موټر
🚥;افقی ټرافيکي رڼا;افقي ټرافيکي رڼا|افقی ټرافيکي رڼا|ټرافيک|رڼا|نښه
🚦;عمودی ټرافيکي رڼا;ټرافيک|رڼا|عمودي ټرافيکي رڼا|عمودی ټرافيکي رڼا|نښه
🛑;تم ځای نښانې;اته ګوټې|تم ځای نښانې|نښه|ودرېږه
🚧;د جوړولو;جوړول|خنډ|د جوړولو
⚓;لنګر;اله|بېړۍ|د لنګر|لنګر
🛟;زنګ وهونکی;بوای|حلقه|خوندي کول|خوندیتوب|ژغورل|ژغورونکی|ژوند|ساتونکی|فلوټ|لامبو
⛵;سیلبوټ;بادباني کښتۍ|بحر|د سيل ځای|سيلبوټ|سیلبوټ|کښتۍ
🛶;وړه بېړۍ;کښتۍ|وړه بېړۍ
🚤;چټک کښتۍ;چټک کښتۍ|کښتۍ
🛳️;مسافر آبګوټ;آبګوټ|مسافر
⛴️;بېړۍ;بېړۍ|کښتۍ|مسافر
🛥️;موټر کشتۍ;کښتۍ|موټر کشتۍ|موټر کښتۍ|موټرکښتۍ
🚢;بيړۍ;بيړۍ|کښتۍ|مسافر
✈️;هوایی الوتکه;هوایی الوتکه
🛩️;کوچنی هوایی الوتکه;کوچنی هوایی الوتکه|هوايي الوتکه
🛫;د هوايي الوتکې روانېدنه;د هوايي الوتکې روانېدنه|روانېدنه|روانېدنې|ننوتل|هوايي الوتکه
🛬;هوایی الوتکه راتګ;د هوايي الوتکې رارسېدنه|رارسېدنه|رارسېدنې|کوزېدل|هوايي الوتکه|هوایی الوتکه راتګ
🪂;پاراشوټ;پارا سېل|پارا ګلائيډ|پاراشوټ|سکايي ډايو
💺;څوکۍ;څوکۍ|سيټ
🚁;چورلکه;چورلکه|ګاډی
🚟;هوايي اور ګاډی;ريلوی|هوايي|هوايي اور ګاډی
🚠;د غرونو کیبل وي;د غرونو کيبل وی|د غرونو کیبل وي|غرونه|کيبل|ګندوله
🚡;هوای ټرام وی;ټرام لاره|رسی لار|کیبل|ګونډولا|موټر|هوايي
🛰️;سپوږمکۍ;خلا|سپوږمکۍ
🚀;راکټ;خلا|راکټ
🛸;الوتونکی طشتری;الوتونکى نا لبکى|الوتونکى نالبکى|يو ايف او
🛎️;لاسي زنګ;زنګ|لاسي زنګ|هوتل
🧳;سامان;بندول|سامان|سفر
⌛;ګړۍ لوښې ترسره;ټايمر|شګه|ګړۍ لوښې ترسره
⏳;کړۍ لوښی ندی ترسره;ټايمر|شګه|کړۍ لوښی ندی ترسره|ګړۍ لوښی|ګړۍ لوښی ندی ترسره
⌚;ګړۍ;ساعت|ګړۍ
⏰;زنګ وهونکې ګړۍ;زنګ|زنګ وهونکې ګړۍ|ګړۍ
⏱️;سپورټي ګړۍ;ساعت|سپورټي ګړۍ
⏲️;ټايمر ساعته;ټايمر|ټايمر ساعته|ساعت
🕰️;مينټل پيس ساعت;ساعت|مينټل پيس ساعت
🕛;دولس بجې;00|12|12:00|پوره|دولس|دولس بجې|ساعت
🕧;دولس نيمې;12|12:30|دولس|دولس نيمې|ديرش|ساعت
🕐;یوه بجې;00|1|1:00|بجې|ساعت|يوه|یوه بجې
🕜;يوه نيمه;1|1:30|ديرش|ساعت|يوه نيمه
🕑;دوه بجې;00|2|2:00|بجې|دوه|ساعت
🕝;دوه نيمې;2|2:30|دوه نيمې|ديرش|ساعت
🕒;درې بجې;2|2:30|درې بجې|دوه نيمې|ديرش|ساعت
🕞;درې نيمې;2|2:30|درې نيمې|ديرش|ساعت
🕓;څلور بجې;00|4|4:00|بجې|څلور|ساعت
🕟;څلور نيمې;4|4:30|څلور|څلور نيمې|ديرش|ساعت
🕔;پنځه بجې;00|5|5:00|بجې|پنځه|ساعت
🕠;پنځه نيمې;5|5:30|پنځه نيمې|ديرش|ساعت|منځه
🕕;شپږ بجې;00|6|6:00|بجې|ساعت|شپږ
🕡;شپږ نيمې;6|6:30|ديرش|ساعت|شپږ|شپږ نيمې
🕖;اووه بجې;00|7|7:00|اووه|اووه بجې|پوره|ساعت
🕢;اووه نيمې;7|7:30|اووه نيمې|ديرش|ساعت|ووه نيمې
🕗;اته بجې;00|8|8:00|اته|اته بجې|پوره|ساعت
🕣;اته نيمې;8|8:30|اته|اته نيمې|ديرش|ساعت
🕘;نهه بجې;00|9|9:00|بجې|ساعت|نهه
🕤;نهه نيمې;9|9:30|ديرش|ساعت|نهه|نهه نيمې
🕙;لس بجې;00|10|10:00|بجې|ساعت|لس
🕥;لس نيمې;10|10:30|ديرش|ساعت|لس|لس نيمې
🕚;یولس بجې;00|11|11:00|بجې|ساعت|يولس|یولس بجې
🕦;يوولس نيمې;11|11:30|ديرش|يولس|يولس نيمې|يوولس نيمې
🌑;نوې سپوږمۍ;تياره|سپوږمۍ|نوې سپوږمۍ
🌒;رغېدونکې هلال سپوږمۍ;رغېدونکې|سپوږمۍ|هلال
🌓;د لومړۍ ربعې سپوږمۍ;د لومړۍ ربعې سپوږمۍ|ربع|سپوږمۍ
🌔;رغېدونکې شاټوغې سپوږمۍ;رغېدونکې|سپوږمۍ|شاټوغې
🌕;بشپړه سپوږمۍ;بشپړه|سپوږمۍ
🌖;کمېدونکې شاټوغې سپوږمۍ;سپوږمۍ|شاټوغې|کمېدونکې
🌗;د ورستۍ ربع سپوږمۍ;د ورستۍ ربع سپوږمۍ|ربع|سپوږمۍ
🌘;کمېدونکې هلال سپوږمۍ;سپوږمۍ|کمېدونکې|هلال
🌙;هلال سپوږمۍ;سپوږمۍ|هلال
🌚;نوې سپوږمۍ مخ;د نوې سپوږمۍ مخ|سپوږمۍ|مخ|نوې سپوږمۍ مخ
🌛;په لومړۍ ربع سپوږمۍ مخ;په لومړۍ ربع سپوږمۍ مخ|د لومړۍ ربع سپوږمۍ مخ|ربع|سپوږمۍ|مخ
🌜;د ورستۍ ربع د سپوږمۍ مخ;د ورستۍ ربع د سپوږمۍ مخ|ربع|سپوږمۍ|مخ
🌡️;ترمامیتر;ترماميتر|ترمامیتر|موسم
☀️;لمر;پړقيدونکي|رڼا|لمر|لمريز
🌝;د بشپړه سپوږمۍ مخ;بشپړه|پړقېدونکې|د بشپړه سپوږمۍ مخ|سپوږمۍ|مخ
🌞;لمر د مخ سره;پړقېدونکې|لمر|لمر د مخ سره|مخ
🪐;کړۍ داره سپوږمکۍ;زحل|سيټورنين|کړۍ داره سپوږمکۍ
⭐;ستوری;ستوری
🌟;پړقېدونکی ستوری;پړقېدونکی|ځلا|ځلېدونکی|ستوری
🌠;د ډزو ستوري;د ډزو ستوري|ستوری|لوېدونکی|ويشتونکی
🌌;کهکشان;ځای|کهکشان
☁️;وريځ;موسم|وريځ
⛅;لمر د ريځې شا ته;لمر|لمر د ريځې شا ته|وريځ
⛈️;وريځ د باران او پړقا سره;باران|پړقا|وريځ|وريځ د باران او پړقا سره
🌤️;لمر د کوچنۍ وريځې شا ته;لمر|لمر د کوچنۍ وريځې شا ته|وريځ
🌥️;لمر د لوی وريځې شا ته;لمر|لمر د لوی وريځې شا ته|وريځ
🌦️;لمر د باران د وريځ شا ته;باران|لمر|لمر د باران د وريځ شا ته|وريځ
🌧️;ورېځ سره باران;باران|وريځ|وريځ سره باران|ورېځ سره باران
🌨️;ورېځ سره واوره;واوره|ورېځ|ورېځ سره واوره|يخ
🌩️;وريځ د پړقا سره;پړقا|وريځ|وريځ د پړقا سره|ورېځ د پړقا سره
🌪️;بړبوکۍ;بادامه|بړبوکۍ|ورېځ
🌫️;خوپڼه;خوپټه|خوپڼه|ورېځ
🌬️;د باد مخ;الوتل|باد|د باد مخ|مخ|ورېځ
🌀;سایکلون;بړبوکۍ|تاويدونکي|سايکلون|سایکلون|سر تاوېدل|طوفان
🌈;شنه زرغونه;باران|شنه زرغونه
🌂;تړل شوي چترۍ;باران|تړل شوي چترۍ|تړل شوې چترۍ|چترۍ|کالي
☂️;چترۍ;باران|چترۍ|رخت
☔;چترۍ سره د باران څاڅکي;باران|چترۍ|چترۍ سره د باران څاڅکي|څاڅکي|رخت
⛱️;چترۍ پر ځمکه;باران|چترۍ|چترۍ پر ځمکه|لمر
⚡;لوړ ولیټیج;برېښنايي|پړقا|خطر|لوړ ولیټیج
❄️;سنوفليک;د واورې غونډوسکی|ساړه|سنوفليک|واوره
☃️;د واورې سړی;د واورې سړی|سوړ|واوره
⛄;د واورې ښځه پرته له واورې;د واورې ښځه|د واورې ښځه پرته له واورې|سوړ|واوره
☄️;لکۍ دار ستوری;خلا|لکۍ دار ستوری
🔥;اور;اله|اور|لمبه
💧;اوښکې;اوبه|اوښکې|خوله|څاڅکی|سړه|طبیعت|طنز|غمجن|غورځول|هوا
🌊;د اوبو څپه;اوبه|بحر|څپه|د اوبو څپه

[activities]
🎃;د کدو لالټين;جيک|د کدو لالټين|لالټين|لمانځنه|هالووين
🎄;د کريسمس ونه;د کريسمس ونه|کريسمس|لمانځنه|ونه
🎆;اورلوبې;اورلوبې|لمانځنه
🎇;الماس;الماس|اورلوبې|پړقا|لمانځنه
🧨;پټاکۍ;اورلوبې|پټاکۍ|چاودونکي|نميټ
✨;پړقېدونکي;*|پړقېده|پړقېدونکي|ستوری
🎈;پوکاڼۍ;پوکاڼۍ|لمانځنه
🎉;ګوند پاپر;پاپر|پارټي|ټاډا|ګوند پاپر|لمانځنه
🎊;کنفټی بال;بال|کنفټی|لمانځنه
🎋;د تناباتا ونې;بينر|جاپاني|د تناباتا ونې|د تناباتي ونه|لمانځنه|ونه
🎍;پائن سجاې;بانس|پائن سجاې|پاين|جاپاني|لمانځنه
🎎;جاپاني ګوډاګی;جاپاني|فستيوال|ګوډاګی|لمانځنه
