# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
😓;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏴᏟ ᎠᎵ;ᎠᎵ|ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏴᏟ ᎠᎵ|ᎤᏴᏝ
😩;ᏗᎦᏍᏗᏰᏍᏒ ᎤᎧᏓ;ᎤᎧᏛ|ᏗᎦᏍᏗᏰᏍᏒ|ᏗᎦᏍᏗᏰᏍᏒ ᎤᎧᏓ|ᏧᏩᏪᎩ
😫;ᏚᏯᏪᎦ ᎤᎧᏛ;ᎤᎧᏛ|ᏚᏯᏪᎦ
🥱;ᎦᎸᏍᎦ ᎤᎧᏛ;ᎤᏔᎴᏒ|ᎦᎸᏍᎦ|ᎦᎸᏍᎦ ᎤᎧᏛ|ᏚᏯᏪᎦ
😤;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎾᏍᎩᎾ ᎧᏴᏐᎵ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎾᏍᎩᎾ ᎧᏴᏐᎵ|ᎤᏓᎵᏁᎯᏛ|ᎤᏓᏠᏒ
😡;ᎤᏓᏁᎯᏳ ᎤᎧᏛ;ᎠᎵᏍᎦᏃᏍᎦ|ᎤᎧᏛ|ᎤᎵᏍᎦᎮᏗ|ᎤᎿᎸᎯ|ᎤᏓᏁᎯᏳ|ᎩᎦᎨ
😠;ᎤᎿᎸᎯ ᎤᎧᏛ;ᎠᎿᎸᎯ|ᎤᎧᏛ|ᎤᎿᎸᎯ
🤬;ᎤᎧᏛ ᎤᏙᏪᎸ ᎤᏭᏝᎢ ᎠᎰᎵ;ᎠᏎᎵᏙᏗ|ᎤᎧᏛ ᎤᏙᏪᎸ ᎤᏭᏝᎢ ᎠᎰᎵ
😈;ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᎤᎵᎪᏓ ᏚᏲᎾ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᎤᎵᎪᏓ ᏚᏲᎾ|ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ|ᎰᏩᏂᎨᏒᎾ|ᏧᏲᎾ
👿;ᎤᎿᎸᎢ ᎤᎧᏛ ᏧᏲᎾ;ᎠᏍᎩᎾ|ᎤᎧᏛ|ᎤᎿᎸᎢ ᎤᎧᏛ ᏧᏟᎩ|ᎤᎿᎸᎢ ᎤᎧᏛ ᏧᏲᎾ|ᎤᏍᏗ ᎠᏍᎩᎾ|ᎰᏩᏂᎨᏒᎾ|ᏧᏲᎾ
💀;ᎪᎳᎭ ᎤᏍᎦ;ᎠᏲᎱᎯᏍᏗ|ᎤᎧᏛ|ᎦᏂᏰᎩ|ᎪᎳᎭ ᎤᏍᎦ|ᎰᏩᏂᎨᏒᎾ
☠️;ᎪᎳᎭ ᎤᏍᎦ ᎠᎴ ᏧᏓᎿᏫᏓ ᏧᎪᎳ;ᎠᏲᎱᎯᏍᏗ|ᎤᎧᏛ|ᎦᏂᏰᎩ|ᎪᎳᎭ ᎤᏍᎦ|ᎪᎳᎭ ᎤᏍᎦ ᎠᎴ ᏧᏓᎿᏫᏓ ᏧᎪᎳ|ᏧᏓᎿᏫᏓ ᏧᎪᎳ
💩;ᎦᏒᏛ Ꮎ ᎢᎩᏏ;ᎢᎩᏏ|ᎤᎧᏛ|ᎤᏍᏗ ᎢᎩᏏ|ᎤᏔᎾ ᎢᎩᏏ|ᎦᏂᏰᎩ|ᎦᏒᏛ Ꮎ ᎢᎩᏏ
🤡;ᏧᎦᎸᏓ ᎤᎧᏛ;ᎤᎧᏛ|ᏧᎦᎸᏓ
👹;ᏴᏫ ᎢᏳᏍᏗ;ᎠᏏᏴᏫ|ᎤᎧᏛ|ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ|ᎦᏂᏰᎩ|ᎰᏩᏂᎨᏒᎾ|ᏴᏫ ᎢᏳᏍᏗ
👺;ᎩᎦᎨ ᏴᏫ;ᎠᏏᏴᏫ|ᎤᎧᏛ|ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ|ᎦᏂᏰᎩ|ᎩᎦᎨ ᏴᏫ|ᎰᏩᏂᎨᏒᎾ
👻;ᎠᏥᏍᎩᎵ;ᎠᏏᏴᏫ|ᎠᏥᏍᎩᎵ|ᎤᎧᏛ|ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ|ᎦᏂᏰᎩ|ᎰᏩᏂᎨᏒᎾ
👽;ᎢᎾ ᏂᏓᏳᎶᏒᎢ;ᎠᏏᏴᏫ|ᎢᎾ ᏂᏓᏳᎶᏒ|ᎢᎾ ᏂᏓᏳᎶᏒᎢ|ᎤᎧᏛ|ᎪᏟᏍᏗ ᏂᎨᏒᎾ ᎦᏃᎯᎵᏙᎯ|ᎰᏩᏂᎨᏒᎾ
👾;ᎢᎾ ᏂᏓᏳᎶᏒᎢ ᎦᏂᏰᎩ;ᎠᏏᏴᏫ|ᎢᎾ ᏂᏓᏳᎶᏒ|ᎢᎾ ᏂᏓᏳᎶᏒᎢ|ᎢᎾ ᏂᏓᏳᎶᏒᎢ ᎦᏂᏰᎩ|ᎤᎧᏛ|ᎦᏂᏰᎩ|ᎪᏟᏍᏗ ᏂᎨᏒᎾ ᎦᏃᎯᎵᏙᎯ
🤖;ᏔᎷᎩᏍᎩ ᏴᏫ ᎤᎧᏛ;ᎤᎧᏛ|ᎦᏂᏰᎩ|ᏔᎷᎩᏍᎩ ᏴᏫ|ᏔᎷᎩᏍᎩ ᏴᏫ ᎤᎧᏛ
😺;ᎤᏤᏣᏍᏗ ᏪᏌ ᎤᎧᏛ;ᎠᎰᎵ|ᎠᏍᎢᏓ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᏪᏌ
😸;ᎤᏤᏣᏍᏗ ᏪᏌ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ;ᎠᎦᏘ|ᎤᎧᏛ|ᎤᎭᏁ|ᎤᏤᏣᏍᏗ|ᎤᏤᏣᏍᏗ ᏪᏌ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ|ᏪᏌ
😹;ᏪᏌ ᎤᎧᏛᎢ ᎠᎵᎮᎵᎬᎢ ᎤᎧᏛᎢ;ᎤᎦᏔᏬᎸ|ᎤᎧᏛ|ᎤᎵᎮᎵᏨ|ᏪᏌ|ᏪᏌ ᎤᎧᏛᎢ ᎠᎵᎮᎵᎬᎢ ᎤᎧᏛᎢ
😻;ᏪᏌ ᎤᏰᏗᏍᎬ ᎤᎧᏔ ᏧᎾᏫ-ᏗᎧᏂ;ᎠᎦᏘ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎦᎸᏉᏗ|ᏪᏌ|ᏪᏌ ᎤᏰᏗᏍᎬ ᎤᎧᏔ ᏧᎾᏫ-ᏗᎧᏂ
😼;ᏪᏌ ᎤᎧᏛᎢ ᎠᏓᏰᎵᎠ ᎤᏤᏣᏍᏛᎢ;ᎤᎧᏛ|ᎤᎧᏲᏓ|ᎤᏤᏣᏍᏗ|ᏃᎵᏍᎬᎾ|ᏪᏌ|ᏪᏌ ᎤᎧᏛᎢ ᎠᏓᏰᎵᎠ ᎤᏤᏣᏍᏛᎢ
😽;ᎠᏓᏔᏪᏙᏍᎩ ᏪᏌ ᎤᎧᏛ;ᎠᎦᏘ|ᎠᏓᏔᏪᏙᏍᎩ ᏪᏌ ᎤᎧᏛ|ᎠᏔᏪᏙᎢᏍᏗ|ᎤᎧᏛ|ᏪᏌ
🙀;ᏗᎦᏍᏗᏰᏍᎩ ᏪᏌ ᎤᎧᏓ;Ꭳ|ᎤᎧᏛ|ᏗᎦᏍᏗᏰᏍᎩ|ᏗᎦᏍᏗᏰᏍᎩ ᏪᏌ ᎤᎧᏓ|ᏧᏍᏔᏰᏒ|ᏪᏌ
😿;ᎠᏠᏱᎭ ᏪᏌ ᎤᎧᏛ;ᎠᏠᎯᎭ|ᎠᏠᏱᎭ ᏪᏌ ᎤᎧᏛ|ᎤᎦᏔᏬᎸ|ᎤᎧᏛ|ᎤᏲ ᎤᏓᏅᏔ|ᏪᏌ
😾;ᎤᏓᏁᎯᏳ ᏪᏌ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏓᏁᎯᏳ|ᏪᏌ
🙈;Ꮭ ᎾᎪᏫᏘᎲᎾ-ᎤᏁᎫᏥᏓ- ᎠᏓᎴᏍᎩᏱᏍᎩ;ᎠᎪᏩᏛᏗ|ᎠᏍᎩᎾ|ᎠᏓᎴᏍᎩᏱᏍᎩ|ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ|ᎤᎧᏛ|Ꮭ ᎾᎪᏫᏘᎲᎾ-ᎤᏁᎫᏥᏓ- ᎠᏓᎴᏍᎩᏱᏍᎩ
🙉;ᎠᏛᎩᏍᎩ-ᏂᎨᏒᎾ-ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ;ᎠᏍᎩᎾ|ᎠᏓᎴᏍᎩᏱᏍᎩ|ᎠᏛᎩᏍᎩ-ᏂᎨᏒᎾ-ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ|ᎠᏛᎪᏗ|ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ|ᎤᎧᏛ
🙊;ᏂᎦᏬᏂᏍᎬᎾ ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ;ᎠᏍᎩᎾ|ᎠᏓᎴᏍᎩᏱᏍᎩ|ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ|ᎤᎧᏛ|ᎦᏬᏂᎯᏍᏗ|ᏂᎦᏬᏂᏍᎬᎾ ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ
💌;ᎠᏓᎸᏉᎪᏪᎳᏅ;ᎠᏓᎨᏳᏗ|ᎠᏓᎸᏉᎪᏪᎳᏅ|ᎤᎿᏫ|ᎪᏪᎵ
💘;ᎤᎿᏫ ᎦᏝᏗ ᎬᏗ;ᎤᎿᏫ ᎦᏝᏗ ᎬᏗ|ᎦᏝᏗ|ᎫᏈᏛ
💝;ᎤᎿᏫ ᎠᏇᏡᏍᏗ;ᎠᏇᏡᏍᏗ|ᎤᎾᏓᎸᏉᏙᏗ|ᎤᎿᏫ ᎠᏇᏡᏍᏗ
💖;ᎠᏔᎷᎩᏍᎩ ᎠᏓᏅᏙ;ᎠᏔᎷᎩᎠ|ᎠᏔᎷᎩᏍᎩ ᎠᏓᏅᏙ|ᎤᎳᎾᎩᏍᎬ
💗;ᎠᎵᏌᎳᏗᎲᎢ ᎤᎿᏫ;ᎠᎵᏌᎳᏗᎲᎢ ᎤᎿᏫ|ᎠᏓᎿᏫᏍᎬ|ᎠᏛᏍᎬᎢ|ᎤᎳᎾᎩᏍᎬ|ᎤᏓᏅᏖᏗᏍᎩ
💓;ᎤᎿᏫ ᎠᏓᎾᏫᏍᎬ;ᎠᏓᎿᏫᏍᎦ|ᎠᏓᏅᏫᏍᎦ|ᎤᎿᏫ ᎠᏓᎾᏫᏍᎬ|ᎤᎿᏫ ᎠᏓᎿᏫᏍᎦ
💞;ᏗᏕᏲ ᏚᏓᏅᏛ;ᏗᏕᏲ|ᏗᏕᏲ ᏚᏓᏅᏛ
💕;ᏔᎵ ᏗᏓᏅᏙ;ᎠᏓᎨᏳᏗ|ᏔᎵ ᏗᏓᏅᏙ
💟;ᎤᎿᏫ ᏗᏟᎶᏍᏔᏅ;ᎤᎿᏫ|ᎤᎿᏫ ᏗᏟᎶᏍᏔᏅ
❣️;ᎤᏓᎨᏓ ᎤᎿᏫ ᏍᏓᏱ ᎥᎧᏁᎬᎢ;ᎤᏓᎨᏓ ᎤᎿᏫ ᏍᏓᏱ ᎥᎧᏁᎬᎢ|ᎪᏪᎸ|ᏍᏓᏱ ᎥᎧᏁᎬᎢ|ᏚᏙᏪᎸᎢ
💔;ᎤᏲᏨᎢ ᎤᎿᏫ;ᎤᏲᏨᎢ|ᎤᏲᏨᎢ ᎤᎿᏫ|ᎯᏲᏍᏓ
❤️‍🔥;ᎤᎾᏫ ᎠᎪᎲᏍᏗᏍᎪᎢ;ᎤᎾᏫ|ᎤᎾᏫ ᎠᎪᎲᏍᏗᏍᎪᎢ|ᎦᎴᏴᏒ|ᎦᎷᏫᏔᎦ ᎤᎾᏫ|ᎬᎨᏳᎢ|ᏥᎨᏳᎢ
❤️‍🩹;ᎣᏍᏓ ᏄᏩᏁᎸᎢ ᎤᎾᏫ;ᎠᏢᏔᏍᏗ|ᎣᏍᏓ|ᎣᏍᏓ ᏄᏩᏁᎸᎢ|ᎣᏍᏓ ᏄᏩᏁᎸᎢ ᎤᎾᏫ|ᎧᏅᏬᏗ|ᏅᏩᏙᎯᏯᏛ|ᏙᎯ
❤️;ᎩᎦᎨ ᎤᎿᏫ;ᎤᎿᏫ|ᎩᎦᎨ ᎤᎿᏫ
🩷;ᎩᎦᎨ ᎤᏍᎪᎸ ᎤᎾᏫ;ᎠᎩᎸᏉᏗ|ᎤᎾᏫ|ᎤᏍᎪᎸ|ᎩᎦᎨ|ᎬᎨᏳ
🧡;ᎠᏓᎶᏂᎨ ᎤᎿᏫ;ᎠᏓᎶᏂᎨ|ᎠᏓᎶᏂᎨ ᎤᎿᏫ
💛;ᏓᎶᏂᎨ ᎤᎿᏫ;ᏓᎶᏂᎨ|ᏓᎶᏂᎨ ᎤᎿᏫ
💚;ᎢᏤᏳᏍᏗ ᎤᎿᏫ;ᎢᏤᏳᏍᏗ|ᎢᏤᏳᏍᏗ ᎤᎿᏫ
💙;ᏌᎪᏂᎨ ᎤᎿᏫ;ᏌᎪᏂᎨ|ᏌᎪᏂᎨ ᎤᎿᏫ
🩵;ᏌᎪᏂᎨ ᎤᏍᎪᎸ ᎤᎾᏫ;ᎤᎾᏫ|ᎤᏍᎪᎸ|ᎦᎸᎳᏗ|ᏌᎪᏂᎨ
💜;ᎠᏓᎲᎵᎨ ᎤᎿᏫ;ᎠᏓᎲᎵᎨ|ᎠᏓᎲᎵᎨ ᎤᎿᏫ
🤎;ᎤᏬᏗᎨ ᎤᎾᏫ;ᎤᎾᏫ|ᎤᏬᏗᎨ
🖤;ᎬᎿᎨ ᎤᎾᏫ;ᎤᏲ|ᎤᏲᎢᏳᎢ|ᎬᎿᎨ|ᎬᎿᎨ ᎤᎾᏫ
🩶;ᎬᎿᎨ ᎤᏍᎪᎸ ᎤᎾᏫ;ᎤᎾᏫ|ᎤᏁᎦ ᎠᏕᎳ|ᎤᏍᎪᎸ|ᎬᎿᎨ
🤍;ᎤᏁᎦ ᎤᎾᏫ;ᎤᎾᏫ|ᎤᏁᎦ
💋;ᎠᏔᏪᏙᏅᎢ ᎤᏙᏪᎸᎢ;ᎠᏔᏪᏙᏅᎢ|ᎠᏔᏪᏙᏅᎢ ᎤᏙᏪᎸᎢ|ᎤᎭᏁᎦᎸᎢ
💯;ᎠᎪᎯᏧᏈ ᎬᏅᏅᎢ;100|ᎠᎪᎯᏧᏈ ᎬᏅᏅᎢ|ᎤᏅᏅᎢ|ᎧᎵᎢ|ᏍᎪᎯᏧᏈ
💢;ᎤᎿᎸᎯ ᏓᏟᎶᏍᏛᎢ;ᎤᎿᎸᎯ|ᎤᎿᎸᎯ ᏓᏟᎶᏍᏛᎢ|ᎤᏬᏟᏗ
🫯;ᎠᏥᎳᎱ ᎠᎶᎩᎸ;ᎠᏥᎳᎱ|ᎭᏁᎭ|ᎭᏘᏲᎦ|ᏗᏟᏴ ᏗᎦᏬᏂᎯᏍᏗ|ᏥᎳᎱ
💥;ᏚᎾᏓᏛᏂᎸ;ᎤᏬᏟᏗ|ᏍᏓᏱ ᎤᏃᏴᎩ|ᏚᎾᏓᏛᏂᎸ
💫;ᎤᎸᏕᎯᏓ;ᎤᎸᏕᎯᏓ|ᎤᏬᏟᏗ|ᏃᏈᏏ
💦;ᎠᎵ ᏧᏩᏬᏨ;ᎠᎵ|ᎠᎵ ᏧᏩᏬᏨ|ᎤᏬᏟᏗ|ᏗᏍᏚᏟᏥᏙᎲᎢ
💨;ᎠᏓᎾᏫᏍᏗᏍᎬᎢ;ᎠᏓᎾᏫᏍᏗᏍᎬᎢ|ᎠᏓᏫᏍᏗᏍᎬᎢ|ᎠᏗᏟ|ᎤᏬᏟᏗ
🕳️;ᎠᏔᎴᏒᎢ;ᎠᏔᎴᏒᎢ
💬;ᎦᏬᏂᎯᏍᏗᎢ ᎤᏃᎴ ᎠᏲᏙᏗ;ᎤᏃᎴ ᎠᏲᏙᏗ|ᎤᏆᎷᏒ|ᎤᏬᏟᏗ|ᎦᏬᏂᎯᏍᏗᎢ|ᎦᏬᏂᎯᏍᏗᎢ ᎤᏃᎴ ᎠᏲᏙᏗ|ᏗᏟᏃᎮᏗᎢ
👁️‍🗨️;ᎠᎦᏘ ᎥᎿ ᎥᎧᏁᎬᎢ ᎤᏆᎷᏒ;ᎠᎦᏔᎯ|ᎠᎦᏘ|ᎠᎦᏘ ᎥᎿ ᎥᎧᏁᎬᎢ ᎤᏆᎷᏒ|ᎥᎧᏁᎬᎢ ᎤᏆᎷᏒ
🗨️;ᎠᎦᏍᎦᏂ ᎦᏬᏂᎯᏍᏗᎢ ᎤᏆᎷᏒᎢ;ᎠᎦᏍᎦᏂ ᎦᏬᏂᎯᏍᏗᎢ ᎤᏆᎷᏒᎢ|ᎦᏬᏂᎯᏍᏗᎢ|ᏗᏟᏃᎮᏗ
🗯️;ᎠᎦᏘᏏ ᎤᎿᎸᎯ ᎤᏆᎷᏒᎢ;ᎠᎦᏘᏏ ᎤᎿᎸᎯ ᎤᏆᎷᏒᎢ|ᎤᎿᎸᎯ|ᎤᏃᎴ ᎠᏲᏙᏗ|ᎤᏆᎷᏒᎢ
💭;ᎠᏓᎾᏖᎸᏍᎩ ᎤᏃᎴ ᎠᏦᏔᏍᏙᏗ;ᎠᏓᎾᏖᎸᏍᎩ ᎤᏃᎴ ᎠᏦᏔᏍᏙᏗ|ᎠᏓᏅᏖᏢᎢ|ᎤᏃᎴ ᎠᏲᏙᏗ|ᎤᏆᎷᏒᎢ|ᎤᏬᏟᏗ
💤;ᏃᏃᏃ;ᎤᏬᏟᏗ|ᎦᏟ|ᏃᏃᏃ

[people_body]
👋;ᎠᏲᎵᎭ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎤᏬᏱ
	👋🏻;ᎠᏲᎵᎭ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ
	👋🏼;ᎠᏲᎵᎭ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏬᏱ
	👋🏽;ᎠᏲᎵᎭ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏱ
	👋🏾;ᎠᏲᎵᎭ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏱ
	👋🏿;ᎠᏲᎵᎭ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏐᏰᎭ|ᎠᏲᎵᎭ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏱ
🤚;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ
	🤚🏻;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🤚🏼;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ
	🤚🏽;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ
	🤚🏾;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ
	🤚🏿;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ|ᎣᏬᏰᏂᎣᏂᏗᏜ|ᎤᎵᏌᎳᏓᏅᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🖐️;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ;ᎢᏧᏓᎵ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏬᏱ|ᎦᏰᏌᏛ
	🖐🏻;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎢᏧᏓᎵ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᎦᏰᏌᏛ
	🖐🏼;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎢᏧᏓᎵ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏬᏱ|ᎦᏰᏌᏛ
	🖐🏽;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎢᏧᏓᎵ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏬᏱ|ᎦᏰᏌᏛ
	🖐🏾;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎢᏧᏓᎵ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏬᏱ|ᎦᏰᏌᏛ
	🖐🏿;ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎢᏧᏓᎵ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ|ᎤᏬᏱ|ᎦᏰᏌᏛ
✋;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ|ᎤᏬᏱ
	✋🏻;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ
	✋🏼;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ|ᎤᏬᏱ
	✋🏽;ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ|ᎤᏬᏱ
