# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
🌽;бир баш жүгөрү;баш|бир баш жүгөрү|дан|жүгөрү|өсүмдүк
🌶️;ачуу калемпир;ачуу|калемпир|өсүмдүк
🫑;таттуу мурч;таттуу мурч
🥒;бадыраң;бадыраң|жашылча|тамак|туздалган
🥬;көк чөптөр;борщ|капуста|көк чөптөр|кытай капустасы|салат
🥦;брокколи;брокколи|жапайы капуста
🧄;сарымсак;сарымсак|татымал
🧅;пияз;пияз|татымал
🥜;жер жаңгак;жаңгак|жашылча|жер жаңгак|тамак
🫘;буурчактар;буурчактар|тамак-аш|төө бурчак
🌰;каштан;каштан|өсүмдүк
🫚;имбир тамыры;имбир тамыры|сыра|тамыр|татымал
🫛;буурчак кабыгы;буурчак|жашылча|кабыгы|эдамаме
🍄‍🟫;күрөң козу карын;жаратылыш|жашылча|күрөң козу карын|тамак|тепек
🫜;тамыры желе турган жашылча;бакча|вегетариан|жашылча|кызылча|редис|салат|тамак|тамыр|түрп
🍞;нан;кесим|нан
🥐;круассан;круассан|нан азыгы|тамак|француз
🥖;багет;багет|нан азыгы|тамак|француз
🫓;жапма нан;жапма нан
🥨;крендель;крендель|оролгон
🥯;тегерек токоч;жалаа|нан азыктары|тегерек токоч
🥞;куймак;куймак|тамак
🧇;вафли;вафли|темир|ческинсиз
🧀;кесилген сыр;кесилген сыр|сыр
🍖;жилик эт;жилик эт|сөөк|эт
🍗;канаттуунун сан эти;канаттуунун сан эти|сан эт|сөөк|тоок
🥩;эттин кесими;козудан отбивной|отбивной|стейк|чочко этинен отбивной|эттин кесими
🥓;бекон;бекон|тамак|эт
🍔;гамбургер;бургер|гамбургер
🍟;фри;картошка фри|фри
🍕;пицца;кесинди|пицца|сыр
🌭;хот-дог;сосиска|хот-дог|хотдог
🥪;сэндвич;нан|сэндвич
🌮;тако;мексика|тако
🌯;буррито;буррито|мексика
🫔;тамале;тамале
🥙;шаурма;жупка|кебаб|тамак|шаурма
🧆;фалафель;буурчактай|фалафель|фрикаделька
🥚;жумуртка;жумуртка|тамак
🍳;бышыруу;бышыруу|жумуртка|кууруу|таба
🥘;көмөч казандагы рагу;көмөч казан|көмөч казандагы рагу|паэлья|рагу|тамак
🍲;бир табак тамак;бир табак тамак|табак|шорпо
🫕;фондю;сыр|фондю|чөйчөк|Швейцариялык|шоколад|ээритилген
🥣;кашык салынган кесе;ботко|кашык салынган кесе|күрүч боткосу|таңкы тамак
🥗;жашылча салаты;жашылча|жашылча салаты|салат|тамак
🍿;попкорн;попкорн
🧈;май;май|сүт азыктары
🧂;туз;аралаштыргыч|татымал|туз
🥫;консерваланган тамак;консерва|консерваланган тамак
🍱;бенто кутусу;бенто|бенто кутусу|куту
🍘;күрүч крекери;крекер|күрүч|күрүч крекери
🍙;күрүч тобу;жапончо|күрүч|күрүч тобу|топ
🍚;бышкан күрүч;бышкан|күрүч
🍛;карри кошулган күрүч;карри|карри кошулган күрүч|күрүч
🍜;бууланып жаткан чыны;бууланган|бууланып жаткан чыны|кесме|чыны
🍝;спагетти;камыр|спагетти
🍠;куурулган таттуу картошка;картошка|куурулган|таттуу
🍢;оден;деңиз тамагы|кебаб|оден|чыбык|шампур
🍣;суши;суши
🍤;куурулган креветка;креветка|куурулган|темпура
🍥;айлантып салынган балык пирогу;айлантып салынган балык пирогу|балык|пирог
🥮;кытай пирожныйы;күз|кытай пирожныйы|майрам|юбиң
🍡;данго;данго|десерт|жапончо|таттуу|чыбык|шампур
🥟;пельмен;пельмен|чүчпара
🥠;келечекти айтуучу печеньелер;келечекти айтуу|келечекти айтуучу печеньелер
🥡;тамакты үйгө салып кетүү үчүн кутуча;тамакты үйгө салып кетүү үчүн кутуча|устрица салынуучу куту
🍦;жумшак балмуздак;балмуздак|десерт|жумшак|муз|таттуу
🍧;жылмаланган муз;десерт|жылмаланган|муз|таттуу
🍨;балмуздак;балмуздак|десерт|муз|таттуу
🍩;пончик;десерт|пончик|таттуу
🍪;булочка;булочка|десерт|таттуу
🎂;туулган күн торту;десерт|майрам|таттуу|торт|туулган күн|туулган күн торту
🍰;каттама торт;десерт|каттама торт|кесим|таттуу|торт
🧁;пирожное;кондитер азыктары|пирожное|таттуу
🥧;пирог;кондитер азыктары|пирог|фарш
🍫;шоколад тилкеси;десерт|таттуу|тилке|шоколад|шоколад тилкеси
🍬;момпосуй;десерт|момпосуй|таттуу
🍭;чупачупс;десерт|момпосуй|таттуу|чупачупс
🍮;кастард;десерт|кастард|пудинг|таттуу
🍯;бал челек;бал|бал челек|таттуу
🍼;баланын бөтөлкөсү;бала|баланын бөтөлкөсү|бөтөлкө|ич|сүт
🥛;бир стакан сүт;бир стакан сүт|стакан|суусундук|сүт
☕;ысык суусундук;бууланган|ич|кофе|суусундук|чай|ысык
🫖;чайнек;чайнек
🍵;чай чыны;ич|суусундук|чай|чыны
🍶;саке;бар|бөтөлкө|ич|саке|суусундук
🍾;шампан;атылма|бар|бөтөлкө|тыгын|шампан
🍷;вино бокалы;бар|бокал|вино|вино бокалы|ичимдик
🍸;коктейль бокалы;бар|бокал|ич|коктейль|коктейль бокалы
🍹;тропикалык суусундук;бар|ич|тропикалык|тропикалык суусундук
🍺;сыра кружкасы;бар|ич|кружка|сыра|сыра кружкасы
🍻;кагышкан сыра кружкалары;бар|кагыш|кагышкан сыра кружкалары|кружка|сыра
🥂;бокал кагыштыруу;бокал|бокал кагыштыруу|ичимдик|майрам|шаңгыроо
🥃;винонун стаканы;бокал|винонун стаканы|виски|коктейль|ликер
🫗;куюлуп жаткан суюктук;бош|куюлуп жаткан суюктук|куюу|стакан|суусундук|суюктук куюу
🥤;таякча салынган стакан;сода|таякча салынган стакан|шире
🧋;көбүргөн чай;көбүргөн чай
🧃;суусундук кутусу;суусундук кутусу|шире кутусу
🧉;мате;мате|суусундук
🧊;муз куб;айсберг|муз куб|муздак
🥢;тамак таякчалары;тамак таякчалары|хаши
🍽️;вилка, бычак жана табак;бычак|бычак жана табак|вилка|вилка, бычак жана табак|табак
🍴;вилка жана бычак;бычак|вилка|вилка жана бычак
🥄;кашык;идиш-аяк|кашык
🔪;ашкана бычагы;ашкана бычагы|бычак|бышыруу|курал
🫙;банка;банка|бош|контейнер|сактоо|соус|татымал
🏺;амфора;амфора|бышыр|зодиак|ич|курал|суупери

[travel_places]
🌍;европа-африканы көрсөткөн глобус;африка|дүйнө|европа|европа-африканы көрсөткөн глобус|жер
🌎;американы көрсөткөн глобус;америка|американы көрсөткөн глобус|глобус|дүйнө|жер
🌏;азия-австралияны көрсөткөн глобус;австралия|азия|азия-австралияны көрсөткөн глобус|дүйнө|жер
🌐;меридиан сызыктары менен глобус;глобус|дүйнө|жер|меридиан сызыктары менен глобус|меридиандар
🗺️;дүйнө картасы;дүйнө|дүйнө картасы|карта
🗾;жапония картасы;жапония картасы|жапончоия|карта
🧭;компас;багыт алуу|компас|магниттик|навигация
🏔️;ак мөңгүлүү тоо;ак мөңгүлүү тоо|кар|суук|тоо
⛰️;тоо;тоо
🛘;жер көчкү;жер титирөө|коркунуч|көчкү|кырсык|сел|таштар|тоо
🌋;жанар тоо;аба-ырайы|атылуу|вулкан|тоо
🗻;фудзияма тоосу;тоо|фудзияма|фудзияма тоосу
🏕️;өргү жасоо;лагерь|өргү жасоо
🏖️;жээктеги чатыр;жээк|жээктеги чатыр|чатыр
🏜️;чөл;чөл
🏝️;чөл аралы;арал|чөл|чөл аралы
🏞️;улуттук сейилбак;сейилбак|улуттук сейилбак
🏟️;стадион;стадион
🏛️;классикалык имарат;имарат|классикалык
🏗️;имарат курулушу;имарат|имарат курулушу|курулуш
🧱;кирпич;аралашма|дубал|кирпич|кирпичтер|цемент
🪨;таш;катуу|оор|таш|шагыл
🪵;отун;дөңгөч|жыгач|отун|тактай|устун
🛖;алачык;алачык|боз үй|үй
🏘️;үй курулуштары;имарат|үй|үй курулуштары
🏚️;каралбаган үй;каралбаган|үй|ээн|ээси жок
🏠;үй имараты;имарат|үй|үй имараты
🏡;бакчасы бар үй;бакча|бакчалуу|бакчасы бар|бакчасы бар үй|үй
🏢;кеңсе имараты;имарат|кеңсе имараты
🏣;жапон почтасы;жапон почтасы|жапончо|имарат|почта
🏤;почта;европа|имарат|почта
🏥;оорукана;бейтапкана|дары|дарыгер|доктур|оорукана
🏦;банк;банк|имарат
🏨;мейманкана;имарат|мейманкана
🏩;сүйүү мейманканасы;имарат|мейманкана|сүйүү|сүйүү мейманканасы
