[smileys_emotion]
😀;nasmijano lice;lice|nasmijano lice|smiješak|usta|zubi
❓;crveni upitnik;?|crveni upitnik|interpunkcija|oznaka|pitanje
❔;bijeli upitnik;bijeli upitnik|interpunkcija|obris|pitanje|znak
❕;bijeli uskličnik;bijeli uskličnik|interpunkcija|obris|uskličnik|znak
❗;crveni uskličnik;!|crveni uskličnik|interpunkcija|oznaka|uskličnik
〰️;valovita crta;crta|interpunkcija|valovita crta|valovito
💱;mjenjačnica;banka|mjenjačnica|novac|valuta
💲;masno otisnut znak dolara;dolar|masno otisnut znak dolara|novac|valuta
⚕️;simbol medicine;Asklepijev štap|simbol medicine
♻️;simbol recikliranja;recikliranje|simbol recikliranja
⚜️;heraldički ljiljan;fleur-de-lis|heraldički ljiljan
🔱;znak trozupca;alat|brod|grb|sidro|trozubac|znak trozupca
📛;bedž s imenom;bedž|bedž s imenom|ime
🔰;japanski simbol za početnika;čin|japanski|japanski simbol za početnika|list|početnik
⭕;crveni krug s rupom;crveni|crveni krug s rupom|krug|o|veliki
✅;tipka s kvačicom;✓|gumb|kvačica|oznaka|tipka s kvačicom
☑️;potvrdni okvir s kvačicom;✓|okvir|potvrda|potvrdni okvir s kvačicom
✔️;kvačica;✓|kvačica|oznaka
❌;križić;križić|množenje|odustajanje|oznaka križića|puta|x|znak
❎;tipka s oznakom križića;kvadrat|tipka s oznakom križića|znak
➰;vitičasta petlja;petlja|vitica|vitičasta petlja
➿;dvostruka vitičasta petlja;dvostruka vitičasta petlja|dvostruko|petlja|vitica
〽️;oznaka djelomične alternacije;djelomično|oznaka djelomične alternacije|znak
✳️;osmerokraka zvjezdica;osmerokraka zvjezdica|zvjezdica
✴️;osmerokraka zvijezda;osmerokraka zvijezda|zvijezda
❇️;iskra;iskra|zvjezdica
©️;znak za autorska prava;autorska prava|copyright|znak za autorska prava
®️;znak za registrirano;registrirano|znak za registrirano
™️;zaštitni znak tm;tm|zaštitni znak|zaštitni znak tm|znak
#️⃣;tipka: #;tipka|tipka: #
*️⃣;tipka: *;tipka|tipka: *
0️⃣;tipka: 0;tipka|tipka: 0
1️⃣;tipka: 1;tipka|tipka: 1
2️⃣;tipka: 2;tipka|tipka: 2
3️⃣;tipka: 3;tipka|tipka: 3
4️⃣;tipka: 4;tipka|tipka: 4
5️⃣;tipka: 5;tipka|tipka: 5
6️⃣;tipka: 6;tipka|tipka: 6
7️⃣;tipka: 7;tipka|tipka: 7
8️⃣;tipka: 8;tipka|tipka: 8
9️⃣;tipka: 9;tipka|tipka: 9
🔟;tipka: 10;tipka|tipka: 10
🔠;unos velikih latiničnih slova;latinica|slova|unos|unos velikih latiničnih slova|velika
🔡;unos malih latiničnih slova;abcd|latinica|mala|unos|unos malih latiničnih slova
🔢;unos brojeva;1234|brojevi|unos|unos brojeva
🔣;unos simbola;unos|unos simbola
🔤;unos latiničnih slova;abc|abeceda|latinica|slova|unos latiničnih slova
🅰️;tipka krvne grupe A;a|krv|tipka krvne grupe A
🆎;tipka krvne grupe AB;ab|krv|tipka krvne grupe AB
🅱️;tipka krvne grupe B;b|krv|tipka krvne grupe B
🆑;tipka CL;cl|tipka CL
🆒;tipka COOL;cool|tipka COOL
🆓;tipka FREE;free|tipka FREE
ℹ️;izvor informacija;i|informacije|izvor informacija
🆔;tipka ID;id|identitet|tipka ID
Ⓜ️;slovo m u krugu;krug|m|slovo m u krugu
🆕;tipka NEW;new|tipka NEW
🆖;tipka NG;ng|tipka NG
🅾️;tipka krvne grupe 0;0|krv|tipka krvne grupe 0
🆗;tipka OK;ok|tipka OK|u redu
🅿️;tipka P;parkiranje|tipka P
🆘;tipka SOS;pomoć|sos|tipka SOS
🆙;tipka UP!;gore|tipka UP!|up|znak
🆚;tipka VS;tipka VS|versus|vs
🈁;tipka s ideogramom &quot;ovdje&quot;;japanski|tipka s ideogramom &quot;ovdje&quot;
🈂️;tipka s ideogramom &quot;naplata usluge&quot;;japanski|tipka s ideogramom &quot;naplata usluge&quot;
🈷️;tipka s ideogramom &quot;mjesečni iznos&quot;;japanski|tipka s ideogramom &quot;mjesečni iznos&quot;
🈶;tipka s ideogramom &quot;nije besplatno&quot;;japanski|tipka s ideogramom &quot;nije besplatno&quot;
🈯;tipka s ideogramom &quot;rezervirano&quot;;japanski|tipka s ideogramom &quot;rezervirano&quot;
🉐;tipka s ideogramom &quot;povoljno&quot;;japanski|tipka s ideogramom &quot;povoljno&quot;
🈹;tipka s ideogramom &quot;popust&quot;;japanski|tipka s ideogramom &quot;popust&quot;
🈚;tipka s ideogramom &quot;besplatno&quot;;japanski|tipka s ideogramom &quot;besplatno&quot;
🈲;tipka s ideogramom &quot;zabranjeno&quot;;japanski|tipka s ideogramom &quot;zabranjeno&quot;
🉑;tipka s ideogramom &quot;prihvatljivo&quot;;japanski|tipka s ideogramom &quot;prihvatljivo|tipka s ideogramom &quot;prihvatljivo&quot;
🈸;tipka s ideogramom &quot;zahtjev&quot;;japanski|tipka s ideogramom &quot;zahtjev&quot;
🈴;tipka s ideogramom &quot;prolazna ocjena&quot;;japanski|tipka s ideogramom &quot;prolazna ocjena&quot;
🈳;tipka s ideogramom &quot;ima slobodnih mjesta&quot;;japanski|tipka s ideogramom &quot;ima slobodnih mjesta&quot;
㊗️;tipka s ideogramom &quot;čestitke&quot;;čestitanje|ideogram|japanski|tipka s ideogramom &quot;čestitke&quot;
㊙️;tipka s ideogramom &quot;tajna&quot;;ideogram|japanski|tajna|tipka s ideogramom &quot;tajna&quot;
🈺;tipka s ideogramom &quot;otvoreno&quot;;japanski|tipka s ideogramom &quot;otvoreno&quot;
🈵;tipka s ideogramom &quot;popunjeno&quot;;japanski|tipka s ideogramom &quot;popunjeno&quot;
🔴;crveni krug;crveni krug|crveno|geometrija|krug
🟠;narančasti krug;krug|narančasti
🟡;žuti krug;krug|žuti
🟢;zeleni krug;krug|zeleni
🔵;plavi krug;geometrija|krug|plavi krug|plavo
🟣;ljubičasti krug;krug|ljubičasti
🟤;smeđi krug;krug|smeđi
⚫;crni krug;crni krug|geometrija|krug
⚪;bijeli krug;bijeli krug|geometrija|krug
🟥;crveni kvadrat;crveni|kvadrat
🟧;narančasti kvadrat;kvadrat|narančasti
🟨;žuti kvadrat;kvadrat|žuti
🟩;zeleni kvadrat;kvadrat|zeleni
🟦;plavi kvadrat;kvadrat|plavi
🟪;ljubičasti kvadrat;kvadrat|ljubičasti
🟫;smeđi kvadrat;kvadrat|smeđi
⬛;veliki crni kvadrat;geometrija|kvadrat|veliki crni kvadrat
⬜;veliki bijeli kvadrat;geometrija|kvadrat|veliki bijeli kvadrat
◼️;srednji crni kvadrat;geometrija|kvadrat|srednji crni kvadrat
◻️;srednji bijeli kvadrat;geometrija|kvadrat|srednji bijeli kvadrat
◾;srednje mali crni kvadrat;geometrija|kvadrat|srednje mali crni kvadrat
◽;srednje mali bijeli kvadrat;geometrija|kvadrat|srednje mali bijeli kvadrat
▪️;mali crni kvadrat;geometrija|kvadrat|mali crni kvadrat
▫️;mali bijeli kvadrat;geometrija|kvadrat|mali bijeli kvadrat
🔶;veliki narančasti romb;geometrija|narančasto|romb|veliki narančasti romb
🔷;veliki plavi romb;geometrija|plavo|romb|veliki plavi romb
🔸;mali narančasti romb;geometrija|mali narančasti romb|narančasto|romb
🔹;mali plavi romb;geometrija|mali plavi romb|plavo|romb
🔺;crveni trokut usmjeren prema gore;crveni trokut usmjeren prema gore|crveno|geometrija|gore|trokut
🔻;crveni trokut usmjeren prema dolje;crveni trokut usmjeren prema dolje|crveno|dolje|geometrija|trokut
💠;romb s točkom;geometrija|romb|romb s točkom|unutra
🔘;kružić za označavanje;geometrija|kružić|kružić za označavanje
🔳;bijela uglata tipka;bijela uglata tipka|geometrija|gumb|obris|uglato
🔲;crna uglata tipka;crna uglata tipka|geometrija|gumb|uglato

[flags]
🏁;zastava s crno-bijelom šahovnicom;šahovnica|utrka|zastava s crno-bijelom šahovnicom
🚩;trokutasta zastava;pošta|trokutasta zastava
🎌;prekrižene zastave;japan|prekrižene zastave|prekriženo|slavlje
🏴;crna zastava;crna zastava|vijorenje
🏳️;bijela zastava;bijela zastava|vijorenje
🏳️‍🌈;zastava duginih boja;duga|zastava|zastava duginih boja
🏳️‍⚧️;zastava pokreta transrodnih osoba;bijela|ružičasta|svjetloplava|transrodne osobe|zastava|zastava pokreta transrodnih osoba
🏴‍☠️;gusarska zastava;blago|gusar|gusarska zastava|Jolly Roger
🇦🇨;zastava: Otok Ascension;zastava|zastava: Otok Ascension
🇦🇩;zastava: Andora;zastava|zastava: Andora
🇦🇪;zastava: Ujedinjeni Arapski Emirati;zastava|zastava: Ujedinjeni Arapski Emirati
🇦🇫;zastava: Afganistan;zastava|zastava: Afganistan
🇦🇬;zastava: Antigva i Barbuda;zastava|zastava: Antigva i Barbuda
🇦🇮;zastava: Angvila;zastava|zastava: Angvila
🇦🇱;zastava: Albanija;zastava|zastava: Albanija
🇦🇲;zastava: Armenija;zastava|zastava: Armenija
🇦🇴;zastava: Angola;zastava|zastava: Angola
🇦🇶;zastava: Antarktika;zastava|zastava: Antarktika
🇦🇷;zastava: Argentina;zastava|zastava: Argentina
🇦🇸;zastava: Američka Samoa;zastava|zastava: Američka Samoa
🇦🇹;zastava: Austrija;zastava|zastava: Austrija
🇦🇺;zastava: Australija;zastava|zastava: Australija
🇦🇼;zastava: Aruba;zastava|zastava: Aruba
🇦🇽;zastava: Ålandski otoci;zastava|zastava: Ålandski otoci
🇦🇿;zastava: Azerbajdžan;zastava|zastava: Azerbajdžan
🇧🇦;zastava: Bosna i Hercegovina;zastava|zastava: Bosna i Hercegovina
🇧🇧;zastava: Barbados;zastava|zastava: Barbados
🇧🇩;zastava: Bangladeš;zastava|zastava: Bangladeš
🇧🇪;zastava: Belgija;zastava|zastava: Belgija
🇧🇫;zastava: Burkina Faso;zastava|zastava: Burkina Faso
🇧🇬;zastava: Bugarska;zastava|zastava: Bugarska
🇧🇭;zastava: Bahrein;zastava|zastava: Bahrein
🇧🇮;zastava: Burundi;zastava|zastava: Burundi
🇧🇯;zastava: Benin;zastava|zastava: Benin
🇧🇱;zastava: Saint Barthélemy;zastava|zastava: Saint Barthélemy
🇧🇲;zastava: Bermudi;zastava|zastava: Bermudi
🇧🇳;zastava: Brunej;zastava|zastava: Brunej
🇧🇴;zastava: Bolivija;zastava|zastava: Bolivija
🇧🇶;zastava: Karipski otoci Nizozemske;zastava|zastava: Karipski otoci Nizozemske
🇧🇷;zastava: Brazil;zastava|zastava: Brazil
🇧🇸;zastava: Bahami;zastava|zastava: Bahami
🇧🇹;zastava: Butan;zastava|zastava: Butan
🇧🇻;zastava: Otok Bouvet;zastava|zastava: Otok Bouvet
🇧🇼;zastava: Bocvana;zastava|zastava: Bocvana
🇧🇾;zastava: Bjelorusija;zastava|zastava: Bjelorusija
🇧🇿;zastava: Belize;zastava|zastava: Belize
🇨🇦;zastava: Kanada;zastava|zastava: Kanada
🇨🇨;zastava: Kokosovi (Keelingovi) otoci;zastava|zastava: Kokosovi (Keelingovi) otoci
🇨🇩;zastava: Kongo - Kinshasa;zastava|zastava: Kongo - Kinshasa
🇨🇫;zastava: Srednjoafrička Republika;zastava|zastava: Srednjoafrička Republika
🇨🇬;zastava: Kongo - Brazzaville;zastava|zastava: Kongo - Brazzaville
🇨🇭;zastava: Švicarska;zastava|zastava: Švicarska
🇨🇮;zastava: Obala Bjelokosti;zastava|zastava: Obala Bjelokosti
🇨🇰;zastava: Cookovi otoci;zastava|zastava: Cookovi otoci
🇨🇱;zastava: Čile;zastava|zastava: Čile
🇨🇲;zastava: Kamerun;zastava|zastava: Kamerun
🇨🇳;zastava: Kina;zastava|zastava: Kina
🇨🇴;zastava: Kolumbija;zastava|zastava: Kolumbija
🇨🇵;zastava: Otok Clipperton;zastava|zastava: Otok Clipperton
🇨🇷;zastava: Kostarika;zastava|zastava: Kostarika
🇨🇺;zastava: Kuba;zastava|zastava: Kuba
🇨🇻;zastava: Zelenortska Republika;zastava|zastava: Zelenortska Republika
🇨🇼;zastava: Curaçao;zastava|zastava: Curaçao
🇨🇽;zastava: Božićni otok;zastava|zastava: Božićni otok
🇨🇾;zastava: Cipar;zastava|zastava: Cipar
🇨🇿;zastava: Češka;zastava|zastava: Češka
🇩🇪;zastava: Njemačka;zastava|zastava: Njemačka
🇩🇬;zastava: Diego Garcia;zastava|zastava: Diego Garcia
🇩🇯;zastava: Džibuti;zastava|zastava: Džibuti
🇩🇰;zastava: Danska;zastava|zastava: Danska
🇩🇲;zastava: Dominika;zastava|zastava: Dominika
🇩🇴;zastava: Dominikanska Republika;zastava|zastava: Dominikanska Republika
🇩🇿;zastava: Alžir;zastava|zastava: Alžir
🇪🇦;zastava: Ceuta i Melilla;zastava|zastava: Ceuta i Melilla
🇪🇨;zastava: Ekvador;zastava|zastava: Ekvador
🇪🇪;zastava: Estonija;zastava|zastava: Estonija
🇪🇬;zastava: Egipat;zastava|zastava: Egipat
🇪🇭;zastava: Zapadna Sahara;zastava|zastava: Zapadna Sahara
🇪🇷;zastava: Eritreja;zastava|zastava: Eritreja
🇪🇸;zastava: Španjolska;zastava|zastava: Španjolska
🇪🇹;zastava: Etiopija;zastava|zastava: Etiopija
🇪🇺;zastava: Europska unija;zastava|zastava: Europska unija
🇫🇮;zastava: Finska;zastava|zastava: Finska
🇫🇯;zastava: Fidži;zastava|zastava: Fidži
🇫🇰;zastava: Falklandski otoci;zastava|zastava: Falklandski otoci
🇫🇲;zastava: Mikronezija;zastava|zastava: Mikronezija
🇫🇴;zastava: Farski otoci;zastava|zastava: Farski otoci
🇫🇷;zastava: Francuska;zastava|zastava: Francuska
🇬🇦;zastava: Gabon;zastava|zastava: Gabon
🇬🇧;zastava: Ujedinjeno Kraljevstvo;zastava|zastava: Ujedinjeno Kraljevstvo
🇬🇩;zastava: Grenada;zastava|zastava: Grenada
🇬🇪;zastava: Gruzija;zastava|zastava: Gruzija
🇬🇫;zastava: Francuska Gijana;zastava|zastava: Francuska Gijana
🇬🇬;zastava: Guernsey;zastava|zastava: Guernsey
🇬🇭;zastava: Gana;zastava|zastava: Gana
🇬🇮;zastava: Gibraltar;zastava|zastava: Gibraltar
🇬🇱;zastava: Grenland;zastava|zastava: Grenland
🇬🇲;zastava: Gambija;zastava|zastava: Gambija
🇬🇳;zastava: Gvineja;zastava|zastava: Gvineja
🇬🇵;zastava: Guadalupe;zastava|zastava: Guadalupe
🇬🇶;zastava: Ekvatorska Gvineja;zastava|zastava: Ekvatorska Gvineja
🇬🇷;zastava: Grčka;zastava|zastava: Grčka
🇬🇸;zastava: Južna Georgija i Južni Sendvički Otoci;zastava|zastava: Južna Georgija i Južni Sendvički Otoci
🇬🇹;zastava: Gvatemala;zastava|zastava: Gvatemala
🇬🇺;zastava: Guam;zastava|zastava: Guam
🇬🇼;zastava: Gvineja Bisau;zastava|zastava: Gvineja Bisau
🇬🇾;zastava: Gvajana;zastava|zastava: Gvajana
🇭🇰;zastava: PUP Hong Kong Kina;zastava|zastava: PUP Hong Kong Kina
🇭🇲;zastava: Otoci Heard i McDonald;zastava|zastava: Otoci Heard i McDonald
🇭🇳;zastava: Honduras;zastava|zastava: Honduras
🇭🇷;zastava: Hrvatska;zastava|zastava: Hrvatska
🇭🇹;zastava: Haiti;zastava|zastava: Haiti
🇭🇺;zastava: Mađarska;zastava|zastava: Mađarska
🇮🇨;zastava: Kanarski otoci;zastava|zastava: Kanarski otoci
🇮🇩;zastava: Indonezija;zastava|zastava: Indonezija
🇮🇪;zastava: Irska;zastava|zastava: Irska
🇮🇱;zastava: Izrael;zastava|zastava: Izrael
🇮🇲;zastava: Otok Man;zastava|zastava: Otok Man
🇮🇳;zastava: Indija;zastava|zastava: Indija
🇮🇴;zastava: Britanski Indijskooceanski teritorij;zastava|zastava: Britanski Indijskooceanski teritorij
🇮🇶;zastava: Irak;zastava|zastava: Irak
🇮🇷;zastava: Iran;zastava|zastava: Iran
🇮🇸;zastava: Island;zastava|zastava: Island
🇮🇹;zastava: Italija;zastava|zastava: Italija
🇯🇪;zastava: Jersey;zastava|zastava: Jersey
🇯🇲;zastava: Jamajka;zastava|zastava: Jamajka
🇯🇴;zastava: Jordan;zastava|zastava: Jordan
🇯🇵;zastava: Japan;zastava|zastava: Japan
🇰🇪;zastava: Kenija;zastava|zastava: Kenija
🇰🇬;zastava: Kirgistan;zastava|zastava: Kirgistan
🇰🇭;zastava: Kambodža;zastava|zastava: Kambodža
🇰🇮;zastava: Kiribati;zastava|zastava: Kiribati
🇰🇲;zastava: Komori;zastava|zastava: Komori
🇰🇳;zastava: Sveti Kristofor i Nevis;zastava|zastava: Sveti Kristofor i Nevis
🇰🇵;zastava: Sjeverna Koreja;zastava|zastava: Sjeverna Koreja
🇰🇷;zastava: Južna Koreja;zastava|zastava: Južna Koreja
🇰🇼;zastava: Kuvajt;zastava|zastava: Kuvajt
🇰🇾;zastava: Kajmanski otoci;zastava|zastava: Kajmanski otoci
🇰🇿;zastava: Kazahstan;zastava|zastava: Kazahstan
🇱🇦;zastava: Laos;zastava|zastava: Laos
🇱🇧;zastava: Libanon;zastava|zastava: Libanon
🇱🇨;zastava: Sveta Lucija;zastava|zastava: Sveta Lucija
🇱🇮;zastava: Lihtenštajn;zastava|zastava: Lihtenštajn
🇱🇰;zastava: Šri Lanka;zastava|zastava: Šri Lanka
🇱🇷;zastava: Liberija;zastava|zastava: Liberija
🇱🇸;zastava: Lesoto;zastava|zastava: Lesoto
🇱🇹;zastava: Litva;zastava|zastava: Litva
🇱🇺;zastava: Luksemburg;zastava|zastava: Luksemburg
🇱🇻;zastava: Latvija;zastava|zastava: Latvija
🇱🇾;zastava: Libija;zastava|zastava: Libija
🇲🇦;zastava: Maroko;zastava|zastava: Maroko
🇲🇨;zastava: Monako;zastava|zastava: Monako
🇲🇩;zastava: Moldavija;zastava|zastava: Moldavija
🇲🇪;zastava: Crna Gora;zastava|zastava: Crna Gora
🇲🇫;zastava: Saint Martin;zastava|zastava: Saint Martin
🇲🇬;zastava: Madagaskar;zastava|zastava: Madagaskar
🇲🇭;zastava: Maršalovi Otoci;zastava|zastava: Maršalovi Otoci
🇲🇰;zastava: Sjeverna Makedonija;zastava|zastava: Sjeverna Makedonija
🇲🇱;zastava: Mali;zastava|zastava: Mali
🇲🇲;zastava: Mjanmar (Burma);zastava|zastava: Mjanmar (Burma)
🇲🇳;zastava: Mongolija;zastava|zastava: Mongolija
🇲🇴;zastava: PUP Makao Kina;zastava|zastava: PUP Makao Kina
🇲🇵;zastava: Sjevernomarijanski otoci;zastava|zastava: Sjevernomarijanski otoci
🇲🇶;zastava: Martinik;zastava|zastava: Martinik
🇲🇷;zastava: Mauretanija;zastava|zastava: Mauretanija
🇲🇸;zastava: Montserrat;zastava|zastava: Montserrat
🇲🇹;zastava: Malta;zastava|zastava: Malta
🇲🇺;zastava: Mauricijus;zastava|zastava: Mauricijus
🇲🇻;zastava: Maldivi;zastava|zastava: Maldivi
🇲🇼;zastava: Malavi;zastava|zastava: Malavi
🇲🇽;zastava: Meksiko;zastava|zastava: Meksiko
🇲🇾;zastava: Malezija;zastava|zastava: Malezija
🇲🇿;zastava: Mozambik;zastava|zastava: Mozambik
🇳🇦;zastava: Namibija;zastava|zastava: Namibija
🇳🇨;zastava: Nova Kaledonija;zastava|zastava: Nova Kaledonija
🇳🇪;zastava: Niger;zastava|zastava: Niger
🇳🇫;zastava: Otok Norfolk;zastava|zastava: Otok Norfolk
🇳🇬;zastava: Nigerija;zastava|zastava: Nigerija
🇳🇮;zastava: Nikaragva;zastava|zastava: Nikaragva
🇳🇱;zastava: Nizozemska;zastava|zastava: Nizozemska
🇳🇴;zastava: Norveška;zastava|zastava: Norveška
🇳🇵;zastava: Nepal;zastava|zastava: Nepal
🇳🇷;zastava: Nauru;zastava|zastava: Nauru
🇳🇺;zastava: Niue;zastava|zastava: Niue
🇳🇿;zastava: Novi Zeland;zastava|zastava: Novi Zeland
🇴🇲;zastava: Oman;zastava|zastava: Oman
🇵🇦;zastava: Panama;zastava|zastava: Panama
🇵🇪;zastava: Peru;zastava|zastava: Peru
🇵🇫;zastava: Francuska Polinezija;zastava|zastava: Francuska Polinezija
🇵🇬;zastava: Papua Nova Gvineja;zastava|zastava: Papua Nova Gvineja
🇵🇭;zastava: Filipini;zastava|zastava: Filipini
🇵🇰;zastava: Pakistan;zastava|zastava: Pakistan
🇵🇱;zastava: Poljska;zastava|zastava: Poljska
🇵🇲;zastava: Sveti Petar i Mikelon;zastava|zastava: Sveti Petar i Mikelon
🇵🇳;zastava: Otoci Pitcairn;zastava|zastava: Otoci Pitcairn
🇵🇷;zastava: Portoriko;zastava|zastava: Portoriko
🇵🇸;zastava: Palestinsko područje;zastava|zastava: Palestinsko područje
🇵🇹;zastava: Portugal;zastava|zastava: Portugal
🇵🇼;zastava: Palau;zastava|zastava: Palau
🇵🇾;zastava: Paragvaj;zastava|zastava: Paragvaj
🇶🇦;zastava: Katar;zastava|zastava: Katar
🇷🇪;zastava: Réunion;zastava|zastava: Réunion
🇷🇴;zastava: Rumunjska;zastava|zastava: Rumunjska
🇷🇸;zastava: Srbija;zastava|zastava: Srbija
🇷🇺;zastava: Rusija;zastava|zastava: Rusija
🇷🇼;zastava: Ruanda;zastava|zastava: Ruanda
🇸🇦;zastava: Saudijska Arabija;zastava|zastava: Saudijska Arabija
🇸🇧;zastava: Salomonski Otoci;zastava|zastava: Salomonski Otoci
🇸🇨;zastava: Sejšeli;zastava|zastava: Sejšeli
🇸🇩;zastava: Sudan;zastava|zastava: Sudan
