[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	👇🏼;dorso de mano con dedo índice hacia abajo: tono de piel claro medio;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con dedo índice hacia abajo: tono de piel claro medio|dorso de mano con índice hacia abajo|mano|tono de piel claro medio
	👇🏽;dorso de mano con dedo índice hacia abajo: tono de piel medio;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con dedo índice hacia abajo: tono de piel medio|dorso de mano con índice hacia abajo|mano|tono de piel medio
	👇🏾;dorso de mano con dedo índice hacia abajo: tono de piel oscuro medio;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con dedo índice hacia abajo: tono de piel oscuro medio|dorso de mano con índice hacia abajo|mano|tono de piel oscuro medio
	👇🏿;dorso de mano con dedo índice hacia abajo: tono de piel oscuro;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con dedo índice hacia abajo: tono de piel oscuro|dorso de mano con índice hacia abajo|mano|tono de piel oscuro
☝️;↑↑↑;↑↑↑
	☝🏻;;
	☝🏼;;
	☝🏽;;
	☝🏾;;
	☝🏿;;
🫵;↑↑↑;↑↑↑
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;↑↑↑;+1|arriba|mano|pulgar|pulgar hacia arriba
	👍🏻;;+1|arriba|mano|pulgar|pulgar hacia arriba|pulgar hacia arriba: tono de piel claro|tono de piel claro
	👍🏼;;+1|arriba|mano|pulgar|pulgar hacia arriba|pulgar hacia arriba: tono de piel claro medio|tono de piel claro medio
	👍🏽;;+1|arriba|mano|pulgar|pulgar hacia arriba|pulgar hacia arriba: tono de piel medio|tono de piel medio
	👍🏾;;+1|arriba|mano|pulgar|pulgar hacia arriba|pulgar hacia arriba: tono de piel oscuro medio|tono de piel oscuro medio
	👍🏿;;+1|arriba|mano|pulgar|pulgar hacia arriba|pulgar hacia arriba: tono de piel oscuro|tono de piel oscuro
👎;↑↑↑;-1|abajo|mano|pulgar|pulgar hacia abajo
	👎🏻;;-1|abajo|mano|pulgar|pulgar hacia abajo|pulgar hacia abajo: tono de piel claro|tono de piel claro
	👎🏼;;-1|abajo|mano|pulgar|pulgar hacia abajo|pulgar hacia abajo: tono de piel claro medio|tono de piel claro medio
