# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
😼;বিকৃত হাঁহি মৰা মেকুৰীৰ ছবি;বিকৃত|বিকৃত হাঁহি মৰা মেকুৰীৰ ছবি|মুখমণ্ডল|মেকুৰী|হাঁহি
😽;চুম্বন কৰা মেকুৰীৰ ছবি;চকু|চুমা|চুম্বন কৰা মেকুৰীৰ ছবি|মুখমণ্ডল|মেকুৰী
🙀;ক্লান্ত মেকুৰী;অহ্‌|আশ্চৰ্য্য|ক্লান্ত|মুখমণ্ডল|মেকুৰী
😿;ক্ৰন্দনৰত মেকুৰী;ক্ৰন্দন|ক্ৰন্দনৰত মেকুৰী|চকুপানী|দুখী|মুখমণ্ডল|মেকুৰী
😾;চিঞৰি থকা মেকুৰী;চিঞৰি থকা|চিঞৰি থকা মেকুৰী|মুখ|মেকুৰী
🙈;বেয়া বস্তু নোচোৱা বান্দৰ;অশুভ|চোৱা|নিষিদ্ধ|বান্দৰ|বেয়া বস্তু নোচোৱা বান্দৰ|মুখ
🙉;বেয়া কথা নুশুনা বান্দৰ;অশুভ|নিষিদ্ধ|বান্দৰ|বেয়া কথা নুশুনা বান্দৰ|মুখ|শুনা
🙊;বেয়া কথা নোকোৱা বান্দৰ;অশুভ|কথা|নিষিদ্ধ|বান্দৰ|বেয়া কথা নোকোৱা বান্দৰ|মুখ
💌;প্ৰেম পত্ৰ;পত্ৰ|প্ৰেম|মেইল|হৃদয়
💘;কাঁড়ৰ সৈতে হৃদয়;কাঁড়|কাঁড়ৰ সৈতে হৃদয়|কাপিড
💝;ৰিবনৰ সৈতে হৃদয়;ভেলেণ্টাইন|ৰিবন|ৰিবনৰ সৈতে হৃদয়
💖;ঝিলমিলোৱা হৃদয়;উৎসাহিত|ঝিলমিল|ঝিলমিলোৱা হৃদয়
💗;বিকশিত হৃদয়;উৎসাহিত|নাড়ি|বৰ্দ্ধমান|বিকশিত হৃদয়|স্নায়বিক
💓;স্পন্দিত হৃদয়;কঁপনি|স্পন্দন|স্পন্দিত হৃদয়|হাৰ্টবিট
💞;ঘূৰি থকা হৃদয়;ঘূৰা|ঘূৰি থকা হৃদয়
💕;দুখন হৃদয়;দুখন হৃদয়|প্ৰেম
💟;হাৰ্ট সজোৱা;হাৰ্ট|হাৰ্ট সজোৱা
❣️;হৃদয়ৰ চিত্ৰ সম্বলিত ভাববোধক চিন;চিন|ভাববোধক|যতি-চিহ্ন|হৃদয়ৰ চিত্ৰ সম্বলিত ভাববোধক চিন
💔;ভগ্ন হৃদয়;ভগ্ন হৃদয়|ভঙা|ভাঙি যোৱা
