# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
	🧖🏻;বাষ্পৰ কোঠাত থকা ব্যক্তি: পাতল ছালৰ ৰং;চ’না|পাতল ছালৰ ৰং|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি|বাষ্পৰ কোঠাত থকা ব্যক্তি: পাতল ছালৰ ৰং
	🧖🏼;বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি|বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧖🏽;বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি|বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧖🏾;বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি|বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧖🏿;বাষ্পৰ কোঠাত থকা ব্যক্তি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি|বাষ্পৰ কোঠাত থকা ব্যক্তি: ক’লা ছালৰ ৰং
🧖‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ
	🧖🏻‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ: পাতল ছালৰ ৰং;চ’না|পাতল ছালৰ ৰং|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ|বাষ্পৰ কোঠাত থকা পুৰুষ: পাতল ছালৰ ৰং
	🧖🏼‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ|বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧖🏽‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ|বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧖🏾‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ|বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧖🏿‍♂️;বাষ্পৰ কোঠাত থকা পুৰুষ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা পুৰুষ|বাষ্পৰ কোঠাত থকা পুৰুষ: ক’লা ছালৰ ৰং
🧖‍♀️;বাষ্পৰ কোঠাত থকা মহিলা;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা
	🧖🏻‍♀️;বাষ্পৰ কোঠাত থকা মহিলা: পাতল ছালৰ ৰং;চ’না|পাতল ছালৰ ৰং|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা|বাষ্পৰ কোঠাত থকা মহিলা: পাতল ছালৰ ৰং
	🧖🏼‍♀️;বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা|বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧖🏽‍♀️;বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা|বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧖🏾‍♀️;বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা|বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧖🏿‍♀️;বাষ্পৰ কোঠাত থকা মহিলা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা মহিলা|বাষ্পৰ কোঠাত থকা মহিলা: ক’লা ছালৰ ৰং
🧗;আৰোহণ কৰা ব্যক্তি;আৰোহক|আৰোহণ কৰা ব্যক্তি
	🧗🏻;আৰোহণ কৰা ব্যক্তি: পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা ব্যক্তি|আৰোহণ কৰা ব্যক্তি: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং
	🧗🏼;আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা ব্যক্তি|আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧗🏽;আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং;আৰোহক|আৰোহণ কৰা ব্যক্তি|আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧗🏾;আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা ব্যক্তি|আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧗🏿;আৰোহণ কৰা ব্যক্তি: ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা ব্যক্তি|আৰোহণ কৰা ব্যক্তি: ক’লা ছালৰ ৰং|ক’লা ছালৰ ৰং
🧗‍♂️;আৰোহণ কৰা পুৰুষ;আৰোহক|আৰোহণ কৰা পুৰুষ
	🧗🏻‍♂️;আৰোহণ কৰা পুৰুষ: পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা পুৰুষ|আৰোহণ কৰা পুৰুষ: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং
	🧗🏼‍♂️;আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা পুৰুষ|আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧗🏽‍♂️;আৰোহণ কৰা পুৰুষ: মধ্যমীয়া ছালৰ ৰং;আৰোহক|আৰোহণ কৰা পুৰুষ|আৰোহণ কৰা পুৰুষ: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧗🏾‍♂️;আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা পুৰুষ|আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧗🏿‍♂️;আৰোহণ কৰা পুৰুষ: ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা পুৰুষ|আৰোহণ কৰা পুৰুষ: ক’লা ছালৰ ৰং|ক’লা ছালৰ ৰং
🧗‍♀️;আৰোহণ কৰা মহিলা;আৰোহক|আৰোহণ কৰা মহিলা
	🧗🏻‍♀️;আৰোহণ কৰা মহিলা: পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা মহিলা|আৰোহণ কৰা মহিলা: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং
	🧗🏼‍♀️;আৰোহণ কৰা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং;আৰোহক|আৰোহণ কৰা মহিলা|আৰোহণ কৰা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧗🏽‍♀️;আৰোহণ কৰা মহিলা: মধ্যমীয়া ছালৰ ৰং;আৰোহক|আৰোহণ কৰা মহিলা|আৰোহণ কৰা মহিলা: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🧗🏾‍♀️;আৰোহণ কৰা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা মহিলা|আৰোহণ কৰা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧗🏿‍♀️;আৰোহণ কৰা মহিলা: ক’লা ছালৰ ৰং;আৰোহক|আৰোহণ কৰা মহিলা|আৰোহণ কৰা মহিলা: ক’লা ছালৰ ৰং|ক’লা ছালৰ ৰং
