[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
	👨🏻‍❤️‍👨🏻;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera|umugabo|urukundo
	👨🏻‍❤️‍👨🏼;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro|umugabo|urukundo
	👨🏻‍❤️‍👨🏽;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe|umugabo|urukundo
	👨🏻‍❤️‍👨🏾;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura|umugabo|urukundo
	👨🏻‍❤️‍👨🏿;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera, ibara ry’uruhu rwirabura|umugabo|urukundo
	👨🏼‍❤️‍👨🏻;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera|umugabo|urukundo
	👨🏼‍❤️‍👨🏼;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro|umugabo|urukundo
	👨🏼‍❤️‍👨🏽;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe|umugabo|urukundo
	👨🏼‍❤️‍👨🏾;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe yirabura|umugabo|urukundo
	👨🏼‍❤️‍👨🏿;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwera gahoro|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwirabura|umugabo|urukundo
	👨🏽‍❤️‍👨🏻;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera|umugabo|urukundo
	👨🏽‍❤️‍👨🏼;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera gahoro|umugabo|urukundo
	👨🏽‍❤️‍👨🏽;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe|umugabo|urukundo
	👨🏽‍❤️‍👨🏾;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rw’inzobe yirabura|umugabo|urukundo
	👨🏽‍❤️‍👨🏿;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwirabura|umugabo|urukundo
	👨🏾‍❤️‍👨🏻;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera|umugabo|urukundo
	👨🏾‍❤️‍👨🏼;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera gahoro|umugabo|urukundo
	👨🏾‍❤️‍👨🏽;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rw’inzobe|umugabo|urukundo
	👨🏾‍❤️‍👨🏾;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura|umugabo|urukundo
	👨🏾‍❤️‍👨🏿;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwirabura|umugabo|urukundo
	👨🏿‍❤️‍👨🏻;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera|umugabo|urukundo
	👨🏿‍❤️‍👨🏼;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera gahoro|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera gahoro|umugabo|urukundo
	👨🏿‍❤️‍👨🏽;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe|umugabo|urukundo
	👨🏿‍❤️‍👨🏾;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe yirabura|umugabo|urukundo
	👨🏿‍❤️‍👨🏿;ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugabo, umugabo, ibara ry’uruhu rwirabura|umugabo|urukundo
👩‍❤️‍👩;ikupule n’umutima: umugore, umugore;abakundana|ikupule n’umutima|ikupule n’umutima: umugore, umugore|umugore|urukundo
	👩🏻‍❤️‍👩🏻;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera|umugore|urukundo
	👩🏻‍❤️‍👩🏼;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro|umugore|urukundo
	👩🏻‍❤️‍👩🏽;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe|umugore|urukundo
	👩🏻‍❤️‍👩🏾;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura|umugore|urukundo
	👩🏻‍❤️‍👩🏿;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera, ibara ry’uruhu rwirabura|umugore|urukundo
	👩🏼‍❤️‍👩🏻;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera|umugore|urukundo
	👩🏼‍❤️‍👩🏼;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro|umugore|urukundo
	👩🏼‍❤️‍👩🏽;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe|umugore|urukundo
	👩🏼‍❤️‍👩🏾;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rw’inzobe yirabura|umugore|urukundo
	👩🏼‍❤️‍👩🏿;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwera gahoro|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwirabura|umugore|urukundo
	👩🏽‍❤️‍👩🏻;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera|umugore|urukundo
	👩🏽‍❤️‍👩🏼;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwera gahoro|umugore|urukundo
	👩🏽‍❤️‍👩🏽;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe|umugore|urukundo
	👩🏽‍❤️‍👩🏾;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rw’inzobe yirabura|umugore|urukundo
	👩🏽‍❤️‍👩🏿;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe, ibara ry’uruhu rwirabura|umugore|urukundo
	👩🏾‍❤️‍👩🏻;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera|umugore|urukundo
	👩🏾‍❤️‍👩🏼;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera gahoro|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwera gahoro|umugore|urukundo
	👩🏾‍❤️‍👩🏽;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rw’inzobe|umugore|urukundo
	👩🏾‍❤️‍👩🏾;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura|umugore|urukundo
	👩🏾‍❤️‍👩🏿;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rw’inzobe yirabura, ibara ry’uruhu rwirabura|umugore|urukundo
	👩🏿‍❤️‍👩🏻;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera;abakundana|ibara ry’uruhu rwera|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera|umugore|urukundo
	👩🏿‍❤️‍👩🏼;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera gahoro;abakundana|ibara ry’uruhu rwera gahoro|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rwera gahoro|umugore|urukundo
	👩🏿‍❤️‍👩🏽;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe;abakundana|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe|umugore|urukundo
	👩🏿‍❤️‍👩🏾;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe yirabura;abakundana|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura, ibara ry’uruhu rw’inzobe yirabura|umugore|urukundo
	👩🏿‍❤️‍👩🏿;ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura;abakundana|ibara ry’uruhu rwirabura|ikupule n’umutima|ikupule n’umutima: umugore, umugore, ibara ry’uruhu rwirabura|umugore|urukundo
👨‍👩‍👦;umuryango: umugabo, umugore, umuhungu;umugabo|umugore|umuhungu|umuryango|umuryango: umugabo, umugore, umuhungu
👨‍👩‍👧;umuryango: umugabo, umugore, umukobwa;umugabo|umugore|umukobwa|umuryango|umuryango: umugabo, umugore, umukobwa
👨‍👩‍👧‍👦;umuryango: umugabo, umugore, umukobwa, umuhungu;umugabo|umugore|umuhungu|umukobwa|umuryango|umuryango: umugabo, umugore, umukobwa, umuhungu
👨‍👩‍👦‍👦;umuryango: umugabo, umugore, umuhungu, umuhungu;umugabo|umugore|umuhungu|umuryango|umuryango: umugabo, umugore, umuhungu, umuhungu
👨‍👩‍👧‍👧;umuryango: umugabo, umugore, umukobwa, umukobwa;umugabo|umugore|umukobwa|umuryango|umuryango: umugabo, umugore, umukobwa, umukobwa
👨‍👨‍👦;umuryango: umugabo, umugabo, umuhungu;umugabo|umuhungu|umuryango|umuryango: umugabo, umugabo, umuhungu
👨‍👨‍👧;umuryango: umugabo, umugabo, umukobwa;umugabo|umukobwa|umuryango|umuryango: umugabo, umugabo, umukobwa
👨‍👨‍👧‍👦;umuryango: umugabo, umugabo, umukobwa, umuhungu;umugabo|umuhungu|umukobwa|umuryango|umuryango: umugabo, umugabo, umukobwa, umuhungu
👨‍👨‍👦‍👦;umuryango: umugabo, umugabo, umuhungu, umuhungu;umugabo|umuhungu|umuryango|umuryango: umugabo, umugabo, umuhungu, umuhungu
👨‍👨‍👧‍👧;umuryango: umugabo, umugabo, umukobwa, umukobwa;umugabo|umukobwa|umuryango|umuryango: umugabo, umugabo, umukobwa, umukobwa
👩‍👩‍👦;umuryango: umugore, umugore, umuhungu;umugore|umuhungu|umuryango|umuryango: umugore, umugore, umuhungu
👩‍👩‍👧;umuryango: umugore, umugore, umukobwa;umugore|umukobwa|umuryango|umuryango: umugore, umugore, umukobwa
👩‍👩‍👧‍👦;umuryango: umugore, umugore, umukobwa, umuhungu;umugore|umuhungu|umukobwa|umuryango|umuryango: umugore, umugore, umukobwa, umuhungu
👩‍👩‍👦‍👦;umuryango: umugore, umugore, umuhungu, umuhungu;umugore|umuhungu|umuryango|umuryango: umugore, umugore, umuhungu, umuhungu
👩‍👩‍👧‍👧;umuryango: umugore, umugore, umukobwa, umukobwa;umugore|umukobwa|umuryango|umuryango: umugore, umugore, umukobwa, umukobwa
👨‍👦;umuryango: umugabo, umuhungu;umugabo|umuhungu|umuryango|umuryango: umugabo, umuhungu
👨‍👦‍👦;umuryango: umugabo, umuhungu, umuhungu;umugabo|umuhungu|umuryango|umuryango: umugabo, umuhungu, umuhungu
👨‍👧;umuryango: umugabo, umukobwa;umugabo|umukobwa|umuryango|umuryango: umugabo, umukobwa
👨‍👧‍👦;umuryango: umugabo, umukobwa, umuhungu;umugabo|umuhungu|umukobwa|umuryango|umuryango: umugabo, umukobwa, umuhungu
👨‍👧‍👧;umuryango: umugabo, umukobwa, umukobwa;umugabo|umukobwa|umuryango|umuryango: umugabo, umukobwa, umukobwa
👩‍👦;umuryango: umugore, umuhungu;umugore|umuhungu|umuryango|umuryango: umugore, umuhungu
👩‍👦‍👦;umuryango: umugore, umuhungu, umuhungu;umugore|umuhungu|umuryango|umuryango: umugore, umuhungu, umuhungu
👩‍👧;umuryango: umugore, umukobwa;umugore|umukobwa|umuryango|umuryango: umugore, umukobwa
👩‍👧‍👦;umuryango: umugore, umukobwa, umuhungu;umugore|umuhungu|umukobwa|umuryango|umuryango: umugore, umukobwa, umuhungu
👩‍👧‍👧;umuryango: umugore, umukobwa, umukobwa;umugore|umukobwa|umuryango|umuryango: umugore, umukobwa, umukobwa
🗣️;umutwe uvuga;igicucucucu|isura|kuvuga|umutwe|umutwe uvuga
👤;ishusho y’igihimba cy’umuntu;igicucu|igihimba|ishusho y’igihimba cy’umuntu
👥;amashusho y’igihimba cy’umuntu;amashusho y’igihimba cy’umuntu|igicucu|igihimba
🫂;;
👪;umuryango;umuryango
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;ahakandagiye ibirenge;ahakandagiye ibirenge|aho ikirenge cyakandaiye|akarango|kwambara

[animals_nature]
🐵;isura y’inkende;isura y’inkende|mu maso h’inkima
🐒;inguge;inguge
🦍;ingagi;ingagi
🦧;;
🐶;indoro y’imbwa;imbwa|indoro y’imbwa|isura|itungo
🐕;imbwa;imbwa|inyamaswa yo mu rugo
🦮;;
🐕‍🦺;;
🐩;imbwa nini y’impigi;imbwa|imbwa nini y’impigi
🐺;isura y’ikirura;ikirura|isura|isura y’ikirura
🦊;isura y’umuhari;isura|isura y’umuhari|umuhigo
🦝;;
🐱;indoro y’injangwe;indoro y’injangwe|ipusi|isura|itungo
🐈;injangwe;injangwe|inyamaswa yo mu rugo
🐈‍⬛;;
🦁;isura y’intare;Intare|isura|isura y’intare|zodiyake
🐯;isura y’igisamagwe;igisamagwe|isura|isura y’igisamagwe
🐅;igisamagwe;igisamagwe
