[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;ikimenyetso cya ndagukunda;ikiganza|ikimenyetso cya ndagukunda|ILY
	🤟🏻;ikimenyetso cya ndagukunda: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ikiganza|ikimenyetso cya ndagukunda|ikimenyetso cya ndagukunda: ibara ry’uruhu rwera|ILY
	🤟🏼;ikimenyetso cya ndagukunda: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ikiganza|ikimenyetso cya ndagukunda|ikimenyetso cya ndagukunda: ibara ry’uruhu rwera gahoro|ILY
	🤟🏽;ikimenyetso cya ndagukunda: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ikiganza|ikimenyetso cya ndagukunda|ikimenyetso cya ndagukunda: ibara ry’uruhu rw’inzobe|ILY
	🤟🏾;ikimenyetso cya ndagukunda: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikimenyetso cya ndagukunda|ikimenyetso cya ndagukunda: ibara ry’uruhu rw’inzobe yirabura|ILY
	🤟🏿;ikimenyetso cya ndagukunda: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ikiganza|ikimenyetso cya ndagukunda|ikimenyetso cya ndagukunda: ibara ry’uruhu rwirabura|ILY
🤘;ikimenyetso cy’amahembe;amahembe|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’intsinzi|urutoki
	🤘🏻;ikimenyetso cy’amahembe: ibara ry’uruhu rwera;amahembe|ibara ry’uruhu rwera|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’amahembe: ibara ry’uruhu rwera|ikimenyetso cy’intsinzi|urutoki
	🤘🏼;ikimenyetso cy’amahembe: ibara ry’uruhu rwera gahoro;amahembe|ibara ry’uruhu rwera gahoro|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’amahembe: ibara ry’uruhu rwera gahoro|ikimenyetso cy’intsinzi|urutoki
	🤘🏽;ikimenyetso cy’amahembe: ibara ry’uruhu rw’inzobe;amahembe|ibara ry’uruhu rw’inzobe|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’amahembe: ibara ry’uruhu rw’inzobe|ikimenyetso cy’intsinzi|urutoki
	🤘🏾;ikimenyetso cy’amahembe: ibara ry’uruhu rw’inzobe yirabura;amahembe|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’amahembe: ibara ry’uruhu rw’inzobe yirabura|ikimenyetso cy’intsinzi|urutoki
