[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
🕶️;太陽眼鏡;太陽眼鏡|眼|眼鏡|黑暗
🥽;護鏡;保護眼睛|游水|燒焊|護鏡
🥼;實驗袍;實驗|實驗袍|科學家|醫生
🦺;救生衣;安全|救生衣|緊急|背心
👔;領呔;服裝|領呔
👕;T 裇;T 裇|服裝|裇衫
👖;牛仔褲;服裝|牛仔褲|褲|長褲
🧣;頸巾;頸|頸巾
🧤;手套;手|手套
🧥;外套;外套
🧦;襪;襪
👗;裙;服裝|裙
👘;和服;和服|服裝
🥻;紗麗;服裝|紗麗|裙
🩱;一件頭泳衣;一件頭泳衣|泳衣
🩲;泳褲;一件頭|內衣|泳衣|泳褲
🩳;短褲;內衣|泳衣|短褲
👙;比堅尼;服裝|比堅尼|游水
👚;女裝;女|女裝|服裝
🪭;摺扇;怕醜|扇|摺扇|涼|熱|羽毛|跳舞
👛;散子包;散子|散子包|服裝
👜;手袋;手袋|散子包|服裝
👝;手提袋;手提袋|服裝|袋
🛍️;購物袋;袋|購物|購物袋|酒店
🎒;學校背囊;學校|學校背囊|書包|袋
🩴;人字拖鞋;人字拖鞋|木屐|沙灘拖鞋|涼鞋
👞;男裝鞋;服裝|男士|男裝鞋|鞋
👟;跑鞋;服裝|跑鞋|運動|運動鞋|鞋
🥾;行山鞋;背囊|行山|行山鞋|露營|靴
🥿;平底鞋;平底鞋|拖鞋|芭蕾平底|著上
👠;高根鞋;女士|服裝|鞋|高根鞋
👡;女裝涼鞋;女士|女裝涼鞋|服裝|涼鞋|鞋
🩰;芭蕾舞鞋;芭蕾舞|芭蕾舞鞋|跳舞
👢;女裝靴;女士|女裝靴|服裝|靴子|鞋
🪮;多齒梳;多齒梳|梳|非洲|頭髮
👑;皇冠;國王|女王|服裝|皇冠
👒;女裝帽;女士|女裝帽|帽|服裝
🎩;頂帽;帽|服裝|頂帽|高頂禮帽
🎓;畢業帽;帽|慶祝|服裝|畢業|畢業帽
🧢;帽;帽|棒球帽
🪖;軍用頭盔;士兵|戰士|軍事|軍用頭盔|軍隊|頭盔
⛑️;救援人員嘅頭盔;十字架|帽|救援人員嘅頭盔|臉|輔助|頭盔
📿;念珠;宗教|念珠|服裝|珠|禱告|項鍊
💄;唇膏;化妝|唇膏
💍;戒指;戒指|鑽石
💎;寶石;寶石|珠寶|鑽石
🔇;靜音喇叭;喇叭|安靜|沉默|靜音|靜音喇叭
🔈;低音量喇叭;低音量喇叭|柔軟
🔉;中音量喇叭;中等|中音量喇叭
🔊;高音量喇叭;大聲|高音量喇叭
📢;大聲公;公共地方|大聲|大聲公
📣;擴音器;打氣|擴音器
📯;號角;號角|郵政
🔔;吊鐘;吊鐘
🔕;有斜線嘅吊鐘;不|安靜|有斜線嘅吊鐘|沉默|禁止|鐘|靜音
🎼;樂譜;樂譜|音樂
🎵;音符;音樂|音符
🎶;音樂符號;音樂|音樂符號|音符
🎙️;錄音室咪高峰;咪|咪高峰|錄音室|錄音室咪高峰|音樂
🎚️;級別滑塊;滑塊|級別|級別滑塊|音樂
🎛️;控制旋鈕;控制|控制旋鈕|鈕|音樂
🎤;咪;卡拉 OK|咪
🎧;耳機;耳機
📻;收音機;影片|收音機
🎷;色士風;儀器|色士風|音樂
🪗;手風琴;手風琴
🎸;結他;儀器|結他|音樂
🎹;音樂鍵盤;儀器|鋼琴|鍵盤|音樂|音樂鍵盤
🎺;喇叭;儀器|喇叭|音樂
🎻;小提琴;儀器|小提琴|音樂
🪕;班卓琴;弦線|班卓琴|音樂
🥁;鼓;音樂|鼓|鼓棍
🪘;長鼓;康加鼓|手鼓|拍子|節奏|長鼓|鼓
🪇;沙槌;搖|撥浪鼓|敲擊樂|樂器|沙槌|音樂
🪈;長笛;木管樂器|笛子|管樂|錄音機|長笛|音樂
📱;手提電話;手提電話|手機|流動|電話
📲;有箭咀嘅手提電話;手提電話|手機|收到|有箭咀嘅手提電話|箭咀
☎️;電話;電話
📞;接聽電話嘅人;手機|接聽電話嘅人|聽電話嘅人|電話
📟;傳呼機;傳呼機
📠;傳真機;傳真|傳真機
🔋;電池;電池
🪫;低電量;低電量|電
🔌;插頭;插頭|電|電力
💻;筆記本電腦;個人|個人電腦|筆記本電腦|電腦
🖥️;桌面電腦;桌面|桌面電腦|電腦
🖨️;打印機;打印機|電腦
⌨️;鍵盤;鍵盤|電腦
🖱️;電腦滑鼠;電腦|電腦滑鼠
🖲️;軌跡球;軌跡球|電腦
💽;電腦光碟;光學|光碟|迷你光碟|電腦|電腦光碟
💾;磁碟;光碟|磁碟|軟|電腦
💿;光碟;光學|光碟|電腦
📀;DVD;DVD|光學|光碟|藍光|電腦
🧮;算盤;算盤|計數
🎥;電影攝影機;戲院|相機|電影|電影攝影機
🎞️;電影畫面;戲|戲院|畫面|電影|電影畫面
📽️;電影放映機;影片|戲|戲院|放映機|電影|電影放映機
🎬;拍板;拍板|電影
📺;電視機;影片|電視機
📷;相機;影片|相機
📸;閃光燈相機;影片|相機|閃光|閃光燈相機
📹;錄像機;影片|相機|錄像機
📼;錄影帶;帶|影片|錄影帶|錄影機
🔍;放大鏡向左傾斜;工具|搜尋|放大|放大鏡向左傾斜|鏡片
🔎;放大鏡向右傾斜;工具|搜尋|放大|放大鏡向右傾斜|鏡片
🕯️;蠟燭;光|蠟燭
💡;燈膽;光|想法|漫畫|燈泡|燈膽|電
🔦;電筒;工具|燈|電|電筒
🏮;紅色紙燈籠;燈|燈籠|紅色|紅色紙燈籠|長條
🪔;迪亞燈;油|燈|迪亞|迪亞燈
📔;有裝飾包裝嘅筆記簿;封面|書|有裝飾包裝嘅筆記簿|筆記簿|裝飾
📕;閂埋左嘅書;書|閂埋|閂埋左嘅書
📖;打開本書;打開|打開本書|書
📗;綠色書;書|綠色|綠色書
📘;藍色書;書|藍色|藍色書
📙;橙色書;書|橙色|橙色書
📚;書;書
📓;筆記簿;筆記簿
📒;賬簿;筆記簿|賬簿
📃;捲頁;捲|捲頁|文件|頁
📜;滾動;滾動|紙
📄;頁面向上;文件|頁|頁面向上
📰;報紙;報紙|新聞|紙
🗞️;捲起嘅報紙;報紙|捲起|捲起嘅報紙|新聞|紙
📑;書籤標籤;書籤|書籤標籤|標籤|標記|標誌
🔖;書籤;書籤|標記
🏷️;標籤;標籤
💰;錢袋;蚊|袋|錢|錢袋
🪙;硬幣;寶藏|硬幣|金|金屬|銀|錢
💴;日圓紙幣;日圓|日圓紙幣|紙幣|貨幣|銀紙|錢
💵;美元紙幣;紙幣|美元|美元紙幣|貨幣|銀紙|錢
💶;歐元紙幣;歐元|歐元紙幣|紙幣|貨幣|銀紙|錢
💷;英鎊紙幣;紙幣|英鎊|英鎊紙幣|貨幣|銀紙|錢
💸;有翼嘅錢;有翼嘅錢|紙幣|翼|銀紙|飛
💳;信用卡;信用|信用卡|卡|銀行|錢
🧾;收據;收據|會計|簿記|證據|證明
💹;日元升值;上升|圖表|增長|日元|日元升值|貨幣
✉️;信封;信|信封|電郵
📧;電郵;信|郵件|電郵
📨;收到嘅信封;來|信|信封|接收|收到嘅信封|郵件|電子郵件
📩;有箭咀嘅信封;信|有箭咀嘅信封|發出|箭咀|電子郵件
📤;外送盤;信|外送盤|托盤|發件箱|發送|盒|郵件
📥;收件盤;信|托盤|接收|收件盤|收件箱|盒子|郵件
📦;包裹;包裹|盒
📫;舉起旗仔嘅封閉郵箱;信箱|舉起旗仔嘅封閉郵箱|郵件|郵箱|關閉
📪;放低旗仔嘅封閉郵箱;信箱|放低|放低旗仔嘅封閉郵箱|郵件|郵箱|關閉
📬;打開舉起旗仔嘅郵箱;信箱|打開|打開舉起旗仔嘅郵箱|郵件|郵箱
📭;打開放低旗仔嘅郵箱;信箱|打開|打開放低旗仔嘅郵箱|放低|郵件|郵箱
📮;郵箱;郵件|郵箱
🗳️;有選票嘅投票箱;投票|有選票嘅投票箱|盒
✏️;鉛筆;鉛筆
✒️;黑色筆尖;筆|筆尖|黑色筆尖
🖋️;鋼筆;噴水池|筆|鋼筆
🖊️;筆;原子筆|筆
🖌️;畫筆;畫畫|畫筆
🖍️;蠟筆;蠟筆
📝;便條;便條|鉛筆
💼;公事包;公事包
📁;文件夾;文件夾|檔案
📂;打開文件夾;打開|打開文件夾|文件夾|檔案
🗂️;卡片索引分類;分類|卡片|卡片索引分類|索引
📅;日曆;日曆|日期
📆;可撕式日曆;可撕式日曆|日曆
🗒️;可揭式記事簿;可揭式記事簿|墊|注釋|螺旋
🗓️;可揭式日曆;可揭式日曆|墊|日曆|螺旋
📇;卡片索引;卡片|卡片盒|卡片索引|索引
📈;圖表上升;向上|圖|圖表|圖表上升|增長|趨勢
📉;圖表下跌;下跌|圖|圖表|圖表下跌|趨勢
📊;棒型圖;圖|圖表|棒|棒型圖
📋;筆記板;筆記板
📌;禁釘;大頭針|禁釘
📍;圓禁釘;圓禁釘|大頭針|禁釘
📎;萬字夾;萬字夾
🖇️;連埋嘅萬字夾;萬字夾|連住|連埋嘅萬字夾
📏;直尺;直尺|直邊|間尺
📐;三角尺;三角尺|三角形|組合|間尺
✂️;較剪;剪|工具|較剪
🗃️;卡片檔案盒;卡片|卡片檔案盒|檔案|盒
🗄️;檔案櫃;檔案|檔案櫃|櫃
🗑️;廢紙簍;廢紙簍
🔒;上鎖;上鎖|關閉
🔓;解鎖;解鎖|鎖|開
🔏;用筆鎖;用筆鎖|筆|筆尖|鎖|隱私|墨水
🔐;用鎖匙鎖;安全|用鎖匙鎖|鎖|鎖匙|關閉
🔑;鎖匙;密碼|鎖|鎖匙
🗝️;舊鎖匙;提示|舊|舊鎖匙|鎖|鎖匙
🔨;錘;工具|錘
🪓;斧頭;分開|斧頭|斬|木
⛏️;挑;工具|挑|採礦
⚒️;錘同挑;工具|挑|錘|錘同挑
🛠️;錘同士巴拿;士巴拿|工具|扳手|錘|錘同士巴拿
🗡️;匕首;刀|匕首|武器
⚔️;交叉嘅劍;交叉|交叉嘅劍|劍|武器
💣;炸彈;搞笑|炸彈
🪃;回力鏢;反射|反彈|回力鏢|澳洲
🏹;弓箭;射手座|射箭|弓箭|星座|箭頭
🛡️;盾;武器|盾
🪚;木鋸;工具|木工|木材|木鋸|鋸
🔧;士巴拿;士巴拿|工具|板手
🪛;螺絲批;工具|螺絲|螺絲批
🔩;螺母同螺栓;工具|螺栓|螺母|螺母同螺栓
⚙️;齒輪;工具|齒輪
🗜️;鉗;壓|工具|虎頭鉗|鉗
⚖️;天秤;天秤|天秤座|工具|星座|正義|秤|重量
🦯;探測拐杖;探測拐杖|無障礙|盲
🔗;連結;連結
⛓️‍💥;斷鏈;手扣|斷|斷鏈|斷開|自由|鏈
⛓️;鏈;鏈
🪝;勾;勾|圈套|彎|彎曲|賣點|趕上
🧰;工具箱;工具|工具箱|技工|箱
🧲;磁石;吸力|磁性|磁石|馬蹄鐵
🪜;梯;梯|梯級|步|爬
⚗️;蒸餾器;化學|工具|蒸餾器
🧪;試管;化學|化學家|實驗|實驗室|科學|試管
🧫;培養皿;培養皿|實驗室|文化|生物學|生物學家|細菌
🧬;DNA;DNA|基因|生命|生物學家|進化|遺傳學
🔬;顯微鏡;工具|科學|顯微鏡
🔭;望遠鏡;工具|望遠鏡|科學
📡;衛星天線;天線|碟|衛星|衛星天線
💉;針筒;工具|注射|生病|醫生|醫藥|針|針筒
🩸;血液;捐血|月經|血液|醫療
💊;藥丸;病|藥丸|醫生|醫藥
🩹;膠布;膠布
🩼;拐杖;傷殘|士的|手杖|拐杖|殘疾|障礙
🩺;聽筒;心臟|聽筒|醫生|醫療
🩻;X 光;X 光|醫生|醫療|骨|骨骼
🚪;門;門
🛗;升降機;升降機|無障礙|起重機
🪞;鏡;反射|反射器|反射鏡|鏡
🪟;窗;打開|景觀|框架|窗|透明
🛏️;床;床|訓覺|酒店
🛋️;沙發和座燈;座燈|沙發|沙發和座燈|酒店
🪑;櫈;坐|櫈
🚽;廁所;廁所
🪠;廁所泵;廁所泵|水喉技工|通渠
🚿;花灑;水|花灑
🛁;浴缸;沖涼|浴缸
🪤;老鼠夾;老鼠夾|陷阱|餌
🪒;剃刀;利|剃刀|剃鬚
🧴;乳液樽;乳液|乳液樽|洗頭水|潤膚霜|防曬
🧷;扣針;尿片|扣針
🧹;掃把;巫婆|掃|掃把|清潔
🧺;籃;洗衫|籃|耕種|野餐
🧻;卷紙;卷紙|廁紙|紙巾
🪣;水桶;木桶|水桶|缸
🧼;番梘;沖涼|泡泡|清潔|番梘|番梘盒
🫧;泡泡;乾淨|打嗝|水底|泡泡|番梘
🪥;牙刷;乾淨|刷|浴室|牙|牙刷|牙科|衛生
🧽;海綿;吸水|多窿|海綿|清潔
🧯;㵴火筒;㵴火|㵴火筒|火|熄
🛒;購物車;購物|購物車|車
🚬;香煙;吸煙|香煙
⚰️;棺材;棺材|死亡
🪦;墓碑;墓地|墓碑|墳墓|安息
⚱️;殯儀館;死亡|殯儀館|灰燼|甕|葬禮
🧿;納扎爾護身符;珠|納扎爾|納扎爾護身符|護符|邪眼|魅力
🪬;哈姆薩;保護|哈姆薩|手|法蒂瑪|瑪麗|米麗亞姆|護身符
🗿;摩艾;摩艾|臉|莫伊|雕像
🪧;標語;抗議|標誌|標語|糾察
🪪;身分證;執照|安全|證明|身分|身分證

[symbols]
🏧;自動櫃員機標誌;櫃檯職員|自動化|自動櫃員機|自動櫃員機標誌|銀行
🚮;垃圾桶標誌;垃圾|垃圾桶|垃圾桶標誌
🚰;自來水;水|自來水|飲水|飲用
♿;輪椅標誌;無障礙|輪椅標誌
🚹;男廁;廁所|洗手間|男|男廁|衛生間
🚺;女廁;女|女廁|廁所|洗手間|衛生間
🚻;洗手間;廁所|洗手間|衛生間
🚼;嬰兒標誌;嬰兒|嬰兒標誌|換片
🚾;衛生間;廁所|水|洗手間|衛生間
🛂;護照檢查;檢查|護照|護照檢查
🛃;海關;海關
🛄;行李領取;行李|行李領取|領取
🛅;行李寄存;寄存|行李|行李寄存
⚠️;警告;警告
🚸;小童過路;交通|小童|小童過路|行人|過路
⛔;不准進入;不|不准|不准進入|不可|交通|禁止|進入
🚫;禁止;不|不可|禁止|進入
🚳;不准踩單車;不|不准踩單車|不可|單車|禁止|自行車
🚭;不准吸煙;不|不准吸煙|不可|吸煙|禁止
🚯;不准拋垃圾;不|不准|不准拋垃圾|不可|垃圾|禁止
🚱;冇自來水;不可飲用|冇自來水|水|非飲用
🚷;不准行人進入;不|不准|不准行人進入|不可|禁止|行人
📵;不准使用手提電話;不|不准|不准使用手提電話|不可|手提電話|手機|流動電話|禁止|電話
🔞;只限十八歲以上;18|不|不可|十八歲|只限十八歲以上|年齡限制|未成年|禁止
☢️;放射性;放射性|標誌
☣️;生物危害;標誌|生物危害
⬆️;向上箭咀;北|向上箭咀|基點|方向|箭咀
↗️;向右上箭咀;向右上箭咀|基點間|方向|東北|箭咀
➡️;向右箭咀;向右箭咀|基點|方向|東|箭咀
↘️;向右下箭咀;向右下箭咀|基點間|方向|東南|箭咀
⬇️;向下箭咀;南|向下|向下箭咀|基點|方向|箭咀
↙️;向左下箭咀;向左下箭咀|基點間|方向|箭咀|西南
⬅️;向左箭咀;向左箭咀|基點|方向|箭咀|西
↖️;向左上箭咀;向左上箭咀|基點間|方向|箭咀|西北
↕️;上下箭咀;上下箭咀|箭咀
↔️;左右箭咀;左右箭咀|箭咀
↩️;向右箭咀彎向左;向右箭咀彎向左|箭咀
↪️;向左箭咀彎向右;向左箭咀彎向右|箭咀
⤴️;向右箭咀彎向上;向右箭咀彎向上|箭咀
⤵️;向右箭咀彎向下;向下|向右箭咀彎向下|箭咀
🔃;順時針垂直箭咀;箭咀|重新載入|順時針|順時針垂直箭咀
🔄;逆時針箭咀按鈕;相反方向|箭咀|逆時針|逆時針箭咀按鈕
🔙;返回箭咀;箭咀|返回|返回箭咀
🔚;結束箭咀;箭咀|結束|結束箭咀
🔛;「在」箭咀;「在」箭咀|在|標誌|箭咀
🔜;「不久」箭咀;「不久」箭咀|不久|箭咀
🔝;「頂部」箭咀;「頂部」箭咀|向上|箭咀|頂部
🛐;宗教場所;場所|宗教|宗教場所
⚛️;原子符號;原子|原子符號|無神論者
🕉️;唵;印度教|唵|宗教
✡️;大衛之星;大衛|大衛之星|宗教|星|猶太人|猶太教
☸️;佛法輪;佛教|佛法|佛法輪|宗教|輪
☯️;陰陽;宗教|道|道教|陰|陰陽|陽
✝️;拉丁十字架;十字架|基督教|宗教|拉丁十字架
☦️;正統十字架;十字架|基督教|宗教|正統十字架
☪️;星同新月;伊斯蘭教|宗教|星同新月|穆斯林
☮️;和平符號;和平|和平符號
🕎;燭台;大燭台|宗教|燭台
🔯;有點嘅六角星;幸運|星|有點嘅六角星
🪯;錫克教標誌;宗教|錫克教|錫克教標誌
♈;白羊座;公羊|星座|白羊座
♉;金牛座;公牛|星座|牛|金牛座
♊;雙子座;星座|雙子|雙子座
♋;巨蟹座;巨蟹座|星座|蟹
♌;獅子座;星座|獅子|獅子座
♍;處女座;星座|處女座
♎;天秤座;天秤|天秤座|星座|正義|秤
♏;天蠍座;天蠍座|星座|蠍子
♐;人馬座;人馬座|射手|星座
♑;山羊座;山羊|山羊座|星座
♒;水瓶座;搬運嘅人|星座|水|水瓶座
♓;雙魚座;星座|雙魚座|魚
⛎;蛇夫座;搬運嘅人|生肖|蛇|蛇夫座
🔀;隨機播放按鈕;交叉|箭咀|隨機播放按鈕
🔁;重覆按鈕;箭咀|重覆|重覆按鈕|順時針
🔂;單曲重覆按鈕;一次|單曲重覆按鈕|箭咀|順時針
▶️;播放按鈕;三角形|向右|播放|播放按鈕|箭咀
⏩;快進按鈕;快|快進|快進按鈕|箭咀|雙重
⏭️;下一首曲目按鈕;三角形|下一個場景|下一首曲目|下一首曲目按鈕|箭咀
⏯️;播放或暫停按鈕;三角形|向右|播放|播放或暫停按鈕|暫停|箭咀
◀️;回帶按鈕;三角形|向左|回帶|回帶按鈕|箭咀
⏪;快速回帶按鈕;回帶|快速回帶按鈕|箭咀|雙重
⏮️;最後一首曲目按鈕;三角形|上一個場景|上一首曲目|最後一首曲目按鈕|箭咀
🔼;向上按鈕;向上按鈕|按鈕|箭咀|紅色
⏫;快速向上按鈕;快速向上按鈕|箭咀|雙重
🔽;向下按鈕;向下|向下按鈕|按鈕|箭咀|紅色
⏬;快速向下按鈕;向下|快速向下按鈕|箭咀|雙重
⏸️;暫停按鈕;垂直|暫停|暫停按鈕|棒|雙
⏹️;停止按鈕;停止|停止按鈕|正方形
⏺️;錄製按鈕;圓形|錄製|錄製按鈕
⏏️;退出按鈕;退出|退出按鈕
🎦;戲院;戲|戲院|電影
🔅;較暗按鈕;亮度|低|暗|較暗按鈕
🔆;較光按鈕;亮度|光|較光按鈕
📶;天線棒;天線|天線棒|手提電話|手機|棒|訊號|電話
🛜;無線;互聯網|無線|網絡|電腦
📳;震動模式;手提電話|手機|模式|流動電話|電話|震動|震動模式
📴;手機關閉;手提電話|手機|手機關閉|流動電話|閂|電話
♀️;女性標誌;女|女性標誌
♂️;男性標誌;男|男性標誌
⚧️;跨性别人士符號;跨性别人士|跨性别人士符號
✖️;粗乘號;X|乘|乘法|交叉|取消|標誌|粗乘號
➕;粗加號;+|加|數學|粗加號
➖;粗減號;-|−|數學|減|粗減號
➗;粗除號;÷|數學|粗除號|除
🟰;粗等號;數學|等如|粗等號
♾️;無限;世界|永遠|無限|無限制
‼️;雙感歎號;!|!!|嘭嘭|感歎號|標點符號|符號|雙感歎號
⁉️;感歎問號;!|!?|?|問題|感歎問號|感歎號|標誌|標點符號
❓;紅色問號;?|問號|問題|標點符號|符號|紅色問號
❔;白色問號;?|問題|外框|標點符號|白色問號|符號
❕;白色感歎號;!|外框|感歎號|標點符號|白色感歎號|符號
❗;感歎號;感歎號|標點符號|符號
〰️;波浪破折號;標點符號|波浪|波浪破折號|破折號
💱;貨幣兌換;兌換|貨幣|貨幣兌換|銀行|錢
💲;粗美元符號;粗美元符號|美元|貨幣|錢
⚕️;醫療符號;員工|埃斯科拉庇俄斯|醫療符號|醫藥
♻️;循環再造符號;循環再造|循環再造符號
⚜️;鳶尾花;鳶尾花
🔱;三叉戟徽章;三叉戟|三叉戟徽章|工具|徽章|船|錨
📛;名牌;名牌|姓名
🔰;初學者嘅日本符號;初學者|初學者嘅日本符號|工具|日本|綠色|葉|黃色
⭕;粗大圓形;o|圓形|粗大圓形|紅色
✅;白色粗剔號;✓|剔號|按鈕|標誌|白色粗剔號
☑️;有剔嘅選框;✓|剔號|有剔嘅選框|盒|選框
✔️;粗剔號;✓|剔號|標誌|粗剔號
❌;交叉;X|乘|乘法|交叉|取消|標誌
❎;交叉按鈕;×|x|交叉按鈕|正方形|符號
➰;捲曲圈;圈|捲曲|捲曲圈
➿;雙捲曲圈;圈|捲曲|雙|雙捲曲圈
〽️;歌記號;標誌|歌記號
✳️;八角星;*|八角星|星
✴️;八角星星;*|八角星星|星
❇️;閃閃;*|閃閃
©️;版權;版權
®️;註冊;註冊
™️;商標;tm|商標|標記
#️⃣;鍵帽: #;鍵帽|鍵帽: #
*️⃣;鍵帽: *;鍵帽|鍵帽: *
0️⃣;鍵帽: 0;鍵帽|鍵帽: 0
1️⃣;鍵帽: 1;鍵帽|鍵帽: 1
2️⃣;鍵帽: 2;鍵帽|鍵帽: 2
3️⃣;鍵帽: 3;鍵帽|鍵帽: 3
4️⃣;鍵帽: 4;鍵帽|鍵帽: 4
5️⃣;鍵帽: 5;鍵帽|鍵帽: 5
6️⃣;鍵帽: 6;鍵帽|鍵帽: 6
7️⃣;鍵帽: 7;鍵帽|鍵帽: 7
8️⃣;鍵帽: 8;鍵帽|鍵帽: 8
9️⃣;鍵帽: 9;鍵帽|鍵帽: 9
🔟;鍵帽: 10;鍵帽|鍵帽: 10
🔠;輸入拉丁大階字母;ABCD|大階|字母|拉丁|輸入|輸入拉丁大階字母
🔡;輸入拉丁細階字母;abcd|字母|小階|拉丁|輸入|輸入拉丁細階字母
🔢;輸入數字;1234|數字|輸入|輸入數字
🔣;輸入符號;〒♪&amp;%|輸入|輸入符號
🔤;輸入拉丁字母;abc|字母|拉丁|輸入|輸入拉丁字母
🅰️;A 按鈕 (血型);a|A 按鈕 (血型)|血型
🆎;AB 按鈕 (血型);ab|AB 按鈕 (血型)|血型
🅱️;B 按鈕 (血型);b|B 按鈕 (血型)|血型
🆑;CL 按鈕;cl|CL 按鈕
🆒;COOL 按鈕;cool|COOL 按鈕
🆓;FREE 按鈕;free|FREE 按鈕
ℹ️;資訊;i|資訊
🆔;ID 按鈕;id|ID 按鈕|身份
Ⓜ️;圓形 M;m|圓形
🆕;NEW 按鈕;new|NEW 按鈕
🆖;NG 按鈕;ng|NG 按鈕
🅾️;O 按鈕 (血型);o|O 按鈕 (血型)|血型
🆗;OK 按鈕;OK|OK 按鈕
🅿️;P 按鈕;P 按鈕|泊車
🆘;SOS 按鈕;sos|SOS 按鈕|求助
🆙;UP! 按鈕;up|UP! 按鈕|標誌
🆚;VS 按鈕;vs|VS 按鈕|對
🈁;日本「呢度」按鈕;呢度|日本|日本「呢度」按鈕
🈂️;日本「服務費」按鈕;日本|日本「服務費」按鈕|服務費
🈷️;日本「月」按鈕;日本|日本「月」按鈕|月|月費
🈶;日本「有」按鈕;收費|日本|日本「有」按鈕|有
🈯;日本「指」按鈕;指|日本|日本「指」按鈕|預訂
🉐;日本「得」按鈕;得|日本|日本「得」按鈕|講價
🈹;日本「割」按鈕;割|折扣|日本|日本「割」按鈕
🈚;日本「無」按鈕;免費|日本|日本「無」按鈕|無
🈲;日本「禁」按鈕;日本|日本「禁」按鈕|禁|禁止
🉑;日本「可」按鈕;可|接受|日本|日本「可」按鈕
🈸;日本「申」按鈕;日本|日本「申」按鈕|申|申請
🈴;日本「合」按鈕;合|合格|日本|日本「合」按鈕
🈳;日本「空」按鈕;日本|日本「空」按鈕|空
㊗️;日本「祝」按鈕;恭喜|日本|日本「祝」按鈕|祝
㊙️;日本「秘」按鈕;日本|日本「秘」按鈕|秘|秘密
🈺;日本「營」按鈕;日本|日本「營」按鈕|營|營業
🈵;日本「滿」按鈕;冇位|日本|日本「滿」按鈕|滿
🔴;紅色圓形;圓形|幾何|紅色|紅色圓形
🟠;橙色圓形;圓形|橙色|橙色圓形
🟡;黃色圓形;圓形|黃色|黃色圓形
🟢;綠色圓形;圓形|綠色|綠色圓形
🔵;藍色圓形;圓形|幾何|藍色|藍色圓形
🟣;紫色圓形;圓形|紫色|紫色圓形
🟤;啡色圓形;啡色|啡色圓形|圓形
⚫;黑色圓形;圓形|幾何|黑色圓形
⚪;白色圓形;圓形|幾何|白色圓形
🟥;紅色正方形;正方形|紅色|紅色正方形
🟧;橙色正方形;橙色|橙色正方形|正方形
🟨;黃色正方形;正方形|黃色|黃色正方形
🟩;綠色正方形;正方形|綠色|綠色正方形
🟦;藍色正方形;正方形|藍色|藍色正方形
🟪;紫色正方形;正方形|紫色|紫色正方形
🟫;啡色正方形;啡色|啡色正方形|正方形
⬛;大黑色正方形;大黑色正方形|幾何|正方形
⬜;大白色正方形;大白色正方形|幾何|正方形
◼️;中黑色正方形;中黑色正方形|幾何|正方形
◻️;中白色正方形;中白色正方形|幾何|正方形
◾;中細黑色正方形;中細黑色正方形|幾何|正方形
◽;中細白色正方形;中細白色正方形|幾何|正方形
▪️;細黑色正方形;幾何|正方形|細黑色正方形
▫️;細白色正方形;幾何|正方形|細白色正方形
🔶;大橙色菱形;大橙色菱形|幾何|橙色|菱形
🔷;大藍色菱形;大藍色菱形|幾何|菱形|藍色
🔸;細橙色菱形;幾何|橙色|細橙色菱形|菱形
