[smileys_emotion]
😀;cerenje;cerenje|lice
	👨🏻‍❤️‍💋‍👨🏿;poljubac: muškarac, muškarac, svijetla boja kože i tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, svijetla boja kože i tamna boja kože|svijetla boja kože|tamna boja kože
	👨🏼‍❤️‍💋‍👨🏻;poljubac: muškarac, muškarac, umjereno svijetla boja kože i svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno svijetla boja kože i svijetla boja kože|svijetla boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍💋‍👨🏼;poljubac: muškarac, muškarac i umjereno svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac i umjereno svijetla boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍💋‍👨🏽;poljubac: muškarac, muškarac, umjereno svijetla boja kože i umjerena boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno svijetla boja kože i umjerena boja kože|umjerena boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍💋‍👨🏾;poljubac: muškarac, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏼‍❤️‍💋‍👨🏿;poljubac: muškarac, muškarac, umjereno svijetla boja kože i tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno svijetla boja kože i tamna boja kože|tamna boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍💋‍👨🏻;poljubac: muškarac, muškarac, umjerena boja kože i svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjerena boja kože i svijetla boja kože|svijetla boja kože|umjerena boja kože
	👨🏽‍❤️‍💋‍👨🏼;poljubac: muškarac, muškarac, umjerena boja kože i umjereno svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjerena boja kože i umjereno svijetla boja kože|umjerena boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍💋‍👨🏽;poljubac: muškarac, muškarac i umjerena boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac i umjerena boja kože|umjerena boja kože
	👨🏽‍❤️‍💋‍👨🏾;poljubac: muškarac, muškarac, umjerena boja kože i umjereno tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjerena boja kože i umjereno tamna boja kože|umjerena boja kože|umjereno tamna boja kože
	👨🏽‍❤️‍💋‍👨🏿;poljubac: muškarac, muškarac, umjerena boja kože i tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjerena boja kože i tamna boja kože|tamna boja kože|umjerena boja kože
	👨🏾‍❤️‍💋‍👨🏻;poljubac: muškarac, muškarac, umjereno tamna boja kože i svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno tamna boja kože i svijetla boja kože|svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍💋‍👨🏼;poljubac: muškarac, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍💋‍👨🏽;poljubac: muškarac, muškarac, umjereno tamna boja kože i umjerena boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno tamna boja kože i umjerena boja kože|umjerena boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍💋‍👨🏾;poljubac: muškarac, muškarac i umjereno tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac i umjereno tamna boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍💋‍👨🏿;poljubac: muškarac, muškarac, umjereno tamna boja kože i tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, umjereno tamna boja kože i tamna boja kože|tamna boja kože|umjereno tamna boja kože
	👨🏿‍❤️‍💋‍👨🏻;poljubac: muškarac, muškarac, tamna boja kože i svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, tamna boja kože i svijetla boja kože|svijetla boja kože|tamna boja kože
	👨🏿‍❤️‍💋‍👨🏼;poljubac: muškarac, muškarac, tamna boja kože i umjereno svijetla boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, tamna boja kože i umjereno svijetla boja kože|tamna boja kože|umjereno svijetla boja kože
	👨🏿‍❤️‍💋‍👨🏽;poljubac: muškarac, muškarac, tamna boja kože i umjerena boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, tamna boja kože i umjerena boja kože|tamna boja kože|umjerena boja kože
	👨🏿‍❤️‍💋‍👨🏾;poljubac: muškarac, muškarac, tamna boja kože i umjereno tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac, tamna boja kože i umjereno tamna boja kože|tamna boja kože|umjereno tamna boja kože
	👨🏿‍❤️‍💋‍👨🏿;poljubac: muškarac, muškarac i tamna boja kože;muškarac|par|poljubac|poljubac: muškarac, muškarac i tamna boja kože|tamna boja kože
👩‍❤️‍💋‍👩;poljubac: žena i žena;par|poljubac|poljubac: žena i žena|žena
	👩🏻‍❤️‍💋‍👩🏻;poljubac: žena, žena i svijetla boja kože;par|poljubac|poljubac: žena, žena i svijetla boja kože|svijetla boja kože|žena
	👩🏻‍❤️‍💋‍👩🏼;poljubac: žena, žena, svijetla boja kože i umjereno svijetla boja kože;par|poljubac|poljubac: žena, žena, svijetla boja kože i umjereno svijetla boja kože|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏻‍❤️‍💋‍👩🏽;poljubac: žena, žena, svijetla boja kože i umjerena boja kože;par|poljubac|poljubac: žena, žena, svijetla boja kože i umjerena boja kože|svijetla boja kože|umjerena boja kože|žena
	👩🏻‍❤️‍💋‍👩🏾;poljubac: žena, žena, svijetla boja kože i umjereno tamna boja kože;par|poljubac|poljubac: žena, žena, svijetla boja kože i umjereno tamna boja kože|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏻‍❤️‍💋‍👩🏿;poljubac: žena, žena, svijetla boja kože i tamna boja kože;par|poljubac|poljubac: žena, žena, svijetla boja kože i tamna boja kože|svijetla boja kože|tamna boja kože|žena
	👩🏼‍❤️‍💋‍👩🏻;poljubac: žena, žena, umjereno svijetla boja kože i svijetla boja kože;par|poljubac|poljubac: žena, žena, umjereno svijetla boja kože i svijetla boja kože|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍💋‍👩🏼;poljubac: žena, žena i umjereno svijetla boja kože;par|poljubac|poljubac: žena, žena i umjereno svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍💋‍👩🏽;poljubac: žena, žena, umjereno svijetla boja kože i umjerena boja kože;par|poljubac|poljubac: žena, žena, umjereno svijetla boja kože i umjerena boja kože|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍💋‍👩🏾;poljubac: žena, žena, umjereno svijetla boja kože i umjereno tamna boja kože;par|poljubac|poljubac: žena, žena, umjereno svijetla boja kože i umjereno tamna boja kože|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏼‍❤️‍💋‍👩🏿;poljubac: žena, žena, umjereno svijetla boja kože i tamna boja kože;par|poljubac|poljubac: žena, žena, umjereno svijetla boja kože i tamna boja kože|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍💋‍👩🏻;poljubac: žena, žena, umjerena boja kože i svijetla boja kože;par|poljubac|poljubac: žena, žena, umjerena boja kože i svijetla boja kože|svijetla boja kože|umjerena boja kože|žena
	👩🏽‍❤️‍💋‍👩🏼;poljubac: žena, žena, umjerena boja kože i umjereno svijetla boja kože;par|poljubac|poljubac: žena, žena, umjerena boja kože i umjereno svijetla boja kože|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍💋‍👩🏽;poljubac: žena, žena i umjerena boja kože;par|poljubac|poljubac: žena, žena i umjerena boja kože|umjerena boja kože|žena
	👩🏽‍❤️‍💋‍👩🏾;poljubac: žena, žena, umjerena boja kože i umjereno tamna boja kože;par|poljubac|poljubac: žena, žena, umjerena boja kože i umjereno tamna boja kože|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏽‍❤️‍💋‍👩🏿;poljubac: žena, žena, umjerena boja kože i tamna boja kože;par|poljubac|poljubac: žena, žena, umjerena boja kože i tamna boja kože|tamna boja kože|umjerena boja kože|žena
	👩🏾‍❤️‍💋‍👩🏻;poljubac: žena, žena, umjereno tamna boja kože i svijetla boja kože;par|poljubac|poljubac: žena, žena, umjereno tamna boja kože i svijetla boja kože|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍💋‍👩🏼;poljubac: žena, žena, umjereno tamna boja kože i umjereno svijetla boja kože;par|poljubac|poljubac: žena, žena, umjereno tamna boja kože i umjereno svijetla boja kože|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍💋‍👩🏽;poljubac: žena, žena, umjereno tamna boja kože i umjerena boja kože;par|poljubac|poljubac: žena, žena, umjereno tamna boja kože i umjerena boja kože|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍💋‍👩🏾;poljubac: žena, žena i umjereno tamna boja kože;par|poljubac|poljubac: žena, žena i umjereno tamna boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍💋‍👩🏿;poljubac: žena, žena, umjereno tamna boja kože i tamna boja kože;par|poljubac|poljubac: žena, žena, umjereno tamna boja kože i tamna boja kože|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍💋‍👩🏻;poljubac: žena, žena, tamna boja kože i svijetla boja kože;par|poljubac|poljubac: žena, žena, tamna boja kože i svijetla boja kože|svijetla boja kože|tamna boja kože|žena
	👩🏿‍❤️‍💋‍👩🏼;poljubac: žena, žena, tamna boja kože i umjereno svijetla boja kože;par|poljubac|poljubac: žena, žena, tamna boja kože i umjereno svijetla boja kože|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏿‍❤️‍💋‍👩🏽;poljubac: žena, žena, tamna boja kože i umjerena boja kože;par|poljubac|poljubac: žena, žena, tamna boja kože i umjerena boja kože|tamna boja kože|umjerena boja kože|žena
	👩🏿‍❤️‍💋‍👩🏾;poljubac: žena, žena, tamna boja kože i umjereno tamna boja kože;par|poljubac|poljubac: žena, žena, tamna boja kože i umjereno tamna boja kože|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍💋‍👩🏿;poljubac: žena, žena i tamna boja kože;par|poljubac|poljubac: žena, žena i tamna boja kože|tamna boja kože|žena
💑;par i srce;ljubav|par|par i srce|srce
	💑🏻;par i srce: svijetla boja kože;ljubav|par|par i srce|par i srce: svijetla boja kože|srce|svijetla boja kože
	💑🏼;par i srce: umjereno svijetla boja kože;ljubav|par|par i srce|par i srce: umjereno svijetla boja kože|srce|umjereno svijetla boja kože
	💑🏽;par i srce: umjerena boja kože;ljubav|par|par i srce|par i srce: umjerena boja kože|srce|umjerena boja kože
	💑🏾;par i srce: umjereno tamna boja kože;ljubav|par|par i srce|par i srce: umjereno tamna boja kože|srce|umjereno tamna boja kože
	💑🏿;par i srce: tamna boja kože;ljubav|par|par i srce|par i srce: tamna boja kože|srce|tamna boja kože
	🧑🏻‍❤️‍🧑🏼;par i srce: osoba, osoba, svijetla boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, svijetla boja kože i umjereno svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože
	🧑🏻‍❤️‍🧑🏽;par i srce: osoba, osoba, svijetla boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, svijetla boja kože i umjerena boja kože|srce|svijetla boja kože|umjerena boja kože
	🧑🏻‍❤️‍🧑🏾;par i srce: osoba, osoba, svijetla boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, svijetla boja kože i umjereno tamna boja kože|srce|svijetla boja kože|umjereno tamna boja kože
	🧑🏻‍❤️‍🧑🏿;par i srce: osoba, osoba, svijetla boja kože i tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, svijetla boja kože i tamna boja kože|srce|svijetla boja kože|tamna boja kože
	🧑🏼‍❤️‍🧑🏻;par i srce: osoba, osoba, umjereno svijetla boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno svijetla boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože
	🧑🏼‍❤️‍🧑🏽;par i srce: osoba, osoba, umjereno svijetla boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno svijetla boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno svijetla boja kože
	🧑🏼‍❤️‍🧑🏾;par i srce: osoba, osoba, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno svijetla boja kože i umjereno tamna boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	🧑🏼‍❤️‍🧑🏿;par i srce: osoba, osoba, umjereno svijetla boja kože i tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno svijetla boja kože i tamna boja kože|srce|tamna boja kože|umjereno svijetla boja kože
	🧑🏽‍❤️‍🧑🏻;par i srce: osoba, osoba, umjerena boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjerena boja kože i svijetla boja kože|srce|svijetla boja kože|umjerena boja kože
	🧑🏽‍❤️‍🧑🏼;par i srce: osoba, osoba, umjerena boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjerena boja kože i umjereno svijetla boja kože|srce|umjerena boja kože|umjereno svijetla boja kože
	🧑🏽‍❤️‍🧑🏾;par i srce: osoba, osoba, umjerena boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjerena boja kože i umjereno tamna boja kože|srce|umjerena boja kože|umjereno tamna boja kože
	🧑🏽‍❤️‍🧑🏿;par i srce: osoba, osoba, umjerena boja kože i tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjerena boja kože i tamna boja kože|srce|tamna boja kože|umjerena boja kože
	🧑🏾‍❤️‍🧑🏻;par i srce: osoba, osoba, umjereno tamna boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno tamna boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏼;par i srce: osoba, osoba, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno tamna boja kože i umjereno svijetla boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏽;par i srce: osoba, osoba, umjereno tamna boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno tamna boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏿;par i srce: osoba, osoba, umjereno tamna boja kože i tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, umjereno tamna boja kože i tamna boja kože|srce|tamna boja kože|umjereno tamna boja kože
	🧑🏿‍❤️‍🧑🏻;par i srce: osoba, osoba, tamna boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, tamna boja kože i svijetla boja kože|srce|svijetla boja kože|tamna boja kože
	🧑🏿‍❤️‍🧑🏼;par i srce: osoba, osoba, tamna boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, tamna boja kože i umjereno svijetla boja kože|srce|tamna boja kože|umjereno svijetla boja kože
	🧑🏿‍❤️‍🧑🏽;par i srce: osoba, osoba, tamna boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, tamna boja kože i umjerena boja kože|srce|tamna boja kože|umjerena boja kože
	🧑🏿‍❤️‍🧑🏾;par i srce: osoba, osoba, tamna boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|par i srce: osoba, osoba, tamna boja kože i umjereno tamna boja kože|srce|tamna boja kože|umjereno tamna boja kože
👩‍❤️‍👨;par i srce: žena i muškarac;ljubav|muškarac|par|par i srce|par i srce: žena i muškarac|srce|žena
	👩🏻‍❤️‍👨🏻;par i srce: žena, muškarac i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac i svijetla boja kože|srce|svijetla boja kože|žena
	👩🏻‍❤️‍👨🏼;par i srce: žena, muškarac, svijetla boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, svijetla boja kože i umjereno svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏻‍❤️‍👨🏽;par i srce: žena, muškarac, svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, svijetla boja kože i umjerena boja kože|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏻‍❤️‍👨🏾;par i srce: žena, muškarac, svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, svijetla boja kože i umjereno tamna boja kože|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏻‍❤️‍👨🏿;par i srce: žena, muškarac, svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, svijetla boja kože i tamna boja kože|srce|svijetla boja kože|tamna boja kože|žena
	👩🏼‍❤️‍👨🏻;par i srce: žena, muškarac, umjereno svijetla boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno svijetla boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏼;par i srce: žena, muškarac i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac i umjereno svijetla boja kože|srce|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏽;par i srce: žena, muškarac, umjereno svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno svijetla boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏾;par i srce: žena, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏼‍❤️‍👨🏿;par i srce: žena, muškarac, umjereno svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno svijetla boja kože i tamna boja kože|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👨🏻;par i srce: žena, muškarac, umjerena boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjerena boja kože i svijetla boja kože|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏽‍❤️‍👨🏼;par i srce: žena, muškarac, umjerena boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjerena boja kože i umjereno svijetla boja kože|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👨🏽;par i srce: žena, muškarac i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac i umjerena boja kože|srce|umjerena boja kože|žena
	👩🏽‍❤️‍👨🏾;par i srce: žena, muškarac, umjerena boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjerena boja kože i umjereno tamna boja kože|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏽‍❤️‍👨🏿;par i srce: žena, muškarac, umjerena boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjerena boja kože i tamna boja kože|srce|tamna boja kože|umjerena boja kože|žena
	👩🏾‍❤️‍👨🏻;par i srce: žena, muškarac, umjereno tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno tamna boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏼;par i srce: žena, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏽;par i srce: žena, muškarac, umjereno tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno tamna boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏾;par i srce: žena, muškarac i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac i umjereno tamna boja kože|srce|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏿;par i srce: žena, muškarac, umjereno tamna boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, umjereno tamna boja kože i tamna boja kože|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👨🏻;par i srce: žena, muškarac, tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, tamna boja kože i svijetla boja kože|srce|svijetla boja kože|tamna boja kože|žena
	👩🏿‍❤️‍👨🏼;par i srce: žena, muškarac, tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, tamna boja kože i umjereno svijetla boja kože|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏿‍❤️‍👨🏽;par i srce: žena, muškarac, tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, tamna boja kože i umjerena boja kože|srce|tamna boja kože|umjerena boja kože|žena
	👩🏿‍❤️‍👨🏾;par i srce: žena, muškarac, tamna boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac, tamna boja kože i umjereno tamna boja kože|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👨🏿;par i srce: žena, muškarac i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: žena, muškarac i tamna boja kože|srce|tamna boja kože|žena
👨‍❤️‍👨;par i srce: muškarac i muškarac;ljubav|muškarac|par|par i srce|par i srce: muškarac i muškarac|srce
	👨🏻‍❤️‍👨🏻;par i srce: muškarac, muškarac i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac i svijetla boja kože|srce|svijetla boja kože
	👨🏻‍❤️‍👨🏼;par i srce: muškarac, muškarac, svijetla boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, svijetla boja kože i umjereno svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože
	👨🏻‍❤️‍👨🏽;par i srce: muškarac, muškarac, svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, svijetla boja kože i umjerena boja kože|srce|svijetla boja kože|umjerena boja kože
	👨🏻‍❤️‍👨🏾;par i srce: muškarac, muškarac, svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, svijetla boja kože i umjereno tamna boja kože|srce|svijetla boja kože|umjereno tamna boja kože
	👨🏻‍❤️‍👨🏿;par i srce: muškarac, muškarac, svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, svijetla boja kože i tamna boja kože|srce|svijetla boja kože|tamna boja kože
	👨🏼‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjereno svijetla boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno svijetla boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏼;par i srce: muškarac, muškarac i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac i umjereno svijetla boja kože|srce|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏽;par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏾;par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏼‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjereno svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno svijetla boja kože i tamna boja kože|srce|tamna boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjerena boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjerena boja kože i svijetla boja kože|srce|svijetla boja kože|umjerena boja kože
	👨🏽‍❤️‍👨🏼;par i srce: muškarac, muškarac, umjerena boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjerena boja kože i umjereno svijetla boja kože|srce|umjerena boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍👨🏽;par i srce: muškarac, muškarac i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac i umjerena boja kože|srce|umjerena boja kože
	👨🏽‍❤️‍👨🏾;par i srce: muškarac, muškarac, umjerena boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjerena boja kože i umjereno tamna boja kože|srce|umjerena boja kože|umjereno tamna boja kože
	👨🏽‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjerena boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjerena boja kože i tamna boja kože|srce|tamna boja kože|umjerena boja kože
	👨🏾‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjereno tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno tamna boja kože i svijetla boja kože|srce|svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏼;par i srce: muškarac, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏽;par i srce: muškarac, muškarac, umjereno tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno tamna boja kože i umjerena boja kože|srce|umjerena boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏾;par i srce: muškarac, muškarac i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac i umjereno tamna boja kože|srce|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjereno tamna boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|par i srce: muškarac, muškarac, umjereno tamna boja kože i tamna boja kože|srce|tamna boja kože|umjereno tamna boja kože
