[smileys_emotion]
😀;visage avec large sourire;grand sourire|large sourire|visage|visage avec large sourire
	👨🏼‍❤️‍💋‍👨🏼;bisou : homme, homme et peau modérément claire;baiser|bisou|bisou : homme, homme et peau modérément claire|couple|homme|peau modérément claire
	👨🏼‍❤️‍💋‍👨🏽;bisou : homme, homme, peau modérément claire et peau légèrement mate;baiser|bisou|bisou : homme, homme, peau modérément claire et peau légèrement mate|couple|homme|peau légèrement mate|peau modérément claire
	👨🏼‍❤️‍💋‍👨🏾;bisou : homme, homme, peau modérément claire et peau modérément foncée;baiser|bisou|bisou : homme, homme, peau modérément claire et peau modérément foncée|couple|homme|peau modérément claire|peau modérément foncée
	👨🏼‍❤️‍💋‍👨🏿;bisou : homme, homme, peau modérément claire et peau foncée;baiser|bisou|bisou : homme, homme, peau modérément claire et peau foncée|couple|homme|peau foncée|peau modérément claire
	👨🏽‍❤️‍💋‍👨🏻;bisou : homme, homme, peau légèrement mate et peau claire;baiser|bisou|bisou : homme, homme, peau légèrement mate et peau claire|couple|homme|peau claire|peau légèrement mate
	👨🏽‍❤️‍💋‍👨🏼;bisou : homme, homme, peau légèrement mate et peau modérément claire;baiser|bisou|bisou : homme, homme, peau légèrement mate et peau modérément claire|couple|homme|peau légèrement mate|peau modérément claire
	👨🏽‍❤️‍💋‍👨🏽;bisou : homme, homme et peau légèrement mate;baiser|bisou|bisou : homme, homme et peau légèrement mate|couple|homme|peau légèrement mate
	👨🏽‍❤️‍💋‍👨🏾;bisou : homme, homme, peau légèrement mate et peau modérément foncée;baiser|bisou|bisou : homme, homme, peau légèrement mate et peau modérément foncée|couple|homme|peau légèrement mate|peau modérément foncée
	👨🏽‍❤️‍💋‍👨🏿;bisou : homme, homme, peau légèrement mate et peau foncée;baiser|bisou|bisou : homme, homme, peau légèrement mate et peau foncée|couple|homme|peau foncée|peau légèrement mate
	👨🏾‍❤️‍💋‍👨🏻;bisou : homme, homme, peau modérément foncée et peau claire;baiser|bisou|bisou : homme, homme, peau modérément foncée et peau claire|couple|homme|peau claire|peau modérément foncée
	👨🏾‍❤️‍💋‍👨🏼;bisou : homme, homme, peau modérément foncée et peau modérément claire;baiser|bisou|bisou : homme, homme, peau modérément foncée et peau modérément claire|couple|homme|peau modérément claire|peau modérément foncée
	👨🏾‍❤️‍💋‍👨🏽;bisou : homme, homme, peau modérément foncée et peau légèrement mate;baiser|bisou|bisou : homme, homme, peau modérément foncée et peau légèrement mate|couple|homme|peau légèrement mate|peau modérément foncée
	👨🏾‍❤️‍💋‍👨🏾;bisou : homme, homme et peau modérément foncée;baiser|bisou|bisou : homme, homme et peau modérément foncée|couple|homme|peau modérément foncée
	👨🏾‍❤️‍💋‍👨🏿;bisou : homme, homme, peau modérément foncée et peau foncée;baiser|bisou|bisou : homme, homme, peau modérément foncée et peau foncée|couple|homme|peau foncée|peau modérément foncée
	👨🏿‍❤️‍💋‍👨🏻;bisou : homme, homme, peau foncée et peau claire;baiser|bisou|bisou : homme, homme, peau foncée et peau claire|couple|homme|peau claire|peau foncée
	👨🏿‍❤️‍💋‍👨🏼;bisou : homme, homme, peau foncée et peau modérément claire;baiser|bisou|bisou : homme, homme, peau foncée et peau modérément claire|couple|homme|peau foncée|peau modérément claire
	👨🏿‍❤️‍💋‍👨🏽;bisou : homme, homme, peau foncée et peau légèrement mate;baiser|bisou|bisou : homme, homme, peau foncée et peau légèrement mate|couple|homme|peau foncée|peau légèrement mate
	👨🏿‍❤️‍💋‍👨🏾;bisou : homme, homme, peau foncée et peau modérément foncée;baiser|bisou|bisou : homme, homme, peau foncée et peau modérément foncée|couple|homme|peau foncée|peau modérément foncée
	👨🏿‍❤️‍💋‍👨🏿;bisou : homme, homme et peau foncée;baiser|bisou|bisou : homme, homme et peau foncée|couple|homme|peau foncée
👩‍❤️‍💋‍👩;bisou : femme et femme;baiser|bisou|bisou : femme et femme|couple|femme
	👩🏻‍❤️‍💋‍👩🏻;bisou : femme, femme et peau claire;baiser|bisou|bisou : femme, femme et peau claire|couple|femme|peau claire
	👩🏻‍❤️‍💋‍👩🏼;bisou : femme, femme, peau claire et peau modérément claire;baiser|bisou|bisou : femme, femme, peau claire et peau modérément claire|couple|femme|peau claire|peau modérément claire
	👩🏻‍❤️‍💋‍👩🏽;bisou : femme, femme, peau claire et peau légèrement mate;baiser|bisou|bisou : femme, femme, peau claire et peau légèrement mate|couple|femme|peau claire|peau légèrement mate
	👩🏻‍❤️‍💋‍👩🏾;bisou : femme, femme, peau claire et peau modérément foncée;baiser|bisou|bisou : femme, femme, peau claire et peau modérément foncée|couple|femme|peau claire|peau modérément foncée
	👩🏻‍❤️‍💋‍👩🏿;bisou : femme, femme, peau claire et peau foncée;baiser|bisou|bisou : femme, femme, peau claire et peau foncée|couple|femme|peau claire|peau foncée
	👩🏼‍❤️‍💋‍👩🏻;bisou : femme, femme, peau modérément claire et peau claire;baiser|bisou|bisou : femme, femme, peau modérément claire et peau claire|couple|femme|peau claire|peau modérément claire
	👩🏼‍❤️‍💋‍👩🏼;bisou : femme, femme et peau modérément claire;baiser|bisou|bisou : femme, femme et peau modérément claire|couple|femme|peau modérément claire
	👩🏼‍❤️‍💋‍👩🏽;bisou : femme, femme, peau modérément claire et peau légèrement mate;baiser|bisou|bisou : femme, femme, peau modérément claire et peau légèrement mate|couple|femme|peau légèrement mate|peau modérément claire
	👩🏼‍❤️‍💋‍👩🏾;bisou : femme, femme, peau modérément claire et peau modérément foncée;baiser|bisou|bisou : femme, femme, peau modérément claire et peau modérément foncée|couple|femme|peau modérément claire|peau modérément foncée
	👩🏼‍❤️‍💋‍👩🏿;bisou : femme, femme, peau modérément claire et peau foncée;baiser|bisou|bisou : femme, femme, peau modérément claire et peau foncée|couple|femme|peau foncée|peau modérément claire
	👩🏽‍❤️‍💋‍👩🏻;bisou : femme, femme, peau légèrement mate et peau claire;baiser|bisou|bisou : femme, femme, peau légèrement mate et peau claire|couple|femme|peau claire|peau légèrement mate
	👩🏽‍❤️‍💋‍👩🏼;bisou : femme, femme, peau légèrement mate et peau modérément claire;baiser|bisou|bisou : femme, femme, peau légèrement mate et peau modérément claire|couple|femme|peau légèrement mate|peau modérément claire
	👩🏽‍❤️‍💋‍👩🏽;bisou : femme, femme et peau légèrement mate;baiser|bisou|bisou : femme, femme et peau légèrement mate|couple|femme|peau légèrement mate
	👩🏽‍❤️‍💋‍👩🏾;bisou : femme, femme, peau légèrement mate et peau modérément foncée;baiser|bisou|bisou : femme, femme, peau légèrement mate et peau modérément foncée|couple|femme|peau légèrement mate|peau modérément foncée
	👩🏽‍❤️‍💋‍👩🏿;bisou : femme, femme, peau légèrement mate et peau foncée;baiser|bisou|bisou : femme, femme, peau légèrement mate et peau foncée|couple|femme|peau foncée|peau légèrement mate
	👩🏾‍❤️‍💋‍👩🏻;bisou : femme, femme, peau modérément foncée et peau claire;baiser|bisou|bisou : femme, femme, peau modérément foncée et peau claire|couple|femme|peau claire|peau modérément foncée
	👩🏾‍❤️‍💋‍👩🏼;bisou : femme, femme, peau modérément foncée et peau modérément claire;baiser|bisou|bisou : femme, femme, peau modérément foncée et peau modérément claire|couple|femme|peau modérément claire|peau modérément foncée
	👩🏾‍❤️‍💋‍👩🏽;bisou : femme, femme, peau modérément foncée et peau légèrement mate;baiser|bisou|bisou : femme, femme, peau modérément foncée et peau légèrement mate|couple|femme|peau légèrement mate|peau modérément foncée
	👩🏾‍❤️‍💋‍👩🏾;bisou : femme, femme et peau modérément foncée;baiser|bisou|bisou : femme, femme et peau modérément foncée|couple|femme|peau modérément foncée
	👩🏾‍❤️‍💋‍👩🏿;bisou : femme, femme, peau modérément foncée et peau foncée;baiser|bisou|bisou : femme, femme, peau modérément foncée et peau foncée|couple|femme|peau foncée|peau modérément foncée
	👩🏿‍❤️‍💋‍👩🏻;bisou : femme, femme, peau foncée et peau claire;baiser|bisou|bisou : femme, femme, peau foncée et peau claire|couple|femme|peau claire|peau foncée
	👩🏿‍❤️‍💋‍👩🏼;bisou : femme, femme, peau foncée et peau modérément claire;baiser|bisou|bisou : femme, femme, peau foncée et peau modérément claire|couple|femme|peau foncée|peau modérément claire
	👩🏿‍❤️‍💋‍👩🏽;bisou : femme, femme, peau foncée et peau légèrement mate;baiser|bisou|bisou : femme, femme, peau foncée et peau légèrement mate|couple|femme|peau foncée|peau légèrement mate
	👩🏿‍❤️‍💋‍👩🏾;bisou : femme, femme, peau foncée et peau modérément foncée;baiser|bisou|bisou : femme, femme, peau foncée et peau modérément foncée|couple|femme|peau foncée|peau modérément foncée
	👩🏿‍❤️‍💋‍👩🏿;bisou : femme, femme et peau foncée;baiser|bisou|bisou : femme, femme et peau foncée|couple|femme|peau foncée
💑;↑↑↑;↑↑↑
	💑🏻;couple avec cœur : peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : peau claire|peau claire
	💑🏼;couple avec cœur : peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : peau modérément claire|peau modérément claire
	💑🏽;couple avec cœur : peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : peau légèrement mate|peau légèrement mate
	💑🏾;couple avec cœur : peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : peau modérément foncée|peau modérément foncée
	💑🏿;couple avec cœur : peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : peau foncée|peau foncée
	🧑🏻‍❤️‍🧑🏼;couple avec cœur : adulte, adulte, peau claire et peau modérément claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau claire et peau modérément claire|peau claire|peau modérément claire
	🧑🏻‍❤️‍🧑🏽;couple avec cœur : adulte, adulte, peau claire et peau légèrement mate;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau claire et peau légèrement mate|peau claire|peau légèrement mate
	🧑🏻‍❤️‍🧑🏾;couple avec cœur : adulte, adulte, peau claire et peau modérément foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau claire et peau modérément foncée|peau claire|peau modérément foncée
	🧑🏻‍❤️‍🧑🏿;couple avec cœur : adulte, adulte, peau claire et peau foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau claire et peau foncée|peau claire|peau foncée
	🧑🏼‍❤️‍🧑🏻;couple avec cœur : adulte, adulte, peau modérément claire et peau claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément claire et peau claire|peau claire|peau modérément claire
	🧑🏼‍❤️‍🧑🏽;couple avec cœur : adulte, adulte, peau modérément claire et peau légèrement mate;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément claire et peau légèrement mate|peau légèrement mate|peau modérément claire
	🧑🏼‍❤️‍🧑🏾;couple avec cœur : adulte, adulte, peau modérément claire et peau modérément foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément claire et peau modérément foncée|peau modérément claire|peau modérément foncée
	🧑🏼‍❤️‍🧑🏿;couple avec cœur : adulte, adulte, peau modérément claire et peau foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément claire et peau foncée|peau foncée|peau modérément claire
	🧑🏽‍❤️‍🧑🏻;couple avec cœur : adulte, adulte, peau légèrement mate et peau claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau légèrement mate et peau claire|peau claire|peau légèrement mate
	🧑🏽‍❤️‍🧑🏼;couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément claire|peau légèrement mate|peau modérément claire
	🧑🏽‍❤️‍🧑🏾;couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément foncée|peau légèrement mate|peau modérément foncée
	🧑🏽‍❤️‍🧑🏿;couple avec cœur : adulte, adulte, peau légèrement mate et peau foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau légèrement mate et peau foncée|peau foncée|peau légèrement mate
	🧑🏾‍❤️‍🧑🏻;couple avec cœur : adulte, adulte, peau modérément foncée et peau claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément foncée et peau claire|peau claire|peau modérément foncée
	🧑🏾‍❤️‍🧑🏼;couple avec cœur : adulte, adulte, peau modérément foncée et peau modérément claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément foncée et peau modérément claire|peau modérément claire|peau modérément foncée
	🧑🏾‍❤️‍🧑🏽;couple avec cœur : adulte, adulte, peau modérément foncée et peau légèrement mate;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément foncée et peau légèrement mate|peau légèrement mate|peau modérément foncée
	🧑🏾‍❤️‍🧑🏿;couple avec cœur : adulte, adulte, peau modérément foncée et peau foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau modérément foncée et peau foncée|peau foncée|peau modérément foncée
	🧑🏿‍❤️‍🧑🏻;couple avec cœur : adulte, adulte, peau foncée et peau claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau foncée et peau claire|peau claire|peau foncée
	🧑🏿‍❤️‍🧑🏼;couple avec cœur : adulte, adulte, peau foncée et peau modérément claire;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau foncée et peau modérément claire|peau foncée|peau modérément claire
	🧑🏿‍❤️‍🧑🏽;couple avec cœur : adulte, adulte, peau foncée et peau légèrement mate;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau foncée et peau légèrement mate|peau foncée|peau légèrement mate
	🧑🏿‍❤️‍🧑🏾;couple avec cœur : adulte, adulte, peau foncée et peau modérément foncée;adulte|amour|cœur|couple|couple avec cœur|couple avec cœur : adulte, adulte, peau foncée et peau modérément foncée|peau foncée|peau modérément foncée
👩‍❤️‍👨;couple avec cœur : femme et homme;amour|cœur|couple|couple avec cœur|couple avec cœur : femme et homme|femme|homme
	👩🏻‍❤️‍👨🏻;couple avec cœur : femme, homme et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme et peau claire|femme|homme|peau claire
	👩🏻‍❤️‍👨🏼;couple avec cœur : femme, homme, peau claire et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau claire et peau modérément claire|femme|homme|peau claire|peau modérément claire
	👩🏻‍❤️‍👨🏽;couple avec cœur : femme, homme, peau claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau claire et peau légèrement mate|femme|homme|peau claire|peau légèrement mate
	👩🏻‍❤️‍👨🏾;couple avec cœur : femme, homme, peau claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau claire et peau modérément foncée|femme|homme|peau claire|peau modérément foncée
	👩🏻‍❤️‍👨🏿;couple avec cœur : femme, homme, peau claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau claire et peau foncée|femme|homme|peau claire|peau foncée
	👩🏼‍❤️‍👨🏻;couple avec cœur : femme, homme, peau modérément claire et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément claire et peau claire|femme|homme|peau claire|peau modérément claire
	👩🏼‍❤️‍👨🏼;couple avec cœur : femme, homme et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme et peau modérément claire|femme|homme|peau modérément claire
	👩🏼‍❤️‍👨🏽;couple avec cœur : femme, homme, peau modérément claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément claire et peau légèrement mate|femme|homme|peau légèrement mate|peau modérément claire
	👩🏼‍❤️‍👨🏾;couple avec cœur : femme, homme, peau modérément claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément claire et peau modérément foncée|femme|homme|peau modérément claire|peau modérément foncée
	👩🏼‍❤️‍👨🏿;couple avec cœur : femme, homme, peau modérément claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément claire et peau foncée|femme|homme|peau foncée|peau modérément claire
	👩🏽‍❤️‍👨🏻;couple avec cœur : femme, homme, peau légèrement mate et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau légèrement mate et peau claire|femme|homme|peau claire|peau légèrement mate
	👩🏽‍❤️‍👨🏼;couple avec cœur : femme, homme, peau légèrement mate et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau légèrement mate et peau modérément claire|femme|homme|peau légèrement mate|peau modérément claire
	👩🏽‍❤️‍👨🏽;couple avec cœur : femme, homme et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme et peau légèrement mate|femme|homme|peau légèrement mate
	👩🏽‍❤️‍👨🏾;couple avec cœur : femme, homme, peau légèrement mate et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau légèrement mate et peau modérément foncée|femme|homme|peau légèrement mate|peau modérément foncée
	👩🏽‍❤️‍👨🏿;couple avec cœur : femme, homme, peau légèrement mate et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau légèrement mate et peau foncée|femme|homme|peau foncée|peau légèrement mate
	👩🏾‍❤️‍👨🏻;couple avec cœur : femme, homme, peau modérément foncée et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément foncée et peau claire|femme|homme|peau claire|peau modérément foncée
	👩🏾‍❤️‍👨🏼;couple avec cœur : femme, homme, peau modérément foncée et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément foncée et peau modérément claire|femme|homme|peau modérément claire|peau modérément foncée
	👩🏾‍❤️‍👨🏽;couple avec cœur : femme, homme, peau modérément foncée et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément foncée et peau légèrement mate|femme|homme|peau légèrement mate|peau modérément foncée
	👩🏾‍❤️‍👨🏾;couple avec cœur : femme, homme et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme et peau modérément foncée|femme|homme|peau modérément foncée
	👩🏾‍❤️‍👨🏿;couple avec cœur : femme, homme, peau modérément foncée et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau modérément foncée et peau foncée|femme|homme|peau foncée|peau modérément foncée
	👩🏿‍❤️‍👨🏻;couple avec cœur : femme, homme, peau foncée et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau foncée et peau claire|femme|homme|peau claire|peau foncée
	👩🏿‍❤️‍👨🏼;couple avec cœur : femme, homme, peau foncée et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau foncée et peau modérément claire|femme|homme|peau foncée|peau modérément claire
	👩🏿‍❤️‍👨🏽;couple avec cœur : femme, homme, peau foncée et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau foncée et peau légèrement mate|femme|homme|peau foncée|peau légèrement mate
	👩🏿‍❤️‍👨🏾;couple avec cœur : femme, homme, peau foncée et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme, peau foncée et peau modérément foncée|femme|homme|peau foncée|peau modérément foncée
	👩🏿‍❤️‍👨🏿;couple avec cœur : femme, homme et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, homme et peau foncée|femme|homme|peau foncée
👨‍❤️‍👨;couple avec cœur : homme et homme;amour|cœur|couple|couple avec cœur|couple avec cœur : homme et homme|homme
	👨🏻‍❤️‍👨🏻;couple avec cœur : homme, homme et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme et peau claire|homme|peau claire
	👨🏻‍❤️‍👨🏼;couple avec cœur : homme, homme, peau claire et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau claire et peau modérément claire|homme|peau claire|peau modérément claire
	👨🏻‍❤️‍👨🏽;couple avec cœur : homme, homme, peau claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau claire et peau légèrement mate|homme|peau claire|peau légèrement mate
	👨🏻‍❤️‍👨🏾;couple avec cœur : homme, homme, peau claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau claire et peau modérément foncée|homme|peau claire|peau modérément foncée
	👨🏻‍❤️‍👨🏿;couple avec cœur : homme, homme, peau claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau claire et peau foncée|homme|peau claire|peau foncée
	👨🏼‍❤️‍👨🏻;couple avec cœur : homme, homme, peau modérément claire et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément claire et peau claire|homme|peau claire|peau modérément claire
	👨🏼‍❤️‍👨🏼;couple avec cœur : homme, homme et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme et peau modérément claire|homme|peau modérément claire
	👨🏼‍❤️‍👨🏽;couple avec cœur : homme, homme, peau modérément claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément claire et peau légèrement mate|homme|peau légèrement mate|peau modérément claire
	👨🏼‍❤️‍👨🏾;couple avec cœur : homme, homme, peau modérément claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément claire et peau modérément foncée|homme|peau modérément claire|peau modérément foncée
	👨🏼‍❤️‍👨🏿;couple avec cœur : homme, homme, peau modérément claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément claire et peau foncée|homme|peau foncée|peau modérément claire
	👨🏽‍❤️‍👨🏻;couple avec cœur : homme, homme, peau légèrement mate et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau légèrement mate et peau claire|homme|peau claire|peau légèrement mate
	👨🏽‍❤️‍👨🏼;couple avec cœur : homme, homme, peau légèrement mate et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau légèrement mate et peau modérément claire|homme|peau légèrement mate|peau modérément claire
	👨🏽‍❤️‍👨🏽;couple avec cœur : homme, homme et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme et peau légèrement mate|homme|peau légèrement mate
	👨🏽‍❤️‍👨🏾;couple avec cœur : homme, homme, peau légèrement mate et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau légèrement mate et peau modérément foncée|homme|peau légèrement mate|peau modérément foncée
	👨🏽‍❤️‍👨🏿;couple avec cœur : homme, homme, peau légèrement mate et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau légèrement mate et peau foncée|homme|peau foncée|peau légèrement mate
	👨🏾‍❤️‍👨🏻;couple avec cœur : homme, homme, peau modérément foncée et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément foncée et peau claire|homme|peau claire|peau modérément foncée
	👨🏾‍❤️‍👨🏼;couple avec cœur : homme, homme, peau modérément foncée et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément foncée et peau modérément claire|homme|peau modérément claire|peau modérément foncée
	👨🏾‍❤️‍👨🏽;couple avec cœur : homme, homme, peau modérément foncée et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément foncée et peau légèrement mate|homme|peau légèrement mate|peau modérément foncée
	👨🏾‍❤️‍👨🏾;couple avec cœur : homme, homme et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme et peau modérément foncée|homme|peau modérément foncée
	👨🏾‍❤️‍👨🏿;couple avec cœur : homme, homme, peau modérément foncée et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau modérément foncée et peau foncée|homme|peau foncée|peau modérément foncée
	👨🏿‍❤️‍👨🏻;couple avec cœur : homme, homme, peau foncée et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau foncée et peau claire|homme|peau claire|peau foncée
	👨🏿‍❤️‍👨🏼;couple avec cœur : homme, homme, peau foncée et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau foncée et peau modérément claire|homme|peau foncée|peau modérément claire
	👨🏿‍❤️‍👨🏽;couple avec cœur : homme, homme, peau foncée et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau foncée et peau légèrement mate|homme|peau foncée|peau légèrement mate
	👨🏿‍❤️‍👨🏾;couple avec cœur : homme, homme, peau foncée et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme, peau foncée et peau modérément foncée|homme|peau foncée|peau modérément foncée
	👨🏿‍❤️‍👨🏿;couple avec cœur : homme, homme et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : homme, homme et peau foncée|homme|peau foncée
👩‍❤️‍👩;couple avec cœur : femme et femme;amour|cœur|couple|couple avec cœur|couple avec cœur : femme et femme|femme
	👩🏻‍❤️‍👩🏻;couple avec cœur : femme, femme et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme et peau claire|femme|peau claire
	👩🏻‍❤️‍👩🏼;couple avec cœur : femme, femme, peau claire et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau claire et peau modérément claire|femme|peau claire|peau modérément claire
	👩🏻‍❤️‍👩🏽;couple avec cœur : femme, femme, peau claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau claire et peau légèrement mate|femme|peau claire|peau légèrement mate
	👩🏻‍❤️‍👩🏾;couple avec cœur : femme, femme, peau claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau claire et peau modérément foncée|femme|peau claire|peau modérément foncée
	👩🏻‍❤️‍👩🏿;couple avec cœur : femme, femme, peau claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau claire et peau foncée|femme|peau claire|peau foncée
	👩🏼‍❤️‍👩🏻;couple avec cœur : femme, femme, peau modérément claire et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau modérément claire et peau claire|femme|peau claire|peau modérément claire
	👩🏼‍❤️‍👩🏼;couple avec cœur : femme, femme et peau modérément claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme et peau modérément claire|femme|peau modérément claire
	👩🏼‍❤️‍👩🏽;couple avec cœur : femme, femme, peau modérément claire et peau légèrement mate;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau modérément claire et peau légèrement mate|femme|peau légèrement mate|peau modérément claire
	👩🏼‍❤️‍👩🏾;couple avec cœur : femme, femme, peau modérément claire et peau modérément foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau modérément claire et peau modérément foncée|femme|peau modérément claire|peau modérément foncée
	👩🏼‍❤️‍👩🏿;couple avec cœur : femme, femme, peau modérément claire et peau foncée;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau modérément claire et peau foncée|femme|peau foncée|peau modérément claire
	👩🏽‍❤️‍👩🏻;couple avec cœur : femme, femme, peau légèrement mate et peau claire;amour|cœur|couple|couple avec cœur|couple avec cœur : femme, femme, peau légèrement mate et peau claire|femme|peau claire|peau légèrement mate
