[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
	⛹🏾‍♀️;fefine tōpuna pulu: kili melomelo-ʻuliʻuli;fefine tōpuna pulu|fefine tōpuna pulu: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	⛹🏿‍♀️;fefine tōpuna pulu: kili ʻuliʻuli;fefine tōpuna pulu|fefine tōpuna pulu: kili ʻuliʻuli|kili ʻuliʻuli
🏋️;tokotaha hiki meʻamamafa;hiki|meʻamamafa|tokotaha hiki meʻamamafa
	🏋🏻;tokotaha hiki meʻamamafa: kili hinehina;hiki|kili hinehina|meʻamamafa|tokotaha hiki meʻamamafa|tokotaha hiki meʻamamafa: kili hinehina
	🏋🏼;tokotaha hiki meʻamamafa: kili kelokelo;hiki|kili kelokelo|meʻamamafa|tokotaha hiki meʻamamafa|tokotaha hiki meʻamamafa: kili kelokelo
	🏋🏽;tokotaha hiki meʻamamafa: kili melomelo;hiki|kili melomelo|meʻamamafa|tokotaha hiki meʻamamafa|tokotaha hiki meʻamamafa: kili melomelo
	🏋🏾;tokotaha hiki meʻamamafa: kili melomelo-ʻuliʻuli;hiki|kili melomelo-ʻuliʻuli|meʻamamafa|tokotaha hiki meʻamamafa|tokotaha hiki meʻamamafa: kili melomelo-ʻuliʻuli
	🏋🏿;tokotaha hiki meʻamamafa: kili ʻuliʻuli;hiki|kili ʻuliʻuli|meʻamamafa|tokotaha hiki meʻamamafa|tokotaha hiki meʻamamafa: kili ʻuliʻuli
🏋️‍♂️;tangata hiki meʻamamafa;tangata hiki meʻamamafa
	🏋🏻‍♂️;tangata hiki meʻamamafa: kili hinehina;kili hinehina|tangata hiki meʻamamafa|tangata hiki meʻamamafa: kili hinehina
	🏋🏼‍♂️;tangata hiki meʻamamafa: kili kelokelo;kili kelokelo|tangata hiki meʻamamafa|tangata hiki meʻamamafa: kili kelokelo
	🏋🏽‍♂️;tangata hiki meʻamamafa: kili melomelo;kili melomelo|tangata hiki meʻamamafa|tangata hiki meʻamamafa: kili melomelo
	🏋🏾‍♂️;tangata hiki meʻamamafa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata hiki meʻamamafa|tangata hiki meʻamamafa: kili melomelo-ʻuliʻuli
	🏋🏿‍♂️;tangata hiki meʻamamafa: kili ʻuliʻuli;kili ʻuliʻuli|tangata hiki meʻamamafa|tangata hiki meʻamamafa: kili ʻuliʻuli
🏋️‍♀️;fefine hiki meʻamamafa;fefine hiki meʻamamafa
	🏋🏻‍♀️;fefine hiki meʻamamafa: kili hinehina;fefine hiki meʻamamafa|fefine hiki meʻamamafa: kili hinehina|kili hinehina
	🏋🏼‍♀️;fefine hiki meʻamamafa: kili kelokelo;fefine hiki meʻamamafa|fefine hiki meʻamamafa: kili kelokelo|kili kelokelo
	🏋🏽‍♀️;fefine hiki meʻamamafa: kili melomelo;fefine hiki meʻamamafa|fefine hiki meʻamamafa: kili melomelo|kili melomelo
	🏋🏾‍♀️;fefine hiki meʻamamafa: kili melomelo-ʻuliʻuli;fefine hiki meʻamamafa|fefine hiki meʻamamafa: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🏋🏿‍♀️;fefine hiki meʻamamafa: kili ʻuliʻuli;fefine hiki meʻamamafa|fefine hiki meʻamamafa: kili ʻuliʻuli|kili ʻuliʻuli
🚴;tokotaha heka pasikala;pasikala|tokotaha heka pasikala
	🚴🏻;tokotaha heka pasikala: kili hinehina;kili hinehina|pasikala|tokotaha heka pasikala|tokotaha heka pasikala: kili hinehina
	🚴🏼;tokotaha heka pasikala: kili kelokelo;kili kelokelo|pasikala|tokotaha heka pasikala|tokotaha heka pasikala: kili kelokelo
	🚴🏽;tokotaha heka pasikala: kili melomelo;kili melomelo|pasikala|tokotaha heka pasikala|tokotaha heka pasikala: kili melomelo
	🚴🏾;tokotaha heka pasikala: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|pasikala|tokotaha heka pasikala|tokotaha heka pasikala: kili melomelo-ʻuliʻuli
	🚴🏿;tokotaha heka pasikala: kili ʻuliʻuli;kili ʻuliʻuli|pasikala|tokotaha heka pasikala|tokotaha heka pasikala: kili ʻuliʻuli
🚴‍♂️;tangata heka pasikala;tangata heka pasikala
	🚴🏻‍♂️;tangata heka pasikala: kili hinehina;kili hinehina|tangata heka pasikala|tangata heka pasikala: kili hinehina
	🚴🏼‍♂️;tangata heka pasikala: kili kelokelo;kili kelokelo|tangata heka pasikala|tangata heka pasikala: kili kelokelo
	🚴🏽‍♂️;tangata heka pasikala: kili melomelo;kili melomelo|tangata heka pasikala|tangata heka pasikala: kili melomelo
	🚴🏾‍♂️;tangata heka pasikala: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata heka pasikala|tangata heka pasikala: kili melomelo-ʻuliʻuli
	🚴🏿‍♂️;tangata heka pasikala: kili ʻuliʻuli;kili ʻuliʻuli|tangata heka pasikala|tangata heka pasikala: kili ʻuliʻuli
🚴‍♀️;fefine heka pasikala;fefine heka pasikala
	🚴🏻‍♀️;fefine heka pasikala: kili hinehina;fefine heka pasikala|fefine heka pasikala: kili hinehina|kili hinehina
	🚴🏼‍♀️;fefine heka pasikala: kili kelokelo;fefine heka pasikala|fefine heka pasikala: kili kelokelo|kili kelokelo
	🚴🏽‍♀️;fefine heka pasikala: kili melomelo;fefine heka pasikala|fefine heka pasikala: kili melomelo|kili melomelo
	🚴🏾‍♀️;fefine heka pasikala: kili melomelo-ʻuliʻuli;fefine heka pasikala|fefine heka pasikala: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🚴🏿‍♀️;fefine heka pasikala: kili ʻuliʻuli;fefine heka pasikala|fefine heka pasikala: kili ʻuliʻuli|kili ʻuliʻuli
🚵;tokotaha heka pasikala moʻunga;moʻunga|pasikala|tokotaha heka pasikala moʻunga
	🚵🏻;tokotaha heka pasikala moʻunga: kili hinehina;kili hinehina|moʻunga|pasikala|tokotaha heka pasikala moʻunga|tokotaha heka pasikala moʻunga: kili hinehina
	🚵🏼;tokotaha heka pasikala moʻunga: kili kelokelo;kili kelokelo|moʻunga|pasikala|tokotaha heka pasikala moʻunga|tokotaha heka pasikala moʻunga: kili kelokelo
	🚵🏽;tokotaha heka pasikala moʻunga: kili melomelo;kili melomelo|moʻunga|pasikala|tokotaha heka pasikala moʻunga|tokotaha heka pasikala moʻunga: kili melomelo
	🚵🏾;tokotaha heka pasikala moʻunga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|moʻunga|pasikala|tokotaha heka pasikala moʻunga|tokotaha heka pasikala moʻunga: kili melomelo-ʻuliʻuli
	🚵🏿;tokotaha heka pasikala moʻunga: kili ʻuliʻuli;kili ʻuliʻuli|moʻunga|pasikala|tokotaha heka pasikala moʻunga|tokotaha heka pasikala moʻunga: kili ʻuliʻuli
🚵‍♂️;tangata heka pasikala moʻunga;tangata heka pasikala moʻunga
	🚵🏻‍♂️;tangata heka pasikala moʻunga: kili hinehina;kili hinehina|tangata heka pasikala moʻunga|tangata heka pasikala moʻunga: kili hinehina
	🚵🏼‍♂️;tangata heka pasikala moʻunga: kili kelokelo;kili kelokelo|tangata heka pasikala moʻunga|tangata heka pasikala moʻunga: kili kelokelo
	🚵🏽‍♂️;tangata heka pasikala moʻunga: kili melomelo;kili melomelo|tangata heka pasikala moʻunga|tangata heka pasikala moʻunga: kili melomelo
	🚵🏾‍♂️;tangata heka pasikala moʻunga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata heka pasikala moʻunga|tangata heka pasikala moʻunga: kili melomelo-ʻuliʻuli
	🚵🏿‍♂️;tangata heka pasikala moʻunga: kili ʻuliʻuli;kili ʻuliʻuli|tangata heka pasikala moʻunga|tangata heka pasikala moʻunga: kili ʻuliʻuli
🚵‍♀️;fefine heka pasikala moʻunga;fefine heka pasikala moʻunga
	🚵🏻‍♀️;fefine heka pasikala moʻunga: kili hinehina;fefine heka pasikala moʻunga|fefine heka pasikala moʻunga: kili hinehina|kili hinehina
	🚵🏼‍♀️;fefine heka pasikala moʻunga: kili kelokelo;fefine heka pasikala moʻunga|fefine heka pasikala moʻunga: kili kelokelo|kili kelokelo
	🚵🏽‍♀️;fefine heka pasikala moʻunga: kili melomelo;fefine heka pasikala moʻunga|fefine heka pasikala moʻunga: kili melomelo|kili melomelo
	🚵🏾‍♀️;fefine heka pasikala moʻunga: kili melomelo-ʻuliʻuli;fefine heka pasikala moʻunga|fefine heka pasikala moʻunga: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🚵🏿‍♀️;fefine heka pasikala moʻunga: kili ʻuliʻuli;fefine heka pasikala moʻunga|fefine heka pasikala moʻunga: kili ʻuliʻuli|kili ʻuliʻuli
🤸;tokotaha tākisi;tākisi|tokotaha tākisi
	🤸🏻;tokotaha tākisi: kili hinehina;kili hinehina|tākisi|tokotaha tākisi|tokotaha tākisi: kili hinehina
	🤸🏼;tokotaha tākisi: kili kelokelo;kili kelokelo|tākisi|tokotaha tākisi|tokotaha tākisi: kili kelokelo
	🤸🏽;tokotaha tākisi: kili melomelo;kili melomelo|tākisi|tokotaha tākisi|tokotaha tākisi: kili melomelo
	🤸🏾;tokotaha tākisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tākisi|tokotaha tākisi|tokotaha tākisi: kili melomelo-ʻuliʻuli
	🤸🏿;tokotaha tākisi: kili ʻuliʻuli;kili ʻuliʻuli|tākisi|tokotaha tākisi|tokotaha tākisi: kili ʻuliʻuli
🤸‍♂️;tangata tākisi;tangata tākisi
	🤸🏻‍♂️;tangata tākisi: kili hinehina;kili hinehina|tangata tākisi|tangata tākisi: kili hinehina
	🤸🏼‍♂️;tangata tākisi: kili kelokelo;kili kelokelo|tangata tākisi|tangata tākisi: kili kelokelo
	🤸🏽‍♂️;tangata tākisi: kili melomelo;kili melomelo|tangata tākisi|tangata tākisi: kili melomelo
	🤸🏾‍♂️;tangata tākisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tākisi|tangata tākisi: kili melomelo-ʻuliʻuli
	🤸🏿‍♂️;tangata tākisi: kili ʻuliʻuli;kili ʻuliʻuli|tangata tākisi|tangata tākisi: kili ʻuliʻuli
🤸‍♀️;fefine tākisi;fefine tākisi
	🤸🏻‍♀️;fefine tākisi: kili hinehina;fefine tākisi|fefine tākisi: kili hinehina|kili hinehina
	🤸🏼‍♀️;fefine tākisi: kili kelokelo;fefine tākisi|fefine tākisi: kili kelokelo|kili kelokelo
	🤸🏽‍♀️;fefine tākisi: kili melomelo;fefine tākisi|fefine tākisi: kili melomelo|kili melomelo
	🤸🏾‍♀️;fefine tākisi: kili melomelo-ʻuliʻuli;fefine tākisi|fefine tākisi: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🤸🏿‍♀️;fefine tākisi: kili ʻuliʻuli;fefine tākisi|fefine tākisi: kili ʻuliʻuli|kili ʻuliʻuli
🤼;kakai fangatua;fangatua|kakai fangatua
🤼‍♂️;ongo tangata fangatua;ongo tangata fangatua
🤼‍♀️;fafine fangatua;fafine fangatua
🤽;tokotaha polovai;polo|tokotaha polovai|vai
	🤽🏻;tokotaha polovai: kili hinehina;kili hinehina|polo|tokotaha polovai|tokotaha polovai: kili hinehina|vai
	🤽🏼;tokotaha polovai: kili kelokelo;kili kelokelo|polo|tokotaha polovai|tokotaha polovai: kili kelokelo|vai
	🤽🏽;tokotaha polovai: kili melomelo;kili melomelo|polo|tokotaha polovai|tokotaha polovai: kili melomelo|vai
	🤽🏾;tokotaha polovai: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|polo|tokotaha polovai|tokotaha polovai: kili melomelo-ʻuliʻuli|vai
	🤽🏿;tokotaha polovai: kili ʻuliʻuli;kili ʻuliʻuli|polo|tokotaha polovai|tokotaha polovai: kili ʻuliʻuli|vai
🤽‍♂️;tangata polovai;tangata polovai
	🤽🏻‍♂️;tangata polovai: kili hinehina;kili hinehina|tangata polovai|tangata polovai: kili hinehina
	🤽🏼‍♂️;tangata polovai: kili kelokelo;kili kelokelo|tangata polovai|tangata polovai: kili kelokelo
	🤽🏽‍♂️;tangata polovai: kili melomelo;kili melomelo|tangata polovai|tangata polovai: kili melomelo
	🤽🏾‍♂️;tangata polovai: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata polovai|tangata polovai: kili melomelo-ʻuliʻuli
	🤽🏿‍♂️;tangata polovai: kili ʻuliʻuli;kili ʻuliʻuli|tangata polovai|tangata polovai: kili ʻuliʻuli
🤽‍♀️;fefine polovai;fefine polovai
	🤽🏻‍♀️;fefine polovai: kili hinehina;fefine polovai|fefine polovai: kili hinehina|kili hinehina
	🤽🏼‍♀️;fefine polovai: kili kelokelo;fefine polovai|fefine polovai: kili kelokelo|kili kelokelo
	🤽🏽‍♀️;fefine polovai: kili melomelo;fefine polovai|fefine polovai: kili melomelo|kili melomelo
	🤽🏾‍♀️;fefine polovai: kili melomelo-ʻuliʻuli;fefine polovai|fefine polovai: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🤽🏿‍♀️;fefine polovai: kili ʻuliʻuli;fefine polovai|fefine polovai: kili ʻuliʻuli|kili ʻuliʻuli
🤾;tokotaha netipolo;netipolo|tokotaha netipolo
	🤾🏻;tokotaha netipolo: kili hinehina;kili hinehina|netipolo|tokotaha netipolo|tokotaha netipolo: kili hinehina
	🤾🏼;tokotaha netipolo: kili kelokelo;kili kelokelo|netipolo|tokotaha netipolo|tokotaha netipolo: kili kelokelo
	🤾🏽;tokotaha netipolo: kili melomelo;kili melomelo|netipolo|tokotaha netipolo|tokotaha netipolo: kili melomelo
	🤾🏾;tokotaha netipolo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|netipolo|tokotaha netipolo|tokotaha netipolo: kili melomelo-ʻuliʻuli
	🤾🏿;tokotaha netipolo: kili ʻuliʻuli;kili ʻuliʻuli|netipolo|tokotaha netipolo|tokotaha netipolo: kili ʻuliʻuli
🤾‍♂️;tangata netipolo;tangata netipolo
	🤾🏻‍♂️;tangata netipolo: kili hinehina;kili hinehina|tangata netipolo|tangata netipolo: kili hinehina
	🤾🏼‍♂️;tangata netipolo: kili kelokelo;kili kelokelo|tangata netipolo|tangata netipolo: kili kelokelo
	🤾🏽‍♂️;tangata netipolo: kili melomelo;kili melomelo|tangata netipolo|tangata netipolo: kili melomelo
	🤾🏾‍♂️;tangata netipolo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata netipolo|tangata netipolo: kili melomelo-ʻuliʻuli
	🤾🏿‍♂️;tangata netipolo: kili ʻuliʻuli;kili ʻuliʻuli|tangata netipolo|tangata netipolo: kili ʻuliʻuli
🤾‍♀️;fefine netipolo;fefine netipolo
	🤾🏻‍♀️;fefine netipolo: kili hinehina;fefine netipolo|fefine netipolo: kili hinehina|kili hinehina
	🤾🏼‍♀️;fefine netipolo: kili kelokelo;fefine netipolo|fefine netipolo: kili kelokelo|kili kelokelo
	🤾🏽‍♀️;fefine netipolo: kili melomelo;fefine netipolo|fefine netipolo: kili melomelo|kili melomelo
	🤾🏾‍♀️;fefine netipolo: kili melomelo-ʻuliʻuli;fefine netipolo|fefine netipolo: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🤾🏿‍♀️;fefine netipolo: kili ʻuliʻuli;fefine netipolo|fefine netipolo: kili ʻuliʻuli|kili ʻuliʻuli
🤹;tokotaha hiko;hiko|tokotaha hiko
	🤹🏻;tokotaha hiko: kili hinehina;hiko|kili hinehina|tokotaha hiko|tokotaha hiko: kili hinehina
	🤹🏼;tokotaha hiko: kili kelokelo;hiko|kili kelokelo|tokotaha hiko|tokotaha hiko: kili kelokelo
	🤹🏽;tokotaha hiko: kili melomelo;hiko|kili melomelo|tokotaha hiko|tokotaha hiko: kili melomelo
	🤹🏾;tokotaha hiko: kili melomelo-ʻuliʻuli;hiko|kili melomelo-ʻuliʻuli|tokotaha hiko|tokotaha hiko: kili melomelo-ʻuliʻuli
	🤹🏿;tokotaha hiko: kili ʻuliʻuli;hiko|kili ʻuliʻuli|tokotaha hiko|tokotaha hiko: kili ʻuliʻuli
🤹‍♂️;tangata hiko;tangata hiko
	🤹🏻‍♂️;tangata hiko: kili hinehina;kili hinehina|tangata hiko|tangata hiko: kili hinehina
	🤹🏼‍♂️;tangata hiko: kili kelokelo;kili kelokelo|tangata hiko|tangata hiko: kili kelokelo
	🤹🏽‍♂️;tangata hiko: kili melomelo;kili melomelo|tangata hiko|tangata hiko: kili melomelo
	🤹🏾‍♂️;tangata hiko: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata hiko|tangata hiko: kili melomelo-ʻuliʻuli
	🤹🏿‍♂️;tangata hiko: kili ʻuliʻuli;kili ʻuliʻuli|tangata hiko|tangata hiko: kili ʻuliʻuli
🤹‍♀️;fefine hiko;fefine hiko
	🤹🏻‍♀️;fefine hiko: kili hinehina;fefine hiko|fefine hiko: kili hinehina|kili hinehina
	🤹🏼‍♀️;fefine hiko: kili kelokelo;fefine hiko|fefine hiko: kili kelokelo|kili kelokelo
	🤹🏽‍♀️;fefine hiko: kili melomelo;fefine hiko|fefine hiko: kili melomelo|kili melomelo
	🤹🏾‍♀️;fefine hiko: kili melomelo-ʻuliʻuli;fefine hiko|fefine hiko: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🤹🏿‍♀️;fefine hiko: kili ʻuliʻuli;fefine hiko|fefine hiko: kili ʻuliʻuli|kili ʻuliʻuli
🧘;tokotaha tangutu fehauaki;fehauaki|tangutu|tokotaha tangutu fehauaki
	🧘🏻;tokotaha tangutu fehauaki: kili hinehina;fehauaki|kili hinehina|tangutu|tokotaha tangutu fehauaki|tokotaha tangutu fehauaki: kili hinehina
	🧘🏼;tokotaha tangutu fehauaki: kili kelokelo;fehauaki|kili kelokelo|tangutu|tokotaha tangutu fehauaki|tokotaha tangutu fehauaki: kili kelokelo
	🧘🏽;tokotaha tangutu fehauaki: kili melomelo;fehauaki|kili melomelo|tangutu|tokotaha tangutu fehauaki|tokotaha tangutu fehauaki: kili melomelo
	🧘🏾;tokotaha tangutu fehauaki: kili melomelo-ʻuliʻuli;fehauaki|kili melomelo-ʻuliʻuli|tangutu|tokotaha tangutu fehauaki|tokotaha tangutu fehauaki: kili melomelo-ʻuliʻuli
	🧘🏿;tokotaha tangutu fehauaki: kili ʻuliʻuli;fehauaki|kili ʻuliʻuli|tangutu|tokotaha tangutu fehauaki|tokotaha tangutu fehauaki: kili ʻuliʻuli
🧘‍♂️;tangata tangutu fehauaki;tangata tangutu fehauaki
	🧘🏻‍♂️;tangata tangutu fehauaki: kili hinehina;kili hinehina|tangata tangutu fehauaki|tangata tangutu fehauaki: kili hinehina
	🧘🏼‍♂️;tangata tangutu fehauaki: kili kelokelo;kili kelokelo|tangata tangutu fehauaki|tangata tangutu fehauaki: kili kelokelo
	🧘🏽‍♂️;tangata tangutu fehauaki: kili melomelo;kili melomelo|tangata tangutu fehauaki|tangata tangutu fehauaki: kili melomelo
	🧘🏾‍♂️;tangata tangutu fehauaki: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tangutu fehauaki|tangata tangutu fehauaki: kili melomelo-ʻuliʻuli
	🧘🏿‍♂️;tangata tangutu fehauaki: kili ʻuliʻuli;kili ʻuliʻuli|tangata tangutu fehauaki|tangata tangutu fehauaki: kili ʻuliʻuli
🧘‍♀️;fefine tangutu fehauaki;fefine tangutu fehauaki
	🧘🏻‍♀️;fefine tangutu fehauaki: kili hinehina;fefine tangutu fehauaki|fefine tangutu fehauaki: kili hinehina|kili hinehina
	🧘🏼‍♀️;fefine tangutu fehauaki: kili kelokelo;fefine tangutu fehauaki|fefine tangutu fehauaki: kili kelokelo|kili kelokelo
	🧘🏽‍♀️;fefine tangutu fehauaki: kili melomelo;fefine tangutu fehauaki|fefine tangutu fehauaki: kili melomelo|kili melomelo
	🧘🏾‍♀️;fefine tangutu fehauaki: kili melomelo-ʻuliʻuli;fefine tangutu fehauaki|fefine tangutu fehauaki: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🧘🏿‍♀️;fefine tangutu fehauaki: kili ʻuliʻuli;fefine tangutu fehauaki|fefine tangutu fehauaki: kili ʻuliʻuli|kili ʻuliʻuli
🛀;tokotaha kaukau;kaukau|tokotaha kaukau
	🛀🏻;tokotaha kaukau: kili hinehina;kaukau|kili hinehina|tokotaha kaukau|tokotaha kaukau: kili hinehina
	🛀🏼;tokotaha kaukau: kili kelokelo;kaukau|kili kelokelo|tokotaha kaukau|tokotaha kaukau: kili kelokelo
	🛀🏽;tokotaha kaukau: kili melomelo;kaukau|kili melomelo|tokotaha kaukau|tokotaha kaukau: kili melomelo
	🛀🏾;tokotaha kaukau: kili melomelo-ʻuliʻuli;kaukau|kili melomelo-ʻuliʻuli|tokotaha kaukau|tokotaha kaukau: kili melomelo-ʻuliʻuli
	🛀🏿;tokotaha kaukau: kili ʻuliʻuli;kaukau|kili ʻuliʻuli|tokotaha kaukau|tokotaha kaukau: kili ʻuliʻuli
🛌;tokotaha ʻi mohenga;mohe|mohenga|tokotaha ʻi mohenga
	🛌🏻;tokotaha ʻi mohenga: kili hinehina;kili hinehina|mohe|mohenga|tokotaha ʻi mohenga|tokotaha ʻi mohenga: kili hinehina
	🛌🏼;tokotaha ʻi mohenga: kili kelokelo;kili kelokelo|mohe|mohenga|tokotaha ʻi mohenga|tokotaha ʻi mohenga: kili kelokelo
	🛌🏽;tokotaha ʻi mohenga: kili melomelo;kili melomelo|mohe|mohenga|tokotaha ʻi mohenga|tokotaha ʻi mohenga: kili melomelo
	🛌🏾;tokotaha ʻi mohenga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mohe|mohenga|tokotaha ʻi mohenga|tokotaha ʻi mohenga: kili melomelo-ʻuliʻuli
	🛌🏿;tokotaha ʻi mohenga: kili ʻuliʻuli;kili ʻuliʻuli|mohe|mohenga|tokotaha ʻi mohenga|tokotaha ʻi mohenga: kili ʻuliʻuli
🧑‍🤝‍🧑;kakai fetakinima;kakai fetakinima
	🧑🏻‍🤝‍🧑🏻;kakai fetakinima: kili hinehina;kakai fetakinima|kakai fetakinima: kili hinehina|kili hinehina
	🧑🏻‍🤝‍🧑🏼;kakai fetakinima: kili hinehina mo e kili kelokelo;kakai fetakinima|kakai fetakinima: kili hinehina mo e kili kelokelo|kili hinehina|kili kelokelo
	🧑🏻‍🤝‍🧑🏽;kakai fetakinima: kili hinehina mo e kili melomelo;kakai fetakinima|kakai fetakinima: kili hinehina mo e kili melomelo|kili hinehina|kili melomelo
	🧑🏻‍🤝‍🧑🏾;kakai fetakinima: kili hinehina mo e kili melomelo-ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili hinehina mo e kili melomelo-ʻuliʻuli|kili hinehina|kili melomelo-ʻuliʻuli
	🧑🏻‍🤝‍🧑🏿;kakai fetakinima: kili hinehina mo e kili ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili hinehina mo e kili ʻuliʻuli|kili hinehina|kili ʻuliʻuli
	🧑🏼‍🤝‍🧑🏻;kakai fetakinima: kili kelokelo mo e kili hinehina;kakai fetakinima|kakai fetakinima: kili kelokelo mo e kili hinehina|kili hinehina|kili kelokelo
	🧑🏼‍🤝‍🧑🏼;kakai fetakinima: kili kelokelo;kakai fetakinima|kakai fetakinima: kili kelokelo|kili kelokelo
	🧑🏼‍🤝‍🧑🏽;kakai fetakinima: kili kelokelo mo e kili melomelo;kakai fetakinima|kakai fetakinima: kili kelokelo mo e kili melomelo|kili kelokelo|kili melomelo
	🧑🏼‍🤝‍🧑🏾;kakai fetakinima: kili kelokelo mo e kili melomelo-ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili kelokelo mo e kili melomelo-ʻuliʻuli|kili kelokelo|kili melomelo-ʻuliʻuli
	🧑🏼‍🤝‍🧑🏿;kakai fetakinima: kili kelokelo mo e kili ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili kelokelo mo e kili ʻuliʻuli|kili ʻuliʻuli|kili kelokelo
	🧑🏽‍🤝‍🧑🏻;kakai fetakinima: kili melomelo mo e kili hinehina;kakai fetakinima|kakai fetakinima: kili melomelo mo e kili hinehina|kili hinehina|kili melomelo
	🧑🏽‍🤝‍🧑🏼;kakai fetakinima: kili melomelo mo e kili kelokelo;kakai fetakinima|kakai fetakinima: kili melomelo mo e kili kelokelo|kili kelokelo|kili melomelo
	🧑🏽‍🤝‍🧑🏽;kakai fetakinima: kili melomelo;kakai fetakinima|kakai fetakinima: kili melomelo|kili melomelo
	🧑🏽‍🤝‍🧑🏾;kakai fetakinima: kili melomelo mo e kili melomelo-ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili melomelo mo e kili melomelo-ʻuliʻuli|kili melomelo|kili melomelo-ʻuliʻuli
	🧑🏽‍🤝‍🧑🏿;kakai fetakinima: kili melomelo mo e kili ʻuliʻuli;kakai fetakinima|kakai fetakinima: kili melomelo mo e kili ʻuliʻuli|kili ʻuliʻuli|kili melomelo
	🧑🏾‍🤝‍🧑🏻;kakai fetakinima: kili melomelo-ʻuliʻuli mo e kili hinehina;kakai fetakinima|kakai fetakinima: kili melomelo-ʻuliʻuli mo e kili hinehina|kili hinehina|kili melomelo-ʻuliʻuli
