[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
☸️;wiel van dharma;boeddhist|dharma|religie|wiel|wiel van dharma
☯️;yin en yang;religie|tao|taoïst|yang|yin|yin en yang
✝️;christelijk kruis;christelijk kruis|christendom|kruis|religie
☦️;russisch kruis;christendom|kruis|religie|russisch kruis
☪️;wassende maan en ster;islam|moslim|religie|wassende maan en ster
☮️;vredessymbool;vrede|vredessymbool
🕎;menora;kandelaar|kandelaber|menora|religie
🔯;zespuntige ster;ster|waarzeggen|zespuntige ster
🪯;khanda;khanda|religie|sikh
♈;ram (sterrenbeeld);Aries|dierenriem|ram|ram (sterrenbeeld)
♉;stier (sterrenbeeld);dierenriem|os|stier|stier (sterrenbeeld)|Taurus
♊;tweelingen (sterrenbeeld);dierenriem|Gemini|tweelingen|tweelingen (sterrenbeeld)
♋;kreeft (sterrenbeeld);Cancer|dierenriem|kreeft|kreeft (sterrenbeeld)
♌;leeuw (sterrenbeeld);dierenriem|leeuw|leeuw (sterrenbeeld)|Leo
♍;maagd (sterrenbeeld);dierenriem|maagd (sterrenbeeld)|Virgo
♎;weegschaal (sterrenbeeld);balans|dierenriem|gerechtigheid|Libra|weegschaal|weegschaal (sterrenbeeld)
♏;schorpioen (sterrenbeeld);dierenriem|schorpioen|schorpioen (sterrenbeeld)|Scorpio|scorpius
♐;boogschutter (sterrenbeeld);boogschutter|boogschutter (sterrenbeeld)|dierenriem|Sagittarius
♑;steenbok (sterrenbeeld);Capricorn|dierenriem|steenbok|steenbok (sterrenbeeld)
♒;waterman (sterrenbeeld);Aquarius|dierenriem|drager|water|waterman (sterrenbeeld)
♓;vissen (sterrenbeeld);dierenriem|Pisces|vissen|vissen (sterrenbeeld)
⛎;slangendrager (sterrenbeeld);dierenriem|drager|Ophiuchus|serpent|slang|slangendrager (sterrenbeeld)
🔀;knop voor shuffle;gekruist|knop voor shuffle|pijl
🔁;knop voor herhalen;herhalen|knop voor herhalen|met de klok mee|pijl
🔂;knop voor één herhalen;eenmaal|knop voor één herhalen|met de klok mee|pijl
▶️;knop voor afspelen;afspelen|driehoek|knop voor afspelen|pijl|rechts
⏩;knop voor snel vooruitspoelen;dubbel|knop voor snel vooruitspoelen|pijl|snel|vooruit
⏭️;knop voor volgende nummer;driehoek|knop voor volgende nummer|pijl|volgend nummer|volgende scène
⏯️;knop voor afspelen of pauzeren;afspelen|driehoek|knop voor afspelen of pauzeren|pauzeren|pijl|rechts
◀️;knop voor terugspoelen;driehoek|knop voor terugspoelen|links|pijl|terugspoelen
⏪;knop voor versneld terugspoelen;dubbele pijl links|knop voor versneld terugspoelen|links|pijl|terugspoelen
⏮️;knop voor vorige nummer;driehoek|knop voor vorige nummer|pijl|vorige nummer|vorige scène
🔼;knop voor omhoog;knop|knop voor omhoog|pijl|rood
⏫;knop voor versneld omhoog;dubbel|knop voor versneld omhoog|pijl
🔽;knop voor omlaag;knop|knop voor omlaag|omlaag|pijl|rood
⏬;knop voor versneld omlaag;dubbel|knop voor versneld omlaag|omlaag|pijl
⏸️;pauzeknop;dubbel|pauzeknop|pauzeren|streep|verticaal
⏹️;knop voor stoppen;knop voor stoppen|stoppen|vierkant
⏺️;knop voor opnemen;knop voor opnemen|opnemen|rondje
⏏️;knop voor uitwerpen;knop voor uitwerpen|uitwerpen
🎦;knop voor filmen;bioscoop|camera|film|filmen|knop voor filmen
🔅;knop voor lagere helderheid;dimmen|helderheid|knop voor lagere helderheid|laag
🔆;knop voor hogere helderheid;helder|helderheid|knop voor hogere helderheid
📶;mobiel signaal;antenne|mobiel|mobiel signaal|mobiele telefoon|streep|telefoon
🛜;draadloos;computer|draadloos|internet|netwerk
📳;trilstand;mobiel|mobiele telefoon|modus|telefoon|trilstand
📴;telefoon uit;mobiel|mobiele telefoon|mobiele telefoon uit|telefoon|uit
♀️;vrouwelijkheidssymbool;vrouw|vrouwelijkheidssymbool
♂️;mannelijkheidssymbool;man|mannelijkheidssymbool
⚧️;transgendersymbool;transgender|transgendersymbool
✖️;vermenigvuldigen;×|annuleren|teken|vermenigvuldigen|vermenigvuldiging|x
➕;plus;+|plus|teken|wiskunde
➖;min;-|−|min|teken|wiskunde
➗;delen;÷|delen|teken|wiskunde
🟰;vetgedrukt gelijkteken;gelijkheid|vetgedrukt gelijkteken|wiskunde
♾️;oneindig;eeuwig|grenzeloos|oneindig|universeel
‼️;dubbel uitroepteken;!|!!|dubbel uitroepteken|interpunctie|teken|uitroep
⁉️;uitroepteken en vraagteken;!|!?|?|interpunctie|uitroep|uitroepteken en vraagteken|vraag|vraagteken-uitroepteken
❓;rood vraagteken;?|interpunctie|rood vraagteken|teken|vraag
❔;wit vraagteken;?|contour|interpunctie|teken|vraag|wit vraagteken
❕;wit uitroepteken;!|contour|interpunctie|teken|uitroep|wit uitroepteken
❗;rood uitroepteken;!|interpunctie|rood uitroepteken|teken|uitroep
〰️;golvend streepje;golvend|lang geluid|streepje
💱;geld wisselen;geld|valuta|wisselen
💲;vetgedrukt dollarteken;dollar|dollarteken|geld|vetgedrukt dollarteken
⚕️;esculaap;dokter|esculaap
♻️;recycling-symbool;recycling|recycling-symbool
⚜️;fleur de lis;fleur de lis|franse lelie
🔱;drietand-symbool;anker|drietand|drietand-symbool|gereedschap|schip|symbool
📛;naamkaartje;kaartje|naam|naamkaartje
🔰;Japans symbool voor beginner;beginner|blad|chevron|Japans|Japans symbool voor beginner
⭕;lege rode cirkel;cirkel|groot|lege rode cirkel|o|rood
✅;knop voor vinkje;✓|knop|knop voor vinkje|teken|vinkje
☑️;vinkje in vak;✓|vak|vinkje|vinkje in vak
✔️;vinkje;✓|teken|vinkje
❌;kruisteken;×|annuleren|kruis|kruisteken|teken|vermenigvuldigen|vermenigvuldiging|x
❎;knop voor kruis;×|knop voor kruis|teken|vierkant|x
➰;gekrulde lus;gedraaid|gekrulde lus|lus
➿;dubbele gekrulde lus;dubbel|dubbele gekrulde lus|krul|lus
〽️;rolwisselingsmarkering;markering|rolwisselingsmarkering|teken
✳️;achtpuntige asterisk;*|achtpuntige asterisk|asterisk
✴️;achtpuntige ster;*|achtpuntige ster|ster
❇️;sprankeling;*|sprankelen|sprankeling
©️;copyright;c|copyright
®️;gedeponeerd;gedeponeerd|r
™️;handelsmerksymbool;handelsmerk|handelsmerksymbool|symbool|tm
#️⃣;toets: #;toets|toets: #
*️⃣;toets: *;toets|toets: *
0️⃣;toets: 0;toets|toets: 0
1️⃣;toets: 1;toets|toets: 1
2️⃣;toets: 2;toets|toets: 2
3️⃣;toets: 3;toets|toets: 3
4️⃣;toets: 4;toets|toets: 4
5️⃣;toets: 5;toets|toets: 5
6️⃣;toets: 6;toets|toets: 6
7️⃣;toets: 7;toets|toets: 7
8️⃣;toets: 8;toets|toets: 8
9️⃣;toets: 9;toets|toets: 9
🔟;toets: 10;toets|toets: 10
🔠;hoofdletters;ABCD|hoofdletters|invoeren|Latijns|letters
🔡;kleine letters;abcd|invoeren|kleine letters|Latijns|letters
🔢;cijfers;1234|cijfers|invoeren
🔣;symbolen;〒♪&amp;%|invoeren|symbolen
🔤;Latijns alfabet;abc|alfabet|invoeren|Latijns|letters
🅰️;bloedgroep A;a|bloedgroep
🆎;bloedgroep AB;ab|bloedgroep
🅱️;bloedgroep B;b|bloedgroep
🆑;CL-knop;cl|CL-knop
🆒;COOL-knop;cool|COOL-knop
🆓;FREE-knop;FREE-knop|gratis
ℹ️;informatie;i|informatie
🆔;ID-knop;id|ID-knop|identiteit
Ⓜ️;M in cirkel;cirkel|m|M in cirkel
🆕;NEW-knop;NEW-knop|nieuw
🆖;NG-knop;ng|NG-knop
🅾️;bloedgroep O;bloedgroep|o
🆗;OK-knop;OK|OK-knop
🅿️;P-knop;P-knop|parkeerplaats
🆘;SOS-knop;help|sos|SOS-knop
🆙;UP!-knop;omhoog|teken|UP!-knop
🆚;VS-knop;versus|vs|VS-knop
🈁;Japans teken voor ‘hier’;‘hier’|Japans|Japans teken voor ‘hier’|katakana|ココ
🈂️;Japans teken voor ‘dienstenheffing’;‘dienstenheffing’|Japans|Japans teken voor ‘dienst’|Japans teken voor ‘dienstenheffing’|katakana|サ
🈷️;Japans teken voor ‘maandelijks bedrag’;‘maandelijks bedrag’|ideogram|Japans|Japans teken voor ‘maandelijks bedrag’|月
🈶;Japans teken voor ‘niet gratis’;‘niet gratis’|ideogram|Japans|Japans teken voor ‘niet gratis’|有
🈯;Japans teken voor ‘gereserveerd’;‘gereserveerd’|ideogram|Japans|Japans teken voor ‘gereserveerd’|指
🉐;Japans teken voor ‘koopje’;‘koopje’|ideogram|Japans|Japans teken voor ‘koopje’|得
🈹;Japans teken voor ‘korting’;‘korting’|ideogram|Japans|Japans teken voor ‘korting’|割
🈚;Japans teken voor ‘gratis’;‘gratis’|ideogram|Japans|Japans teken voor ‘gratis’|無
🈲;Japans teken voor ‘verboden’;‘verboden’|ideogram|Japans|Japans teken voor ‘verboden’|禁
🉑;Japans teken voor ‘acceptabel’;‘acceptabel’|ideogram|Japans|Japans teken voor ‘acceptabel’|可
🈸;Japans teken voor ‘toepassing’;‘toepassing’|ideogram|Japans|Japans teken voor ‘toepassing’|申
🈴;Japans teken voor ‘voldoende (cijfer)‘;‘voldoende (cijfer)‘|ideogram|Japans|Japans teken voor ‘voldoende (cijfer)‘|合
🈳;Japans teken voor ‘plaats vrij’;‘plaats vrij’|ideogram|Japans|Japans teken voor ‘plaats vrij’|空
㊗️;Japans teken voor ‘gefeliciteerd’;‘gefeliciteerd’|ideogram|Japans|Japans teken voor ‘gefeliciteerd’|祝
㊙️;Japans teken voor ‘geheim’;‘geheim’|ideogram|Japans|Japans teken voor ‘geheim’|秘
🈺;Japans teken voor ‘geopend’;‘geopend’|ideogram|Japans|Japans teken voor ‘geopend’|営
🈵;Japans teken voor ‘vol, geen plaats’;‘vol|geen plaats’|ideogram|Japans|Japans teken voor ‘vol|Japans teken voor ‘vol, geen plaats’|満
🔴;rode cirkel;cirkel|geometrisch|rode cirkel|rood
🟠;oranje cirkel;cirkel|oranje
🟡;gele cirkel;cirkel|geel|gele cirkel
🟢;groene cirkel;cirkel|groen|groene cirkel
🔵;blauwe cirkel;blauw|blauwe cirkel|cirkel|geometrisch
🟣;paarse cirkel;cirkel|paars|paarse cirkel
🟤;bruine cirkel;bruin|bruine cirkel|cirkel
⚫;zwarte cirkel;cirkel|geometrisch|zwarte cirkel
⚪;witte cirkel;cirkel|geometrisch|witte cirkel
🟥;rood vierkant;rood|vierkant
🟧;oranje vierkant;oranje|vierkant
🟨;geel vierkant;geel|vierkant
🟩;groen vierkant;groen|vierkant
🟦;blauw vierkant;blauw|vierkant
🟪;paars vierkant;paars|vierkant
🟫;bruin vierkant;bruin|vierkant
⬛;groot zwart vierkant;geometrisch|groot zwart vierkant|vierkant
⬜;groot wit vierkant;geometrisch|groot wit vierkant|vierkant
◼️;middelgroot zwart vierkant;geometrisch|middelgroot zwart vierkant|vierkant
◻️;middelgroot wit vierkant;middelgroot|vierkant|wit
◾;klein tot middelgroot zwart vierkant;geometrisch|klein tot middelgroot zwart vierkant|vierkant
◽;klein tot middelgroot wit vierkant;klein tot middelgroot wit vierkant|redelijk klein|vierkant|wit
▪️;klein zwart vierkant;geometrisch|klein zwart vierkant|vierkant
▫️;klein wit vierkant;geometrisch|klein wit vierkant|vierkant
🔶;grote oranje ruit;geometrisch|grote oranje ruit|oranje|ruit
🔷;grote blauwe ruit;blauw|geometrisch|grote blauwe ruit|ruit
🔸;kleine oranje ruit;geometrisch|kleine oranje ruit|oranje|ruit
🔹;kleine blauwe ruit;blauw|geometrisch|kleine blauwe ruit|ruit
🔺;rode omhoogwijzende driehoek;geometrisch|rode omhoogwijzende driehoek|rood
🔻;rode omlaagwijzende driehoek;geometrisch|omlaag|rode omlaagwijzende driehoek|rood
💠;ruitvorm met stip erin;binnen|geometrisch|ruit|ruitvorm met stip erin|strip
🔘;keuzerondje;geometrisch|keuze|keuzerondje|rondje
🔳;witte vierkante knop;geometrisch|knop|omlijnd|vierkant|witte vierkante knop
🔲;zwarte vierkante knop;geometrisch|knop|vierkant|zwarte vierkante knop

[flags]
🏁;geblokte vlag;geblokt|geblokte vlag|racen
🚩;driehoekige vlag;driehoekige vlag|locatie
🎌;gekruiste vlaggen;feest|gekruist|gekruiste vlaggen|japans|kruis
🏴;zwarte vlag;vlag|zwart|zwarte vlag
🏳️;witte vlag;vlag|wit|witte vlag
🏳️‍🌈;regenboogvlag;regenboog|regenboogvlag|vlag
🏳️‍⚧️;transgendervlag;lichtblauw|roze|transgender|transgendervlag|vlag|wit
🏴‍☠️;piratenvlag;Jolly Roger|piraat|piratenvlag|plunderen|schat
🇦🇨;vlag: Ascension;vlag|vlag: Ascension
🇦🇩;vlag: Andorra;vlag|vlag: Andorra
🇦🇪;vlag: Verenigde Arabische Emiraten;vlag|vlag: Verenigde Arabische Emiraten
🇦🇫;vlag: Afghanistan;vlag|vlag: Afghanistan
🇦🇬;vlag: Antigua en Barbuda;vlag|vlag: Antigua en Barbuda
🇦🇮;vlag: Anguilla;vlag|vlag: Anguilla
🇦🇱;vlag: Albanië;vlag|vlag: Albanië
🇦🇲;vlag: Armenië;vlag|vlag: Armenië
🇦🇴;vlag: Angola;vlag|vlag: Angola
🇦🇶;vlag: Antarctica;vlag|vlag: Antarctica
🇦🇷;vlag: Argentinië;vlag|vlag: Argentinië
🇦🇸;vlag: Amerikaans-Samoa;vlag|vlag: Amerikaans-Samoa
🇦🇹;vlag: Oostenrijk;vlag|vlag: Oostenrijk
🇦🇺;vlag: Australië;vlag|vlag: Australië
🇦🇼;vlag: Aruba;vlag|vlag: Aruba
🇦🇽;vlag: Åland;vlag|vlag: Åland
🇦🇿;vlag: Azerbeidzjan;vlag|vlag: Azerbeidzjan
🇧🇦;vlag: Bosnië en Herzegovina;vlag|vlag: Bosnië en Herzegovina
🇧🇧;vlag: Barbados;vlag|vlag: Barbados
🇧🇩;vlag: Bangladesh;vlag|vlag: Bangladesh
🇧🇪;vlag: België;vlag|vlag: België
🇧🇫;vlag: Burkina Faso;vlag|vlag: Burkina Faso
🇧🇬;vlag: Bulgarije;vlag|vlag: Bulgarije
🇧🇭;vlag: Bahrein;vlag|vlag: Bahrein
🇧🇮;vlag: Burundi;vlag|vlag: Burundi
🇧🇯;vlag: Benin;vlag|vlag: Benin
🇧🇱;vlag: Saint-Barthélemy;vlag|vlag: Saint-Barthélemy
🇧🇲;vlag: Bermuda;vlag|vlag: Bermuda
🇧🇳;vlag: Brunei;vlag|vlag: Brunei
🇧🇴;vlag: Bolivia;vlag|vlag: Bolivia
🇧🇶;vlag: Caribisch Nederland;vlag|vlag: Caribisch Nederland
🇧🇷;vlag: Brazilië;vlag|vlag: Brazilië
🇧🇸;vlag: Bahama’s;vlag|vlag: Bahama’s
🇧🇹;vlag: Bhutan;vlag|vlag: Bhutan
🇧🇻;vlag: Bouveteiland;vlag|vlag: Bouveteiland
🇧🇼;vlag: Botswana;vlag|vlag: Botswana
🇧🇾;vlag: Belarus;vlag|vlag: Belarus
🇧🇿;vlag: Belize;vlag|vlag: Belize
🇨🇦;vlag: Canada;vlag|vlag: Canada
🇨🇨;vlag: Cocoseilanden;vlag|vlag: Cocoseilanden
🇨🇩;vlag: Congo-Kinshasa;vlag|vlag: Congo-Kinshasa
🇨🇫;vlag: Centraal-Afrikaanse Republiek;vlag|vlag: Centraal-Afrikaanse Republiek
🇨🇬;vlag: Congo-Brazzaville;vlag|vlag: Congo-Brazzaville
🇨🇭;vlag: Zwitserland;vlag|vlag: Zwitserland
🇨🇮;vlag: Ivoorkust;vlag|vlag: Ivoorkust
🇨🇰;vlag: Cookeilanden;vlag|vlag: Cookeilanden
🇨🇱;vlag: Chili;vlag|vlag: Chili
🇨🇲;vlag: Kameroen;vlag|vlag: Kameroen
🇨🇳;vlag: China;vlag|vlag: China
🇨🇴;vlag: Colombia;vlag|vlag: Colombia
🇨🇵;vlag: Clipperton;vlag|vlag: Clipperton
🇨🇷;vlag: Costa Rica;vlag|vlag: Costa Rica
🇨🇺;vlag: Cuba;vlag|vlag: Cuba
🇨🇻;vlag: Kaapverdië;vlag|vlag: Kaapverdië
🇨🇼;vlag: Curaçao;vlag|vlag: Curaçao
🇨🇽;vlag: Christmaseiland;vlag|vlag: Christmaseiland
🇨🇾;vlag: Cyprus;vlag|vlag: Cyprus
🇨🇿;vlag: Tsjechië;vlag|vlag: Tsjechië
🇩🇪;vlag: Duitsland;vlag|vlag: Duitsland
🇩🇬;vlag: Diego Garcia;vlag|vlag: Diego Garcia
🇩🇯;vlag: Djibouti;vlag|vlag: Djibouti
🇩🇰;vlag: Denemarken;vlag|vlag: Denemarken
🇩🇲;vlag: Dominica;vlag|vlag: Dominica
🇩🇴;vlag: Dominicaanse Republiek;vlag|vlag: Dominicaanse Republiek
🇩🇿;vlag: Algerije;vlag|vlag: Algerije
🇪🇦;vlag: Ceuta en Melilla;vlag|vlag: Ceuta en Melilla
🇪🇨;vlag: Ecuador;vlag|vlag: Ecuador
🇪🇪;vlag: Estland;vlag|vlag: Estland
🇪🇬;vlag: Egypte;vlag|vlag: Egypte
🇪🇭;vlag: Westelijke Sahara;vlag|vlag: Westelijke Sahara
🇪🇷;vlag: Eritrea;vlag|vlag: Eritrea
🇪🇸;vlag: Spanje;vlag|vlag: Spanje
🇪🇹;vlag: Ethiopië;vlag|vlag: Ethiopië
🇪🇺;vlag: Europese Unie;vlag|vlag: Europese Unie
🇫🇮;vlag: Finland;vlag|vlag: Finland
🇫🇯;vlag: Fiji;vlag|vlag: Fiji
🇫🇰;vlag: Falklandeilanden;vlag|vlag: Falklandeilanden
🇫🇲;vlag: Micronesia;vlag|vlag: Micronesia
🇫🇴;vlag: Faeröer;vlag|vlag: Faeröer
🇫🇷;vlag: Frankrijk;vlag|vlag: Frankrijk
🇬🇦;vlag: Gabon;vlag|vlag: Gabon
🇬🇧;vlag: Verenigd Koninkrijk;vlag|vlag: Verenigd Koninkrijk
🇬🇩;vlag: Grenada;vlag|vlag: Grenada
🇬🇪;vlag: Georgië;vlag|vlag: Georgië
🇬🇫;vlag: Frans-Guyana;vlag|vlag: Frans-Guyana
🇬🇬;vlag: Guernsey;vlag|vlag: Guernsey
🇬🇭;vlag: Ghana;vlag|vlag: Ghana
🇬🇮;vlag: Gibraltar;vlag|vlag: Gibraltar
🇬🇱;vlag: Groenland;vlag|vlag: Groenland
🇬🇲;vlag: Gambia;vlag|vlag: Gambia
🇬🇳;vlag: Guinee;vlag|vlag: Guinee
🇬🇵;vlag: Guadeloupe;vlag|vlag: Guadeloupe
🇬🇶;vlag: Equatoriaal-Guinea;vlag|vlag: Equatoriaal-Guinea
🇬🇷;vlag: Griekenland;vlag|vlag: Griekenland
🇬🇸;vlag: Zuid-Georgia en Zuidelijke Sandwicheilanden;vlag|vlag: Zuid-Georgia en Zuidelijke Sandwicheilanden
🇬🇹;vlag: Guatemala;vlag|vlag: Guatemala
🇬🇺;vlag: Guam;vlag|vlag: Guam
🇬🇼;vlag: Guinee-Bissau;vlag|vlag: Guinee-Bissau
🇬🇾;vlag: Guyana;vlag|vlag: Guyana
🇭🇰;vlag: Hongkong SAR van China;vlag|vlag: Hongkong SAR van China
🇭🇲;vlag: Heard en McDonaldeilanden;vlag|vlag: Heard en McDonaldeilanden
🇭🇳;vlag: Honduras;vlag|vlag: Honduras
🇭🇷;vlag: Kroatië;vlag|vlag: Kroatië
🇭🇹;vlag: Haïti;vlag|vlag: Haïti
🇭🇺;vlag: Hongarije;vlag|vlag: Hongarije
🇮🇨;vlag: Canarische Eilanden;vlag|vlag: Canarische Eilanden
🇮🇩;vlag: Indonesië;vlag|vlag: Indonesië
🇮🇪;vlag: Ierland;vlag|vlag: Ierland
🇮🇱;vlag: Israël;vlag|vlag: Israël
🇮🇲;vlag: Isle of Man;vlag|vlag: Isle of Man
🇮🇳;vlag: India;vlag|vlag: India
🇮🇴;vlag: Brits Indische Oceaanterritorium;vlag|vlag: Brits Indische Oceaanterritorium
🇮🇶;vlag: Irak;vlag|vlag: Irak
🇮🇷;vlag: Iran;vlag|vlag: Iran
🇮🇸;vlag: IJsland;vlag|vlag: IJsland
🇮🇹;vlag: Italië;vlag|vlag: Italië
🇯🇪;vlag: Jersey;vlag|vlag: Jersey
🇯🇲;vlag: Jamaica;vlag|vlag: Jamaica
🇯🇴;vlag: Jordanië;vlag|vlag: Jordanië
🇯🇵;vlag: Japan;vlag|vlag: Japan
🇰🇪;vlag: Kenia;vlag|vlag: Kenia
🇰🇬;vlag: Kirgizië;vlag|vlag: Kirgizië
🇰🇭;vlag: Cambodja;vlag|vlag: Cambodja
🇰🇮;vlag: Kiribati;vlag|vlag: Kiribati
🇰🇲;vlag: Comoren;vlag|vlag: Comoren
🇰🇳;vlag: Saint Kitts en Nevis;vlag|vlag: Saint Kitts en Nevis
🇰🇵;vlag: Noord-Korea;vlag|vlag: Noord-Korea
🇰🇷;vlag: Zuid-Korea;vlag|vlag: Zuid-Korea
🇰🇼;vlag: Koeweit;vlag|vlag: Koeweit
🇰🇾;vlag: Kaaimaneilanden;vlag|vlag: Kaaimaneilanden
🇰🇿;vlag: Kazachstan;vlag|vlag: Kazachstan
🇱🇦;vlag: Laos;vlag|vlag: Laos
🇱🇧;vlag: Libanon;vlag|vlag: Libanon
🇱🇨;vlag: Saint Lucia;vlag|vlag: Saint Lucia
🇱🇮;vlag: Liechtenstein;vlag|vlag: Liechtenstein
🇱🇰;vlag: Sri Lanka;vlag|vlag: Sri Lanka
🇱🇷;vlag: Liberia;vlag|vlag: Liberia
🇱🇸;vlag: Lesotho;vlag|vlag: Lesotho
🇱🇹;vlag: Litouwen;vlag|vlag: Litouwen
🇱🇺;vlag: Luxemburg;vlag|vlag: Luxemburg
🇱🇻;vlag: Letland;vlag|vlag: Letland
🇱🇾;vlag: Libië;vlag|vlag: Libië
🇲🇦;vlag: Marokko;vlag|vlag: Marokko
🇲🇨;vlag: Monaco;vlag|vlag: Monaco
🇲🇩;vlag: Moldavië;vlag|vlag: Moldavië
🇲🇪;vlag: Montenegro;vlag|vlag: Montenegro
🇲🇫;vlag: Saint-Martin;vlag|vlag: Saint-Martin
🇲🇬;vlag: Madagaskar;vlag|vlag: Madagaskar
🇲🇭;vlag: Marshalleilanden;vlag|vlag: Marshalleilanden
🇲🇰;vlag: Noord-Macedonië;vlag|vlag: Noord-Macedonië
🇲🇱;vlag: Mali;vlag|vlag: Mali
🇲🇲;vlag: Myanmar (Birma);vlag|vlag: Myanmar (Birma)
🇲🇳;vlag: Mongolië;vlag|vlag: Mongolië
🇲🇴;vlag: Macau SAR van China;vlag|vlag: Macau SAR van China
🇲🇵;vlag: Noordelijke Marianen;vlag|vlag: Noordelijke Marianen
🇲🇶;vlag: Martinique;vlag|vlag: Martinique
🇲🇷;vlag: Mauritanië;vlag|vlag: Mauritanië
🇲🇸;vlag: Montserrat;vlag|vlag: Montserrat
🇲🇹;vlag: Malta;vlag|vlag: Malta
🇲🇺;vlag: Mauritius;vlag|vlag: Mauritius
🇲🇻;vlag: Maldiven;vlag|vlag: Maldiven
🇲🇼;vlag: Malawi;vlag|vlag: Malawi
🇲🇽;vlag: Mexico;vlag|vlag: Mexico
🇲🇾;vlag: Maleisië;vlag|vlag: Maleisië
🇲🇿;vlag: Mozambique;vlag|vlag: Mozambique
🇳🇦;vlag: Namibië;vlag|vlag: Namibië
🇳🇨;vlag: Nieuw-Caledonië;vlag|vlag: Nieuw-Caledonië
🇳🇪;vlag: Niger;vlag|vlag: Niger
🇳🇫;vlag: Norfolk;vlag|vlag: Norfolk
🇳🇬;vlag: Nigeria;vlag|vlag: Nigeria
🇳🇮;vlag: Nicaragua;vlag|vlag: Nicaragua
🇳🇱;vlag: Nederland;vlag|vlag: Nederland
🇳🇴;vlag: Noorwegen;vlag|vlag: Noorwegen
🇳🇵;vlag: Nepal;vlag|vlag: Nepal
🇳🇷;vlag: Nauru;vlag|vlag: Nauru
🇳🇺;vlag: Niue;vlag|vlag: Niue
🇳🇿;vlag: Nieuw-Zeeland;vlag|vlag: Nieuw-Zeeland
🇴🇲;vlag: Oman;vlag|vlag: Oman
🇵🇦;vlag: Panama;vlag|vlag: Panama
🇵🇪;vlag: Peru;vlag|vlag: Peru
🇵🇫;vlag: Frans-Polynesië;vlag|vlag: Frans-Polynesië
🇵🇬;vlag: Papoea-Nieuw-Guinea;vlag|vlag: Papoea-Nieuw-Guinea
